site_no,spot_no,year,obs_date,bleaching_all,bleaching_acropora,env_type,mmm_logger,mmm_sat,dhw_logger,dhw_sat_raw,dhw_sat_corrected
1,5,2021,2021-10-07,0.0,0.0,閉鎖系,26.14741666666667,26.09833333333334,16.22680952380951,18.697619047618993,16.297619047618987
1,5,2022,2022-12-03,10.0,5.0,閉鎖系,26.14741666666667,26.09833333333334,11.936238095238082,8.669047619047578,6.825714285714243
1,5,2023,2023-10-19,0.0,0.0,閉鎖系,26.14741666666667,26.09833333333334,19.11223809523808,22.283333333333278,19.883333333333276
1,5,2024,2024-10-15,90.0,40.0,閉鎖系,26.14741666666667,26.09833333333334,,,
3,11,2020,2020-09-09,50.0,50.0,中間系,26.494416666666663,26.482499999999998,21.7726666666667,22.357142857142872,20.41428571428573
3,11,2021,2021-12-29,0.0,0.0,中間系,26.494416666666663,26.482499999999998,2.406559523809534,2.704642857142862,1.936785714285717
3,11,2022,2022-10-03,80.0,50.0,中間系,26.494416666666663,26.482499999999998,24.64095238095241,26.317142857142873,25.288571428571448
3,11,2023,2023-10-29,0.0,0.0,中間系,26.494416666666663,26.482499999999998,15.175523809523842,17.47285714285716,15.072857142857151
3,11,2024,2024-12-01,90.0,90.0,中間系,26.494416666666663,26.482499999999998,13.906095238095272,15.42714285714287,13.027142857142865
3,13,2020,2020-09-25,0.0,0.0,中間系,25.8165,26.470833333333335,21.453857142857128,20.463333333333317,18.12047619047617
3,13,2021,2021-10-04,0.0,0.0,中間系,25.8165,26.470833333333335,14.913999999999989,15.577619047619034,13.177619047619029
3,13,2022,2022-09-28,20.0,20.0,中間系,25.8165,26.470833333333335,24.437285714285704,24.559047619047607,22.44476190476189
3,13,2023,2023-09-14,0.0,0.0,中間系,25.8165,26.470833333333335,14.502857142857133,16.301904761904748,13.901904761904744
3,13,2024,2024-11-05,50.0,50.0,中間系,25.8165,26.470833333333335,22.49214285714285,23.340476190476178,21.683333333333316
4,3,2020,2020-09-27,0.5,0.0,外洋系,27.019500000000004,27.0675,14.974785714285678,16.53285714285715,14.175714285714287
4,3,2021,2021-11-16,0.0,0.0,外洋系,27.019500000000004,27.0675,15.503428571428534,15.288571428571439,12.888571428571433
4,3,2022,2022-12-27,10.0,80.0,外洋系,27.019500000000004,27.0675,3.1524285714285596,2.4628571428571466,1.6996428571428588
4,3,2023,2023-09-12,0.0,0.0,外洋系,27.019500000000004,27.0675,11.822214285714258,14.869285714285722,12.608571428571432
4,3,2024,2024-10-07,80.0,90.0,外洋系,27.019500000000004,27.0675,25.048714285714254,26.33000000000001,25.901428571428575
4,15,2021,2021-09-20,0.0,0.0,外洋系,26.664,26.875833333333333,13.831142857142847,14.626190476190482,12.226190476190476
4,15,2022,2023-01-20,0.0,0.0,外洋系,26.664,26.875833333333333,0.0,0.0,0.0
4,15,2023,2023-12-06,0.0,0.0,外洋系,26.664,26.875833333333333,13.93899999999999,12.42833333333334,10.378809523809524
4,15,2024,2024-10-19,70.0,70.0,外洋系,26.664,26.875833333333333,28.26499999999999,27.124761904761908,26.43904761904762
4,26,2023,2023-11-16,0.0,0.0,外洋系,26.58341666666667,26.834999999999997,15.42880952380951,17.65000000000002,15.250000000000014
4,26,2024,2024-11-17,20.0,10.0,外洋系,26.58341666666667,26.834999999999997,19.90795238095237,19.274285714285735,17.345714285714305
5,14,2020,2020-11-07,0.0,0.0,外洋系,26.889166666666668,26.86916666666667,10.701095238095226,13.095238095238082,10.695238095238077
5,14,2021,2021-10-09,0.0,0.0,外洋系,26.889166666666668,26.86916666666667,11.584952380952373,15.563809523809509,13.163809523809503
5,14,2022,2022-10-22,0.0,0.0,外洋系,26.889166666666668,26.86916666666667,16.23095238095237,20.616666666666653,19.159523809523794
5,14,2023,2023-09-05,0.0,0.0,外洋系,26.889166666666668,26.86916666666667,0.19069047619047602,0.2686904761904759,0.22583333333333297
5,14,2024,2024-09-11,80.0,80.0,外洋系,26.889166666666668,26.86916666666667,24.19309523809523,27.59238095238094,27.120952380952367
5,29,2020,2020-09-29,0.0,0.0,外洋系,26.6705,26.646666666666665,14.976571428571424,18.939523809523823,16.53952380952382
5,29,2021,2021-10-16,0.0,0.0,外洋系,26.6705,26.646666666666665,13.284857142857138,16.628095238095256,14.22809523809525
5,29,2022,2022-10-09,3.0,50.0,外洋系,26.6705,26.646666666666665,18.283571428571427,23.513809523809538,21.75666666666668
5,29,2023,2023-09-18,0.0,0.0,外洋系,26.6705,26.646666666666665,12.105999999999995,16.777619047619062,14.45095238095239
5,29,2024,2024-09-22,80.0,90.0,外洋系,26.6705,26.646666666666665,24.775285714285708,28.363809523809543,27.720952380952394
6,5,2020,2020-10-28,0.0,0.0,外洋系,26.75,26.714166666666667,13.51557142857143,15.832380952380946,13.43238095238094
6,5,2021,2021-12-12,0.0,0.0,外洋系,26.75,26.714166666666667,6.498714285714286,7.178333333333329,5.800952380952375
6,5,2022,2022-11-13,0.0,0.0,外洋系,26.75,26.714166666666667,15.467428571428568,17.148095238095234,15.219523809523801
6,5,2023,2023-09-09,0.0,0.0,外洋系,26.75,26.714166666666667,12.536714285714284,17.270119047619044,14.96559523809523
6,5,2024,2024-09-02,90.0,90.0,外洋系,26.75,26.714166666666667,24.188285714285712,28.050952380952374,27.365238095238087
7,5,2020,2020-11-07,0.0,0.0,不明,27.042749999999998,27.2025,9.036428571428587,10.238571428571422,7.838571428571418
7,5,2021,2021-10-31,0.0,0.0,不明,27.042749999999998,27.2025,9.815142857142872,12.78428571428571,10.384285714285701
7,5,2022,2022-11-13,0.0,0.0,不明,27.042749999999998,27.2025,12.833857142857157,12.71428571428571,10.321785714285706
7,5,2023,2023-11-19,0.0,0.0,不明,27.042749999999998,27.2025,10.352928571428587,13.44321428571428,11.204642857142845
7,5,2024,2024-10-18,10.0,50.0,不明,27.042749999999998,27.2025,19.351428571428585,23.109999999999996,20.70999999999999
7,8,2020,2020-09-19,0.0,0.0,中間系,27.151499999999995,27.195000000000004,13.96442857142861,16.22999999999997,13.829999999999965
7,8,2021,2021-11-05,0.0,0.0,中間系,27.151499999999995,27.195000000000004,9.90142857142861,12.527142857142826,10.127142857142818
7,8,2022,2022-11-04,0.0,0.0,中間系,27.151499999999995,27.195000000000004,12.72600000000004,15.324285714285683,13.724285714285681
7,8,2023,2023-11-20,0.0,0.0,中間系,27.151499999999995,27.195000000000004,9.420642857142893,12.707142857142827,10.48285714285711
7,8,2024,2024-10-18,30.0,50.0,中間系,27.151499999999995,27.195000000000004,20.84700000000004,22.88142857142854,22.252857142857117
9,1,2021,2021-11-06,0.0,0.0,閉鎖系,27.93375,27.909166666666668,10.120142857142858,10.850952380952377,8.45095238095237
9,1,2022,2022-12-27,10.0,10.0,閉鎖系,27.93375,27.909166666666668,0.25760714285714265,0.43511904761904724,0.1733333333333325
9,1,2023,2023-11-05,0.0,0.0,閉鎖系,27.93375,27.909166666666668,11.33242857142857,12.223809523809518,10.123809523809513
9,1,2024,2024-12-01,70.0,70.0,閉鎖系,27.93375,27.909166666666668,9.813571428571432,10.63666666666666,9.044999999999987
9,3,2020,2020-09-19,,,外洋系,27.997749999999996,27.847500000000007,17.211571428571457,15.194285714285655,12.965714285714222
9,3,2021,2022-01-15,0.0,0.0,外洋系,27.997749999999996,27.847500000000007,0.0,0.0,0.0
9,3,2022,2023-01-11,90.0,100.0,外洋系,27.997749999999996,27.847500000000007,0.0,0.010357142857142065,0.0
9,3,2023,2023-11-23,0.0,0.0,外洋系,27.997749999999996,27.847500000000007,7.339642857142882,9.04285714285709,6.902857142857089
9,3,2024,2024-12-02,60.0,90.0,外洋系,27.997749999999996,27.847500000000007,9.112107142857171,10.701428571428513,8.61392857142851
9,5,2020,2020-10-04,10.0,20.0,外洋系,28.110583333333334,27.949166666666667,13.77361904761904,13.623809523809523,11.496547619047615
9,5,2021,2021-12-29,0.0,0.0,外洋系,28.110583333333334,27.949166666666667,2.1935833333333306,2.2608333333333315,1.4863095238095205
9,5,2022,2023-01-10,,,外洋系,28.110583333333334,27.949166666666667,0.005773809523809348,0.01869047619047594,0.0
9,5,2023,2024-01-06,0.0,0.0,外洋系,28.110583333333334,27.949166666666667,0.1832738095238088,0.2551190476190475,0.03321428571428545
9,5,2024,2025-01-19,60.0,80.0,外洋系,28.110583333333334,27.949166666666667,0.60445238095238,0.48107142857142854,0.15357142857142797
9,6,2020,2020-10-04,0.0,0.0,外洋系,28.148749999999996,27.909166666666664,13.86100000000003,14.029523809523829,11.807976190476206
9,6,2021,2021-12-29,0.0,0.0,外洋系,28.148749999999996,27.909166666666664,2.2860357142857235,2.3594047619047687,1.567857142857147
9,6,2022,2023-01-10,,10.0,外洋系,28.148749999999996,27.909166666666664,0.022928571428572297,0.017261904761905304,0.0
9,6,2023,2024-01-06,0.0,0.0,外洋系,28.148749999999996,27.909166666666664,0.236535714285718,0.3223809523809561,0.07904761904762074
9,6,2024,2025-01-19,70.0,95.0,外洋系,28.148749999999996,27.909166666666664,0.6717500000000065,0.5453571428571452,0.20214285714285804
9,9,2020,2020-09-19,,,外洋系,27.612,27.8025,16.786571428571442,15.318571428571442,13.047142857142862
9,9,2022,2022-12-27,40.0,40.0,外洋系,27.612,27.8025,0.0,0.0,0.0
9,9,2023,2023-11-05,0.0,0.0,外洋系,27.612,27.8025,12.846714285714297,12.945714285714299,10.67428571428572
9,9,2024,2024-12-01,,,外洋系,27.612,27.8025,12.734000000000014,11.464285714285726,9.407142857142864
10,2,2020,2020-11-22,0.0,0.0,外洋系,27.913833333333333,27.973333333333333,6.30352380952381,5.574761904761908,4.041428571428571
10,2,2021,2021-10-16,0.0,0.0,外洋系,27.913833333333333,27.973333333333333,11.111761904761908,10.510476190476194,8.11047619047619
10,2,2022,2022-12-28,20.0,20.0,外洋系,27.913833333333333,27.973333333333333,0.2564285714285712,0.3533333333333338,0.1423809523809523
10,2,2023,2023-11-23,0.0,0.0,外洋系,27.913833333333333,27.973333333333333,9.05719047619048,8.491904761904765,6.527619047619047
10,2,2024,2024-12-02,50.0,50.0,外洋系,27.913833333333333,27.973333333333333,10.50776190476191,10.023333333333337,7.987142857142855
10,3,2020,2020-11-22,0.0,0.0,外洋系,28.044750000000004,27.9425,5.8023571428571215,5.807857142857147,4.245357142857143
10,3,2021,2021-10-16,0.0,0.0,外洋系,28.044750000000004,27.9425,10.442428571428538,10.672857142857152,8.272857142857145
10,3,2022,2022-12-28,,,外洋系,28.044750000000004,27.9425,0.1868571428571408,0.32071428571428634,0.11321428571428578
10,3,2023,2023-11-23,0.0,0.0,外洋系,28.044750000000004,27.9425,0.0,0.0,0.0
10,3,2024,2024-12-02,90.0,95.0,外洋系,28.044750000000004,27.9425,9.455714285714253,10.162857142857149,8.110357142857143
11,19,2020,2020-11-22,0.0,0.0,閉鎖系,28.699750000000005,28.16583333333334,3.8946428571428346,5.431785714285675,3.7171428571428256
11,19,2021,2021-09-24,0.0,0.0,閉鎖系,28.699750000000005,28.16583333333334,8.994249999999962,10.254761904761862,7.8547619047618555
11,19,2022,2022-11-12,,50.0,閉鎖系,28.699750000000005,28.16583333333334,4.962107142857126,6.003095238095211,5.957499999999974
11,19,2023,2023-09-07,0.0,0.0,閉鎖系,28.699750000000005,28.16583333333334,9.160464285714246,10.55988095238091,8.708690476190428
11,19,2024,2025-01-07,,0.0,閉鎖系,28.699750000000005,28.16583333333334,0.6086785714285631,1.1554761904761806,0.5720238095237988
12,3,2020,2020-11-06,0.0,0.0,閉鎖系,28.359416666666664,28.171666666666667,7.7463333333333475,8.91095238095238,7.219047619047613
12,3,2021,2021-09-08,0.0,0.0,閉鎖系,28.359416666666664,28.171666666666667,11.999785714285732,10.28238095238095,7.882380952380947
12,3,2022,2022-10-09,60.0,70.0,閉鎖系,28.359416666666664,28.171666666666667,17.50739285714287,16.603809523809524,18.71404761904761
12,3,2023,2023-11-22,0.0,0.0,閉鎖系,28.359416666666664,28.171666666666667,5.501654761904774,6.807619047619048,4.942619047619043
12,3,2024,2025-01-05,0.0,0.0,閉鎖系,28.359416666666664,28.171666666666667,0.4343809523809544,1.4719047619047625,0.8007142857142847
12,23,2020,2020-11-15,0.0,0.0,中間系,28.665333333333333,28.146666666666665,4.601952380952384,6.755238095238111,4.7190476190476245
12,23,2021,2021-09-09,0.0,0.0,中間系,28.665333333333333,28.146666666666665,11.980238095238096,10.795238095238108,8.566666666666675
12,23,2022,2022-11-10,5.0,10.0,中間系,28.665333333333333,28.146666666666665,6.086904761904762,6.7685714285714385,6.23142857142858
12,23,2023,2023-10-16,0.0,0.0,中間系,28.665333333333333,28.146666666666665,0.0,0.0004761904761905506,0.0
12,23,2024,2024-12-06,0.0,0.0,中間系,28.665333333333333,28.146666666666665,4.931809523809526,7.527619047619059,6.130952380952389
12,40,2020,2020-12-17,0.0,0.0,閉鎖系,28.553250000000006,28.11583333333333,0.0,0.0,0.0
12,40,2021,2021-09-01,0.0,0.0,閉鎖系,28.553250000000006,28.11583333333333,9.727642857142813,10.499047619047635,8.39904761904763
12,40,2022,2022-11-09,10.0,80.0,閉鎖系,28.553250000000006,28.11583333333333,6.2901428571428335,7.696071428571441,7.696547619047625
12,40,2023,2023-09-14,0.0,0.0,閉鎖系,28.553250000000006,28.11583333333333,11.180964285714245,11.087023809523828,9.533571428571443
12,40,2024,2024-10-17,5.0,5.0,閉鎖系,28.553250000000006,28.11583333333333,17.530571428571385,18.019047619047637,20.519047619047626
13,42,2020,2020-11-13,52.5,40.0,外洋系,28.353333333333335,28.123333333333335,6.688047619047609,7.631904761904751,5.56238095238094
13,42,2021,2021-11-14,80.0,75.0,外洋系,28.353333333333335,28.123333333333335,0.0,0.0,0.0
13,42,2022,2022-10-24,92.5,95.0,外洋系,28.353333333333335,28.123333333333335,12.786047619047606,12.571428571428564,12.171904761904752
13,42,2023,2023-11-14,47.5,58.5,外洋系,28.353333333333335,28.123333333333335,10.407714285714272,9.309047619047607,7.40285714285713
13,42,2024,2024-11-19,82.5,85.0,外洋系,28.353333333333335,28.123333333333335,13.120571428571411,13.457619047619037,12.171904761904747
13,64,2020,2020-11-06,20.5,21.0,外洋系,28.100083333333334,28.096666666666664,8.224226190476186,9.729523809523831,7.717619047619065
13,64,2021,2021-10-29,42.5,42.5,外洋系,28.100083333333334,28.096666666666664,0.0,0.0,0.0
13,64,2022,2022-10-23,90.0,90.0,外洋系,28.100083333333334,28.096666666666664,11.58938095238095,13.050952380952397,12.6357142857143
13,64,2023,2023-11-06,25.0,20.0,外洋系,28.100083333333334,28.096666666666664,9.79519047619047,10.716666666666686,8.530952380952396
13,64,2024,2024-10-27,100.0,100.0,外洋系,28.100083333333334,28.096666666666664,15.439333333333328,17.75666666666669,17.156666666666688
13,72,2020,2020-10-28,25.0,18.5,外洋系,28.141416666666668,28.08833333333334,9.71180952380951,11.27904761904758,9.179047619047576
13,72,2021,2021-10-31,24.0,15.5,外洋系,28.141416666666668,28.08833333333334,0.0,0.0,0.0
13,72,2022,2022-10-22,80.0,77.5,外洋系,28.141416666666668,28.08833333333334,11.43209523809523,13.450476190476161,13.04452380952378
13,72,2023,2023-11-05,22.5,15.0,外洋系,28.141416666666668,28.08833333333334,8.946809523809511,10.921904761904724,8.825952380952337
13,72,2024,2024-10-17,82.5,80.0,外洋系,28.141416666666668,28.08833333333334,15.53395238095237,18.07047619047615,17.64190476190472
14,77,2020,2020-11-16,72.5,67.0,閉鎖系,28.285749999999997,28.126666666666665,6.6945357142857365,7.242380952380965,5.060952380952386
14,77,2021,2021-11-03,76.5,72.5,閉鎖系,28.285749999999997,28.126666666666665,0.0,0.0,0.0
