model,features,auc,best_sensitivity,best_specificity,best_threshold
M2c,dhw_mur_corr + days30_mur_corr,0.8553583168967784,0.8307692307692308,0.7948717948717949,
M1c,dhw_mur_raw + days30_mur_raw,0.8539119000657462,0.8769230769230769,0.7777777777777778,
M3,dhw_mur_corr_adj,0.6296515450361604,0.6461538461538462,0.5811965811965811,0.0236059907834104
M2,dhw_mur_corr,0.6199211045364893,0.38461538461538464,0.811965811965812,0.5399999999999971
M1,dhw_mur_raw,0.591715976331361,0.2,0.9658119658119658,2.7539723502304234
L,dhw_logger,0.5601577909270217,0.3230769230769231,0.8461538461538461,1.1530161290322536
