env_group,temp_band,n,mur_bias,ct_bias,mur_sd
外洋系,<24℃,12560,0.26471847133757964,0.29344617834394904,0.7105544347807417
外洋系,24-27℃,8961,0.2956636536100882,0.30085838634081014,0.6278501234239585
外洋系,27-30℃,10161,0.1591712429878949,0.13717340812912115,0.480453042233123
外洋系,≥30℃,2331,-0.080990990990991,-0.09886314886314888,0.4193344025005815
中間系,<24℃,3312,0.2332844202898551,0.19040398550724644,0.49672427295758276
中間系,24-27℃,1822,0.4625225027442371,0.4586531284302965,0.6096415059939126
中間系,27-30℃,2148,0.31328910614525135,0.4401745810055866,0.5431452912337725
中間系,≥30℃,105,-0.1227047619047617,0.18710476190476197,0.33561725349345617
閉鎖系,<24℃,6481,0.4234659774726123,0.4376674895849406,0.8295068026298907
閉鎖系,24-27℃,4582,0.530054124836316,0.5547245744216498,0.909211844060469
閉鎖系,27-30℃,4433,0.112662305436499,0.09859057071960298,0.6202830642169274
閉鎖系,≥30℃,1538,-0.3863192457737321,-0.4243166449934981,0.4499717422273028
