fiscal_year,site_no,spot_no,survey_date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
2020,site01,1,2020-11-06,,0.0,0.0,0.0,0.0
2020,site01,2,2020-11-06,,0.0,0.0,0.0,0.0
2020,site01,3,2020-10-26,,0.0,0.0,0.0,0.0
2020,site01,4,2020-10-26,,0.0,0.0,0.0,0.0
2020,site01,5,2020-10-26,,0.0,0.0,0.0,0.0
2020,site01,6,2020-10-26,,0.0,0.0,0.0,0.0
2020,site01,7,2020-10-28,,0.0,0.0,0.0,0.0
2020,site01,8,2020-10-28,,0.0,0.0,0.0,0.0
2020,site01,9,2020-10-28,,0.0,0.0,0.0,0.0
2020,site01,10,2020-12-22,,0.0,0.0,0.0,0.0
2020,site01,11,2020-12-22,,0.0,0.0,0.0,0.0
2020,site01,12,2020-12-29,,0.0,0.0,0.0,0.0
2020,site01,13,2020-12-29,,0.0,0.0,0.0,0.0
2020,site01,16,2020-11-11,,0.0,0.0,0.0,0.0
2020,site01,17,2020-10-29,,0.0,0.0,0.0,0.0
2020,site01,18,2020-10-29,,0.0,0.0,0.0,0.0
2020,site01,19,2020-10-29,,0.0,0.0,0.0,0.0
2020,site01,20,2020-11-11,,0.0,0.0,0.0,0.0
2020,site03,1,2020-11-17,40.0,0.0,0.0,0.0,0.0
2020,site03,2,2020-09-14,30.0,50.0,50.0,0.0,0.0
2020,site03,3,2020-09-14,80.0,0.0,0.0,0.0,0.0
2020,site03,4,2020-08-15,2.5,0.0,0.0,0.0,0.0
2020,site03,5,2020-09-14,2.5,0.0,0.0,0.0,0.0
2020,site03,6,2020-11-25,80.0,0.0,0.0,0.0,0.0
2020,site03,7,2020-11-25,30.0,0.0,0.0,0.0,0.0
2020,site03,8,2020-09-11,2.5,0.0,50.0,0.0,0.0
2020,site03,9,2020-10-22,30.0,0.0,0.0,0.0,0.0
2020,site03,10,2020-10-22,30.0,0.0,0.0,0.0,0.0
2020,site03,11,2020-09-09,20.0,50.0,50.0,0.0,0.0
2020,site03,12,2020-08-29,60.0,0.0,0.0,0.0,0.0
2020,site03,13,2020-09-25,20.0,0.0,0.0,0.0,0.0
2020,site03,14,2020-09-25,70.0,0.0,0.0,0.0,0.0
2020,site03,15,2020-08-22,60.0,30.0,30.0,0.0,0.0
2020,site04,1,2020-09-27,20.0,50.0,0.0,0.0,0.0
2020,site04,2,2020-09-08,20.0,0.5,10.0,0.5,0.5
2020,site04,3,2020-09-27,40.0,0.5,0.0,0.5,0.0
2020,site04,4,2020-09-27,20.0,0.0,0.0,0.0,0.0
2020,site04,5,2020-09-08,10.0,0.5,45.0,0.5,0.5
2020,site04,6,2020-09-08,20.0,0.0,0.0,0.0,0.0
2020,site04,7,2021-01-11,20.0,0.0,0.0,0.0,0.0
2020,site04,8,2021-01-11,10.0,0.0,0.0,0.0,0.0
2020,site04,9,2021-01-11,20.0,0.0,0.0,0.0,0.0
2020,site04,10,2021-01-11,10.0,0.0,0.0,0.0,0.0
2020,site04,11,2021-01-11,10.0,0.0,0.0,0.0,0.0
2020,site04,12,2021-01-11,10.0,0.0,0.0,0.0,0.0
