fiscal_year,site_no,spot_no,survey_date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
2023,site14,82,2023-11-12,30,47.5,47.5,0,0.5
2023,site14,83,2023-11-12,5,62.5,56,1,2.5
2023,site14,84,2023-11-06,30,35.5,32.5,0,0
2023,site14,87,2023-11-11,5,62.5,55,0,1
2023,site14,88,2023-11-20,10,60,57.5,0,0
2023,site14,89,2023-11-21,2.5,47.5,30,0,0
2023,site14,90,2023-11-21,5,25,30,0,0
2023,site14,93,2023-11-06,20,25,20,0,0
2023,site14,109,2023-11-22,30,42.5,45,0,0
2023,site14,114,2023-11-22,20,37.5,35,0,0
2023,site14,115,2023-11-12,5,77.5,77.5,1,2
2023,site15,4,2023-11-21,5,65,35,0,0
2023,site15,5,2023-11-21,5,57.5,45,0,0
2023,site15,19,2023-11-27,20,70.5,37.5,0,0
2023,site15,20,2023-11-21,40,35,35,0,0
2023,site15,22,2023-11-11,20,40,70,0,1.5
2023,site15,23,2023-11-07,2.5,15,17.5,0,0
2023,site15,24,2023-11-07,10,57.5,37.5,0,0
2023,site15,25,2023-11-07,5,40,32.5,0,0
2023,site15,37,2023-10-29,40,37.5,35,0,0
2023,site15,38,2023-10-29,5,32.5,30,0,0
2023,site15,39,2023-11-11,30,80,72.5,0,0
2023,site15,40,2023-11-07,20,55,47.5,0,0
2023,site15,41,2023-11-07,20,37.5,32.5,0,0
2023,site15,58,2023-10-29,40,35,50,0,2.5
2023,site15,59,2023-10-29,50,50,55,0,2.5
2023,site15,60,2023-10-29,50,55,55,0,2.5
2023,site15,61,2023-10-29,5,37.5,,0,
2023,site15,66,2023-11-26,10,80,62.5,0,0
2023,site15,104,2023-11-09,10,60,50,0,0
2023,site15,106,2023-11-09,20,47.5,35,0,0
2023,site15,107,2023-11-11,40,35,37.5,0,0
2023,site15,108,2023-11-06,30,55,55,2.5,2.5
2023,site15,111,2023-11-07,30,55,55,0,0
2023,site15,113,2023-11-09,30,80,50,0,0
2023,site16,1,2023-10-28,10,35,35,0,0
2023,site16,2,2023-10-28,60,40,28,0.5,1
2023,site16,3,2023-10-28,20,30,17.5,0,0
2023,site16,6,2023-10-31,5,50,32.5,0,0
2023,site16,7,2023-10-30,5,75,60,0,0
2023,site16,8,2023-10-30,5,65,60,0,0
2023,site16,9,2023-10-30,30,60,55,0,0
2023,site16,10,2023-10-30,40,30,30,0,0
2023,site16,11,2023-10-28,2.5,43,35,0.5,0
2023,site16,12,2023-10-31,10,70,45,0,0
2023,site16,13,2023-11-09,20,52.5,57.5,0,0
2023,site16,14,2023-10-31,2.5,55,45,0,0
2023,site16,15,2023-10-31,20,50,40,0,0
2023,site16,16,2023-11-09,2.5,57.5,50,0,0
2023,site16,17,2023-11-09,5,47.5,35,0,0
2023,site16,45,2023-10-28,20,40,30,0.5,0
2023,site16,69,2023-10-30,40,47.5,40,0,0
2023,site16,70,2023-10-30,5,80,85,0,0
2023,site16,85,2023-10-31,50,45,42.5,0,0
2023,site16,94,2023-10-27,20,45,27.5,4,0.5
2023,site16,95,2023-10-27,60,30,22.5,0,0
2023,site16,96,2023-10-27,5,27.5,22.5,0,0
2023,site16,97,2023-10-28,5,32.5,27.5,0,0
2023,site16,98,2023-10-27,10,42.5,30,0.5,0.5
2023,site16,99,2023-10-27,30,45,27.5,0,0
2023,site16,100,2023-10-27,10,45,39,0,0
2023,site16,101,2023-11-09,5,52.5,47.5,0,0
2023,site16,102,2023-11-09,30,35,40,0,0
2023,site16,103,2023-10-26,20,35,17.5,0,0
2023,site16,105,2023-10-31,20,36,27.5,0,0
2023,site17,120,2023-11-04,20,35,25,0,0
2023,site17,121,2023-11-04,10,28,20,0,0
2023,site17,122,2023-11-04,30,37.5,40,2.5,2
2023,site17,123,2023-11-04,10,30,25,0,0
2023,site17,124,2023-11-04,20,25,30,0,0
2023,site17,125,2023-11-04,5,35,42.5,1,1.5
2023,site17,126,2023-11-04,40,32.5,27.5,0.5,1
2023,site17,127,2023-10-25,10,55,100,0,100
2023,site17,129,2023-10-25,40,22.5,,0,
2023,site17,130,2023-10-25,60,28,22.5,0,0
2023,site17,131,2023-10-25,20,20,,0,
2023,site17,132,2023-10-25,10,35,45,0,1
2023,site17,133,2023-10-26,50,43.5,23.5,1,1
2023,site17,134,2023-10-26,40,10,,0,
2023,site17,135,2023-10-26,70,36,50,0.5,0
2023,site17,136,2023-10-26,40,36,27.5,1,0
2023,site17,137,2023-10-26,10,32.5,22.5,0,0
2023,site17,138,2023-10-25,30,61,55,2.5,0
2023,site17,139,2023-10-25,20,42.5,45,0,0
2023,site17,141,2023-11-04,60,15,17.5,0,0
2023,site17,142,2023-11-04,30,17.5,15,0,0
2023,site17,126,2023-11-04,20,45,,0,
2023,site17,127,2023-10-25,2.5,97.5,,0,
2023,site18,1,2023-12-22,60,0.5,0,0,0
2023,site18,2,2023-12-22,60,0.5,0.5,0.5,0.5
2023,site18,3,2023-12-22,70,0.5,0.5,0.5,0.5
2023,site18,4,2023-12-21,60,0.5,0.5,0.5,0.5
2023,site18,5,2023-12-22,60,0.5,0.5,0.5,0.5
2023,site18,6,2023-12-21,30,0.5,0.5,0.5,0
2023,site18,7,2023-12-21,30,0.5,0.5,0.5,0
2023,site18,8,2023-12-21,60,0.5,0,0,0
2023,site18,9,2023-12-21,40,0.5,0.5,0,0
2023,site18,10,2023-12-23,30,0,0,0,0
2023,site18,11,2023-12-23,20,0.5,0,0.5,0
2023,site18,12,2023-12-23,80,2.5,2.5,0.5,0.5
2023,site19,1,2023-11-21,2.5,0,0,0,0
2023,site19,2,2023-10-24,2.5,0,0,0,0
2023,site19,3,2023-11-09,2.5,0,0,0,0
2023,site19,4,2023-11-09,2.5,0,0,0,0
2023,site19,5,2023-12-18,2.5,0,0,0,0
2023,site19,6,2023-10-19,2.5,0,0,0,0
2023,site20,1,2023-10-20,30,0,0,0,0
2023,site20,2,2023-10-20,5,0,0,0,0
2023,site20,3,2023-10-19,30,10,10,10,10
2023,site20,4,2023-10-19,2.5,0,0,0,0
2023,site20,5,2023-10-19,2.5,10,0,10,0
2023,site20,6,2023-10-23,70,5,0,1,0
2023,site20,7,2023-10-23,60,5,0,1,0
2023,site20,8,2023-10-23,60,0,0,0,0
2023,site20,9,2023-10-25,50,10,0,1,0
2023,site20,10,2023-10-24,20,0,0,0,0
2023,site20,11,2023-10-22,20,0,0,0,0
2023,site20,12,2023-10-22,50,0,0,0,0
2023,site20,13,2023-10-22,40,1,1,1,1
2023,site20,14,2023-10-21,20,0,0,0,0
2023,site20,15,2023-10-19,60,1,0,1,0
2023,site20,17,2023-10-19,70,0,0,0,0
2023,site20,18,2023-10-19,70,0,0,0,0
2023,site20,19,2023-10-21,30,5,1,1,1
2023,site20,20,2023-10-21,5,0,0,0,0
2023,site21,1,2023-12-08,2.5,0,0,0,0
2023,site21,2,2023-12-29,50,0,0,0,0
2023,site21,3,2023-11-27,10,0,0,0,0
2023,site21,4,2023-11-27,2.5,0,0,0,0
2023,site21,5,2023-12-04,70,2.5,2.5,2.5,2.5
2023,site21,6,2023-12-29,20,0,0,0,0
2023,site21,7,2023-12-29,20,0,0,0,0
2023,site21,8,2023-12-25,60,0,0,0,0
2023,site21,9,2023-12-04,30,2.5,2.5,0,0
2023,site21,11,2023-11-20,20,0,0,0,0
2023,site21,12,2023-12-28,20,0,0,0,0
2023,site21,13,2023-12-02,70,0,0,0,0
2023,site21,14,2023-12-02,40,0,0,0,0
2023,site21,15,2023-10-30,80,0,0,0,0
2023,site21,16,2023-12-18,10,0.5,2.5,0,0
2023,site21,17,2023-12-18,2.5,0,0,0,0
2023,site21,18,2023-09-29,20,0,0,0,0
2023,site22,1,2023-11-01,30,2.5,0,0,0
2023,site22,2,2023-10-24,2.5,0,0,0,0
2023,site22,3,2023-10-24,20,2.5,0,0,0
2023,site22,4,2023-11-02,40,2.5,0,0,0
2023,site22,5,2023-11-02,30,2.5,2.5,0,0
2023,site22,6,2023-10-24,40,0,0,0,0
2023,site22,7,2023-12-08,30,2.5,0,2.5,0
2023,site22,8,2023-12-08,30,2.5,0,0,0
2023,site22,9,2023-12-08,2.5,0,0,0,0
2023,site22,10,2023-11-02,20,2.5,2.5,0,0
2023,site22,11,2023-11-02,20,2.5,2.5,0,0
2023,site22,12,2023-10-26,30,10,2.5,0,0
2023,site22,13,2023-10-26,30,2.5,2.5,0,0
2023,site22,14,2023-10-26,10,2.5,2.5,0,0
2023,site22,15,2023-10-26,30,2.5,2.5,0,0
2023,site22,16,2023-10-26,2.5,2.5,0,0,0
2023,site22,17,2023-10-21,2.5,2.5,0,0,0
2023,site22,18,2023-10-21,2.5,2.5,0,0,0
2023,site22,19,2023-10-21,30,10,2.5,0,0
2023,site22,20,2023-10-21,2.5,2.5,0,0,0
2023,site22,21,2023-12-16,40,2.5,0,0,0
2023,site22,22,2023-12-16,40,2.5,2.5,0,0
2023,site22,23,2023-12-16,20,0,0,0,0
2023,site22,24,2023-12-16,10,0,0,0,0
2023,site22,25,2023-12-16,10,0,0,0,0
2023,site22,27,2023-10-04,2.5,2.5,0,0,0
2023,site22,28,2023-10-04,2.5,2.5,0,0,0
2023,site22,29,2023-10-04,40,2.5,0,0,0
2023,site22,32,2023-09-13,2.5,0,0,0,0
2023,site22,33,2023-07-26,30,0,0,0,0
2023,site22,34,2023-09-13,20,0,0,0,0
2023,site22,35,2023-11-16,60,0,0,0,0
2023,site22,36,2023-11-16,20,0,0,0,0
2023,site22,37,2023-11-16,20,0,0,0,0
2023,site22,38,2023-11-16,30,0,0,0,0
2023,site23,1,2024-01-11,10,2.5,2.5,2.5,2.5
2023,site23,2,2024-01-11,2.5,2.5,2.5,2.5,2.5
2023,site23,3,2024-01-11,20,2.5,2.5,2.5,2.5
2023,site23,5,2024-01-11,30,2.5,2.5,2.5,2.5
2023,site23,6,2023-12-21,70,2.5,0,2.5,0
2023,site23,7,2023-12-21,50,2.5,0,2.5,0
2023,site23,9,2023-12-22,2.5,2.5,2.5,2.5,2.5
2023,site23,10,2023-10-15,10,2.5,2.5,2.5,2.5
2023,site23,11,2023-10-15,2.5,40,2.5,2.5,2.5
2023,site23,12,2023-10-15,2.5,40,2.5,2.5,2.5
2023,site23,13,2023-12-14,2.5,2.5,0,2.5,0
2023,site23,14,2023-12-14,2.5,2.5,80,2.5,30
2023,site23,15,2023-12-14,70,2.5,0,2.5,0
2023,site23,16,2023-12-03,10,2.5,0,0,0
2023,site23,17,2023-12-03,2.5,2.5,0,0,0
2023,site23,18,2023-12-03,2.5,2.5,0,0,0
2023,site24,1,2023-11-21,5,2.5,2.5,0,0
2023,site24,2,2023-11-21,50,5,5,0,0
2023,site24,3,2023-11-21,30,2.5,2.5,0,0
2023,site24,4,2023-11-21,5,2.5,2.5,0,0
2023,site24,5,2023-11-08,20,2.5,2.5,0,0
2023,site24,6,2023-11-08,5,2.5,2.5,0,0
2023,site24,7,2023-09-22,30,5,5,0,0
2023,site24,8,2023-11-08,20,2.5,2.5,0,0
2023,site24,9,2023-11-09,20,0,0,0,0
2023,site24,10,2023-09-20,30,5,5,0,0
2023,site24,11,2023-11-09,70,2.5,2.5,0,0
2023,site24,12,2023-11-08,60,2.5,2.5,0,0
2023,site24,13,2023-09-26,30,2.5,2.5,0,0
2023,site24,14,2023-11-09,20,2.5,2.5,0,0
2023,site24,15,2023-11-09,10,2.5,2.5,0,0
