lat_band,n,n_bleached,bleach_rate,auc_days30,auc_dhw
30-35°N (本州),41,5,0.12195121951219512,0.8805555555555555,0.961111111111111
28-30°N (奄美),10,5,0.5,0.8400000000000001,0.72
26-28°N (沖縄本島),43,7,0.16279069767441862,0.9900793650793651,0.9285714285714285
24-26°N (八重山),88,48,0.5454545454545454,0.7575520833333332,0.5385416666666667
