site_no,spot_no,year,date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
1,1,2020,2020-11-06,50.0,0.0,0.0,0.0,0.0
1,1,2021,2021-11-02,50.0,0.0,0.0,0.0,0.0
1,1,2022,2022-12-15,40.0,30.0,20.0,15.0,15.0
1,1,2023,2023-10-19,40.0,0.0,0.0,0.0,0.0
1,1,2024,2024-10-19,20.0,90.0,90.0,70.0,80.0
1,2,2020,2020-11-06,20.0,0.0,0.0,0.0,0.0
1,2,2021,2021-11-03,20.0,0.0,0.0,0.0,0.0
1,2,2022,2022-11-04,30.0,30.0,10.0,10.0,5.0
1,2,2023,2023-10-19,20.0,0.0,0.0,0.0,0.0
1,2,2024,2024-10-19,30.0,80.0,80.0,30.0,50.0
1,3,2020,2020-10-26,70.0,0.0,0.0,0.0,0.0
1,3,2021,2021-10-07,40.0,0.0,0.0,0.0,0.0
1,3,2022,2022-12-15,40.0,5.0,5.0,5.0,5.0
1,3,2023,2023-09-28,50.0,0.0,0.0,0.0,0.0
1,3,2024,2024-10-19,50.0,90.0,90.0,20.0,20.0
1,4,2020,2020-10-26,30.0,0.0,0.0,0.0,0.0
1,4,2021,2021-10-07,30.0,0.0,0.0,0.0,0.0
1,4,2022,2022-10-28,40.0,10.0,5.0,5.0,5.0
1,4,2023,2023-09-28,30.0,0.0,0.0,0.0,0.0
1,4,2024,2024-10-15,30.0,60.0,40.0,30.0,5.0
1,5,2020,2020-10-26,50.0,0.0,0.0,0.0,0.0
1,5,2021,2021-10-07,50.0,0.0,0.0,0.0,0.0
1,5,2022,2022-12-03,40.0,10.0,5.0,5.0,5.0
1,5,2023,2023-10-19,50.0,0.0,0.0,0.0,0.0
1,5,2024,2024-10-15,50.0,90.0,40.0,30.0,10.0
1,6,2020,2020-10-26,60.0,0.0,0.0,0.0,0.0
1,6,2021,2021-10-07,60.0,0.0,0.0,0.0,0.0
1,6,2022,2022-10-28,60.0,10.0,10.0,5.0,5.0
1,6,2023,2023-09-28,70.0,0.0,0.0,0.0,0.0
1,6,2024,2024-10-15,70.0,30.0,20.0,10.0,5.0
1,7,2020,2020-10-28,40.0,0.0,0.0,0.0,0.0
1,7,2021,2021-11-19,40.0,0.0,0.0,0.0,0.0
1,7,2022,2022-12-10,30.0,10.0,10.0,5.0,5.0
1,7,2023,2023-10-31,30.0,0.0,0.0,0.0,0.0
1,7,2024,2024-10-15,30.0,70.0,80.0,30.0,50.0
1,8,2020,2020-10-28,30.0,0.0,0.0,0.0,0.0
1,8,2021,2021-11-19,50.0,0.0,0.0,0.0,0.0
1,8,2022,2022-12-10,40.0,20.0,30.0,10.0,20.0
1,8,2023,2023-10-31,60.0,0.0,0.0,0.0,0.0
1,8,2024,2024-10-17,50.0,80.0,90.0,50.0,70.0
1,9,2020,2020-10-28,20.0,0.0,0.0,0.0,0.0
1,9,2021,2021-11-19,30.0,0.0,0.0,0.0,0.0
1,9,2022,2022-12-10,20.0,5.0,5.0,5.0,5.0
1,9,2023,2023-10-31,30.0,0.0,0.0,0.0,0.0
1,9,2024,2024-10-17,30.0,70.0,70.0,30.0,50.0
1,10,2020,2020-12-22,40.0,0.0,0.0,0.0,0.0
1,10,2021,2021-11-02,50.0,0.0,0.0,0.0,0.0
1,10,2022,2022-12-02,50.0,10.0,10.0,5.0,5.0
1,10,2023,2023-10-16,40.0,0.0,0.0,0.0,0.0
1,10,2024,2024-12-04,10.0,90.0,90.0,70.0,90.0
1,11,2020,2020-12-22,70.0,0.0,0.0,0.0,0.0
1,11,2021,2021-11-02,70.0,0.0,0.0,0.0,0.0
1,11,2022,2022-12-02,50.0,10.0,10.0,10.0,10.0
1,11,2023,2023-10-16,50.0,0.0,0.0,0.0,0.0
1,11,2024,2024-12-04,10.0,90.0,90.0,80.0,90.0
1,12,2020,2020-12-29,60.0,0.0,0.0,0.0,0.0
1,12,2021,2021-11-18,60.0,0.0,0.0,0.0,0.0
1,12,2022,2023-01-11,60.0,5.0,0.0,5.0,0.0
1,12,2023,2023-10-20,70.0,0.0,0.0,0.0,0.0
1,12,2024,2025-01-30,60.0,10.0,10.0,5.0,5.0
1,13,2020,2020-12-29,50.0,0.0,0.0,0.0,0.0
1,13,2021,2021-11-18,60.0,0.0,0.0,0.0,0.0
1,13,2022,2023-01-11,40.0,20.0,20.0,20.0,20.0
1,13,2023,2023-10-20,50.0,0.0,0.0,0.0,0.0
1,13,2024,2025-01-30,30.0,60.0,50.0,50.0,40.0
1,16,2020,2020-11-11,10.0,0.0,0.0,0.0,0.0
1,16,2021,2021-11-29,10.0,0.0,0.0,0.0,0.0
1,16,2022,2023-01-12,5.0,0.0,5.0,5.0,5.0
1,16,2023,2023-10-27,,0.0,0.0,0.0,0.0
1,16,2024,2024-11-05,,5.0,0.0,5.0,0.0
1,17,2020,2020-10-29,40.0,0.0,0.0,0.0,0.0
1,17,2021,2022-01-10,40.0,0.0,0.0,0.0,0.0
1,17,2022,2023-01-09,40.0,10.0,10.0,5.0,10.0
1,17,2023,2023-10-27,40.0,0.0,0.0,0.0,0.0
1,17,2024,2024-12-06,40.0,10.0,20.0,10.0,10.0
1,18,2020,2020-10-29,20.0,0.0,0.0,0.0,0.0
1,18,2021,2022-01-10,20.0,0.0,0.0,0.0,0.0
1,18,2022,2023-01-09,30.0,10.0,10.0,5.0,10.0
1,18,2023,2023-10-27,30.0,0.0,0.0,0.0,0.0
1,18,2024,2024-12-06,30.0,10.0,30.0,5.0,10.0
1,19,2020,2020-10-29,10.0,0.0,0.0,0.0,0.0
1,19,2021,2022-01-10,10.0,0.0,0.0,0.0,0.0
1,19,2022,2023-01-09,20.0,10.0,10.0,5.0,5.0
1,19,2023,2023-10-25,10.0,0.0,0.0,0.0,0.0
1,19,2024,2024-12-06,10.0,30.0,10.0,10.0,5.0
1,20,2020,2020-11-11,40.0,0.0,0.0,0.0,0.0
1,20,2021,2021-11-29,40.0,0.0,0.0,0.0,0.0
