fiscal_year,site_no,spot_no,survey_date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
2022,1,1,2022-12-15,40,30,20,15,15
2022,1,2,2022-11-04,30,30,10,10,5
2022,1,3,2022-12-15,40,5,5,5,5
2022,1,4,2022-10-28,40,10,5,5,5
2022,1,5,2022-12-03,40,10,5,5,5
2022,1,6,2022-10-28,60,10,10,5,5
2022,1,7,2022-12-10,30,10,10,5,5
2022,1,8,2022-12-10,40,20,30,10,20
2022,1,9,2022-12-10,20,5,5,5,5
2022,1,10,2022-12-02,50,10,10,5,5
2022,1,11,2022-12-02,50,10,10,10,10
2022,1,12,2023-01-11,60,5,0,5,0
2022,1,13,2023-01-11,40,20,20,20,20
2022,1,16,2023-01-12,5,0,5,5,5
2022,1,17,2023-01-09,40,10,10,5,10
2022,1,18,2023-01-09,30,10,10,5,10
2022,1,19,2023-01-09,20,10,10,5,5
2022,1,20,2023-01-12,20,30,20,20,20
2022,2,1,2022-08-22,20,60,60,1,1
2022,2,2,2022-08-21,60,40,40,1,1
2022,2,3,2022-08-22,40,10,10,1,1
2022,2,4,2022-08-22,50,10,10,1,1
2022,2,5,2022-08-22,50,30,30,1,1
2022,2,6,2022-08-22,70,40,40,0,0
2022,2,7,2022-08-22,10,0,0,0,0
2022,2,9,2022-08-17,30,40,40,1,1
2022,2,10,2022-08-17,60,20,20,1,1
2022,2,11,2022-08-25,10,60,60,1,1
2022,2,12,2022-08-25,30,40,40,0,0
2022,2,13,2022-08-25,50,50,10,1,0
2022,2,15,2022-08-22,20,70,70,1,1
2022,2,19,2022-08-17,70,20,20,1,1
2022,2,20,2022-08-27,40,80,50,10,1
2022,2,21,2022-08-27,70,80,70,5,5
2022,2,24,2022-08-21,70,80,80,5,5
2022,2,25,2022-08-17,80,40,40,1,1
2022,2,26,2022-08-25,40,40,10,1,0
2022,2,27,2022-08-27,80,10,10,1,1
2022,2,28,2022-08-27,80,60,60,5,1
2022,2,29,2022-08-27,80,60,60,1,1
2022,2,30,2022-08-27,20,30,30,1,1
2022,2,31,2022-08-28,70,80,80,1,1
2022,3,1,2022-11-10,50,0,0,0,0
2022,3,2,2022-08-24,40,80,80,0,0
2022,3,3,2022-08-24,80,80,80,2.5,2.5
2022,3,4,2022-10-03,2.5,20,50,0,0
2022,3,5,2022-10-03,2.5,10,0,0,0
2022,3,6,2022-10-05,80,20,20,0,0
2022,3,7,2022-10-05,30,80,80,0,0
2022,3,8,2022-10-02,2.5,80,80,30,30
2022,3,9,2022-09-30,40,60,60,0,0
2022,3,10,2022-09-30,60,50,50,0,0
2022,3,11,2022-10-03,30,80,50,0,0
2022,3,12,2022-09-28,80,0,0,0,0
2022,3,13,2022-09-28,20,20,20,0,0
2022,3,14,2022-09-28,70,10,10,0,0
2022,3,15,2022-09-28,60,30,30,0,0
2022,4,1,2022-12-27,40,0,0,0,0
2022,4,2,2022-12-28,30,20,15,50,35
2022,4,3,2022-12-27,50,10,80,5,5
2022,4,4,2022-12-27,30,5,10,0.5,2.5
2022,4,5,2022-12-28,10,10,10,7.5,12.5
2022,4,6,2022-12-27,30,15,55,3,5
2022,4,7,2023-01-20,10,1.5,5,45,1.5
2022,4,8,2023-01-20,10,0,0,0,0
2022,4,9,2023-01-20,10,0,0,0,0
2022,4,10,2023-01-20,30,0,0,0,0
2022,4,11,2023-01-20,20,0,0,0,0
2022,4,13,2023-01-20,30,0,0,0,0
2022,4,15,2023-01-20,60,0,0,0,0
2022,4,16,2022-10-04,2.5,4,6.5,0,0
2022,4,23,2022-10-04,20,10,45,2,1.5
2022,4,24,2022-10-04,50,25,15,1.5,1.5
2022,4,25,2022-10-04,50,10,40,2,2
2022,4,28,2022-10-04,80,3,10,0,0
2022,4,33,2022-12-27,60,0,0,0,0
2022,4,39,2022-10-04,60,7.5,11.5,1.5,0.5
2022,4,40,2023-01-20,70,0,0,0,0
2022,4,44,2023-01-20,20,0,0,0,0
2022,4,46,2023-01-20,50,0,0,0,0
2022,5,1,2022-12-27,40,0,0,0,0
2022,5,4,2022-11-03,60,1.5,0,0.5,0
2022,5,5,2022-11-03,70,0,0,0,0
2022,5,7,2022-11-03,60,1.5,30,0,0
2022,5,8,2022-11-03,60,0,0,0,0
2022,5,9,2022-11-03,80,0,0,0,0
2022,5,10,2022-10-22,50,0,0,0,0
2022,5,12,2022-10-22,40,0,0,0,0
2022,5,13,2023-01-14,20,0,0,0,0
2022,5,14,2022-10-22,40,0,0,0,0
2022,5,15,2023-01-14,10,0,0,0,0
2022,5,16,2022-11-23,60,0,0,0,0
2022,5,17,2022-12-21,50,0,0,0,0
2022,5,18,2022-12-21,70,1.5,45,1.5,45
2022,5,19,2022-12-21,70,0,0,0,0
2022,5,20,2022-12-21,80,0,0,0,0
2022,5,21,2022-11-13,60,0,0,0,0
2022,5,23,2022-11-13,80,0,0,0,0
2022,5,24,2022-10-09,30,2,50,0.5,0.5
