site_no,spot_no,year,survey_date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
5,23,2021,2021-12-12,70,0,0,0,0
5,24,2021,2021-10-16,30,0,0,0,0
5,25,2021,2021-10-16,60,0,0,0,0
5,26,2021,2021-10-16,50,0,0,0,0
5,27,2021,2021-10-16,70,0,0,0,0
5,28,2021,2021-10-16,50,0,0,0,0
5,29,2021,2021-10-16,80,0,0,0,0
5,31,2021,2021-11-21,40,0,0,0,0
5,32,2021,2021-09-25,30,0,0,0,0
5,33,2021,2021-10-09,30,0,0,0,0
5,40,2021,2021-11-21,50,0,0,0,0
5,43,2021,2021-09-25,20,0.5,0,0,0
5,44,2021,2021-10-09,40,0,0,0,0
5,45,2021,2021-11-21,60,0,0,0,0
5,48,2021,2021-11-16,70,1.5,50,1.5,50
5,51,2021,2021-10-05,70,0,0,0,0
5,52,2021,2021-10-16,70,0,0,0,0
6,1,2021,2021-12-12,80,0,0,0,0
6,2,2021,2021-12-12,70,0,0,0,0
6,3,2021,2021-12-12,50,0,0,0,0
6,4,2021,2021-12-12,60,0,0,0,0
6,5,2021,2021-12-12,60,0,0,0,0
6,7,2021,2021-09-18,40,0,0,0,0
6,8,2021,2021-09-19,60,0,0,0,0
6,10,2021,2021-12-12,80,0,0,0,0
6,11,2021,2021-09-19,70,0,0,0,0
7,1,2021,2021-10-31,30,0,0,0,0
7,2,2021,2021-10-29,10,0,0,0,0
7,3,2021,2021-10-30,40,0,0,0,0
7,4,2021,2021-10-31,40,0,0,0,0
7,5,2021,2021-10-31,30,0,0,0,0
7,6,2021,2021-10-30,60,0,0,0,0
7,7,2021,2021-11-05,40,0,0,0,0
7,8,2021,2021-11-05,20,0,0,0,0
7,9,2021,2021-10-30,30,2.5,0,0,0
7,10,2021,2021-10-30,30,0,0,0,0
7,11,2021,2021-10-29,50,0,0,0,0
7,12,2021,2021-10-29,50,0,0,0,0
9,1,2021,2021-11-06,50,0,0,0,0
9,2,2021,2021-12-20,60,0,0,0,0
9,3,2021,2022-01-15,20,0,0,0,0
9,4,2021,2021-11-13,50,0,0,0,0
9,5,2021,2021-12-29,10,0,0,0,0
9,6,2021,2021-12-29,20,0,0,0,0
9,7,2021,2021-12-29,20,0,0,0,0
9,8,2021,2022-01-15,30,0,0,0,0
10,1,2021,2021-10-16,10,0,0,0,0
10,2,2021,2021-10-16,40,0,0,0,0
10,3,2021,2021-10-16,20,0,0,0,0
10,4,2021,2021-10-16,20,0,0,0,0
11,1,2021,2021-09-22,10,0,0,0,0
11,2,2021,2021-09-22,30,0,0,0,0
