site_key,year,bleaching_all,env_type,summer_mean,summer_max,summer_min,days_above_29,days_above_30,days_above_31,cumulative_above_29,n_days,lat,vulnerability,region
1_5,2021,0.0,閉鎖系,27.207389344262292,29.016,22.762,2,0,0,0.031999999999996476,244,30.457658,0.1989048865247623,本州・鹿児島離島
1_5,2022,10.0,閉鎖系,27.457901639344257,30.219,22.351,50,1,0,27.153999999999996,244,30.457658,0.1989048865247623,本州・鹿児島離島
1_5,2023,0.0,閉鎖系,27.254573770491803,29.545,21.596,17,0,0,3.3080000000000034,244,30.457658,0.1989048865247623,本州・鹿児島離島
3_11,2020,50.0,中間系,27.65460655737705,30.415,24.177,34,8,0,23.14399999999999,122,28.292611,2.6537422145047933,沖縄本島周辺
3_11,2021,0.0,中間系,27.419467213114757,29.18,25.068,3,0,0,0.2660000000000018,122,28.292611,2.6537422145047933,沖縄本島周辺
3_11,2022,80.0,中間系,27.956680327868852,30.525,24.028,50,15,0,36.14,122,28.292611,2.6537422145047933,沖縄本島周辺
3_11,2023,0.0,中間系,27.559991803278688,29.378,24.038,21,0,0,3.6920000000000073,122,28.292611,2.6537422145047933,沖縄本島周辺
3_11,2024,90.0,中間系,28.53704098360656,30.835,23.774,65,34,0,62.875,122,28.292611,2.6537422145047933,沖縄本島周辺
3_13,2020,0.0,中間系,27.147172131147546,29.557,23.853,14,0,0,4.286000000000001,122,28.188778,0.6809329058742278,沖縄本島周辺
3_13,2021,0.0,中間系,26.878139344262294,28.477,24.506,0,0,0,0.0,122,28.188778,0.6809329058742278,沖縄本島周辺
3_13,2022,20.0,中間系,27.259606557377047,29.512,23.797,17,0,0,6.168999999999993,122,28.188778,0.6809329058742278,沖縄本島周辺
3_13,2023,0.0,中間系,26.852204918032786,29.23,24.115,1,0,0,0.23000000000000043,122,28.188778,0.6809329058742278,沖縄本島周辺
3_13,2024,50.0,中間系,27.712926229508195,29.986,23.69,42,0,0,19.382,122,28.188778,0.6809329058742278,沖縄本島周辺
4_3,2020,0.5,外洋系,27.657483606557378,30.342,24.356,25,4,0,12.962999999999994,122,26.085917,1.1986505484275658,沖縄本島周辺
