site_no,spot_no,date,sst,source
1,5,2024-01-30,22.38,noaa_coraltemp
1,5,2024-07-04,27.45,noaa_coraltemp
1,5,2024-07-05,28.39,noaa_coraltemp
1,5,2024-07-06,28.39,noaa_coraltemp
1,5,2024-07-25,29.88,noaa_coraltemp
3,11,2024-01-30,21.71,noaa_coraltemp
3,11,2024-07-04,28.41,noaa_coraltemp
3,11,2024-07-05,28.99,noaa_coraltemp
3,11,2024-07-06,28.99,noaa_coraltemp
3,11,2024-07-25,30.2,noaa_coraltemp
3,13,2024-01-30,,noaa_coraltemp
3,13,2024-07-04,,noaa_coraltemp
3,13,2024-07-05,,noaa_coraltemp
3,13,2024-07-06,,noaa_coraltemp
3,13,2024-07-25,,noaa_coraltemp
4,3,2024-01-30,22.77,noaa_coraltemp
4,3,2024-07-04,29.16,noaa_coraltemp
4,3,2024-07-05,30.02,noaa_coraltemp
4,3,2024-07-06,30.02,noaa_coraltemp
4,3,2024-07-25,29.79,noaa_coraltemp
4,15,2024-01-30,22.53,noaa_coraltemp
4,15,2024-07-04,28.98,noaa_coraltemp
4,15,2024-07-05,29.97,noaa_coraltemp
4,15,2024-07-06,29.97,noaa_coraltemp
4,15,2024-07-25,29.76,noaa_coraltemp
4,26,2024-01-30,22.21,noaa_coraltemp
4,26,2024-07-04,28.93,noaa_coraltemp
4,26,2024-07-05,29.58,noaa_coraltemp
4,26,2024-07-06,29.58,noaa_coraltemp
4,26,2024-07-25,29.5,noaa_coraltemp
5,14,2024-01-30,22.4,noaa_coraltemp
5,14,2024-07-04,29.27,noaa_coraltemp
5,14,2024-07-05,30.04,noaa_coraltemp
5,14,2024-07-06,30.04,noaa_coraltemp
5,14,2024-07-25,29.86,noaa_coraltemp
5,29,2024-01-30,22.36,noaa_coraltemp
5,29,2024-07-04,28.86,noaa_coraltemp
5,29,2024-07-05,29.75,noaa_coraltemp
5,29,2024-07-06,29.75,noaa_coraltemp
5,29,2024-07-25,29.57,noaa_coraltemp
6,5,2024-01-30,22.44,noaa_coraltemp
6,5,2024-07-04,29.18,noaa_coraltemp
