site_no,spot_no,site_name,spot_name,lat,lon,prefecture,landform,substrate,has_logger
1,18,屋久島・種子島周辺,硫黄島永良部崎　,30.775622,130.275311,鹿児島県,外洋,玄武岩,False
1,19,屋久島・種子島周辺,黒島　夫婦瀬,30.815353,129.918014,鹿児島県,外洋,玄武岩,False
1,20,屋久島・種子島周辺,種子島　浦田ビーチ,30.824578,131.038042,鹿児島県,内湾,堆積岩,False
2,1,小宝島周辺,宝島前篭港東,29.160056,129.209778,鹿児島県,礁斜面,岩盤,False
2,2,小宝島周辺,宝島海水浴場沖,29.159194,129.216056,鹿児島県,礁縁,岩盤,False
2,3,小宝島周辺,宝島ヘリポート沖①,29.153944,129.224139,鹿児島県,礁縁・離礁,岩盤,False
2,4,小宝島周辺,宝島ヘリポート沖②,29.153444,129.223722,鹿児島県,礁縁,岩盤,False
2,5,小宝島周辺,宝島洗石港南,29.144,129.219917,鹿児島県,礁斜面,岩盤,False
2,6,小宝島周辺,宝島ヘリポート沖③,29.151389,129.224583,鹿児島県,礁斜面,岩盤,False
2,7,小宝島周辺,宝島ヘリポート沖④,29.151278,129.226194,鹿児島県,礁斜面,岩盤,False
2,8,小宝島周辺,小宝島港西,29.219861,129.330222,鹿児島県,礁斜面,岩礁,False
2,9,小宝島周辺,悪石島北東岸畝神,29.472667,129.608472,鹿児島県,岩礁・巨大転石,岩盤,False
2,10,小宝島周辺,悪石島東岸女神山岬下,29.452611,129.620944,鹿児島県,岩礁・巨大転石,岩盤,False
2,11,小宝島周辺,諏訪之瀬島南東岸,29.618056,129.719167,鹿児島県,沿岸,巨大転石・火山灰,False
2,12,小宝島周辺,諏訪之瀬島港桟橋南,29.609167,129.713333,鹿児島県,礁斜面,岩礁,False
2,13,小宝島周辺,中之島ジンニョム岳下,29.833333,129.910333,鹿児島県,岩礁,岩盤,False
2,14,小宝島周辺,小宝島赤立神東,29.219861,129.330222,鹿児島県,礁斜面・転石,岩盤,False
2,15,小宝島周辺,宝島前籠港西,29.160083,129.201472,鹿児島県,礁斜面,岩盤,False
2,16,小宝島周辺,小宝島港南,29.21775,129.325444,鹿児島県,礁斜面,岩盤,False
2,17,小宝島周辺,小宝島横瀬海岸東,29.228528,129.324139,鹿児島県,礁斜面,岩盤,False
2,18,小宝島周辺,小宝島横瀬海岸西,29.226083,129.319167,鹿児島県,礁斜面,岩盤,False
2,19,小宝島周辺,悪石島東浜,29.459556,129.616278,鹿児島県,岩礁,岩盤,False
2,20,小宝島周辺,中之島荷積,29.858111,129.835778,鹿児島県,小規模で浅い湾,岩盤・礫,False
2,21,小宝島周辺,中之島相原,29.852278,129.8375,鹿児島県,岩礁,岩盤,False
2,22,小宝島周辺,上ノ根島北,28.837194,129.000944,鹿児島県,岩礁,岩盤,False
2,23,小宝島周辺,横当島北入り江,28.798806,128.984583,鹿児島県,転石,岩盤,False
2,24,小宝島周辺,大間泊港前航路口,29.142528,129.195917,鹿児島県,,岩盤,False
2,25,小宝島周辺,悪石島風下,29.444806,129.607722,鹿児島県,岩礁,岩盤,False
2,26,小宝島周辺,中之島七ツ山,29.844833,129.896722,鹿児島県,縁脚,岩,False
2,27,小宝島周辺,口之島赤立,29.968861,129.904833,鹿児島県,礁斜面,岩,False
2,28,小宝島周辺,口之島エボシのハナレ,29.974194,129.899667,鹿児島県,離れの周囲、礁斜面,岩,False
2,29,小宝島周辺,口之島オランナダ,29.980722,129.901583,鹿児島県,礁斜面,岩,False
2,30,小宝島周辺,口之島前之浜,29.990333,129.924028,鹿児島県,縁脚,岩,False
2,31,小宝島周辺,口之島平瀬海水浴場前,29.997167,129.910306,鹿児島県,礁斜面,岩,False
3,1,奄美大島,赤木名立神,28.471083,129.648139,鹿児島県,礁原,サンゴ岩,False
3,2,奄美大島,節田,28.41075,129.690028,鹿児島県,礁池,砂／礫,False
3,3,奄美大島,神の子,28.402583,129.6375,鹿児島県,礁池,砂／礫,False
3,4,奄美大島,久場,28.429194,129.598278,鹿児島県,内湾,泥,False
