site_no,spot_no,site_name,year,date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora,landform,env_type,lat,lon,logger_start,logger_end,lookback_start
17,131,崎山湾（西表島西部）周辺,2022,2022-11-08,10.0,100.0,0.0,3.5,,礁斜面,外洋系,24.323056,123.673556,2019-11-17,2024-10-16,2022-08-16
17,131,崎山湾（西表島西部）周辺,2023,2023-10-25,20.0,20.0,,0.0,,礁斜面,外洋系,24.323056,123.673556,2019-11-17,2024-10-16,2023-08-02
17,131,崎山湾（西表島西部）周辺,2024,2024-10-15,,100.0,,65.0,,礁斜面,外洋系,24.323056,123.673556,2019-11-17,2024-10-16,2024-07-23
18,4,父島周辺,2020,2020-11-12,60.0,10.0,,,,内湾,閉鎖系,27.10675,142.194292,2019-10-29,2024-12-24,2020-08-20
18,4,父島周辺,2021,2022-01-18,70.0,,,,,内湾,閉鎖系,27.10675,142.194292,2019-10-29,2024-12-24,2021-10-26
18,4,父島周辺,2022,2022-12-14,70.0,,,,,内湾,閉鎖系,27.10675,142.194292,2019-10-29,2024-12-24,2022-09-21
18,4,父島周辺,2023,2023-12-21,60.0,,,,,内湾,閉鎖系,27.10675,142.194292,2019-10-29,2024-12-24,2023-09-28
18,4,父島周辺,2024,2024-12-24,70.0,,0.0,,0.0,内湾,閉鎖系,27.10675,142.194292,2019-10-29,2024-12-24,2024-10-01
18,7,父島周辺,2020,2020-12-23,30.0,,0.0,0.0,0.0,内湾,閉鎖系,27.055272,142.22905,2019-10-29,2023-12-21,2020-09-30
18,7,父島周辺,2021,2022-01-18,30.0,,0.0,0.0,0.0,内湾,閉鎖系,27.055272,142.22905,2019-10-29,2023-12-21,2021-10-26
18,7,父島周辺,2022,2022-12-14,30.0,,,,,内湾,閉鎖系,27.055272,142.22905,2019-10-29,2023-12-21,2022-09-21
18,7,父島周辺,2023,2023-12-21,30.0,,,,0.0,内湾,閉鎖系,27.055272,142.22905,2019-10-29,2023-12-21,2023-09-28
18,7,父島周辺,2024,2024-12-25,30.0,,,,0.0,内湾,閉鎖系,27.055272,142.22905,2019-10-29,2023-12-21,2024-10-02
19,1,館山湾,2020,2020-10-26,,0.0,0.0,0.0,0.0,やや内湾,閉鎖系,34.983333,139.816667,2019-11-08,2024-10-24,2020-08-03
19,1,館山湾,2022,2022-11-25,,0.0,0.0,0.0,0.0,やや内湾,閉鎖系,34.983333,139.816667,2019-11-08,2024-10-24,2022-09-02
19,1,館山湾,2023,2023-11-21,,0.0,0.0,0.0,0.0,やや内湾,閉鎖系,34.983333,139.816667,2019-11-08,2024-10-24,2023-08-29
19,1,館山湾,2024,2024-10-24,,0.0,0.0,0.0,0.0,やや内湾,閉鎖系,34.983333,139.816667,2019-11-08,2024-10-24,2024-08-01
20,9,壱岐・対馬・五島列島,2022,2022-09-23,50.0,0.0,0.0,1.0,0.0,内湾,閉鎖系,34.4,129.266667,2019-10-23,2024-10-15,2022-07-01
20,9,壱岐・対馬・五島列島,2023,2023-10-25,50.0,10.0,0.0,1.0,0.0,内湾,閉鎖系,34.4,129.266667,2019-10-23,2024-10-15,2023-08-02
20,9,壱岐・対馬・五島列島,2024,2024-10-01,50.0,90.0,,3.5,,内湾,閉鎖系,34.4,129.266667,2019-10-23,2024-10-15,2024-07-09
20,14,壱岐・対馬・五島列島,2022,2022-09-29,20.0,0.5,0.0,0.5,0.5,やや内湾,閉鎖系,32.866667,128.966667,2019-10-23,2024-10-24,2022-07-07
20,14,壱岐・対馬・五島列島,2023,2023-10-21,20.0,0.0,0.0,0.0,0.0,やや内湾,閉鎖系,32.866667,128.966667,2019-10-23,2024-10-24,2023-07-29
20,14,壱岐・対馬・五島列島,2024,2024-09-27,30.0,,,,,やや内湾,閉鎖系,32.866667,128.966667,2019-10-23,2024-10-24,2024-07-05
21,11,串本周辺,2020,2021-01-09,20.0,,,0.0,0.0,やや外洋,外洋系,33.480556,135.74625,2020-01-19,2024-12-28,2020-10-17
21,11,串本周辺,2021,2021-12-15,20.0,0.0,0.0,0.0,0.0,やや外洋,外洋系,33.480556,135.74625,2020-01-19,2024-12-28,2021-09-22
21,11,串本周辺,2022,2022-12-11,20.0,,,,0.0,やや外洋,外洋系,33.480556,135.74625,2020-01-19,2024-12-28,2022-09-18
21,11,串本周辺,2023,2023-11-20,20.0,0.0,0.0,0.0,0.0,やや外洋,外洋系,33.480556,135.74625,2020-01-19,2024-12-28,2023-08-28
21,11,串本周辺,2024,2024-12-28,20.0,,0.0,0.0,0.0,やや外洋,外洋系,33.480556,135.74625,2020-01-19,2024-12-28,2024-10-05
21,13,串本周辺,2020,2020-11-28,60.0,0.0,0.0,0.0,0.0,やや外洋,外洋系,33.484042,135.691486,2019-12-07,2024-09-26,2020-09-05
21,13,串本周辺,2021,2021-12-11,60.0,0.0,0.0,0.0,0.0,やや外洋,外洋系,33.484042,135.691486,2019-12-07,2024-09-26,2021-09-18
21,13,串本周辺,2022,2022-12-10,60.0,,40.0,0.0,0.0,やや外洋,外洋系,33.484042,135.691486,2019-12-07,2024-09-26,2022-09-17
21,13,串本周辺,2023,2023-12-02,70.0,0.0,0.0,0.0,0.0,やや外洋,外洋系,33.484042,135.691486,2019-12-07,2024-09-26,2023-09-09
21,13,串本周辺,2024,2024-09-26,60.0,25.0,80.0,0.0,0.0,やや外洋,外洋系,33.484042,135.691486,2019-12-07,2024-09-26,2024-07-04
22,1,四国南西岸(宇和海～足摺岬),2020,2020-10-20,40.0,,0.0,0.0,0.0,開放的湾内,閉鎖系,33.043639,132.484667,2019-10-15,2023-10-31,2020-07-28
22,1,四国南西岸(宇和海～足摺岬),2021,2021-10-19,30.0,0.0,0.0,0.0,0.0,開放的湾内,閉鎖系,33.043639,132.484667,2019-10-15,2023-10-31,2021-07-27
22,1,四国南西岸(宇和海～足摺岬),2022,2022-10-20,30.0,0.0,0.0,0.0,0.0,開放的湾内,閉鎖系,33.043639,132.484667,2019-10-15,2023-10-31,2022-07-28
22,1,四国南西岸(宇和海～足摺岬),2023,2023-11-01,30.0,,0.0,0.0,0.0,開放的湾内,閉鎖系,33.043639,132.484667,2019-10-15,2023-10-31,2023-08-09
22,1,四国南西岸(宇和海～足摺岬),2024,2024-10-16,30.0,30.0,40.0,,10.0,開放的湾内,閉鎖系,33.043639,132.484667,2019-10-15,2023-10-31,2024-07-24
22,6,四国南西岸(宇和海～足摺岬),2021,2021-11-18,30.0,0.0,0.0,0.0,0.0,開放的湾内,閉鎖系,32.824611,132.64925,2020-11-20,2024-09-10,2021-08-26
22,6,四国南西岸(宇和海～足摺岬),2022,2022-12-27,40.0,0.0,0.0,0.0,0.0,開放的湾内,閉鎖系,32.824611,132.64925,2020-11-20,2024-09-10,2022-10-04
22,6,四国南西岸(宇和海～足摺岬),2023,2023-10-24,40.0,0.0,0.0,0.0,0.0,開放的湾内,閉鎖系,32.824611,132.64925,2020-11-20,2024-09-10,2023-08-01
22,6,四国南西岸(宇和海～足摺岬),2024,2024-09-04,40.0,50.0,70.0,,,開放的湾内,閉鎖系,32.824611,132.64925,2020-11-20,2024-09-10,2024-06-12
22,11,四国南西岸(宇和海～足摺岬),2020,2020-12-02,20.0,,0.0,0.0,0.0,湾口,閉鎖系,32.776528,132.732083,2019-09-26,2024-10-25,2020-09-09
22,11,四国南西岸(宇和海～足摺岬),2021,2021-10-18,20.0,,,0.0,0.0,湾口,閉鎖系,32.776528,132.732083,2019-09-26,2024-10-25,2021-07-26
22,11,四国南西岸(宇和海～足摺岬),2022,2022-11-11,30.0,,,0.0,0.0,湾口,閉鎖系,32.776528,132.732083,2019-09-26,2024-10-25,2022-08-19
22,11,四国南西岸(宇和海～足摺岬),2023,2023-11-02,20.0,,,0.0,0.0,湾口,閉鎖系,32.776528,132.732083,2019-09-26,2024-10-25,2023-08-10
22,11,四国南西岸(宇和海～足摺岬),2024,2024-10-01,20.0,80.0,90.0,,,湾口,閉鎖系,32.776528,132.732083,2019-09-26,2024-10-25,2024-07-09
24,3,天草周辺,2020,2020-11-05,40.0,5.0,5.0,0.0,0.0,岩礁,不明,32.344694,129.967694,2019-09-11,2025-01-28,2020-08-13
24,3,天草周辺,2021,2021-10-15,40.0,0.0,0.0,0.0,0.0,岩礁,不明,32.344694,129.967694,2019-09-11,2025-01-28,2021-07-23
24,3,天草周辺,2022,2022-10-20,30.0,0.0,0.0,0.0,0.0,岩礁,不明,32.344694,129.967694,2019-09-11,2025-01-28,2022-07-28
24,3,天草周辺,2023,2023-11-21,30.0,2.5,2.5,0.0,0.0,岩礁,不明,32.344694,129.967694,2019-09-11,2025-01-28,2023-08-29
24,3,天草周辺,2024,2024-10-21,20.0,15.0,17.5,10.0,15.0,岩礁,不明,32.344694,129.967694,2019-09-11,2025-01-28,2024-07-29
24,7,天草周辺,2020,2020-10-21,30.0,5.0,5.0,0.0,0.0,島入江,閉鎖系,32.186778,129.968528,2019-09-11,2024-09-26,2020-07-29
24,7,天草周辺,2021,2021-10-08,30.0,5.0,5.0,0.0,0.0,島入江,閉鎖系,32.186778,129.968528,2019-09-11,2024-09-26,2021-07-16
24,7,天草周辺,2022,2022-10-27,40.0,5.0,5.0,0.0,0.0,島入江,閉鎖系,32.186778,129.968528,2019-09-11,2024-09-26,2022-08-04
24,7,天草周辺,2023,2023-09-22,30.0,5.0,5.0,0.0,0.0,島入江,閉鎖系,32.186778,129.968528,2019-09-11,2024-09-26,2023-06-30
24,7,天草周辺,2024,2024-09-25,30.0,5.0,5.0,0.0,0.0,島入江,閉鎖系,32.186778,129.968528,2019-09-11,2024-09-26,2024-07-03
