site_no,spot_no,site_name,year,date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora,landform,env_type,lat,lon,logger_start,logger_end,lookback_start
4,15,東村～奥,2021,2021-09-20,40.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.384111,128.003833,2021-01-11,2024-10-20,2021-06-28
4,15,東村～奥,2022,2023-01-20,60.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.384111,128.003833,2021-01-11,2024-10-20,2022-10-28
4,15,東村～奥,2023,2023-12-06,40.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.384111,128.003833,2021-01-11,2024-10-20,2023-09-13
4,15,東村～奥,2024,2024-10-19,50.0,70.0,70.0,20.0,30.0,礁斜面,外洋系,26.384111,128.003833,2021-01-11,2024-10-20,2024-07-27
4,26,東村～奥,2023,2023-11-16,70.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.865694,128.26625,2019-12-18,2024-11-17,2023-08-24
4,26,東村～奥,2024,2024-11-17,60.0,20.0,10.0,5.0,5.0,礁斜面,外洋系,26.865694,128.26625,2019-12-18,2024-11-17,2024-08-25
5,14,恩納村～残波岬,2020,2020-11-07,40.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.438639,127.709333,2019-09-26,2024-09-11,2020-08-15
5,14,恩納村～残波岬,2021,2021-10-09,40.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.438639,127.709333,2019-09-26,2024-09-11,2021-07-17
5,14,恩納村～残波岬,2022,2022-10-22,40.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.438639,127.709333,2019-09-26,2024-09-11,2022-07-30
5,14,恩納村～残波岬,2023,2023-09-05,30.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.438639,127.709333,2019-09-26,2024-09-11,2023-06-13
5,14,恩納村～残波岬,2024,2024-09-11,40.0,80.0,80.0,20.0,10.0,礁斜面,外洋系,26.438639,127.709333,2019-09-26,2024-09-11,2024-06-19
5,29,恩納村～残波岬,2020,2020-09-29,80.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.715278,128.021278,2019-11-07,2024-09-22,2020-07-07
5,29,恩納村～残波岬,2021,2021-10-16,80.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.715278,128.021278,2019-11-07,2024-09-22,2021-07-24
5,29,恩納村～残波岬,2022,2022-10-09,80.0,3.0,50.0,0.0,0.0,礁斜面,外洋系,26.715278,128.021278,2019-11-07,2024-09-22,2022-07-17
5,29,恩納村～残波岬,2023,2023-09-18,80.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.715278,128.021278,2019-11-07,2024-09-22,2023-06-26
5,29,恩納村～残波岬,2024,2024-09-22,50.0,80.0,90.0,40.0,50.0,礁斜面,外洋系,26.715278,128.021278,2019-11-07,2024-09-22,2024-06-30
6,5,水納島・伊是名島・伊平屋島,2020,2020-10-28,60.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.734722,127.789306,2019-10-08,2024-09-02,2020-08-05
6,5,水納島・伊是名島・伊平屋島,2021,2021-12-12,60.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.734722,127.789306,2019-10-08,2024-09-02,2021-09-19
6,5,水納島・伊是名島・伊平屋島,2022,2022-11-13,70.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.734722,127.789306,2019-10-08,2024-09-02,2022-08-21
6,5,水納島・伊是名島・伊平屋島,2023,2023-09-09,70.0,0.0,0.0,0.0,0.0,礁斜面,外洋系,26.734722,127.789306,2019-10-08,2024-09-02,2023-06-17
6,5,水納島・伊是名島・伊平屋島,2024,2024-09-02,70.0,90.0,90.0,10.0,5.0,礁斜面,外洋系,26.734722,127.789306,2019-10-08,2024-09-02,2024-06-10
7,5,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2020,2020-11-07,20.0,0.0,0.0,0.0,0.0,"礁原～
礁斜面",不明,26.202194,127.289306,2019-11-27,2024-11-21,2020-08-15
7,5,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2021,2021-10-31,30.0,0.0,0.0,0.0,0.0,"礁原～
礁斜面",不明,26.202194,127.289306,2019-11-27,2024-11-21,2021-08-08
7,5,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2022,2022-11-13,20.0,0.0,0.0,0.0,0.0,"礁原～
礁斜面",不明,26.202194,127.289306,2019-11-27,2024-11-21,2022-08-21
7,5,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2023,2023-11-19,20.0,0.0,0.0,0.0,0.0,"礁原～
礁斜面",不明,26.202194,127.289306,2019-11-27,2024-11-21,2023-08-27
7,5,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2024,2024-10-18,20.0,10.0,50.0,5.0,10.0,"礁原～
礁斜面",不明,26.202194,127.289306,2019-11-27,2024-11-21,2024-07-26
7,8,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2020,2020-09-19,20.0,0.0,0.0,0.0,0.0,礁原,中間系,26.1865,127.280694,2019-11-27,2024-11-21,2020-06-27
7,8,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2021,2021-11-05,20.0,0.0,0.0,0.0,0.0,礁原,中間系,26.1865,127.280694,2019-11-27,2024-11-21,2021-08-13
7,8,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2022,2022-11-04,20.0,0.0,0.0,0.0,0.0,礁原,中間系,26.1865,127.280694,2019-11-27,2024-11-21,2022-08-12
7,8,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2023,2023-11-20,30.0,0.0,0.0,0.0,0.0,礁原,中間系,26.1865,127.280694,2019-11-27,2024-11-21,2023-08-28
7,8,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,2024,2024-10-18,20.0,30.0,50.0,10.0,20.0,礁原,中間系,26.1865,127.280694,2019-11-27,2024-11-21,2024-07-26
9,1,宮古島周辺,2021,2021-11-06,50.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.941528,125.245306,2020-11-22,2024-12-01,2021-08-14
9,1,宮古島周辺,2022,2022-12-27,50.0,10.0,10.0,,,礁池,閉鎖系,24.941528,125.245306,2020-11-22,2024-12-01,2022-10-04
9,1,宮古島周辺,2023,2023-11-05,40.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.941528,125.245306,2020-11-22,2024-12-01,2023-08-13
9,1,宮古島周辺,2024,2024-12-01,10.0,70.0,70.0,70.0,70.0,礁池,閉鎖系,24.941528,125.245306,2020-11-22,2024-12-01,2024-09-08
9,3,宮古島周辺,2020,2020-09-19,10.0,,,,,礁縁,外洋系,24.9005,125.259639,2019-12-17,2024-12-02,2020-06-27
9,3,宮古島周辺,2021,2022-01-15,20.0,0.0,0.0,0.0,0.0,礁縁,外洋系,24.9005,125.259639,2019-12-17,2024-12-02,2021-10-23
9,3,宮古島周辺,2022,2023-01-11,,90.0,100.0,90.0,100.0,礁縁,外洋系,24.9005,125.259639,2019-12-17,2024-12-02,2022-10-19
9,3,宮古島周辺,2023,2023-11-23,,0.0,0.0,0.0,0.0,礁縁,外洋系,24.9005,125.259639,2019-12-17,2024-12-02,2023-08-31
9,3,宮古島周辺,2024,2024-12-02,,60.0,90.0,60.0,90.0,礁縁,外洋系,24.9005,125.259639,2019-12-17,2024-12-02,2024-09-09
9,5,宮古島周辺,2020,2020-10-04,10.0,10.0,20.0,0.0,0.0,離礁,外洋系,24.797806,125.161917,2019-11-03,2025-01-19,2020-07-12
9,5,宮古島周辺,2021,2021-12-29,10.0,0.0,0.0,0.0,0.0,離礁,外洋系,24.797806,125.161917,2019-11-03,2025-01-19,2021-10-06
9,5,宮古島周辺,2022,2023-01-10,,,,,,離礁,外洋系,24.797806,125.161917,2019-11-03,2025-01-19,2022-10-18
9,5,宮古島周辺,2023,2024-01-06,20.0,0.0,0.0,0.0,0.0,離礁,外洋系,24.797806,125.161917,2019-11-03,2025-01-19,2023-10-14
9,5,宮古島周辺,2024,2025-01-19,10.0,60.0,80.0,60.0,80.0,離礁,外洋系,24.797806,125.161917,2019-11-03,2025-01-19,2024-10-27
9,6,宮古島周辺,2020,2020-10-04,20.0,0.0,0.0,0.0,0.0,礁縁,外洋系,24.719444,125.264278,2019-11-03,2025-01-19,2020-07-12
9,6,宮古島周辺,2021,2021-12-29,20.0,0.0,0.0,0.0,0.0,礁縁,外洋系,24.719444,125.264278,2019-11-03,2025-01-19,2021-10-06
9,6,宮古島周辺,2022,2023-01-10,20.0,,10.0,,10.0,礁縁,外洋系,24.719444,125.264278,2019-11-03,2025-01-19,2022-10-18
9,6,宮古島周辺,2023,2024-01-06,30.0,0.0,0.0,0.0,0.0,礁縁,外洋系,24.719444,125.264278,2019-11-03,2025-01-19,2023-10-14
9,6,宮古島周辺,2024,2025-01-19,10.0,70.0,95.0,70.0,95.0,礁縁,外洋系,24.719444,125.264278,2019-11-03,2025-01-19,2024-10-27
9,9,宮古島周辺,2020,2020-09-19,30.0,,,,,離礁・礁縁,外洋系,24.841083,125.391639,2019-12-17,2024-12-01,2020-06-27
9,9,宮古島周辺,2022,2022-12-27,30.0,40.0,40.0,40.0,40.0,離礁・礁縁,外洋系,24.841083,125.391639,2019-12-17,2024-12-01,2022-10-04
9,9,宮古島周辺,2023,2023-11-05,40.0,0.0,0.0,0.0,0.0,離礁・礁縁,外洋系,24.841083,125.391639,2019-12-17,2024-12-01,2023-08-13
9,9,宮古島周辺,2024,2024-12-01,10.0,,,95.0,95.0,離礁・礁縁,外洋系,24.841083,125.391639,2019-12-17,2024-12-01,2024-09-08
10,2,八重干瀬,2020,2020-11-22,30.0,0.0,0.0,0.0,0.0,離礁・礁縁,外洋系,25.016917,125.267417,2019-12-18,2024-12-02,2020-08-30
10,2,八重干瀬,2021,2021-10-16,40.0,0.0,0.0,0.0,0.0,離礁・礁縁,外洋系,25.016917,125.267417,2019-12-18,2024-12-02,2021-07-24
10,2,八重干瀬,2022,2022-12-28,40.0,20.0,20.0,20.0,20.0,離礁・礁縁,外洋系,25.016917,125.267417,2019-12-18,2024-12-02,2022-10-05
10,2,八重干瀬,2023,2023-11-23,50.0,0.0,0.0,0.0,0.0,離礁・礁縁,外洋系,25.016917,125.267417,2019-12-18,2024-12-02,2023-08-31
10,2,八重干瀬,2024,2024-12-02,30.0,50.0,50.0,50.0,50.0,離礁・礁縁,外洋系,25.016917,125.267417,2019-12-18,2024-12-02,2024-09-09
10,3,八重干瀬,2020,2020-11-22,20.0,0.0,0.0,0.0,0.0,離礁・礁縁,外洋系,24.996944,125.234778,2019-12-18,2024-12-02,2020-08-30
10,3,八重干瀬,2021,2021-10-16,20.0,0.0,0.0,0.0,0.0,離礁・礁縁,外洋系,24.996944,125.234778,2019-12-18,2024-12-02,2021-07-24
10,3,八重干瀬,2022,2022-12-28,20.0,,,,,離礁・礁縁,外洋系,24.996944,125.234778,2019-12-18,2024-12-02,2022-10-05
10,3,八重干瀬,2023,2023-11-23,10.0,0.0,0.0,0.0,0.0,離礁・礁縁,外洋系,24.996944,125.234778,2019-12-18,2024-12-02,2023-08-31
10,3,八重干瀬,2024,2024-12-02,,90.0,95.0,90.0,95.0,離礁・礁縁,外洋系,24.996944,125.234778,2019-12-18,2024-12-02,2024-09-09
11,19,平久保崎～宮良湾,2020,2020-11-22,70.0,0.0,0.0,0.0,0.0,礁池,閉鎖系,24.515917,124.298611,2019-12-14,2025-01-07,2020-08-30
