fiscal_year,site_no,spot_no,survey_date,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
2024,site01,1,2024-10-19,20,90,90,70,80
2024,site01,2,2024-10-19,30,80,80,30,50
2024,site01,3,2024-10-19,50,90,90,20,20
2024,site01,4,2024-10-15,30,60,40,30,5
2024,site01,5,2024-10-15,50,90,40,30,10
2024,site01,6,2024-10-15,70,30,20,10,5
2024,site01,7,2024-10-15,30,70,80,30,50
2024,site01,8,2024-10-17,50,80,90,50,70
2024,site01,9,2024-10-17,30,70,70,30,50
2024,site01,10,2024-12-04,10,90,90,70,90
2024,site01,11,2024-12-04,10,90,90,80,90
2024,site01,12,2025-01-30,60,10,10,5,5
2024,site01,13,2025-01-30,30,60,50,50,40
2024,site01,16,2024-11-05,5,5,0,5,0
2024,site01,17,2024-12-06,40,10,20,10,10
2024,site01,18,2024-12-06,30,10,30,5,10
2024,site01,19,2024-12-06,10,30,10,10,5
2024,site01,20,2024-11-05,30,50,80,20,60
2024,site03,1,2024-10-18,5,90,90,90,90
2024,site03,2,2024-12-03,10,50,0,50,0
2024,site03,3,2024-12-04,30,70,0,70,0
2024,site03,4,2024-12-04,2.5,5,0,0,0
2024,site03,5,2024-12-02,2.5,50,0,20,0
2024,site03,6,2024-10-19,30,70,70,70,70
2024,site03,7,2024-10-19,10,80,80,50,50
2024,site03,8,2024-09-11,2.5,50,0,50,0
2024,site03,9,2024-10-17,2.5,90,90,90,90
2024,site03,10,2024-10-17,60,70,70,15,15
2024,site03,11,2024-12-01,2.5,90,90,90,90
2024,site03,12,2024-11-05,20,80,80,80,80
2024,site03,13,2024-11-05,10,50,50,50,50
2024,site03,14,2024-11-30,30,70,70,70,70
2024,site03,15,2024-11-30,50,20,20,20,20
2024,site04,1,2024-10-07,40,90,90,40,70
2024,site04,2,2024-09-27,30,50,90,10,80
2024,site04,3,2024-10-07,50,80,90,30,50
2024,site04,4,2024-10-07,30,70,90,20,40
2024,site04,5,2024-09-27,20,50,90,10,80
2024,site04,6,2024-09-27,50,80,90,30,40
2024,site04,7,2024-10-19,20,80,90,50,70
2024,site04,8,2024-10-19,10,90,90,50,50
2024,site04,9,2024-10-19,20,90,90,40,60
2024,site04,10,2024-10-19,40,60,70,40,40
2024,site04,11,2024-10-19,20,80,90,70,80
2024,site04,12,2024-10-19,30,70,80,40,60
2024,site04,13,2024-10-19,20,40,90,10,80
2024,site04,15,2024-10-19,50,70,70,20,30
2024,site04,16,2024-11-17,2.5,40,50,20,50
2024,site04,17,2024-10-17,40,80,80,20,20
2024,site04,18,2024-10-17,50,80,80,30,20
2024,site04,19,2024-10-17,20,80,90,20,20
2024,site04,20,2024-10-17,30,80,80,10,20
2024,site04,21,2024-10-17,40,80,80,20,30
2024,site04,22,2024-10-17,50,80,70,10,20
2024,site04,23,2024-11-17,20,30,20,20,10
2024,site04,24,2024-11-17,60,20,10,10,5
2024,site04,25,2024-11-17,50,20,10,10,5
2024,site04,26,2024-11-17,60,20,10,5,5
2024,site04,27,2024-10-17,60,70,50,10,10
2024,site04,28,2024-10-17,40,90,90,40,50
2024,site04,33,2024-10-07,40,80,90,60,70
2024,site04,35,2024-10-07,20,70,90,20,30
2024,site04,40,2024-10-19,70,40,60,10,10
2024,site04,48,2024-06-05,30,0,0,0,0
2024,site04,49,2024-06-05,30,0,0,0,0
2024,site04,50,2024-06-05,40,0,0,0,0
2024,site04,51,2024-06-05,5,0,0,0,0
2024,site05,1,2024-10-07,20,90,90,50,70
2024,site05,4,2024-10-16,60,80,80,40,30
2024,site05,5,2024-10-16,50,70,80,30,50
2024,site05,6,2024-10-16,40,70,60,40,50
2024,site05,7,2024-10-16,50,60,70,30,30
2024,site05,8,2024-10-16,50,70,60,30,40
2024,site05,10,2024-10-16,5,90,100,80,95
2024,site05,11,2024-09-11,30,90,90,20,30
2024,site05,12,2024-09-11,20,90,90,20,30
2024,site05,13,2024-09-05,10,90,100,50,80
2024,site05,14,2024-09-11,40,80,80,20,10
2024,site05,15,2024-09-05,10,80,80,10,10
2024,site05,16,2024-09-13,50,70,80,3,3
2024,site05,17,2024-09-13,50,70,95,60,90
2024,site05,18,2024-09-13,60,80,80,3,5
2024,site05,19,2024-09-13,50,80,90,5,10
2024,site05,20,2024-09-13,40,90,90,50,70
2024,site05,21,2024-09-02,60,90,90,10,20
2024,site05,23,2024-09-02,70,70,70,5,5
2024,site05,24,2024-09-05,30,70,90,10,3
2024,site05,25,2024-09-05,70,90,90,3,3
2024,site05,26,2024-09-05,40,10,95,3,90
2024,site05,27,2024-09-05,70,90,90,5,10
2024,site05,28,2024-09-22,30,40,95,10,90
2024,site05,29,2024-09-22,50,80,90,40,50
2024,site05,31,2024-10-16,30,90,90,50,70
2024,site05,32,2024-09-11,20,80,90,10,80
2024,site05,33,2024-09-11,20,90,90,30,50
2024,site05,40,2024-10-16,5,90,90,80,80
2024,site05,43,2024-09-05,20,80,90,10,3
2024,site05,45,2024-10-16,60,50,50,30,40
2024,site05,46,2024-09-13,40,90,90,20,30
2024,site05,48,2024-10-07,2.5,90,100,80,90
2024,site05,49,2024-09-22,50,70,80,50,60
2024,site05,51,2024-09-13,60,80,90,5,10
2024,site05,52,2024-09-05,70,90,90,20,30
2024,site05,63,2024-09-22,20,80,90,70,90
2024,site05,64,2024-09-22,70,70,80,10,20
2024,site05,65,2024-09-22,30,90,95,40,50
2024,site05,66,2024-10-16,40,80,80,40,40
2024,site06,1,2024-09-02,80,90,90,10,20
2024,site06,2,2024-09-02,80,90,90,5,5
2024,site06,3,2024-09-02,50,90,90,10,10
2024,site06,4,2024-09-02,70,80,80,5,3
2024,site06,5,2024-09-02,70,90,90,10,5
2024,site06,10,2024-09-02,40,90,90,50,60
2024,site06,13,2024-09-02,70,90,90,10,10
2024,site07,1,2024-10-15,20,10,25,2,10
2024,site07,2,2024-10-15,5,10,100,5,100
2024,site07,3,2024-10-18,5,100,100,90,95
2024,site07,4,2024-10-18,30,10,10,5,10
2024,site07,5,2024-10-18,20,10,50,5,10
2024,site07,6,2024-10-12,50,5,10,3,2
2024,site07,7,2024-10-12,30,10,30,5,20
2024,site07,8,2024-10-18,20,30,50,10,20
2024,site07,9,2024-10-12,20,10,30,0,10
2024,site07,10,2024-10-12,20,10,10,5,10
2024,site07,11,2024-10-15,30,40,50,20,30
2024,site07,12,2024-10-15,30,30,40,10,10
2024,site09,1,2024-12-01,10,70,70,70,70
2024,site09,2,2024-12-01,40,40,40,40,40
2024,site09,3,2024-12-02,2.5,60,90,60,90
2024,site09,4,2024-12-21,40,2.5,2.5,2.5,2.5
2024,site09,5,2025-01-19,10,60,80,60,80
2024,site09,6,2025-01-19,10,70,95,70,95
2024,site09,7,2025-01-19,10,30,90,30,90
2024,site09,8,2024-12-21,30,2.5,0,0,0
2024,site09,9,2024-12-01,10,97.5,97.5,95,95
2024,site09,10,2024-12-01,30,80,80,60,60
2024,site10,1,2024-12-02,10,70,70,70,70
2024,site10,2,2024-12-02,30,50,50,50,50
2024,site10,3,2024-12-02,2.5,90,95,90,95
2024,site10,4,2024-12-02,10,60,60,60,60
2024,site11,1,2025-01-18,5,0,0,0,0
2024,site11,2,2025-01-18,30,10,20,5,20
2024,site11,3,2025-01-18,2.5,0,0,0,0
2024,site11,4,2025-01-18,2.5,0.5,0,0.5,0
2024,site11,5,2025-01-18,60,10,20,10,20
2024,site11,6,2025-01-18,60,2.5,10,2.5,10
2024,site11,7,2025-01-18,40,0,0,0,0
2024,site11,8,2025-01-18,40,0,0,0,0
2024,site11,9,2025-01-08,10,0,0,0,0
2024,site11,10,2025-01-08,10,0,0,0,0
2024,site11,11,2025-01-08,0.5,0,0,0,0
2024,site11,12,2025-01-08,20,0,0,0,0
2024,site11,13,2025-01-08,10,0,0,0,0
2024,site11,14,2025-01-08,5,0,0,0,0
2024,site11,15,2025-01-08,0.5,0,0,0,0
2024,site11,16,2025-01-08,20,0,0,0,0
2024,site11,17,2025-01-08,70,0,0,0,0
2024,site11,18,2025-01-08,5,0,0,0,0
2024,site11,19,2025-01-07,70,2.5,0,2.5,0
2024,site11,20,2025-01-07,30,30,0,0.5,0
2024,site11,21,2025-01-07,40,5,0,0,0
2024,site11,22,2025-01-07,2.5,0,0,0,0
2024,site11,23,2025-01-07,5,0,0,0,0
2024,site11,24,2025-01-07,2.5,0,0,0,0
2024,site11,25,2025-01-07,10,0,0,0,0
2024,site11,26,2025-01-07,2.5,0,0,0,0
2024,site11,27,2025-01-07,80,20,0,0.5,0
2024,site11,28,2025-01-05,60,40,10,0.5,0.5
2024,site11,29,2025-01-05,40,10,10,0,0
2024,site11,30,2025-01-05,30,40,30,0.5,0.5
2024,site11,31,2025-01-05,40,60,10,0.5,0.5
2024,site11,32,2025-01-05,20,0,0,0,0
2024,site11,33,2025-01-05,20,0,0,0,0
2024,site12,1,2025-01-05,0.5,0,0,0,0
2024,site12,2,2025-01-05,30,0,0,0,0
2024,site12,3,2025-01-05,30,0,0,0,0
2024,site12,4,2024-12-25,5,0,0,0,0
2024,site12,5,2024-12-25,2.5,0,0,0,0
2024,site12,6,2024-12-25,2.5,0,0,0,0
2024,site12,7,2024-12-05,5,0,0,0,0
2024,site12,8,2024-12-05,20,0,0,0,0
2024,site12,9,2024-12-05,30,0,0,0,0
2024,site12,10,2024-12-05,40,0,0,0,0.5
2024,site12,11,2024-12-05,70,0,0,0,0
2024,site12,12,2024-12-05,2.5,2.5,0,0,0
2024,site12,13,2024-12-05,2.5,5,0,0,0
2024,site12,14,2024-12-05,10,5,0,0,0
2024,site12,15,2024-10-18,20,10,10,2.5,2.5
2024,site12,16,2025-01-05,50,10,2.5,0,0
2024,site12,17,2024-10-18,30,20,30,2.5,2.5
2024,site12,18,2024-12-06,30,5,0,5,0
2024,site12,19,2024-12-06,30,0,0,0,0
2024,site12,20,2024-12-06,30,0,0,0,0
2024,site12,21,2024-12-06,40,0.5,0.5,0.5,0.5
2024,site12,22,2024-12-06,40,0.5,2.5,0.5,2.5
2024,site12,23,2024-12-06,0.5,0,0,0,0
2024,site12,24,2024-12-06,50,2.5,10,2.5,10
2024,site12,25,2024-12-06,40,0,0,0,0
2024,site12,26,2024-12-06,0.5,0,0,0,0
2024,site12,27,2024-12-11,50,0,0,0,0
2024,site12,28,2024-12-11,0.5,0,0,0,0
2024,site12,29,2024-12-11,20,0,0,0,0
2024,site12,30,2024-12-11,20,0,0,0,0
2024,site12,31,2024-12-11,10,0,0,0,0
2024,site12,32,2024-12-11,10,0.5,0,0,0
2024,site12,33,2024-12-11,2.5,2.5,0,0,0
2024,site12,34,2024-12-11,10,5,0,0,0
2024,site12,35,2024-10-17,5,60,70,60,70
2024,site12,36,2024-10-17,20,20,5,20,5
2024,site12,37,2024-10-17,20,10,5,5,5
2024,site12,38,2024-10-17,20,30,30,2.5,2.5
2024,site12,39,2024-10-17,10,10,2.5,2.5,2.5
2024,site12,40,2024-10-17,60,5,5,0.5,5
2024,site12,41,2024-10-17,20,10,5,5,5
2024,site12,42,2024-10-17,30,0.5,,0.5,
2024,site12,43,2024-12-25,40,0,0,0,0
