year,site_no,spot_no,site_name,spot_name,survey_date,coral_cover_pct,bleaching_all_pct,bleaching_acropora_pct,mortality_all_pct,mortality_acropora_pct
2021,4,21,東村～奥,イシキナ崎南,2021-09-07,50,0,0,0,0
2021,4,22,東村～奥,安田ヶ島南,2021-09-07,50,0,0,0,0
2021,4,23,東村～奥,国頭村赤崎北礁池**,2021-12-21,20,0,0,0,0
2021,4,24,東村～奥,国頭村赤崎北礁斜面**,2021-12-21,60,0,0,0,0
2021,4,25,東村～奥,奥漁港北**,2021-12-21,60,0,0,0,0
2021,4,27,東村～奥,安田ヶ島北*,2021-09-07,70,0,0,0,0
2021,4,28,東村～奥,慶佐次ウッパマ東礁斜面,2021-09-07,60,0.5,0,0,0
2021,4,33,東村～奥,米須,2021-11-16,50,0,0,0,0
2021,4,39,東村～奥,宇佐浜東礁斜面,2021-12-21,60,0,0,0,0
2021,4,40,東村～奥,浮原北東ヨコビシ東,2021-09-20,70,0,0,0,0
2021,4,44,東村～奥,南浮原南礁斜面,2021-09-20,60,0,0,0,0
2021,4,45,東村～奥,慶佐次北礁斜面,2021-09-07,50,0.5,0,0,0
2021,5,1,恩納村～残波岬,喜屋武漁港西,2021-11-16,50,0,0,0,0
2021,5,4,恩納村～残波岬,チービシクエフ南*,2021-11-21,60,0,0,0,0
2021,5,5,恩納村～残波岬,チービシ神山南,2021-11-21,60,0,0,0,0
2021,5,6,恩納村～残波岬,チービシナガンヌ南,2021-11-21,30,0,0,0,0
2021,5,7,恩納村～残波岬,チービシナガンヌ西,2021-11-21,50,0,0,0,0
2021,5,8,恩納村～残波岬,チービシナガンヌ北,2021-11-21,40,0,0,0,0
2021,5,9,恩納村～残波岬,空寿崎西座礁船,2021-11-21,50,0,0,0,0
2021,5,10,恩納村～残波岬,伊佐西,2021-10-09,60,0,0,0,0
2021,5,12,恩納村～残波岬,渡具知西,2021-10-09,40,0,0,0,0
2021,5,13,恩納村～残波岬,残波岬西礁池,2021-09-25,20,0,0,0,0
2021,5,14,恩納村～残波岬,残波岬西礁斜面,2021-10-09,40,0,0,0,0
2021,5,15,恩納村～残波岬,真栄田岬西礁池,2021-09-25,10,0,0,0,0
2021,5,16,恩納村～残波岬,真栄田岬西礁斜面,2021-10-05,60,0,0,0,0
2021,5,17,恩納村～残波岬,恩納村赤崎西礁池,2021-10-05,70,0.5,50,0,0
2021,5,18,恩納村～残波岬,恩納村赤崎西礁斜面,2021-10-05,80,0,0,0,0
2021,5,19,恩納村～残波岬,安富祖北礁池,2021-10-05,60,0,0,0,0
2021,5,20,恩納村～残波岬,部瀬名岬西,2021-10-05,70,0,0,0,0
2021,5,21,恩納村～残波岬,瀬底島南,2021-12-12,50,0,0,0,0
2021,5,23,恩納村～残波岬,水族館西,2021-12-12,70,0,0,0,0
2021,5,24,恩納村～残波岬,備瀬崎東礁池,2021-10-16,30,0,0,0,0
2021,5,25,恩納村～残波岬,備瀬崎東礁斜面,2021-10-16,60,0,0,0,0
2021,5,26,恩納村～残波岬,今帰仁村長浜北礁池*,2021-10-16,50,0,0,0,0
2021,5,27,恩納村～残波岬,今帰仁村長浜北礁斜面*,2021-10-16,70,0,0,0,0
2021,5,28,恩納村～残波岬,古宇利島北礁池**,2021-10-16,50,0,0,0,0
2021,5,29,恩納村～残波岬,古宇利島北礁斜面**,2021-10-16,80,0,0,0,0
2021,5,31,恩納村～残波岬,大嶺崎大瀬,2021-11-21,40,0,0,0,0
2021,5,32,恩納村～残波岬,水釜*,2021-09-25,30,0,0,0,0
2021,5,33,恩納村～残波岬,水釜礁斜面*,2021-10-09,30,0,0,0,0
2021,5,40,恩納村～残波岬,ジャナセ,2021-11-21,50,0,0,0,0
2021,5,43,恩納村～残波岬,真栄田岬西大礁池,2021-09-25,20,0.5,0,0,0
2021,5,44,恩納村～残波岬,砂辺*,2021-10-09,40,0,0,0,0
2021,5,45,恩納村～残波岬,チービシ神山北,2021-11-21,60,0,0,0,0
2021,5,48,恩納村～残波岬,糸満港クラントガイ北,2021-11-16,70,1.5,50,1.5,50
2021,5,51,恩納村～残波岬,恩納村恩納礁斜面,2021-10-05,70,0,0,0,0
2021,5,52,恩納村～残波岬,塩川港南礁斜面,2021-10-16,70,0,0,0,0
2021,6,1,水納島・伊是名島・伊平屋島,水納島東,2021-12-12,80,0,0,0,0
2021,6,2,水納島・伊是名島・伊平屋島,ナカンシ東,2021-12-12,70,0,0,0,0
2021,6,3,水納島・伊是名島・伊平屋島,伊江島西,2021-12-12,50,0,0,0,0
2021,6,4,水納島・伊是名島・伊平屋島,伊江島イシャラ原東,2021-12-12,60,0,0,0,0
2021,6,5,水納島・伊是名島・伊平屋島,伊江島湧出北,2021-12-12,60,0,0,0,0
2021,6,7,水納島・伊是名島・伊平屋島,伊是名島内花橋北,2021-09-18,40,0,0,0,0
2021,6,8,水納島・伊是名島・伊平屋島,伊是名島アギギタラ,2021-09-19,60,0,0,0,0
2021,6,10,水納島・伊是名島・伊平屋島,伊江島フナズ原南,2021-12-12,80,0,0,0,0
2021,6,11,水納島・伊是名島・伊平屋島,伊是名島第一号立標,2021-09-19,70,0,0,0,0
2021,7,1,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,安室南,2021-10-31,30,0,0,0,0
2021,7,2,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,座間味アゴノウラ,2021-10-29,10,0,0,0,0
2021,7,3,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,座間味ニタ,2021-10-30,40,0,0,0,0
2021,7,4,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,嘉比南,2021-10-31,40,0,0,0,0
2021,7,5,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,阿嘉ニシハマ,2021-10-31,30,0,0,0,0
2021,7,6,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,阿嘉クシバル,2021-10-30,60,0,0,0,0
2021,7,7,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,阿嘉アグ,2021-11-05,40,0,0,0,0
2021,7,8,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,阿嘉マエノハマ,2021-11-05,20,0,0,0,0
2021,7,9,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,屋嘉比東,2021-10-30,30,<5,0,0,0
2021,7,10,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,久場北西,2021-10-30,30,0,0,0,0
2021,7,11,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,渡嘉敷アリガー,2021-10-29,50,0,0,0,0
2021,7,12,慶良間諸島中心海域（阿嘉島、座間味、渡嘉敷周辺）,渡嘉敷アハレン,2021-10-29,50,0,0,0,0
2021,9,1,宮古島周辺,池間島北カギンミ,2021-11-06,50,0,0,0,0
2021,9,2,宮古島周辺,池間島東チュラビジ,2021-12-20,60,0,0,0,0
2021,9,3,宮古島周辺,平良狩俣西,2022-01-15,20,0,0,0,0
2021,9,4,宮古島周辺,伊良部下地島カヤッファ,2021-11-13,50,0,0,0,0
2021,9,5,宮古島周辺,伊良部下地島渡口沖離礁,2021-12-29,10,0,0,0,0
2021,9,6,宮古島周辺,来間島東ヨコターラ,2021-12-29,20,0,0,0,0
2021,9,7,宮古島周辺,上野博愛沖友利大ビセ,2021-12-29,20,0,0,0,0
2021,9,8,宮古島周辺,城辺吉野海岸,2022-01-15,30,0,0,0,0
2021,10,1,八重干瀬,八重干瀬ウル西,2021-10-16,10,0,0,0,0
2021,10,2,八重干瀬,八重干瀬カナマラ中央南,2021-10-16,40,0,0,0,0
2021,10,3,八重干瀬,八重干瀬クンカディ・ガマ,2021-10-16,20,0,0,0,0
2021,10,4,八重干瀬,八重干瀬イフ南,2021-10-16,20,0,0,0,0
2021,11,1,平久保～宮良湾,大浜小前,2021-09-22,10,0,0,0,0
2021,11,2,平久保～宮良湾,宮良川河口,2021-09-22,30,0,0,0,0
2021,11,3,平久保～宮良湾,宮良集落前,2021-09-22,2.5,0,0,0,0
2021,11,4,平久保～宮良湾,白保集落前,2021-09-22,2.5,0,0,0,0
2021,11,5,平久保～宮良湾,白保ｱｵｻﾝｺﾞ,2021-09-22,60,0,0,0,0
2021,11,6,平久保～宮良湾,白保第１ﾎﾟｰﾙ,2021-09-22,60,0,0,0,0
2021,11,7,平久保～宮良湾,白保～轟川,2021-09-22,40,0,0,0,0
2021,11,8,平久保～宮良湾,轟川河口,2021-09-22,40,0,0,0,0
2021,11,9,平久保～宮良湾,モリヤマグチ,2021-09-22,10,0,0,0,0
2021,11,10,平久保～宮良湾,スムジグチ,2021-09-23,10,0,0,0,0
2021,11,11,平久保～宮良湾,採石場前,2021-09-23,0.5,0,0,0,0
2021,11,12,平久保～宮良湾,通路川南,2021-09-23,40,0,0,0,0
2021,11,13,平久保～宮良湾,通路川水路北,2021-09-23,40,0,0,0,0
2021,11,14,平久保～宮良湾,野原崎,2021-09-23,10,0,0,0,0
2021,11,15,平久保～宮良湾,伊野田漁港前,2021-09-23,0.5,0,0,0,0
2021,11,16,平久保～宮良湾,大野牧場前,2021-09-23,20,0,0,0,0
2021,11,17,平久保～宮良湾,玉取崎南,2021-09-23,70,0,0,0,0
2021,11,18,平久保～宮良湾,玉取崎東,2021-09-23,10,0,0,0,0
2021,11,19,平久保～宮良湾,伊原間牧場前,2021-09-24,70,0,0,0,0
2021,11,20,平久保～宮良湾,トムル崎南,2021-09-24,10,0,0,0,0
2021,11,21,平久保～宮良湾,トムル崎,2021-09-24,20,0,0,0,0
2021,11,22,平久保～宮良湾,ﾊﾟﾗﾜｰﾙﾄﾞ前,2021-09-24,2.5,0,0,0,0
2021,11,23,平久保～宮良湾,明石～安良崎,2021-09-24,10,0,0,0,0
2021,11,24,平久保～宮良湾,安良崎南,2021-09-24,50,0,0,0,0
2021,11,25,平久保～宮良湾,安良崎,2021-09-24,20,0,0,0,0
2021,11,26,平久保～宮良湾,安良グチ北,2021-09-24,20,0,0,0,0
2021,11,27,平久保～宮良湾,岩崎南,2021-09-24,80,0,0,0,0
2021,11,28,平久保～宮良湾,岩崎,2021-09-24,50,0,0,0,0
2021,11,29,平久保～宮良湾,岩崎～浦崎,2021-09-24,50,0,0,0,0
2021,11,30,平久保～宮良湾,浦崎沖,2021-09-08,40,0,0,0,0
2021,11,31,平久保～宮良湾,浦崎前,2021-09-08,70,0,0,0,0
2021,11,32,平久保～宮良湾,平野集落前,2021-09-08,30,0,0,0,0
2021,11,33,平久保～宮良湾,平久保灯台北,2021-09-08,30,0,0,0,0
2021,12,1,川平～大崎,平久保灯台西,2021-09-08,0.5,0,0,0,0
2021,12,2,川平～大崎,平久保川北,2021-09-08,10,0,0,0,0
2021,12,3,川平～大崎,平久保集落南,2021-09-08,20,0,0,0,0
2021,12,4,川平～大崎,嘉良川前,2021-09-08,2.5,0,0,0,0
2021,12,5,川平～大崎,ダテフ崎北,2021-09-08,80,0,0,0,0
2021,12,6,川平～大崎,ダテフ崎南,2021-09-08,10,0,0,0,0
2021,12,7,川平～大崎,野底石崎,2021-09-07,2.5,0,0,0,0
2021,12,8,川平～大崎,栄集落前,2021-09-07,50,0,0,0,0
2021,12,9,川平～大崎,野底集落前,2021-09-07,10,0,0,0,0
2021,12,10,川平～大崎,野底崎,2021-09-07,30,0,0,0,0
2021,12,11,川平～大崎,伊土名北,2021-09-07,30,0,0,0,0
2021,12,12,川平～大崎,伊土名南,2021-09-07,80,0,0,0,0
2021,12,13,川平～大崎,浦底湾口北,2021-09-07,70,0,0,0,0
