spot_id,サイト名,地点No,地名,lat,lon,survey_years
東村～奥_1,東村～奥,1.0,荒崎西**,26.075806,127.674528,5.0
東村～奥_2,東村～奥,2.0,大度海岸礁池,26.087778,127.709361,5.0
東村～奥_3,東村～奥,3.0,大度海岸礁斜面,26.085917,127.706667,5.0
東村～奥_4,東村～奥,4.0,摩文仁南礁斜面,26.087556,127.719389,5.0
東村～奥_5,東村～奥,5.0,奥武島南礁池,26.124806,127.772167,5.0
東村～奥_6,東村～奥,6.0,奥武島南礁斜面,26.122861,127.772389,5.0
東村～奥_7,東村～奥,7.0,クマカ島南,26.141556,127.851083,5.0
東村～奥_8,東村～奥,8.0,久高島エラブ岩東,26.15125,127.888722,5.0
東村～奥_9,東村～奥,9.0,ウガン岩南,26.17775,127.929194,5.0
東村～奥_10,東村～奥,10.0,津堅島アギハマ東,26.242472,127.951222,5.0
東村～奥_11,東村～奥,11.0,ギノギ岩北東,26.279556,127.961167,5.0
東村～奥_12,東村～奥,12.0,南浮原南東,26.285056,127.982083,4.0
東村～奥_13,東村～奥,13.0,浮原北東ヨコビシ,26.306306,128.002528,5.0
東村～奥_15,東村～奥,15.0,伊計島東礁斜面,26.384111,128.003833,5.0
東村～奥_16,東村～奥,16.0,慶佐次ウッパマ東礁池,26.600667,128.154556,5.0
東村～奥_17,東村～奥,17.0,東村宮城ウンシ南,26.614778,128.180583,5.0
東村～奥_18,東村～奥,18.0,揚水発電所南東,26.668472,128.270111,5.0
東村～奥_19,東村～奥,19.0,安波南,26.707278,128.294194,5.0
東村～奥_20,東村～奥,20.0,カツセノ崎南,26.719,128.302722,5.0
東村～奥_21,東村～奥,21.0,イシキナ崎南,26.730333,128.314472,5.0
東村～奥_22,東村～奥,22.0,安田ヶ島南,26.738944,128.337667,5.0
東村～奥_23,東村～奥,23.0,国頭村赤崎北礁池,26.821806,128.314111,5.0
東村～奥_24,東村～奥,24.0,国頭村赤崎北礁斜面,26.823444,128.316917,5.0
東村～奥_25,東村～奥,25.0,奥漁港北,26.849056,128.288028,5.0
東村～奥_27,東村～奥,27.0,安田ヶ島北,26.755083,128.330972,5.0
東村～奥_28,東村～奥,28.0,慶佐次ウッパマ東礁斜面,26.600556,128.156889,5.0
東村～奥_33,東村～奥,33.0,米須,26.084528,127.698167,5.0
東村～奥_39,東村～奥,39.0,宇佐浜東礁斜面,26.864861,128.267083,3.0
東村～奥_40,東村～奥,40.0,浮原北東ヨコビシ東,26.304194,128.012472,5.0
恩納村～残波岬_1,恩納村～残波岬,1.0,喜屋武漁港西,26.0985,127.645556,5.0
恩納村～残波岬_4,恩納村～残波岬,4.0,チービシクエフ南*,26.244694,127.560889,5.0
恩納村～残波岬_5,恩納村～残波岬,5.0,チービシ神山南,26.255444,127.579861,5.0
恩納村～残波岬_6,恩納村～残波岬,6.0,チービシナガンヌ南,26.256333,127.539917,5.0
恩納村～残波岬_7,恩納村～残波岬,7.0,チービシナガンヌ西,26.27025,127.524111,5.0
