site_no,spot_no,date,year,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
1,1,2020-11-06,2020,50.0,,,0.0,
1,2,2020-11-06,2020,20.0,,,0.0,
1,3,2020-10-26,2020,70.0,,,0.0,
1,4,2020-10-26,2020,30.0,,,0.0,
1,5,2020-10-26,2020,50.0,,,0.0,
1,6,2020-10-26,2020,60.0,,,0.0,
1,7,2020-10-28,2020,40.0,,,0.0,
1,8,2020-10-28,2020,30.0,,,0.0,
1,9,2020-10-28,2020,20.0,,,0.0,
1,10,2020-12-22,2020,40.0,,,0.0,
1,11,2020-12-22,2020,70.0,,,0.0,
1,12,2020-12-29,2020,60.0,,,0.0,
1,13,2020-12-29,2020,50.0,,,0.0,
1,14,,2020,,,,,
1,15,,2020,,,,,
1,16,2020-11-11,2020,10.0,,,0.0,
1,17,2020-10-29,2020,40.0,,,0.0,
1,18,2020-10-29,2020,20.0,,,0.0,
1,19,2020-10-29,2020,10.0,,,0.0,
1,20,2020-11-11,2020,40.0,,,0.0,
3,1,2020-11-17,2020,40.0,40.0,30.0,0.0,0.0
3,2,2020-09-14,2020,30.0,30.0,30.0,50.0,0.0
3,3,2020-09-14,2020,70.0,80.0,80.0,0.0,0.0
3,4,2020-08-15,2020,,2.5,,0.0,0.0
3,5,2020-09-14,2020,,2.5,,0.0,0.0
3,6,2020-11-25,2020,80.0,80.0,80.0,0.0,0.0
3,7,2020-11-25,2020,30.0,30.0,30.0,0.0,0.0
3,8,2020-09-11,2020,,2.5,,0.0,0.0
3,9,2020-10-22,2020,30.0,30.0,20.0,0.0,0.0
3,10,2020-10-22,2020,30.0,30.0,25.0,0.0,0.0
3,11,2020-09-09,2020,20.0,20.0,20.0,50.0,0.0
3,12,2020-08-29,2020,70.0,60.0,50.0,0.0,0.0
3,13,2020-09-25,2020,20.0,20.0,20.0,0.0,0.0
3,14,2020-09-25,2020,70.0,70.0,70.0,0.0,0.0
3,15,2020-08-22,2020,60.0,60.0,50.0,30.0,0.0
4,1,2020-09-27,2020,30.0,20.0,15.0,50.0,
4,2,2020-09-08,2020,20.0,20.0,23.333333333333332,0.5,
4,3,2020-09-27,2020,50.0,40.0,38.333333333333336,0.5,
4,4,2020-09-27,2020,20.0,20.0,20.0,0.0,
4,5,2020-09-08,2020,10.0,10.0,10.0,0.5,
4,6,2020-09-08,2020,10.0,20.0,23.333333333333332,0.0,
4,7,2021-01-11,2020,30.0,20.0,15.0,0.0,
4,8,2021-01-11,2020,10.0,10.0,6.666666666666667,0.0,
4,9,2021-01-11,2020,20.0,20.0,18.333333333333332,0.0,
4,10,2021-01-11,2020,20.0,10.0,14.166666666666666,0.0,
4,11,2021-01-11,2020,10.0,10.0,7.5,0.0,
4,12,2021-01-11,2020,,10.0,6.666666666666667,0.0,
4,13,2021-01-11,2020,20.0,30.0,25.833333333333332,0.0,
4,14,,2020,,,,,
4,15,2021-01-11,2020,20.0,20.0,20.833333333333332,0.0,
4,16,2020-09-19,2020,10.0,10.0,6.0,0.0,
4,17,2020-12-13,2020,40.0,50.0,30.0,0.0,
4,18,2020-12-13,2020,60.0,50.0,43.333333333333336,0.0,
4,19,2020-12-13,2020,40.0,30.0,18.333333333333332,0.0,
4,20,2020-12-13,2020,30.0,20.0,18.333333333333332,0.0,
4,21,2020-12-13,2020,40.0,40.0,23.333333333333332,0.0,
