site_no,spot_no,date,year,coral_cover,bleaching_all,bleaching_acropora,mortality_all,mortality_acropora
4,22,2020-12-13,2020,50.0,50.0,36.666666666666664,0.0,
4,23,2020-09-19,2020,20.0,10.0,16.666666666666668,2.5,
4,24,2020-09-19,2020,40.0,50.0,51.666666666666664,0.0,
4,25,2020-09-19,2020,40.0,60.0,50.0,0.0,
4,26,,2020,,,,,
4,27,2020-12-13,2020,60.0,70.0,50.0,0.0,
4,28,2020-09-19,2020,60.0,70.0,63.333333333333336,4.0,
4,29,,2020,,,,,
4,30,,2020,,,,,
4,31,,2020,,,,,
4,32,,2020,,,,,
4,33,2020-09-27,2020,60.0,50.0,45.0,0.5,
4,34,,2020,,,,,
4,35,,2020,,,25.0,,
4,36,,2020,,,,,
4,37,,2020,,,,,
4,38,,2020,,,,,
4,39,2020-09-19,2020,70.0,60.0,60.0,2.5,
4,40,2021-01-11,2020,70.0,60.0,66.66666666666667,0.0,
4,41,,2020,,,,,
4,42,2021-01-11,2020,30.0,,,0.0,
4,43,2020-12-13,2020,10.0,,,0.0,
5,1,2020-09-27,2020,50.0,40.0,30.0,0.0,
5,2,,2020,,,,,
5,3,,2020,,,,,
5,4,2021-01-14,2020,60.0,50.0,63.333333333333336,10.0,
5,5,2021-01-14,2020,70.0,60.0,63.333333333333336,0.0,
5,6,2021-01-14,2020,40.0,40.0,20.0,5.0,
5,7,2021-01-14,2020,70.0,50.0,60.0,0.0,
5,8,2021-01-14,2020,20.0,30.0,28.333333333333332,0.0,
5,9,2021-01-14,2020,40.0,20.0,7.5,0.0,
5,10,2020-11-07,2020,50.0,40.0,23.333333333333332,0.0,
5,11,,2020,,,,,
5,12,2020-11-07,2020,20.0,20.0,7.5,0.0,
5,13,2021-01-21,2020,10.0,20.0,12.5,1.5,
5,14,2020-11-07,2020,40.0,40.0,38.333333333333336,0.0,
5,15,2020-09-08,2020,10.0,10.0,13.333333333333334,5.0,
5,16,2021-01-16,2020,60.0,50.0,41.666666666666664,0.0,
5,17,2020-09-17,2020,60.0,60.0,56.666666666666664,0.0,
5,18,2020-09-17,2020,70.0,70.0,66.66666666666667,0.0,
5,19,2020-09-17,2020,50.0,60.0,56.666666666666664,0.0,
5,20,2020-09-17,2020,60.0,60.0,41.666666666666664,0.0,
5,21,2020-10-28,2020,50.0,60.0,45.0,0.5,
5,22,,2020,,,,,
5,23,2020-10-28,2020,60.0,50.0,40.0,0.0,
5,24,2020-09-29,2020,30.0,30.0,23.333333333333332,0.0,
5,25,2020-09-29,2020,60.0,50.0,51.666666666666664,0.0,
5,26,2020-09-29,2020,50.0,50.0,55.0,0.0,
5,27,2020-09-29,2020,70.0,70.0,55.0,0.0,
5,28,2020-09-29,2020,40.0,20.0,45.0,1.5,
5,29,2020-09-29,2020,80.0,70.0,68.33333333333333,0.0,
5,30,,2020,,,,,
5,31,2020-09-27,2020,50.0,20.0,18.333333333333332,0.5,
5,32,2020-09-08,2020,20.0,10.0,27.5,35.0,
5,33,2020-09-08,2020,20.0,20.0,21.666666666666668,2.5,
5,34,,2020,,,,,
5,35,,2020,,,,,
5,36,,2020,,,,,
5,37,,2020,,,,,
5,38,,2020,,,,,
5,39,,2020,,,,,
5,40,2020-10-28,2020,40.0,,,0.0,
5,41,,2020,,,,,
5,42,,2020,,,,,
5,43,2020-09-08,2020,20.0,20.0,18.333333333333332,0.5,
5,44,2021-01-21,2020,30.0,30.0,10.0,10.0,
5,45,2021-01-14,2020,70.0,70.0,63.333333333333336,0.0,
5,46,,2020,,,11.666666666666666,,
5,47,,2020,,,,,
5,48,,2020,,,,,
5,49,,2020,,,,,
5,50,,2020,,,11.666666666666666,,
6,1,2020-10-28,2020,70.0,80.0,58.333333333333336,0.0,
6,2,2020-10-28,2020,70.0,60.0,51.666666666666664,0.0,
6,3,2020-10-28,2020,60.0,60.0,55.0,0.0,
6,4,2020-10-28,2020,60.0,50.0,48.333333333333336,0.0,
6,5,2020-10-28,2020,60.0,60.0,45.0,0.0,
6,6,,2020,,,,,
6,7,,2020,,,,,
6,8,,2020,,,,,
6,9,,2020,,,,,
7,1,2020-10-03,2020,20.0,30.0,22.40277777777778,0.0,0.0
7,2,2020-10-03,2020,10.0,10.0,8.653846153846153,0.0,0.0
7,3,2020-10-04,2020,30.0,30.0,23.00802139037433,0.0,0.0
7,4,2020-11-07,2020,40.0,30.0,20.166666666666664,0.0,0.0
7,5,2020-11-07,2020,20.0,30.0,18.92857142857143,0.0,0.0
7,6,2020-09-19,2020,50.0,40.0,38.53409090909091,,0.0
7,7,2020-11-07,2020,50.0,50.0,57.22727272727273,0.0,0.0
7,8,2020-09-19,2020,20.0,20.0,17.75,0.0,0.0
7,9,2020-09-19,2020,20.0,30.0,23.944444444444443,0.0,0.0
7,10,2020-10-04,2020,20.0,20.0,20.84375,0.0,0.0
7,11,2020-10-03,2020,30.0,40.0,29.166666666666664,,0.0
7,12,2020-10-03,2020,40.0,30.0,29.5,,
8,1,,2020,,,,,
8,2,,2020,,,,,
8,3,,2020,,,,,
8,4,,2020,,,,,
8,5,,2020,,,,,
8,6,,2020,,,,,
8,7,,2020,,,,,
8,8,,2020,,,,,
8,9,,2020,,,,,
8,10,,2020,,,,,
8,11,,2020,,,,,
8,12,,2020,,,,,
8,13,,2020,,,,,
8,14,,2020,,,,,
8,15,,2020,,,,,
8,16,,2020,,,,,
8,17,,2020,,,,,
8,18,,2020,,,,,
9,1,2020-11-22,2020,40.0,40.0,40.0,0.0,0.0
9,2,2020-09-19,2020,40.0,30.0,10.0,0.0,0.0
9,3,2020-09-19,2020,10.0,10.0,5.0,,0.0
9,4,2020-12-19,2020,40.0,30.0,40.0,0.0,0.0
9,5,2020-10-04,2020,10.0,5.0,5.0,10.0,0.0
9,6,2020-10-04,2020,20.0,5.0,5.0,0.0,0.0
9,7,2020-10-04,2020,20.0,20.0,10.0,5.0,0.0
9,8,2020-12-19,2020,20.0,20.0,20.0,,0.0
9,9,2020-09-19,2020,30.0,20.0,5.0,,0.0
9,10,2020-09-19,2020,50.0,40.0,20.0,0.0,0.0
10,1,2020-11-22,2020,10.0,5.0,5.0,0.0,0.0
10,2,2020-11-22,2020,30.0,20.0,10.0,0.0,0.0
10,3,2020-11-22,2020,20.0,10.0,10.0,0.0,0.0
10,4,2020-11-22,2020,10.0,10.0,5.0,0.0,0.0
11,1,2020-10-05,2020,10.0,2.5,,0.0,0.0
11,2,2020-10-05,2020,30.0,30.0,20.0,0.0,0.0
11,3,2020-10-05,2020,,2.5,,0.0,0.0
11,4,2020-10-05,2020,,2.5,,0.0,0.0
11,5,2020-10-05,2020,60.0,60.0,60.0,0.0,0.0
11,6,2020-10-05,2020,60.0,60.0,50.0,0.0,0.0
11,7,2020-10-05,2020,30.0,30.0,25.0,0.0,0.0
11,8,2020-10-05,2020,40.0,40.0,30.0,0.0,0.0
11,9,2020-10-05,2020,10.0,10.0,5.0,0.0,0.0
11,10,2020-11-02,2020,10.0,10.0,5.0,0.0,0.0
11,11,2020-11-02,2020,,0.5,,0.0,0.0
11,12,2020-11-02,2020,40.0,40.0,30.0,0.0,0.0
11,13,2020-11-02,2020,20.0,10.0,5.0,0.0,0.0
11,14,2020-11-02,2020,,2.5,,0.0,0.0
11,15,2020-11-02,2020,,0.5,,0.0,0.0
11,16,2020-11-02,2020,20.0,20.0,10.0,0.0,0.0
11,17,2020-11-02,2020,70.0,70.0,70.0,0.0,0.0
11,18,2020-11-02,2020,,2.5,,0.0,0.0
11,19,2020-11-22,2020,70.0,60.0,55.0,0.0,0.0
11,20,2020-11-22,2020,10.0,10.0,5.0,0.0,0.0
11,21,2020-11-22,2020,10.0,10.0,10.0,0.0,0.0
11,22,2020-11-22,2020,,2.5,,0.0,0.0
11,23,2020-11-22,2020,10.0,10.0,5.0,0.0,0.0
11,24,2020-11-22,2020,50.0,60.0,60.0,0.0,0.0
11,25,2020-11-22,2020,20.0,20.0,20.0,0.0,0.0
11,26,2020-11-22,2020,10.0,10.0,5.0,0.0,0.0
11,27,2020-11-22,2020,70.0,70.0,60.0,0.0,0.0
11,28,2020-11-22,2020,40.0,30.0,20.0,0.0,0.0
11,29,2020-11-22,2020,40.0,40.0,40.0,0.0,0.0
11,30,2020-11-06,2020,40.0,40.0,60.0,0.0,0.0
11,31,2020-11-06,2020,60.0,50.0,40.0,0.0,0.0
11,32,2020-11-06,2020,20.0,20.0,10.0,0.0,0.0
11,33,2020-11-06,2020,20.0,10.0,5.0,0.0,0.0
12,1,2020-11-06,2020,,0.5,,0.0,0.0
12,2,2020-11-06,2020,10.0,2.5,,0.0,0.0
12,3,2020-11-06,2020,10.0,2.5,,0.0,0.0
12,4,2020-11-06,2020,,2.5,,0.0,0.0
12,5,2020-11-06,2020,60.0,40.0,15.0,0.0,0.0
12,6,2020-11-06,2020,,0.5,,0.0,0.0
12,7,2020-11-17,2020,,2.5,,0.0,0.0
12,8,2020-11-17,2020,40.0,20.0,5.0,0.0,0.0
12,9,2020-11-17,2020,10.0,10.0,,0.0,0.0
12,10,2020-11-17,2020,20.0,20.0,15.0,0.0,0.0
12,11,2020-11-17,2020,30.0,10.0,,0.0,0.0
12,12,2020-11-17,2020,70.0,50.0,25.0,0.0,0.0
12,13,2020-11-17,2020,70.0,40.0,20.0,0.0,0.0
12,14,2020-11-17,2020,40.0,30.0,10.0,0.0,0.0
12,15,2020-11-17,2020,70.0,30.0,15.0,0.0,0.0
12,16,2020-12-07,2020,60.0,60.0,50.0,0.0,
12,17,2020-11-07,2020,50.0,40.0,20.0,0.0,0.0
12,18,2020-11-15,2020,60.0,60.0,50.0,0.0,0.0
12,19,2020-11-15,2020,30.0,20.0,15.0,0.0,0.0
12,20,2020-11-15,2020,50.0,50.0,40.0,0.0,0.0
12,21,2020-11-15,2020,50.0,10.0,,0.0,0.0
12,22,2020-11-15,2020,10.0,2.5,,0.0,0.0
12,23,2020-11-15,2020,,0.5,,0.0,0.0
12,24,2020-11-15,2020,60.0,60.0,60.0,0.0,0.0
12,25,2020-11-15,2020,30.0,10.0,5.0,0.0,0.0
12,26,2020-11-15,2020,,0.5,,0.0,0.0
12,27,2020-11-07,2020,60.0,20.0,5.0,0.0,0.0
12,28,2020-11-07,2020,70.0,30.0,20.0,0.0,0.0
12,29,2021-01-25,2020,40.0,20.0,5.0,0.0,0.0
12,30,2021-01-25,2020,30.0,20.0,,0.0,0.0
12,31,2021-01-25,2020,50.0,30.0,10.0,0.0,0.0
12,32,2021-01-25,2020,20.0,10.0,5.0,0.0,0.0
12,33,2020-12-23,2020,60.0,30.0,10.0,0.0,0.0
12,34,2020-12-23,2020,20.0,10.0,,0.0,0.0
12,35,2020-11-21,2020,20.0,10.0,5.0,0.0,0.0
12,36,2020-12-23,2020,30.0,20.0,20.0,0.0,0.0
12,37,2020-11-21,2020,10.0,10.0,5.0,0.0,0.0
12,38,2020-12-17,2020,10.0,2.5,,0.0,0.0
12,39,2020-12-17,2020,10.0,10.0,5.0,0.0,0.0
12,40,2020-12-17,2020,70.0,70.0,70.0,0.0,0.0
12,41,2020-11-21,2020,20.0,10.0,10.0,0.0,0.0
12,42,2020-11-21,2020,20.0,20.0,15.0,0.0,0.0
12,43,2020-11-06,2020,,2.5,,0.0,0.0
12,44,2020-11-06,2020,70.0,50.0,20.0,0.0,0.0
13,27,2020-11-15,2020,10.0,10.0,7.666666666666667,22.0,10.0
13,28,2020-11-15,2020,50.0,40.0,18.333333333333332,36.5,10.0
13,31,2020-11-15,2020,70.0,60.0,57.5,29.5,7.5
13,32,2020-11-15,2020,,2.5,,12.5,5.0
13,35,2020-11-06,2020,60.0,50.0,41.666666666666664,27.5,12.5
13,36,2020-11-08,2020,60.0,60.0,65.0,22.5,7.5
13,42,2020-11-13,2020,20.0,20.0,18.333333333333332,52.5,27.5
13,43,2020-11-13,2020,20.0,20.0,19.166666666666668,45.0,15.0
13,44,2020-11-13,2020,10.0,10.0,10.0,39.5,20.0
13,49,2020-11-08,2020,10.0,10.0,5.166666666666667,29.0,15.0
13,50,2020-11-07,2020,40.0,10.0,6.333333333333333,15.25,12.5
13,51,2020-11-18,2020,10.0,2.5,,23.5,15.0
13,52,2020-11-18,2020,20.0,10.0,10.5,30.0,12.5
13,53,2020-11-18,2020,20.0,20.0,16.666666666666668,35.0,10.0
13,62,2020-11-06,2020,50.0,50.0,36.666666666666664,25.5,7.5
13,63,2020-11-06,2020,50.0,50.0,43.333333333333336,24.5,10.0
13,64,2020-11-06,2020,50.0,50.0,42.5,20.5,7.5
13,65,2020-11-06,2020,60.0,70.0,54.166666666666664,23.5,15.0
13,67,2020-11-13,2020,20.0,20.0,20.0,52.5,15.0
13,68,2020-11-15,2020,30.0,20.0,28.333333333333332,27.5,12.5
13,71,2020-10-28,2020,70.0,40.0,36.666666666666664,20.0,10.0
13,72,2020-10-28,2020,50.0,50.0,30.0,25.0,7.5
13,73,2020-10-28,2020,40.0,30.0,10.0,21.0,10.0
13,74,2020-10-28,2020,40.0,20.0,13.333333333333334,23.0,10.0
13,75,2020-11-07,2020,50.0,40.0,30.833333333333332,24.0,12.5
13,110,2020-11-15,2020,10.0,10.0,,22.0,12.5
13,112,2020-11-13,2020,30.0,20.0,22.5,40.0,12.5
13,116,2020-10-28,2020,40.0,40.0,29.166666666666668,29.0,10.0
14,46,2020-11-01,2020,,2.5,,62.5,10.0
14,47,2020-11-13,2020,,2.5,6.666666666666667,67.5,10.0
14,54,2020-11-18,2020,10.0,10.0,8.0,40.0,5.0
14,76,2020-11-18,2020,10.0,10.0,9.0,27.5,7.5
14,77,2020-11-16,2020,,10.0,,72.5,12.5
14,78,2020-11-12,2020,,2.5,,70.0,10.0
14,79,2020-10-30,2020,,2.5,,75.0,40.0
14,80,2020-11-12,2020,10.0,10.0,8.5,74.0,12.5
14,81,2020-11-12,2020,,2.5,,42.5,10.0
14,82,2020-11-12,2020,20.0,10.0,,40.0,15.0
14,83,2020-11-12,2020,,2.5,,64.5,12.5
14,84,2020-10-30,2020,20.0,20.0,9.166666666666666,70.0,32.5
14,87,2020-11-18,2020,10.0,20.0,21.666666666666668,39.0,15.0
14,88,2020-11-16,2020,10.0,10.0,10.0,22.0,10.0
14,89,2020-11-21,2020,,2.5,,81.5,30.0
14,90,2020-11-21,2020,,2.5,,52.5,20.0
14,93,2020-10-30,2020,,2.5,,70.0,40.0
14,109,2020-11-20,2020,20.0,2.5,,66.0,22.5
14,114,2020-11-20,2020,10.0,10.0,5.166666666666667,69.5,22.5
14,115,2020-11-12,2020,10.0,10.0,5.833333333333333,76.0,25.0
15,4,2020-11-02,2020,,2.5,,90.0,10.0
15,5,2020-11-02,2020,,2.5,,85.0,7.5
15,19,2020-11-02,2020,10.0,10.0,6.666666666666667,72.5,10.0
15,20,2020-11-02,2020,20.0,10.0,10.833333333333334,76.5,7.5
15,22,2020-11-08,2020,10.0,10.0,10.833333333333334,63.5,17.5
15,23,2020-11-05,2020,,2.5,,20.0,7.5
15,24,2020-11-05,2020,20.0,10.0,12.5,55.0,10.0
15,25,2020-11-05,2020,10.0,10.0,6.666666666666667,30.0,17.5
15,37,2020-11-06,2020,40.0,40.0,42.5,30.0,17.5
15,38,2020-11-02,2020,10.0,10.0,9.166666666666666,65.0,12.5
15,39,2020-11-08,2020,20.0,20.0,21.666666666666668,69.5,15.0
15,40,2020-11-05,2020,20.0,20.0,19.166666666666668,44.5,12.5
15,41,2020-11-05,2020,20.0,20.0,17.5,45.0,10.0
15,58,2020-10-31,2020,50.0,40.0,29.166666666666668,70.0,15.0
15,59,2020-10-31,2020,60.0,70.0,66.66666666666667,70.0,10.0
15,60,2020-10-31,2020,70.0,70.0,63.333333333333336,76.5,10.0
15,61,2020-10-31,2020,10.0,10.0,10.833333333333334,75.0,15.0
15,66,2020-11-08,2020,30.0,20.0,14.166666666666666,35.0,12.5
15,104,2020-10-31,2020,10.0,10.0,8.666666666666666,50.5,10.0
15,106,2020-11-02,2020,20.0,20.0,12.5,72.0,12.5
15,107,2020-11-08,2020,60.0,50.0,40.0,30.0,12.5
15,108,2020-11-08,2020,50.0,60.0,36.666666666666664,36.0,7.5
15,111,2020-11-05,2020,30.0,20.0,12.5,34.5,17.5
15,113,2020-10-31,2020,20.0,30.0,30.0,85.5,20.0
16,1,2020-10-26,2020,,2.5,,71.5,25.0
16,2,2020-10-30,2020,30.0,20.0,13.333333333333334,75.0,17.5
16,3,2020-10-30,2020,10.0,10.0,9.166666666666666,82.0,20.0
16,6,2020-11-01,2020,,10.0,,73.5,12.5
16,7,2020-11-17,2020,30.0,40.0,40.833333333333336,69.5,12.5
16,8,2020-11-17,2020,20.0,10.0,5.5,54.0,10.0
16,9,2020-11-17,2020,60.0,40.0,25.0,28.5,7.5
16,10,2020-11-17,2020,40.0,30.0,37.5,23.5,15.0
16,11,2020-11-01,2020,,2.5,,68.0,10.0
16,12,2020-10-27,2020,20.0,20.0,24.166666666666668,78.0,20.0
16,13,2020-10-27,2020,20.0,10.0,12.5,76.0,7.5
16,14,2020-10-27,2020,,2.5,,79.0,20.0
16,15,2020-10-27,2020,20.0,10.0,14.166666666666666,87.5,20.0
16,16,2020-11-01,2020,,2.5,6.666666666666667,66.0,17.5
16,17,2020-11-01,2020,10.0,10.0,6.833333333333333,76.0,17.5
16,45,2020-10-30,2020,10.0,10.0,7.5,81.5,25.0
16,69,2020-11-17,2020,30.0,20.0,17.5,22.5,10.0
16,70,2020-11-17,2020,20.0,10.0,6.666666666666667,40.5,15.0
16,85,2020-11-01,2020,50.0,40.0,36.666666666666664,67.5,25.0
16,94,2020-10-26,2020,20.0,20.0,16.666666666666668,81.0,32.5
16,95,2020-10-26,2020,50.0,30.0,30.0,74.5,22.5
16,96,2020-10-26,2020,10.0,10.0,7.666666666666667,74.0,25.0
16,97,2020-10-26,2020,,2.5,,72.0,20.0
16,98,2020-10-26,2020,20.0,20.0,16.666666666666668,76.5,22.5
16,99,2020-10-26,2020,20.0,30.0,23.333333333333332,85.0,22.5
16,100,2020-10-26,2020,10.0,10.0,8.333333333333334,78.0,20.0
16,101,2020-10-27,2020,10.0,10.0,5.0,84.5,12.5
16,102,2020-10-27,2020,10.0,10.0,9.166666666666666,83.5,10.0
16,103,2020-10-25,2020,20.0,10.0,8.0,78.5,30.0
16,105,2020-10-26,2020,20.0,20.0,14.166666666666666,78.0,15.0
17,120,2020-10-28,2020,50.0,40.0,27.5,23.0,10.0
17,121,2020-10-28,2020,40.0,40.0,32.5,29.0,10.0
17,122,2020-10-29,2020,70.0,50.0,54.166666666666664,46.5,15.0
17,123,2020-10-28,2020,10.0,2.5,,17.5,10.0
17,124,2020-10-28,2020,40.0,20.0,,20.5,7.5
17,125,2020-10-28,2020,40.0,30.0,9.333333333333334,18.5,5.0
17,126,2020-10-29,2020,70.0,60.0,55.0,30.0,12.5
17,127,2020-10-29,2020,30.0,30.0,41.666666666666664,75.0,15.0
17,129,2020-10-29,2020,90.0,90.0,40.833333333333336,2.5,20.0
17,130,2020-11-07,2020,60.0,60.0,25.833333333333332,59.5,32.5
17,131,2020-11-07,2020,20.0,30.0,90.0,40.0,0.0
17,132,2020-11-07,2020,20.0,20.0,59.166666666666664,85.0,22.5
17,133,2020-10-25,2020,40.0,40.0,20.0,85.0,22.5
17,134,2020-10-25,2020,30.0,30.0,19.166666666666668,30.0,35.0
17,135,2020-10-25,2020,40.0,40.0,30.0,81.0,22.5
17,136,2020-10-25,2020,30.0,30.0,22.5,77.5,20.0
17,137,2020-10-25,2020,20.0,20.0,32.5,87.5,25.0
17,138,2020-10-29,2020,20.0,30.0,25.0,80.0,10.0
17,139,2020-10-29,2020,20.0,10.0,15.833333333333334,46.0,17.5
17,141,2020-10-28,2020,60.0,50.0,20.0,26.5,37.5
17,142,2020-10-28,2020,40.0,30.0,11.666666666666666,25.5,22.5
18,1,2020-11-12,2020,50.0,50.0,40.0,,
18,2,2020-11-11,2020,70.0,60.0,60.0,,
18,3,2020-11-12,2020,60.0,60.0,70.0,,
18,4,2020-11-12,2020,60.0,50.0,50.0,10.0,
18,5,2020-11-11,2020,60.0,40.0,50.0,10.0,
18,6,2020-12-23,2020,30.0,30.0,30.0,,
18,7,2020-12-23,2020,30.0,20.0,30.0,,
18,8,2020-12-23,2020,50.0,60.0,50.0,,
18,9,2020-11-11,2020,40.0,30.0,40.0,20.0,
18,10,2020-11-11,2020,30.0,20.0,20.0,30.0,
18,11,2020-11-11,2020,20.0,20.0,30.0,20.0,
18,12,2020-11-12,2020,60.0,80.0,80.0,70.0,10.0
19,1,2020-10-26,2020,,2.5,,0.0,
19,2,2020-11-06,2020,,2.5,,0.0,
19,3,2020-07-21,2020,,2.5,,0.0,
19,4,2020-07-21,2020,,2.5,,0.0,
19,5,2020-12-01,2020,,2.5,,0.0,
19,6,2020-10-28,2020,10.0,10.0,10.0,0.0,
20,1,,2020,,,,,
20,2,,2020,,,,,
20,3,,2020,,,,,
20,4,,2020,,,,,
20,5,,2020,,,,,
20,6,,2020,,,,,
20,7,,2020,,,,,
20,8,,2020,,,,,
20,9,,2020,,,,,
20,10,,2020,,,,,
20,11,,2020,,,,,
20,12,,2020,,,,,
20,13,,2020,,,,,
20,14,,2020,,,,,
20,15,,2020,,,,,
20,16,,2020,,,,,
21,1,2020-12-02,2020,,2.5,,,0.0
21,2,2021-01-15,2020,50.0,40.0,36.5,0.0,
21,3,2021-01-17,2020,20.0,20.0,26.0,10.0,0.0
21,4,2020-12-19,2020,20.0,20.0,21.5,,0.0
21,5,2020-12-19,2020,60.0,60.0,45.0,30.0,
21,6,2020-12-23,2020,10.0,10.0,12.0,30.0,0.0
21,7,2020-12-23,2020,,5.0,,0.0,0.0
21,8,2021-01-15,2020,40.0,30.0,26.0,,0.0
21,9,2020-12-07,2020,30.0,20.0,16.0,,0.0
21,10,,2020,,,,,
21,11,2021-01-09,2020,20.0,20.0,15.0,,0.0
21,12,2020-12-04,2020,10.0,10.0,8.8,,0.0
21,13,2020-11-28,2020,60.0,60.0,60.0,0.0,0.0
21,14,2020-06-13,2020,20.0,20.0,18.0,0.0,0.0
21,15,2020-12-07,2020,60.0,50.0,37.5,,0.0
21,16,2020-12-21,2020,10.0,10.0,0.0,,0.0
21,17,2020-12-21,2020,,2.5,0.0,0.0,0.0
21,18,2020-11-12,2020,50.0,60.0,54.0,10.0,0.0
22,1,2020-10-20,2020,40.0,40.0,40.0,,0.0
22,2,2021-01-11,2020,,10.0,10.0,0.0,0.0
22,3,2021-01-11,2020,20.0,20.0,10.0,0.0,0.0
22,4,2020-11-05,2020,40.0,40.0,40.0,0.0,0.0
22,5,2020-11-05,2020,20.0,20.0,10.0,0.0,0.0
22,6,2021-01-11,2020,40.0,30.0,30.0,0.0,0.0
22,7,2020-11-16,2020,50.0,50.0,50.0,,0.0
22,8,2020-10-16,2020,30.0,30.0,30.0,,
22,9,2020-10-16,2020,,2.5,,0.0,0.0
22,10,2020-12-02,2020,30.0,30.0,30.0,0.0,0.0
22,11,2020-12-02,2020,20.0,20.0,20.0,,0.0
22,12,2020-10-29,2020,30.0,30.0,30.0,,0.0
22,13,2020-10-29,2020,40.0,40.0,30.0,,
22,14,2020-10-29,2020,30.0,30.0,30.0,0.0,
22,15,2020-10-29,2020,30.0,30.0,30.0,0.0,0.0
22,16,2020-10-29,2020,,2.5,,0.0,0.0
22,17,2020-10-04,2020,10.0,10.0,6.25,20.0,0.0
22,18,2020-10-04,2020,30.0,20.0,15.0,10.0,0.0
22,19,2020-10-04,2020,30.0,30.0,15.0,30.0,0.0
22,20,2020-10-04,2020,10.0,2.5,6.25,,0.0
22,21,2020-12-06,2020,40.0,40.0,30.0,,0.0
22,22,2020-12-06,2020,30.0,30.0,30.0,,0.0
22,23,2020-12-06,2020,30.0,20.0,30.0,,0.0
22,24,2020-12-06,2020,20.0,10.0,10.0,,0.0
22,25,2020-12-06,2020,10.0,2.5,,,0.0
22,26,,2020,,,,,0.0
22,27,,2020,,,,,0.0
22,28,,2020,,,,,0.0
22,29,,2020,,,,,
22,30,,2020,,,,,
22,31,,2020,,,,,
22,32,2020-12-19,2020,,2.5,,0.0,0.0
22,33,2020-12-19,2020,10.0,2.5,,0.0,0.0
22,34,2020-12-19,2020,20.0,2.5,,0.0,0.0
22,35,2020-10-05,2020,60.0,,,,
22,36,2020-10-05,2020,20.0,,,,
22,37,2020-10-05,2020,30.0,,,,
