site_no,spot_no,date,sst,source
1,5,2019-05-25,25.46,nasa_mur
1,5,2019-05-26,25.66,nasa_mur
1,5,2019-05-27,25.16,nasa_mur
1,5,2019-05-28,24.78,nasa_mur
1,5,2019-05-29,24.68,nasa_mur
1,5,2019-05-30,24.75,nasa_mur
1,5,2019-05-31,24.86,nasa_mur
1,5,2019-06-01,24.96,nasa_mur
1,5,2019-06-02,23.76,nasa_mur
1,5,2019-06-03,24.4,nasa_mur
1,5,2019-06-04,24.66,nasa_mur
1,5,2019-06-05,24.98,nasa_mur
1,5,2019-06-06,25.03,nasa_mur
1,5,2019-06-07,25.03,nasa_mur
1,5,2019-06-08,24.55,nasa_mur
1,5,2019-06-09,23.65,nasa_mur
1,5,2019-06-10,23.82,nasa_mur
1,5,2019-06-11,23.97,nasa_mur
1,5,2019-06-12,23.89,nasa_mur
1,5,2019-06-13,23.37,nasa_mur
1,5,2019-06-14,22.91,nasa_mur
1,5,2019-06-15,23.13,nasa_mur
1,5,2019-06-16,23.09,nasa_mur
1,5,2019-06-17,23.12,nasa_mur
1,5,2019-06-18,25.1,nasa_mur
1,5,2019-06-19,25.41,nasa_mur
1,5,2019-06-20,23.93,nasa_mur
1,5,2019-06-21,24.25,nasa_mur
1,5,2019-06-22,24.93,nasa_mur
1,5,2019-06-23,25.1,nasa_mur
1,5,2019-06-24,25.15,nasa_mur
1,5,2019-06-25,25.23,nasa_mur
1,5,2019-06-26,25.1,nasa_mur
1,5,2019-06-27,24.94,nasa_mur
1,5,2019-06-28,24.97,nasa_mur
1,5,2019-06-29,25.06,nasa_mur
1,5,2019-06-30,24.93,nasa_mur
1,5,2019-07-01,24.32,nasa_mur
1,5,2019-07-02,24.48,nasa_mur
1,5,2019-07-03,24.84,nasa_mur
1,5,2019-07-04,26.41,nasa_mur
1,5,2019-07-05,26.81,nasa_mur
1,5,2019-07-06,26.85,nasa_mur
1,5,2019-07-07,26.84,nasa_mur
1,5,2019-07-08,26.91,nasa_mur
1,5,2019-07-09,27.2,nasa_mur
1,5,2019-07-10,27.17,nasa_mur
1,5,2019-07-11,26.64,nasa_mur
1,5,2019-07-12,26.28,nasa_mur
1,5,2019-07-13,26.39,nasa_mur
1,5,2019-07-14,26.45,nasa_mur
1,5,2019-07-15,26.43,nasa_mur
1,5,2019-07-16,26.19,nasa_mur
1,5,2019-07-17,26.38,nasa_mur
1,5,2019-07-18,26.65,nasa_mur
1,5,2019-07-19,27.2,nasa_mur
1,5,2019-07-20,27.41,nasa_mur
1,5,2019-07-21,27.43,nasa_mur
1,5,2019-07-22,27.51,nasa_mur
1,5,2019-07-23,28.13,nasa_mur
1,5,2019-07-24,29.09,nasa_mur
1,5,2019-07-25,29.21,nasa_mur
1,5,2019-07-26,29.15,nasa_mur
1,5,2019-07-27,29.01,nasa_mur
1,5,2019-07-28,28.96,nasa_mur
1,5,2019-07-29,29.02,nasa_mur
1,5,2019-07-30,29.44,nasa_mur
1,5,2019-07-31,29.62,nasa_mur
1,5,2019-08-01,29.75,nasa_mur
1,5,2019-08-02,29.08,nasa_mur
1,5,2019-08-03,28.78,nasa_mur
1,5,2019-08-04,28.81,nasa_mur
1,5,2019-08-05,28.91,nasa_mur
1,5,2019-08-06,28.74,nasa_mur
1,5,2019-08-07,28.78,nasa_mur
1,5,2019-08-08,28.74,nasa_mur
1,5,2019-08-09,28.16,nasa_mur
1,5,2019-08-10,28.26,nasa_mur
1,5,2019-08-11,28.65,nasa_mur
1,5,2019-08-12,28.65,nasa_mur
1,5,2019-08-13,28.42,nasa_mur
1,5,2019-08-14,28.5,nasa_mur
1,5,2019-08-15,28.79,nasa_mur
1,5,2019-08-16,28.68,nasa_mur
1,5,2019-08-17,28.67,nasa_mur
1,5,2019-08-18,28.74,nasa_mur
1,5,2019-08-19,28.77,nasa_mur
1,5,2019-08-20,28.6,nasa_mur
1,5,2019-08-21,28.5,nasa_mur
1,5,2019-08-22,28.7,nasa_mur
1,5,2019-08-23,28.82,nasa_mur
1,5,2019-08-24,28.88,nasa_mur
1,5,2019-08-25,28.91,nasa_mur
1,5,2019-08-26,28.86,nasa_mur
1,5,2019-08-27,28.59,nasa_mur
1,5,2019-08-28,28.32,nasa_mur
1,5,2019-08-29,28.21,nasa_mur
1,5,2019-08-30,28.27,nasa_mur
1,5,2019-08-31,28.53,nasa_mur
1,5,2019-09-01,28.45,nasa_mur
1,5,2019-09-02,28.39,nasa_mur
