中ブロック,サイトNo,サイト名,spotNo,地名,調査日,調査者,観察手段,観察時間,被度,白化率_全体,白化率_ミドリイシ,死滅率_全体,死滅率_ミドリイシ,生育型,年度,site_code,dhw_satellite
奄美群島,3.0,瀬戸内周辺（大島）,1,赤木名立神,2020-11-17,興克樹,skin,15,40.0,40.0,30.0,0.0,0.0,0,2020,amami,0.0
奄美群島,3.0,瀬戸内周辺（大島）,2,節田,2020-09-14,興克樹,skin,15,30.0,30.0,30.0,50.0,0.0,50,2020,amami,3.6014285714285705
奄美群島,3.0,瀬戸内周辺（大島）,3,神の子,2020-09-14,興克樹,skin,15,70.0,80.0,80.0,0.0,0.0,0,2020,amami,3.6014285714285705
奄美群島,3.0,瀬戸内周辺（大島）,4,久場,2020-08-15,興克樹,skin,15,,2.5,,0.0,0.0,0,2020,amami,1.1328571428571423
奄美群島,3.0,瀬戸内周辺（大島）,5,安木屋場,2020-09-14,興克樹,skin,15,,2.5,,0.0,0.0,0,2020,amami,3.6014285714285705
奄美群島,3.0,瀬戸内周辺（大島）,6,崎原東,2020-11-25,興克樹,skin,15,80.0,80.0,80.0,0.0,0.0,0,2020,amami,0.0
奄美群島,3.0,瀬戸内周辺（大島）,7,崎原南,2020-11-25,興克樹,skin,15,30.0,30.0,30.0,0.0,0.0,0,2020,amami,0.0
奄美群島,3.0,瀬戸内周辺（大島）,8,摺子崎,2020-09-11,興克樹,skin,15,,2.5,,0.0,0.0,50,2020,amami,3.552857142857142
奄美群島,3.0,瀬戸内周辺（大島）,9,大浜,2020-10-22,興克樹,skin,15,30.0,30.0,20.0,0.0,0.0,0,2020,amami,0.6328571428571428
奄美群島,3.0,瀬戸内周辺（大島）,10,徳浜,2020-10-22,興克樹,skin,15,30.0,30.0,25.0,0.0,0.0,0,2020,amami,0.6328571428571428
奄美群島,3.0,瀬戸内周辺（大島）,11,和瀬,2020-09-09,興克樹,skin,15,20.0,20.0,20.0,50.0,0.0,50,2020,amami,3.401428571428571
奄美群島,3.0,瀬戸内周辺（大島）,12,実久,2020-08-29,興克樹,skin,15,70.0,60.0,50.0,0.0,0.0,0,2020,amami,3.021428571428571
奄美群島,3.0,瀬戸内周辺（大島）,13,デリキョンマ崎,2020-09-25,興克樹,skin,15,20.0,20.0,20.0,0.0,0.0,0,2020,amami,3.1799999999999993
奄美群島,3.0,瀬戸内周辺（大島）,14,手安,2020-09-25,興克樹,skin,15,70.0,70.0,70.0,0.0,0.0,0,2020,amami,3.1799999999999993
奄美群島,3.0,瀬戸内周辺（大島）,15,安脚場,2020-08-22,興克樹,skin,15,60.0,60.0,50.0,30.0,0.0,30,2020,amami,2.072857142857142
沖縄島西岸,5.0,恩納村～残波岬,1,喜屋武漁港西,2020-09-27,長田智史,skin,15,50.0,40.0,30.0,0.0,,0,2020,sesoko,1.5957142857142863
沖縄島西岸,5.0,恩納村～残波岬,4,チービシクエフ南*,2021-01-14,長田智史,skin,15,60.0,50.0,63.333333333333336,10.0,,45,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,5,チービシ神山南,2021-01-14,長田智史,skin,15,70.0,60.0,63.333333333333336,0.0,,0,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,6,チービシナガンヌ南,2021-01-14,長田智史,skin,15,40.0,40.0,20.0,5.0,,40,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,7,チービシナガンヌ西,2021-01-14,長田智史,skin,15,70.0,50.0,60.0,0.0,,0,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,8,チービシナガンヌ北,2021-01-14,長田智史,skin,15,20.0,30.0,28.333333333333332,0.0,,0,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,9,空寿崎西座礁船,2021-01-14,長田智史,skin,15,40.0,20.0,7.5,0.0,,0,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,10,伊佐西,2020-11-07,長田智史,skin,15,50.0,40.0,23.333333333333332,0.0,,0,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,12,渡具知西,2020-11-07,長田智史,skin,15,20.0,20.0,7.5,0.0,,0,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,13,残波岬西礁池,2021-01-21,長田智史,skin,20,10.0,20.0,12.5,1.5,,1.5,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,14,残波岬西礁斜面,2020-11-07,長田智史,scuba,20,40.0,40.0,38.333333333333336,0.0,,0,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,15,真栄田岬西礁池,2020-09-08,長田智史,skin,15,10.0,10.0,13.333333333333334,5.0,,0,2020,sesoko,2.785714285714287
沖縄島西岸,5.0,恩納村～残波岬,16,真栄田岬西礁斜面,2021-01-16,長田智史,skin,15,60.0,50.0,41.666666666666664,0.0,,0,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,17,恩納村赤崎西礁池,2020-09-17,長田智史,skin,15,60.0,60.0,56.666666666666664,0.0,,0,2020,sesoko,2.10857142857143
沖縄島西岸,5.0,恩納村～残波岬,18,恩納村赤崎西礁斜面,2020-09-17,長田智史,skin,15,70.0,70.0,66.66666666666667,0.0,,0,2020,sesoko,2.10857142857143
沖縄島西岸,5.0,恩納村～残波岬,19,安富祖北礁池,2020-09-17,長田智史,skin,15,50.0,60.0,56.666666666666664,0.0,,0,2020,sesoko,2.10857142857143
沖縄島西岸,5.0,恩納村～残波岬,20,部瀬名岬西,2020-09-17,長田智史,skin,15,60.0,60.0,41.666666666666664,0.0,,0,2020,sesoko,2.10857142857143
沖縄島西岸,5.0,恩納村～残波岬,21,瀬底島南,2020-10-28,長田智史,skin,15,50.0,60.0,45.0,0.5,,50,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,23,水族館西,2020-10-28,長田智史,skin,15,60.0,50.0,40.0,0.0,,0,2020,sesoko,0.0
沖縄島西岸,5.0,恩納村～残波岬,24,備瀬崎東礁池,2020-09-29,長田智史,skin,15,30.0,30.0,23.333333333333332,0.0,,0,2020,sesoko,1.418571428571429
沖縄島西岸,5.0,恩納村～残波岬,25,備瀬崎東礁斜面,2020-09-29,長田智史,skin,15,60.0,50.0,51.666666666666664,0.0,,0,2020,sesoko,1.418571428571429
沖縄島西岸,5.0,恩納村～残波岬,26,今帰仁村長浜北礁池*,2020-09-29,長田智史,skin,15,50.0,50.0,55.0,0.0,,0,2020,sesoko,1.418571428571429
沖縄島西岸,5.0,恩納村～残波岬,27,今帰仁村長浜北礁斜面*,2020-09-29,長田智史,skin,15,70.0,70.0,55.0,0.0,,0,2020,sesoko,1.418571428571429
沖縄島西岸,5.0,恩納村～残波岬,28,古宇利島北礁池**,2020-09-29,長田智史,skin,15,40.0,20.0,45.0,1.5,,65,2020,sesoko,1.418571428571429
