プロット タイトル: site13_spot042_2022,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21155732, SEN S/N: 21155732)",カプラー取り外し (LGR S/N: 21155732),カプラー取り付け (LGR S/N: 21155732),停止済み (LGR S/N: 21155732),ファイルの終わり (LGR S/N: 21155732)
1,11/13/21 08:00:00 午前,23.016,記録,,,
2,11/13/21 09:00:00 午前,22.872,,,,
3,11/13/21 10:00:00 午前,21.604,,,,
4,11/13/21 11:00:00 午前,21.39,,,,
5,11/13/21 12:00:00 午後,22.106,,,,
6,11/13/21 01:00:00 午後,21.772,,,,
7,11/13/21 02:00:00 午後,23.016,,,,
8,11/13/21 03:00:00 午後,23.448,,,,
9,11/13/21 04:00:00 午後,23.737,,,,
10,11/13/21 05:00:00 午後,23.857,,,,
11,11/13/21 06:00:00 午後,23.905,,,,
12,11/13/21 07:00:00 午後,23.93,,,,
13,11/13/21 08:00:00 午後,23.93,,,,
14,11/13/21 09:00:00 午後,23.978,,,,
15,11/13/21 10:00:00 午後,24.002,,,,
16,11/13/21 11:00:00 午後,24.002,,,,
17,11/14/21 12:00:00 午前,24.026,,,,
18,11/14/21 01:00:00 午前,24.026,,,,
19,11/14/21 02:00:00 午前,24.002,,,,
20,11/14/21 03:00:00 午前,24.002,,,,
21,11/14/21 04:00:00 午前,23.978,,,,
22,11/14/21 05:00:00 午前,23.93,,,,
23,11/14/21 06:00:00 午前,23.376,,,,
24,11/14/21 07:00:00 午前,21.604,,,,
25,11/14/21 08:00:00 午前,22.753,,,,
26,11/14/21 09:00:00 午前,25.525,,,,
27,11/14/21 10:00:00 午前,25.768,,,,
28,11/14/21 11:00:00 午前,25.793,,,,
29,11/14/21 12:00:00 午後,25.817,,,,
30,11/14/21 01:00:00 午後,25.695,,,,
31,11/14/21 02:00:00 午後,25.623,,,,
32,11/14/21 03:00:00 午後,25.21,,,,
33,11/14/21 04:00:00 午後,25.234,,,,
34,11/14/21 05:00:00 午後,25.186,,,,
