プロット タイトル: site18_spot004_2024,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20291287, SEN S/N: 20291287)",カプラー取り外し (LGR S/N: 20291287),カプラー取り付け (LGR S/N: 20291287),ホスト接続 (LGR S/N: 20291287),停止済み (LGR S/N: 20291287),ファイルの終わり (LGR S/N: 20291287)
1,12/21/23 08:00:00 午前,24.919,記録,,,,
2,12/21/23 09:00:00 午前,22.657,,,,,
3,12/21/23 10:00:00 午前,22.681,,,,,
4,12/21/23 11:00:00 午前,22.729,,,,,
5,12/21/23 12:00:00 午後,22.776,,,,,
6,12/21/23 01:00:00 午後,22.824,,,,,
7,12/21/23 02:00:00 午後,22.705,,,,,
8,12/21/23 03:00:00 午後,22.633,,,,,
9,12/21/23 04:00:00 午後,22.609,,,,,
10,12/21/23 05:00:00 午後,22.561,,,,,
11,12/21/23 06:00:00 午後,22.513,,,,,
12,12/21/23 07:00:00 午後,22.537,,,,,
13,12/21/23 08:00:00 午後,22.537,,,,,
14,12/21/23 09:00:00 午後,22.585,,,,,
15,12/21/23 10:00:00 午後,22.633,,,,,
16,12/21/23 11:00:00 午後,22.705,,,,,
17,12/22/23 12:00:00 午前,22.705,,,,,
18,12/22/23 01:00:00 午前,22.681,,,,,
19,12/22/23 02:00:00 午前,22.633,,,,,
20,12/22/23 03:00:00 午前,22.633,,,,,
21,12/22/23 04:00:00 午前,22.417,,,,,
22,12/22/23 05:00:00 午前,22.369,,,,,
23,12/22/23 06:00:00 午前,22.417,,,,,
24,12/22/23 07:00:00 午前,22.417,,,,,
25,12/22/23 08:00:00 午前,22.465,,,,,
26,12/22/23 09:00:00 午前,22.465,,,,,
27,12/22/23 10:00:00 午前,22.585,,,,,
28,12/22/23 11:00:00 午前,22.609,,,,,
29,12/22/23 12:00:00 午後,22.633,,,,,
30,12/22/23 01:00:00 午後,22.681,,,,,
31,12/22/23 02:00:00 午後,22.537,,,,,
32,12/22/23 03:00:00 午後,22.513,,,,,
33,12/22/23 04:00:00 午後,22.441,,,,,
34,12/22/23 05:00:00 午後,22.441,,,,,
35,12/22/23 06:00:00 午後,22.465,,,,,
