プロット タイトル: 一湊 site01_spot005(-25)_2023,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011409, SEN S/N: 21011409)",カプラー取り外し (LGR S/N: 21011409),カプラー取り付け (LGR S/N: 21011409),停止済み (LGR S/N: 21011409),ファイルの終わり (LGR S/N: 21011409)
1,01/11/23 03:00:00 午後,21.891,記録,,,
2,01/11/23 04:00:00 午後,22.705,,,,
3,01/11/23 05:00:00 午後,22.657,,,,
4,01/11/23 06:00:00 午後,22.705,,,,
5,01/11/23 07:00:00 午後,22.657,,,,
6,01/11/23 08:00:00 午後,22.681,,,,
7,01/11/23 09:00:00 午後,22.681,,,,
8,01/11/23 10:00:00 午後,22.705,,,,
9,01/11/23 11:00:00 午後,22.872,,,,
10,01/12/23 12:00:00 午前,22.872,,,,
11,01/12/23 01:00:00 午前,22.92,,,,
12,01/12/23 02:00:00 午前,23.016,,,,
13,01/12/23 03:00:00 午前,23.064,,,,
14,01/12/23 04:00:00 午前,22.824,,,,
15,01/12/23 05:00:00 午前,22.896,,,,
16,01/12/23 06:00:00 午前,22.848,,,,
17,01/12/23 07:00:00 午前,22.824,,,,
18,01/12/23 08:00:00 午前,22.824,,,,
19,01/12/23 09:00:00 午前,22.824,,,,
20,01/12/23 10:00:00 午前,22.848,,,,
21,01/12/23 11:00:00 午前,22.824,,,,
22,01/12/23 12:00:00 午後,22.753,,,,
23,01/12/23 01:00:00 午後,22.705,,,,
24,01/12/23 02:00:00 午後,22.729,,,,
25,01/12/23 03:00:00 午後,22.753,,,,
26,01/12/23 04:00:00 午後,22.8,,,,
27,01/12/23 05:00:00 午後,22.848,,,,
28,01/12/23 06:00:00 午後,22.944,,,,
29,01/12/23 07:00:00 午後,22.992,,,,
30,01/12/23 08:00:00 午後,23.04,,,,
31,01/12/23 09:00:00 午後,23.04,,,,
32,01/12/23 10:00:00 午後,23.04,,,,
33,01/12/23 11:00:00 午後,23.04,,,,
34,01/13/23 12:00:00 午前,23.04,,,,
35,01/13/23 01:00:00 午前,23.016,,,,
36,01/13/23 02:00:00 午前,23.016,,,,
37,01/13/23 03:00:00 午前,23.088,,,,
38,01/13/23 04:00:00 午前,23.064,,,,
39,01/13/23 05:00:00 午前,23.064,,,,
40,01/13/23 06:00:00 午前,23.04,,,,
41,01/13/23 07:00:00 午前,23.016,,,,
42,01/13/23 08:00:00 午前,23.04,,,,
43,01/13/23 09:00:00 午前,23.016,,,,
44,01/13/23 10:00:00 午前,23.04,,,,
45,01/13/23 11:00:00 午前,23.016,,,,
46,01/13/23 12:00:00 午後,23.016,,,,
47,01/13/23 01:00:00 午後,23.04,,,,
48,01/13/23 02:00:00 午後,23.112,,,,
49,01/13/23 03:00:00 午後,23.112,,,,
50,01/13/23 04:00:00 午後,23.112,,,,
51,01/13/23 05:00:00 午後,23.136,,,,
52,01/13/23 06:00:00 午後,23.136,,,,
53,01/13/23 07:00:00 午後,23.112,,,,
54,01/13/23 08:00:00 午後,23.088,,,,
55,01/13/23 09:00:00 午後,23.064,,,,
56,01/13/23 10:00:00 午後,23.088,,,,
57,01/13/23 11:00:00 午後,23.064,,,,
58,01/14/23 12:00:00 午前,23.064,,,,
59,01/14/23 01:00:00 午前,23.064,,,,
60,01/14/23 02:00:00 午前,23.064,,,,
61,01/14/23 03:00:00 午前,23.064,,,,
62,01/14/23 04:00:00 午前,23.04,,,,
63,01/14/23 05:00:00 午前,23.04,,,,
64,01/14/23 06:00:00 午前,23.04,,,,
65,01/14/23 07:00:00 午前,23.04,,,,
66,01/14/23 08:00:00 午前,23.016,,,,
67,01/14/23 09:00:00 午前,23.016,,,,
68,01/14/23 10:00:00 午前,23.016,,,,
69,01/14/23 11:00:00 午前,23.016,,,,
70,01/14/23 12:00:00 午後,23.016,,,,
71,01/14/23 01:00:00 午後,23.016,,,,
72,01/14/23 02:00:00 午後,23.04,,,,
73,01/14/23 03:00:00 午後,23.016,,,,
74,01/14/23 04:00:00 午後,23.04,,,,
75,01/14/23 05:00:00 午後,23.04,,,,
76,01/14/23 06:00:00 午後,23.04,,,,
77,01/14/23 07:00:00 午後,23.04,,,,
78,01/14/23 08:00:00 午後,23.016,,,,
79,01/14/23 09:00:00 午後,23.016,,,,
80,01/14/23 10:00:00 午後,22.968,,,,
81,01/14/23 11:00:00 午後,22.896,,,,
82,01/15/23 12:00:00 午前,22.92,,,,
83,01/15/23 01:00:00 午前,22.968,,,,
84,01/15/23 02:00:00 午前,22.992,,,,
85,01/15/23 03:00:00 午前,22.992,,,,
86,01/15/23 04:00:00 午前,22.992,,,,
87,01/15/23 05:00:00 午前,22.992,,,,
88,01/15/23 06:00:00 午前,23.016,,,,
89,01/15/23 07:00:00 午前,23.016,,,,
90,01/15/23 08:00:00 午前,23.016,,,,
91,01/15/23 09:00:00 午前,23.016,,,,
92,01/15/23 10:00:00 午前,23.064,,,,
93,01/15/23 11:00:00 午前,23.04,,,,
94,01/15/23 12:00:00 午後,23.04,,,,
95,01/15/23 01:00:00 午後,23.04,,,,
96,01/15/23 02:00:00 午後,23.04,,,,
97,01/15/23 03:00:00 午後,23.04,,,,
98,01/15/23 04:00:00 午後,23.04,,,,
99,01/15/23 05:00:00 午後,23.016,,,,
100,01/15/23 06:00:00 午後,23.04,,,,
101,01/15/23 07:00:00 午後,22.968,,,,
102,01/15/23 08:00:00 午後,22.968,,,,
103,01/15/23 09:00:00 午後,22.968,,,,
104,01/15/23 10:00:00 午後,22.968,,,,
105,01/15/23 11:00:00 午後,22.944,,,,
106,01/16/23 12:00:00 午前,22.944,,,,
107,01/16/23 01:00:00 午前,22.896,,,,
108,01/16/23 02:00:00 午前,22.872,,,,
109,01/16/23 03:00:00 午前,22.8,,,,
110,01/16/23 04:00:00 午前,22.8,,,,
111,01/16/23 05:00:00 午前,22.776,,,,
112,01/16/23 06:00:00 午前,22.753,,,,
113,01/16/23 07:00:00 午前,22.729,,,,
114,01/16/23 08:00:00 午前,22.681,,,,
115,01/16/23 09:00:00 午前,22.657,,,,
116,01/16/23 10:00:00 午前,22.609,,,,
117,01/16/23 11:00:00 午前,22.585,,,,
118,01/16/23 12:00:00 午後,22.585,,,,
119,01/16/23 01:00:00 午後,22.585,,,,
120,01/16/23 02:00:00 午後,22.705,,,,
121,01/16/23 03:00:00 午後,22.753,,,,
122,01/16/23 04:00:00 午後,22.753,,,,
123,01/16/23 05:00:00 午後,22.729,,,,
124,01/16/23 06:00:00 午後,22.705,,,,
125,01/16/23 07:00:00 午後,22.681,,,,
126,01/16/23 08:00:00 午後,22.609,,,,
127,01/16/23 09:00:00 午後,22.537,,,,
128,01/16/23 10:00:00 午後,22.537,,,,
129,01/16/23 11:00:00 午後,22.537,,,,
130,01/17/23 12:00:00 午前,22.513,,,,
131,01/17/23 01:00:00 午前,22.513,,,,
132,01/17/23 02:00:00 午前,22.561,,,,
133,01/17/23 03:00:00 午前,22.537,,,,
134,01/17/23 04:00:00 午前,22.561,,,,
135,01/17/23 05:00:00 午前,22.513,,,,
136,01/17/23 06:00:00 午前,22.513,,,,
137,01/17/23 07:00:00 午前,22.537,,,,
138,01/17/23 08:00:00 午前,22.513,,,,
139,01/17/23 09:00:00 午前,22.585,,,,
140,01/17/23 10:00:00 午前,22.633,,,,
141,01/17/23 11:00:00 午前,22.681,,,,
142,01/17/23 12:00:00 午後,22.705,,,,
143,01/17/23 01:00:00 午後,22.681,,,,
144,01/17/23 02:00:00 午後,22.657,,,,
145,01/17/23 03:00:00 午後,22.705,,,,
146,01/17/23 04:00:00 午後,22.705,,,,
147,01/17/23 05:00:00 午後,22.705,,,,
148,01/17/23 06:00:00 午後,22.705,,,,
149,01/17/23 07:00:00 午後,22.681,,,,
150,01/17/23 08:00:00 午後,22.609,,,,
151,01/17/23 09:00:00 午後,22.537,,,,
152,01/17/23 10:00:00 午後,22.585,,,,
153,01/17/23 11:00:00 午後,22.561,,,,
154,01/18/23 12:00:00 午前,22.561,,,,
155,01/18/23 01:00:00 午前,22.537,,,,
156,01/18/23 02:00:00 午前,22.537,,,,
157,01/18/23 03:00:00 午前,22.513,,,,
158,01/18/23 04:00:00 午前,22.513,,,,
159,01/18/23 05:00:00 午前,22.489,,,,
160,01/18/23 06:00:00 午前,22.465,,,,
161,01/18/23 07:00:00 午前,22.465,,,,
162,01/18/23 08:00:00 午前,22.441,,,,
163,01/18/23 09:00:00 午前,22.393,,,,
164,01/18/23 10:00:00 午前,22.393,,,,
165,01/18/23 11:00:00 午前,22.345,,,,
166,01/18/23 12:00:00 午後,22.298,,,,
167,01/18/23 01:00:00 午後,22.226,,,,
168,01/18/23 02:00:00 午後,22.25,,,,
169,01/18/23 03:00:00 午後,22.226,,,,
170,01/18/23 04:00:00 午後,22.25,,,,
171,01/18/23 05:00:00 午後,22.154,,,,
172,01/18/23 06:00:00 午後,22.178,,,,
173,01/18/23 07:00:00 午後,22.441,,,,
174,01/18/23 08:00:00 午後,22.417,,,,
175,01/18/23 09:00:00 午後,22.441,,,,
176,01/18/23 10:00:00 午後,22.345,,,,
177,01/18/23 11:00:00 午後,22.393,,,,
178,01/19/23 12:00:00 午前,22.345,,,,
