プロット タイトル:site09_spot009_2020,,,,,,,,
#,日付,"時間, GMT+09:00","温度, °C (LGR S/N: 20054326, SEN S/N: 20054326)",カプラー取り外し (LGR S/N: 20054326),カプラー取り付け (LGR S/N: 20054326),ホスト接続 (LGR S/N: 20054326),停止済み (LGR S/N: 20054326),ファイルの終わり (LGR S/N: 20054326)
1,2019/12/17,9:00:00,24.098,記録,,,,
2,2019/12/17,10:00:00,24.532,,,,,
3,2019/12/17,11:00:00,26.036,,,,,
4,2019/12/17,12:00:00,24.122,,,,,
5,2019/12/17,13:00:00,24.122,,,,,
6,2019/12/17,14:00:00,24.171,,,,,
7,2019/12/17,15:00:00,24.243,,,,,
8,2019/12/17,16:00:00,24.291,,,,,
9,2019/12/17,17:00:00,24.315,,,,,
10,2019/12/17,18:00:00,24.339,,,,,
11,2019/12/17,19:00:00,24.339,,,,,
12,2019/12/17,20:00:00,24.315,,,,,
13,2019/12/17,21:00:00,24.315,,,,,
14,2019/12/17,22:00:00,24.291,,,,,
15,2019/12/17,23:00:00,24.243,,,,,
16,2019/12/18,0:00:00,24.243,,,,,
17,2019/12/18,1:00:00,24.219,,,,,
18,2019/12/18,2:00:00,24.171,,,,,
19,2019/12/18,3:00:00,24.074,,,,,
20,2019/12/18,4:00:00,24.171,,,,,
21,2019/12/18,5:00:00,24.05,,,,,
22,2019/12/18,6:00:00,24.098,,,,,
23,2019/12/18,7:00:00,24.171,,,,,
24,2019/12/18,8:00:00,24.171,,,,,
25,2019/12/18,9:00:00,24.171,,,,,
26,2019/12/18,10:00:00,24.171,,,,,
27,2019/12/18,11:00:00,24.171,,,,,
28,2019/12/18,12:00:00,24.219,,,,,
29,2019/12/18,13:00:00,24.219,,,,,
30,2019/12/18,14:00:00,24.267,,,,,
31,2019/12/18,15:00:00,24.219,,,,,
32,2019/12/18,16:00:00,24.195,,,,,
33,2019/12/18,17:00:00,24.171,,,,,
34,2019/12/18,18:00:00,24.171,,,,,
35,2019/12/18,19:00:00,24.171,,,,,
36,2019/12/18,20:00:00,24.146,,,,,
37,2019/12/18,21:00:00,24.122,,,,,
38,2019/12/18,22:00:00,24.122,,,,,
39,2019/12/18,23:00:00,24.146,,,,,
40,2019/12/19,0:00:00,24.146,,,,,
41,2019/12/19,1:00:00,24.098,,,,,
42,2019/12/19,2:00:00,24.098,,,,,
43,2019/12/19,3:00:00,24.074,,,,,
44,2019/12/19,4:00:00,24.098,,,,,
45,2019/12/19,5:00:00,24.002,,,,,
46,2019/12/19,6:00:00,24.074,,,,,
47,2019/12/19,7:00:00,24.05,,,,,
48,2019/12/19,8:00:00,24.026,,,,,
49,2019/12/19,9:00:00,24.05,,,,,
50,2019/12/19,10:00:00,24.074,,,,,
51,2019/12/19,11:00:00,24.122,,,,,
52,2019/12/19,12:00:00,24.122,,,,,
53,2019/12/19,13:00:00,24.098,,,,,
54,2019/12/19,14:00:00,24.098,,,,,
55,2019/12/19,15:00:00,24.171,,,,,
56,2019/12/19,16:00:00,24.195,,,,,
57,2019/12/19,17:00:00,24.171,,,,,
58,2019/12/19,18:00:00,24.171,,,,,
59,2019/12/19,19:00:00,24.171,,,,,
60,2019/12/19,20:00:00,24.146,,,,,
61,2019/12/19,21:00:00,24.146,,,,,
62,2019/12/19,22:00:00,24.146,,,,,
63,2019/12/19,23:00:00,24.195,,,,,
64,2019/12/20,0:00:00,24.146,,,,,
65,2019/12/20,1:00:00,24.074,,,,,
66,2019/12/20,2:00:00,24.05,,,,,
67,2019/12/20,3:00:00,24.026,,,,,
68,2019/12/20,4:00:00,24.098,,,,,
69,2019/12/20,5:00:00,24.098,,,,,
70,2019/12/20,6:00:00,24.098,,,,,
71,2019/12/20,7:00:00,24.074,,,,,
72,2019/12/20,8:00:00,24.05,,,,,
73,2019/12/20,9:00:00,24.026,,,,,
74,2019/12/20,10:00:00,24.026,,,,,
75,2019/12/20,11:00:00,24.026,,,,,
76,2019/12/20,12:00:00,24.026,,,,,
77,2019/12/20,13:00:00,24.05,,,,,
78,2019/12/20,14:00:00,24.05,,,,,
79,2019/12/20,15:00:00,24.074,,,,,
80,2019/12/20,16:00:00,24.074,,,,,
81,2019/12/20,17:00:00,24.05,,,,,
82,2019/12/20,18:00:00,24.05,,,,,
83,2019/12/20,19:00:00,24.026,,,,,
84,2019/12/20,20:00:00,24.026,,,,,
85,2019/12/20,21:00:00,24.002,,,,,
86,2019/12/20,22:00:00,24.002,,,,,
87,2019/12/20,23:00:00,24.002,,,,,
88,2019/12/21,0:00:00,24.002,,,,,
89,2019/12/21,1:00:00,24.002,,,,,
90,2019/12/21,2:00:00,24.002,,,,,
91,2019/12/21,3:00:00,24.002,,,,,
92,2019/12/21,4:00:00,24.002,,,,,
93,2019/12/21,5:00:00,24.026,,,,,
94,2019/12/21,6:00:00,24.026,,,,,
95,2019/12/21,7:00:00,24.026,,,,,
96,2019/12/21,8:00:00,24.002,,,,,
97,2019/12/21,9:00:00,23.978,,,,,
98,2019/12/21,10:00:00,24.002,,,,,
99,2019/12/21,11:00:00,24.026,,,,,
100,2019/12/21,12:00:00,24.05,,,,,
101,2019/12/21,13:00:00,24.074,,,,,
102,2019/12/21,14:00:00,24.098,,,,,
103,2019/12/21,15:00:00,24.098,,,,,
104,2019/12/21,16:00:00,24.098,,,,,
105,2019/12/21,17:00:00,24.074,,,,,
106,2019/12/21,18:00:00,24.146,,,,,
107,2019/12/21,19:00:00,24.122,,,,,
108,2019/12/21,20:00:00,24.05,,,,,
109,2019/12/21,21:00:00,24.05,,,,,
110,2019/12/21,22:00:00,24.074,,,,,
111,2019/12/21,23:00:00,24.074,,,,,
112,2019/12/22,0:00:00,24.074,,,,,
113,2019/12/22,1:00:00,24.074,,,,,
114,2019/12/22,2:00:00,24.074,,,,,
115,2019/12/22,3:00:00,24.074,,,,,
116,2019/12/22,4:00:00,24.05,,,,,
117,2019/12/22,5:00:00,24.074,,,,,
118,2019/12/22,6:00:00,24.074,,,,,
119,2019/12/22,7:00:00,24.074,,,,,
120,2019/12/22,8:00:00,24.074,,,,,
121,2019/12/22,9:00:00,24.074,,,,,
122,2019/12/22,10:00:00,24.098,,,,,
123,2019/12/22,11:00:00,24.146,,,,,
124,2019/12/22,12:00:00,24.195,,,,,
125,2019/12/22,13:00:00,24.291,,,,,
126,2019/12/22,14:00:00,24.243,,,,,
127,2019/12/22,15:00:00,24.315,,,,,
128,2019/12/22,16:00:00,24.267,,,,,
129,2019/12/22,17:00:00,24.267,,,,,
130,2019/12/22,18:00:00,24.243,,,,,
131,2019/12/22,19:00:00,24.146,,,,,
132,2019/12/22,20:00:00,24.122,,,,,
133,2019/12/22,21:00:00,24.098,,,,,
134,2019/12/22,22:00:00,24.05,,,,,
135,2019/12/22,23:00:00,24.026,,,,,
136,2019/12/23,0:00:00,24.026,,,,,
137,2019/12/23,1:00:00,24.026,,,,,
138,2019/12/23,2:00:00,24.026,,,,,
139,2019/12/23,3:00:00,24.002,,,,,
140,2019/12/23,4:00:00,24.026,,,,,
141,2019/12/23,5:00:00,24.026,,,,,
142,2019/12/23,6:00:00,24.026,,,,,
143,2019/12/23,7:00:00,24.026,,,,,
144,2019/12/23,8:00:00,24.05,,,,,
145,2019/12/23,9:00:00,24.074,,,,,
146,2019/12/23,10:00:00,24.074,,,,,
147,2019/12/23,11:00:00,24.05,,,,,
148,2019/12/23,12:00:00,24.074,,,,,
149,2019/12/23,13:00:00,24.074,,,,,
150,2019/12/23,14:00:00,24.074,,,,,
151,2019/12/23,15:00:00,24.122,,,,,
152,2019/12/23,16:00:00,24.098,,,,,
153,2019/12/23,17:00:00,24.122,,,,,
154,2019/12/23,18:00:00,24.122,,,,,
155,2019/12/23,19:00:00,24.122,,,,,
156,2019/12/23,20:00:00,24.122,,,,,
157,2019/12/23,21:00:00,24.098,,,,,
158,2019/12/23,22:00:00,24.074,,,,,
159,2019/12/23,23:00:00,24.074,,,,,
160,2019/12/24,0:00:00,24.074,,,,,
161,2019/12/24,1:00:00,24.05,,,,,
162,2019/12/24,2:00:00,24.05,,,,,
163,2019/12/24,3:00:00,24.026,,,,,
164,2019/12/24,4:00:00,24.002,,,,,
165,2019/12/24,5:00:00,24.002,,,,,
166,2019/12/24,6:00:00,24.026,,,,,
167,2019/12/24,7:00:00,24.026,,,,,
168,2019/12/24,8:00:00,24.026,,,,,
169,2019/12/24,9:00:00,24.05,,,,,
170,2019/12/24,10:00:00,24.098,,,,,
171,2019/12/24,11:00:00,24.098,,,,,
172,2019/12/24,12:00:00,24.171,,,,,
173,2019/12/24,13:00:00,24.243,,,,,
174,2019/12/24,14:00:00,24.219,,,,,
175,2019/12/24,15:00:00,24.315,,,,,
176,2019/12/24,16:00:00,24.291,,,,,
177,2019/12/24,17:00:00,24.243,,,,,
178,2019/12/24,18:00:00,24.243,,,,,
179,2019/12/24,19:00:00,24.219,,,,,
180,2019/12/24,20:00:00,24.219,,,,,
181,2019/12/24,21:00:00,24.219,,,,,
182,2019/12/24,22:00:00,24.219,,,,,
183,2019/12/24,23:00:00,24.195,,,,,
184,2019/12/25,0:00:00,24.195,,,,,
185,2019/12/25,1:00:00,24.171,,,,,
186,2019/12/25,2:00:00,24.122,,,,,
187,2019/12/25,3:00:00,24.098,,,,,
188,2019/12/25,4:00:00,24.05,,,,,
189,2019/12/25,5:00:00,24.026,,,,,
190,2019/12/25,6:00:00,24.074,,,,,
191,2019/12/25,7:00:00,24.074,,,,,
192,2019/12/25,8:00:00,24.074,,,,,
193,2019/12/25,9:00:00,24.074,,,,,
194,2019/12/25,10:00:00,24.074,,,,,
195,2019/12/25,11:00:00,24.098,,,,,
196,2019/12/25,12:00:00,24.171,,,,,
197,2019/12/25,13:00:00,24.146,,,,,
198,2019/12/25,14:00:00,24.315,,,,,
199,2019/12/25,15:00:00,24.605,,,,,
200,2019/12/25,16:00:00,24.557,,,,,
201,2019/12/25,17:00:00,24.412,,,,,
202,2019/12/25,18:00:00,24.219,,,,,
203,2019/12/25,19:00:00,24.267,,,,,
204,2019/12/25,20:00:00,24.315,,,,,
205,2019/12/25,21:00:00,24.291,,,,,
206,2019/12/25,22:00:00,24.122,,,,,
207,2019/12/25,23:00:00,24.243,,,,,
208,2019/12/26,0:00:00,24.195,,,,,
209,2019/12/26,1:00:00,24.195,,,,,
210,2019/12/26,2:00:00,24.171,,,,,
211,2019/12/26,3:00:00,24.171,,,,,
212,2019/12/26,4:00:00,24.146,,,,,
213,2019/12/26,5:00:00,24.146,,,,,
214,2019/12/26,6:00:00,24.146,,,,,
215,2019/12/26,7:00:00,24.122,,,,,
216,2019/12/26,8:00:00,24.122,,,,,
217,2019/12/26,9:00:00,24.074,,,,,
218,2019/12/26,10:00:00,24.146,,,,,
219,2019/12/26,11:00:00,24.171,,,,,
220,2019/12/26,12:00:00,24.195,,,,,
221,2019/12/26,13:00:00,24.219,,,,,
222,2019/12/26,14:00:00,24.267,,,,,
223,2019/12/26,15:00:00,24.363,,,,,
224,2019/12/26,16:00:00,24.339,,,,,
225,2019/12/26,17:00:00,24.339,,,,,
226,2019/12/26,18:00:00,24.267,,,,,
227,2019/12/26,19:00:00,24.195,,,,,
228,2019/12/26,20:00:00,24.146,,,,,
229,2019/12/26,21:00:00,24.146,,,,,
230,2019/12/26,22:00:00,24.122,,,,,
231,2019/12/26,23:00:00,24.05,,,,,
232,2019/12/27,0:00:00,24.026,,,,,
233,2019/12/27,1:00:00,23.978,,,,,
234,2019/12/27,2:00:00,23.954,,,,,
235,2019/12/27,3:00:00,23.978,,,,,
236,2019/12/27,4:00:00,23.978,,,,,
237,2019/12/27,5:00:00,23.978,,,,,
238,2019/12/27,6:00:00,23.954,,,,,
239,2019/12/27,7:00:00,23.93,,,,,
240,2019/12/27,8:00:00,23.93,,,,,
241,2019/12/27,9:00:00,23.93,,,,,
242,2019/12/27,10:00:00,23.93,,,,,
243,2019/12/27,11:00:00,23.93,,,,,
244,2019/12/27,12:00:00,23.905,,,,,
245,2019/12/27,13:00:00,23.881,,,,,
246,2019/12/27,14:00:00,23.881,,,,,
247,2019/12/27,15:00:00,23.881,,,,,
248,2019/12/27,16:00:00,23.857,,,,,
249,2019/12/27,17:00:00,23.857,,,,,
250,2019/12/27,18:00:00,23.954,,,,,
251,2019/12/27,19:00:00,23.978,,,,,
252,2019/12/27,20:00:00,23.954,,,,,
253,2019/12/27,21:00:00,23.978,,,,,
254,2019/12/27,22:00:00,23.978,,,,,
255,2019/12/27,23:00:00,23.905,,,,,
256,2019/12/28,0:00:00,23.857,,,,,
257,2019/12/28,1:00:00,23.785,,,,,
258,2019/12/28,2:00:00,23.713,,,,,
259,2019/12/28,3:00:00,23.665,,,,,
260,2019/12/28,4:00:00,23.713,,,,,
261,2019/12/28,5:00:00,23.689,,,,,
262,2019/12/28,6:00:00,23.689,,,,,
263,2019/12/28,7:00:00,23.809,,,,,
264,2019/12/28,8:00:00,23.809,,,,,
