プロット タイトル: site03_spot011_2022,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 10938130, SEN S/N: 10938130)",カプラー取り外し (LGR S/N: 10938130),カプラー取り付け (LGR S/N: 10938130),ホスト接続 (LGR S/N: 10938130),停止済み (LGR S/N: 10938130),ファイルの終わり (LGR S/N: 10938130)
1,12/29/21 02:00:00 午後,23.088,記録,,,,
2,12/29/21 03:00:00 午後,19.817,,,,,
3,12/29/21 04:00:00 午後,21.891,,,,,
4,12/29/21 05:00:00 午後,21.891,,,,,
5,12/29/21 06:00:00 午後,21.867,,,,,
6,12/29/21 07:00:00 午後,21.867,,,,,
7,12/29/21 08:00:00 午後,21.819,,,,,
8,12/29/21 09:00:00 午後,21.819,,,,,
9,12/29/21 10:00:00 午後,21.867,,,,,
10,12/29/21 11:00:00 午後,21.939,,,,,
11,12/30/21 12:00:00 午前,21.963,,,,,
12,12/30/21 01:00:00 午前,21.939,,,,,
13,12/30/21 02:00:00 午前,21.939,,,,,
14,12/30/21 03:00:00 午前,21.963,,,,,
15,12/30/21 04:00:00 午前,21.939,,,,,
16,12/30/21 05:00:00 午前,21.939,,,,,
17,12/30/21 06:00:00 午前,21.915,,,,,
18,12/30/21 07:00:00 午前,21.819,,,,,
19,12/30/21 08:00:00 午前,21.7,,,,,
20,12/30/21 09:00:00 午前,21.676,,,,,
21,12/30/21 10:00:00 午前,21.772,,,,,
22,12/30/21 11:00:00 午前,21.939,,,,,
23,12/30/21 12:00:00 午後,22.011,,,,,
24,12/30/21 01:00:00 午後,21.987,,,,,
25,12/30/21 02:00:00 午後,22.082,,,,,
26,12/30/21 03:00:00 午後,22.106,,,,,
27,12/30/21 04:00:00 午後,22.034,,,,,
28,12/30/21 05:00:00 午後,22.011,,,,,
29,12/30/21 06:00:00 午後,21.915,,,,,
30,12/30/21 07:00:00 午後,21.772,,,,,
31,12/30/21 08:00:00 午後,21.772,,,,,
32,12/30/21 09:00:00 午後,21.724,,,,,
33,12/30/21 10:00:00 午後,21.533,,,,,
34,12/30/21 11:00:00 午後,21.604,,,,,
35,12/31/21 12:00:00 午前,21.557,,,,,
36,12/31/21 01:00:00 午前,21.652,,,,,
37,12/31/21 02:00:00 午前,21.724,,,,,
38,12/31/21 03:00:00 午前,21.724,,,,,
39,12/31/21 04:00:00 午前,21.7,,,,,
40,12/31/21 05:00:00 午前,21.676,,,,,
41,12/31/21 06:00:00 午前,21.628,,,,,
42,12/31/21 07:00:00 午前,21.581,,,,,
43,12/31/21 08:00:00 午前,21.533,,,,,
44,12/31/21 09:00:00 午前,21.557,,,,,
45,12/31/21 10:00:00 午前,21.413,,,,,
46,12/31/21 11:00:00 午前,21.581,,,,,
47,12/31/21 12:00:00 午後,21.819,,,,,
48,12/31/21 01:00:00 午後,21.915,,,,,
49,12/31/21 02:00:00 午後,22.011,,,,,
50,12/31/21 03:00:00 午後,21.987,,,,,
51,12/31/21 04:00:00 午後,21.963,,,,,
52,12/31/21 05:00:00 午後,21.915,,,,,
53,12/31/21 06:00:00 午後,21.867,,,,,
54,12/31/21 07:00:00 午後,21.748,,,,,
55,12/31/21 08:00:00 午後,21.676,,,,,
56,12/31/21 09:00:00 午後,21.509,,,,,
57,12/31/21 10:00:00 午後,21.342,,,,,
58,12/31/21 11:00:00 午後,21.246,,,,,
59,01/01/22 12:00:00 午前,21.318,,,,,
60,01/01/22 01:00:00 午前,21.485,,,,,
61,01/01/22 02:00:00 午前,21.628,,,,,
62,01/01/22 03:00:00 午前,21.628,,,,,
63,01/01/22 04:00:00 午前,21.628,,,,,
64,01/01/22 05:00:00 午前,21.557,,,,,
65,01/01/22 06:00:00 午前,21.557,,,,,
66,01/01/22 07:00:00 午前,21.342,,,,,
