プロット タイトル: site17_spot131_2020,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054361, SEN S/N: 20054361)",カプラー取り外し (LGR S/N: 20054361),カプラー取り付け (LGR S/N: 20054361),ホスト接続 (LGR S/N: 20054361),停止済み (LGR S/N: 20054361),ファイルの終わり (LGR S/N: 20054361)
1,11/17/19 08:00:00 午前,25.089,記録,,,,
2,11/17/19 09:00:00 午前,25.065,,,,,
3,11/17/19 10:00:00 午前,25.186,,,,,
4,11/17/19 11:00:00 午前,25.04,,,,,
5,11/17/19 12:00:00 午後,24.702,,,,,
6,11/17/19 01:00:00 午後,25.016,,,,,
7,11/17/19 02:00:00 午後,26.402,,,,,
8,11/17/19 03:00:00 午後,26.378,,,,,
9,11/17/19 04:00:00 午後,26.378,,,,,
10,11/17/19 05:00:00 午後,26.378,,,,,
11,11/17/19 06:00:00 午後,26.304,,,,,
12,11/17/19 07:00:00 午後,26.182,,,,,
13,11/17/19 08:00:00 午後,26.231,,,,,
14,11/17/19 09:00:00 午後,26.256,,,,,
15,11/17/19 10:00:00 午後,26.182,,,,,
16,11/17/19 11:00:00 午後,26.158,,,,,
17,11/18/19 12:00:00 午前,26.158,,,,,
18,11/18/19 01:00:00 午前,26.207,,,,,
19,11/18/19 02:00:00 午前,26.256,,,,,
20,11/18/19 03:00:00 午前,26.256,,,,,
21,11/18/19 04:00:00 午前,26.207,,,,,
22,11/18/19 05:00:00 午前,26.182,,,,,
23,11/18/19 06:00:00 午前,26.109,,,,,
24,11/18/19 07:00:00 午前,26.134,,,,,
25,11/18/19 08:00:00 午前,26.109,,,,,
26,11/18/19 09:00:00 午前,26.061,,,,,
27,11/18/19 10:00:00 午前,26.061,,,,,
28,11/18/19 11:00:00 午前,26.085,,,,,
29,11/18/19 12:00:00 午後,26.085,,,,,
30,11/18/19 01:00:00 午後,26.134,,,,,
31,11/18/19 02:00:00 午後,26.207,,,,,
32,11/18/19 03:00:00 午後,26.134,,,,,
33,11/18/19 04:00:00 午後,26.085,,,,,
34,11/18/19 05:00:00 午後,26.036,,,,,
35,11/18/19 06:00:00 午後,26.012,,,,,
36,11/18/19 07:00:00 午後,26.012,,,,,
37,11/18/19 08:00:00 午後,25.987,,,,,
38,11/18/19 09:00:00 午後,25.963,,,,,
39,11/18/19 10:00:00 午後,25.914,,,,,
40,11/18/19 11:00:00 午後,25.841,,,,,
41,11/19/19 12:00:00 午前,25.817,,,,,
42,11/19/19 01:00:00 午前,25.817,,,,,
43,11/19/19 02:00:00 午前,25.793,,,,,
44,11/19/19 03:00:00 午前,25.768,,,,,
45,11/19/19 04:00:00 午前,25.72,,,,,
46,11/19/19 05:00:00 午前,25.72,,,,,
47,11/19/19 06:00:00 午前,25.695,,,,,
48,11/19/19 07:00:00 午前,25.671,,,,,
49,11/19/19 08:00:00 午前,25.647,,,,,
50,11/19/19 09:00:00 午前,25.623,,,,,
51,11/19/19 10:00:00 午前,25.598,,,,,
52,11/19/19 11:00:00 午前,25.55,,,,,
53,11/19/19 12:00:00 午後,25.525,,,,,
54,11/19/19 01:00:00 午後,25.55,,,,,
55,11/19/19 02:00:00 午後,25.574,,,,,
56,11/19/19 03:00:00 午後,25.55,,,,,
57,11/19/19 04:00:00 午後,25.525,,,,,
58,11/19/19 05:00:00 午後,25.501,,,,,
59,11/19/19 06:00:00 午後,25.453,,,,,
60,11/19/19 07:00:00 午後,25.404,,,,,
61,11/19/19 08:00:00 午後,25.38,,,,,
62,11/19/19 09:00:00 午後,25.283,,,,,
63,11/19/19 10:00:00 午後,25.283,,,,,
64,11/19/19 11:00:00 午後,25.186,,,,,
65,11/20/19 12:00:00 午前,25.186,,,,,
66,11/20/19 01:00:00 午前,25.21,,,,,
67,11/20/19 02:00:00 午前,25.331,,,,,
68,11/20/19 03:00:00 午前,25.453,,,,,
69,11/20/19 04:00:00 午前,25.525,,,,,
70,11/20/19 05:00:00 午前,25.501,,,,,
71,11/20/19 06:00:00 午前,25.525,,,,,
72,11/20/19 07:00:00 午前,25.525,,,,,
73,11/20/19 08:00:00 午前,25.525,,,,,
74,11/20/19 09:00:00 午前,25.55,,,,,
75,11/20/19 10:00:00 午前,25.55,,,,,
76,11/20/19 11:00:00 午前,25.574,,,,,
77,11/20/19 12:00:00 午後,25.55,,,,,
78,11/20/19 01:00:00 午後,25.477,,,,,
79,11/20/19 02:00:00 午後,25.477,,,,,
80,11/20/19 03:00:00 午後,25.501,,,,,
81,11/20/19 04:00:00 午後,25.695,,,,,
82,11/20/19 05:00:00 午後,25.695,,,,,
83,11/20/19 06:00:00 午後,25.671,,,,,
84,11/20/19 07:00:00 午後,25.647,,,,,
85,11/20/19 08:00:00 午後,25.623,,,,,
86,11/20/19 09:00:00 午後,25.598,,,,,
87,11/20/19 10:00:00 午後,25.55,,,,,
88,11/20/19 11:00:00 午後,25.525,,,,,
89,11/21/19 12:00:00 午前,25.477,,,,,
90,11/21/19 01:00:00 午前,25.428,,,,,
91,11/21/19 02:00:00 午前,25.525,,,,,
92,11/21/19 03:00:00 午前,25.525,,,,,
93,11/21/19 04:00:00 午前,25.671,,,,,
94,11/21/19 05:00:00 午前,25.647,,,,,
95,11/21/19 06:00:00 午前,25.647,,,,,
96,11/21/19 07:00:00 午前,25.623,,,,,
97,11/21/19 08:00:00 午前,25.647,,,,,
98,11/21/19 09:00:00 午前,25.647,,,,,
99,11/21/19 10:00:00 午前,25.647,,,,,
100,11/21/19 11:00:00 午前,25.671,,,,,
101,11/21/19 12:00:00 午後,25.647,,,,,
102,11/21/19 01:00:00 午後,25.72,,,,,
103,11/21/19 02:00:00 午後,25.671,,,,,
104,11/21/19 03:00:00 午後,25.671,,,,,
105,11/21/19 04:00:00 午後,25.647,,,,,
106,11/21/19 05:00:00 午後,25.623,,,,,
107,11/21/19 06:00:00 午後,25.574,,,,,
108,11/21/19 07:00:00 午後,25.574,,,,,
109,11/21/19 08:00:00 午後,25.574,,,,,
110,11/21/19 09:00:00 午後,25.55,,,,,
111,11/21/19 10:00:00 午後,25.574,,,,,
112,11/21/19 11:00:00 午後,25.598,,,,,
113,11/22/19 12:00:00 午前,25.623,,,,,
114,11/22/19 01:00:00 午前,25.647,,,,,
115,11/22/19 02:00:00 午前,25.647,,,,,
116,11/22/19 03:00:00 午前,25.623,,,,,
117,11/22/19 04:00:00 午前,25.598,,,,,
118,11/22/19 05:00:00 午前,25.598,,,,,
119,11/22/19 06:00:00 午前,25.574,,,,,
120,11/22/19 07:00:00 午前,25.598,,,,,
121,11/22/19 08:00:00 午前,25.598,,,,,
122,11/22/19 09:00:00 午前,25.598,,,,,
123,11/22/19 10:00:00 午前,25.623,,,,,
124,11/22/19 11:00:00 午前,25.647,,,,,
125,11/22/19 12:00:00 午後,25.671,,,,,
126,11/22/19 01:00:00 午後,25.695,,,,,
127,11/22/19 02:00:00 午後,25.671,,,,,
128,11/22/19 03:00:00 午後,25.623,,,,,
129,11/22/19 04:00:00 午後,25.647,,,,,
130,11/22/19 05:00:00 午後,25.671,,,,,
131,11/22/19 06:00:00 午後,25.623,,,,,
132,11/22/19 07:00:00 午後,25.598,,,,,
133,11/22/19 08:00:00 午後,25.598,,,,,
134,11/22/19 09:00:00 午後,25.598,,,,,
135,11/22/19 10:00:00 午後,25.598,,,,,
136,11/22/19 11:00:00 午後,25.574,,,,,
137,11/23/19 12:00:00 午前,25.574,,,,,
138,11/23/19 01:00:00 午前,25.574,,,,,
139,11/23/19 02:00:00 午前,25.574,,,,,
140,11/23/19 03:00:00 午前,25.55,,,,,
141,11/23/19 04:00:00 午前,25.55,,,,,
142,11/23/19 05:00:00 午前,25.55,,,,,
143,11/23/19 06:00:00 午前,25.55,,,,,
144,11/23/19 07:00:00 午前,25.525,,,,,
145,11/23/19 08:00:00 午前,25.525,,,,,
146,11/23/19 09:00:00 午前,25.525,,,,,
147,11/23/19 10:00:00 午前,25.623,,,,,
148,11/23/19 11:00:00 午前,25.647,,,,,
149,11/23/19 12:00:00 午後,25.671,,,,,
150,11/23/19 01:00:00 午後,25.72,,,,,
151,11/23/19 02:00:00 午後,25.72,,,,,
152,11/23/19 03:00:00 午後,25.695,,,,,
153,11/23/19 04:00:00 午後,25.768,,,,,
154,11/23/19 05:00:00 午後,25.744,,,,,
155,11/23/19 06:00:00 午後,25.647,,,,,
156,11/23/19 07:00:00 午後,25.647,,,,,
157,11/23/19 08:00:00 午後,25.695,,,,,
158,11/23/19 09:00:00 午後,25.671,,,,,
159,11/23/19 10:00:00 午後,25.647,,,,,
160,11/23/19 11:00:00 午後,25.866,,,,,
161,11/24/19 12:00:00 午前,25.963,,,,,
162,11/24/19 01:00:00 午前,26.036,,,,,
163,11/24/19 02:00:00 午前,26.109,,,,,
164,11/24/19 03:00:00 午前,26.109,,,,,
165,11/24/19 04:00:00 午前,26.207,,,,,
