プロット タイトル: site01_spot005(-25)_2022,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054298, SEN S/N: 20054298)",カプラー取り外し (LGR S/N: 20054298),カプラー取り付け (LGR S/N: 20054298),ホスト接続 (LGR S/N: 20054298),停止済み (LGR S/N: 20054298),ファイルの終わり (LGR S/N: 20054298)
1,01/17/22 02:00:00 午後,22.369,記録,,,,
2,01/17/22 03:00:00 午後,19.294,,,,,
3,01/17/22 04:00:00 午後,19.389,,,,,
4,01/17/22 05:00:00 午後,19.389,,,,,
5,01/17/22 06:00:00 午後,19.389,,,,,
6,01/17/22 07:00:00 午後,19.413,,,,,
7,01/17/22 08:00:00 午後,19.413,,,,,
8,01/17/22 09:00:00 午後,19.341,,,,,
9,01/17/22 10:00:00 午後,19.318,,,,,
10,01/17/22 11:00:00 午後,19.246,,,,,
11,01/18/22 12:00:00 午前,19.222,,,,,
12,01/18/22 01:00:00 午前,19.294,,,,,
13,01/18/22 02:00:00 午前,19.222,,,,,
14,01/18/22 03:00:00 午前,19.222,,,,,
15,01/18/22 04:00:00 午前,19.175,,,,,
16,01/18/22 05:00:00 午前,19.151,,,,,
17,01/18/22 06:00:00 午前,19.151,,,,,
18,01/18/22 07:00:00 午前,19.175,,,,,
19,01/18/22 08:00:00 午前,19.151,,,,,
20,01/18/22 09:00:00 午前,19.151,,,,,
21,01/18/22 10:00:00 午前,19.127,,,,,
22,01/18/22 11:00:00 午前,19.127,,,,,
23,01/18/22 12:00:00 午後,19.08,,,,,
24,01/18/22 01:00:00 午後,18.557,,,,,
25,01/18/22 02:00:00 午後,18.509,,,,,
26,01/18/22 03:00:00 午後,18.2,,,,,
27,01/18/22 04:00:00 午後,17.891,,,,,
28,01/18/22 05:00:00 午後,18.794,,,,,
29,01/18/22 06:00:00 午後,18.937,,,,,
30,01/18/22 07:00:00 午後,18.985,,,,,
31,01/18/22 08:00:00 午後,18.937,,,,,
32,01/18/22 09:00:00 午後,18.913,,,,,
33,01/18/22 10:00:00 午後,18.937,,,,,
34,01/18/22 11:00:00 午後,18.937,,,,,
35,01/19/22 12:00:00 午前,18.533,,,,,
36,01/19/22 01:00:00 午前,18.699,,,,,
37,01/19/22 02:00:00 午前,18.129,,,,,
38,01/19/22 03:00:00 午前,18.105,,,,,
39,01/19/22 04:00:00 午前,18.033,,,,,
40,01/19/22 05:00:00 午前,18.033,,,,,
41,01/19/22 06:00:00 午前,18.224,,,,,
42,01/19/22 07:00:00 午前,18.2,,,,,
43,01/19/22 08:00:00 午前,18.295,,,,,
44,01/19/22 09:00:00 午前,18.2,,,,,
45,01/19/22 10:00:00 午前,17.867,,,,,
46,01/19/22 11:00:00 午前,17.867,,,,,
47,01/19/22 12:00:00 午後,17.867,,,,,
48,01/19/22 01:00:00 午後,17.701,,,,,
49,01/19/22 02:00:00 午後,17.677,,,,,
50,01/19/22 03:00:00 午後,17.701,,,,,
51,01/19/22 04:00:00 午後,17.677,,,,,
52,01/19/22 05:00:00 午後,17.701,,,,,
53,01/19/22 06:00:00 午後,17.796,,,,,
54,01/19/22 07:00:00 午後,17.867,,,,,
55,01/19/22 08:00:00 午後,17.796,,,,,
56,01/19/22 09:00:00 午後,17.938,,,,,
57,01/19/22 10:00:00 午後,17.915,,,,,
58,01/19/22 11:00:00 午後,18.033,,,,,
59,01/20/22 12:00:00 午前,18.129,,,,,
60,01/20/22 01:00:00 午前,18.152,,,,,
61,01/20/22 02:00:00 午前,18.152,,,,,
62,01/20/22 03:00:00 午前,17.843,,,,,
63,01/20/22 04:00:00 午前,17.867,,,,,
64,01/20/22 05:00:00 午前,18.224,,,,,
65,01/20/22 06:00:00 午前,18.652,,,,,
66,01/20/22 07:00:00 午前,18.723,,,,,
67,01/20/22 08:00:00 午前,18.889,,,,,
68,01/20/22 09:00:00 午前,19.151,,,,,
69,01/20/22 10:00:00 午前,19.294,,,,,
70,01/20/22 11:00:00 午前,19.246,,,,,
71,01/20/22 12:00:00 午後,19.294,,,,,
72,01/20/22 01:00:00 午後,19.151,,,,,
73,01/20/22 02:00:00 午後,19.294,,,,,
74,01/20/22 03:00:00 午後,19.199,,,,,
75,01/20/22 04:00:00 午後,19.555,,,,,
76,01/20/22 05:00:00 午後,20.031,,,,,
77,01/20/22 06:00:00 午後,20.412,,,,,
78,01/20/22 07:00:00 午後,20.412,,,,,
79,01/20/22 08:00:00 午後,20.507,,,,,
80,01/20/22 09:00:00 午後,20.65,,,,,
81,01/20/22 10:00:00 午後,20.698,,,,,
82,01/20/22 11:00:00 午後,20.674,,,,,
83,01/21/22 12:00:00 午前,20.722,,,,,
84,01/21/22 01:00:00 午前,20.817,,,,,
85,01/21/22 02:00:00 午前,20.817,,,,,
86,01/21/22 03:00:00 午前,20.817,,,,,
87,01/21/22 04:00:00 午前,20.841,,,,,
88,01/21/22 05:00:00 午前,21.032,,,,,
89,01/21/22 06:00:00 午前,21.008,,,,,
90,01/21/22 07:00:00 午前,21.151,,,,,
91,01/21/22 08:00:00 午前,21.485,,,,,
92,01/21/22 09:00:00 午前,21.724,,,,,
93,01/21/22 10:00:00 午前,21.772,,,,,
94,01/21/22 11:00:00 午前,21.772,,,,,
95,01/21/22 12:00:00 午後,21.748,,,,,
96,01/21/22 01:00:00 午後,21.748,,,,,
97,01/21/22 02:00:00 午後,21.748,,,,,
98,01/21/22 03:00:00 午後,21.795,,,,,
99,01/21/22 04:00:00 午後,21.795,,,,,
100,01/21/22 05:00:00 午後,21.676,,,,,
101,01/21/22 06:00:00 午後,21.676,,,,,
102,01/21/22 07:00:00 午後,21.7,,,,,
103,01/21/22 08:00:00 午後,21.772,,,,,
104,01/21/22 09:00:00 午後,21.772,,,,,
105,01/21/22 10:00:00 午後,21.939,,,,,
106,01/21/22 11:00:00 午後,22.011,,,,,
107,01/22/22 12:00:00 午前,22.011,,,,,
108,01/22/22 01:00:00 午前,21.963,,,,,
109,01/22/22 02:00:00 午前,21.963,,,,,
110,01/22/22 03:00:00 午前,21.963,,,,,
111,01/22/22 04:00:00 午前,21.963,,,,,
