プロット タイトル: site14_spot082_2023,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21155723, SEN S/N: 21155723)",カプラー取り外し (LGR S/N: 21155723),カプラー取り付け (LGR S/N: 21155723),ホスト接続 (LGR S/N: 21155723),停止済み (LGR S/N: 21155723),ファイルの終わり (LGR S/N: 21155723)
1,10/25/22 07:00:00 午前,25.817,記録,,,,
2,10/25/22 08:00:00 午前,23.112,,,,,
3,10/25/22 09:00:00 午前,23.93,,,,,
4,10/25/22 10:00:00 午前,24.605,,,,,
5,10/25/22 11:00:00 午前,26.109,,,,,
6,10/25/22 12:00:00 午後,26.134,,,,,
7,10/25/22 01:00:00 午後,26.061,,,,,
8,10/25/22 02:00:00 午後,26.061,,,,,
9,10/25/22 03:00:00 午後,25.939,,,,,
10,10/25/22 04:00:00 午後,25.89,,,,,
11,10/25/22 05:00:00 午後,25.987,,,,,
12,10/25/22 06:00:00 午後,26.158,,,,,
13,10/25/22 07:00:00 午後,26.182,,,,,
14,10/25/22 08:00:00 午後,26.109,,,,,
15,10/25/22 09:00:00 午後,26.207,,,,,
16,10/25/22 10:00:00 午後,26.182,,,,,
17,10/25/22 11:00:00 午後,26.134,,,,,
18,10/26/22 12:00:00 午前,26.109,,,,,
19,10/26/22 01:00:00 午前,26.012,,,,,
20,10/26/22 02:00:00 午前,25.963,,,,,
21,10/26/22 03:00:00 午前,25.939,,,,,
22,10/26/22 04:00:00 午前,25.89,,,,,
23,10/26/22 05:00:00 午前,25.817,,,,,
24,10/26/22 06:00:00 午前,25.89,,,,,
25,10/26/22 07:00:00 午前,26.451,,,,,
26,10/26/22 08:00:00 午前,26.304,,,,,
27,10/26/22 09:00:00 午前,26.524,,,,,
28,10/26/22 10:00:00 午前,26.573,,,,,
29,10/26/22 11:00:00 午前,26.695,,,,,
30,10/26/22 12:00:00 午後,26.842,,,,,
31,10/26/22 01:00:00 午後,26.916,,,,,
32,10/26/22 02:00:00 午後,26.965,,,,,
33,10/26/22 03:00:00 午後,26.989,,,,,
34,10/26/22 04:00:00 午後,26.94,,,,,
35,10/26/22 05:00:00 午後,27.259,,,,,
36,10/26/22 06:00:00 午後,26.842,,,,,
37,10/26/22 07:00:00 午後,27.014,,,,,
38,10/26/22 08:00:00 午後,27.087,,,,,
39,10/26/22 09:00:00 午後,27.038,,,,,
40,10/26/22 10:00:00 午後,27.014,,,,,
41,10/26/22 11:00:00 午後,26.867,,,,,
42,10/27/22 12:00:00 午前,26.793,,,,,
43,10/27/22 01:00:00 午前,26.744,,,,,
44,10/27/22 02:00:00 午前,26.72,,,,,
45,10/27/22 03:00:00 午前,26.671,,,,,
46,10/27/22 04:00:00 午前,26.695,,,,,
47,10/27/22 05:00:00 午前,26.646,,,,,
48,10/27/22 06:00:00 午前,26.549,,,,,
49,10/27/22 07:00:00 午前,26.965,,,,,
50,10/27/22 08:00:00 午前,27.235,,,,,
51,10/27/22 09:00:00 午前,27.333,,,,,
52,10/27/22 10:00:00 午前,27.456,,,,,
53,10/27/22 11:00:00 午前,27.554,,,,,
54,10/27/22 12:00:00 午後,27.677,,,,,
55,10/27/22 01:00:00 午後,27.702,,,,,
56,10/27/22 02:00:00 午後,27.727,,,,,
57,10/27/22 03:00:00 午後,27.677,,,,,
58,10/27/22 04:00:00 午後,27.677,,,,,
59,10/27/22 05:00:00 午後,27.85,,,,,
60,10/27/22 06:00:00 午後,27.186,,,,,
61,10/27/22 07:00:00 午後,27.382,,,,,
62,10/27/22 08:00:00 午後,27.456,,,,,
63,10/27/22 09:00:00 午後,27.481,,,,,
64,10/27/22 10:00:00 午後,27.505,,,,,
65,10/27/22 11:00:00 午後,27.481,,,,,
66,10/28/22 12:00:00 午前,27.431,,,,,
67,10/28/22 01:00:00 午前,27.358,,,,,
68,10/28/22 02:00:00 午前,27.259,,,,,
69,10/28/22 03:00:00 午前,27.235,,,,,
70,10/28/22 04:00:00 午前,27.21,,,,,
71,10/28/22 05:00:00 午前,27.21,,,,,
72,10/28/22 06:00:00 午前,27.161,,,,,
73,10/28/22 07:00:00 午前,27.038,,,,,
74,10/28/22 08:00:00 午前,27.333,,,,,
75,10/28/22 09:00:00 午前,27.456,,,,,
76,10/28/22 10:00:00 午前,27.53,,,,,
77,10/28/22 11:00:00 午前,27.554,,,,,
78,10/28/22 12:00:00 午後,27.628,,,,,
79,10/28/22 01:00:00 午後,27.727,,,,,
80,10/28/22 02:00:00 午後,27.776,,,,,
81,10/28/22 03:00:00 午後,27.825,,,,,
82,10/28/22 04:00:00 午後,27.825,,,,,
83,10/28/22 05:00:00 午後,27.899,,,,,
84,10/28/22 06:00:00 午後,27.407,,,,,
85,10/28/22 07:00:00 午後,27.481,,,,,
86,10/28/22 08:00:00 午後,27.505,,,,,
87,10/28/22 09:00:00 午後,27.505,,,,,
88,10/28/22 10:00:00 午後,27.456,,,,,
89,10/28/22 11:00:00 午後,27.456,,,,,
90,10/29/22 12:00:00 午前,27.431,,,,,
91,10/29/22 01:00:00 午前,27.358,,,,,
92,10/29/22 02:00:00 午前,27.284,,,,,
93,10/29/22 03:00:00 午前,27.235,,,,,
94,10/29/22 04:00:00 午前,27.21,,,,,
