プロット タイトル: site18_spot004_2021,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 10808900, SEN S/N: 10808900)",カプラー取り外し (LGR S/N: 10808900),カプラー取り付け (LGR S/N: 10808900),ホスト接続 (LGR S/N: 10808900),停止済み (LGR S/N: 10808900),ファイルの終わり (LGR S/N: 10808900)
1,11/12/20 09:00:00 午前,24.171,記録,,,,
2,11/12/20 10:00:00 午前,24.677,,,,,
3,11/12/20 11:00:00 午前,24.267,,,,,
4,11/12/20 12:00:00 午後,24.388,,,,,
5,11/12/20 01:00:00 午後,24.339,,,,,
6,11/12/20 02:00:00 午後,24.677,,,,,
7,11/12/20 03:00:00 午後,24.726,,,,,
8,11/12/20 04:00:00 午後,24.653,,,,,
9,11/12/20 05:00:00 午後,24.702,,,,,
10,11/12/20 06:00:00 午後,24.919,,,,,
11,11/12/20 07:00:00 午後,24.871,,,,,
12,11/12/20 08:00:00 午後,24.968,,,,,
13,11/12/20 09:00:00 午後,25.065,,,,,
14,11/12/20 10:00:00 午後,25.016,,,,,
15,11/12/20 11:00:00 午後,24.026,,,,,
16,11/13/20 12:00:00 午前,23.737,,,,,
17,11/13/20 01:00:00 午前,24.026,,,,,
18,11/13/20 02:00:00 午前,24.122,,,,,
19,11/13/20 03:00:00 午前,24.508,,,,,
20,11/13/20 04:00:00 午前,24.532,,,,,
21,11/13/20 05:00:00 午前,24.532,,,,,
22,11/13/20 06:00:00 午前,24.75,,,,,
23,11/13/20 07:00:00 午前,24.895,,,,,
24,11/13/20 08:00:00 午前,25.016,,,,,
25,11/13/20 09:00:00 午前,25.016,,,,,
26,11/13/20 10:00:00 午前,25.38,,,,,
27,11/13/20 11:00:00 午前,23.93,,,,,
28,11/13/20 12:00:00 午後,23.448,,,,,
29,11/13/20 01:00:00 午後,24.074,,,,,
30,11/13/20 02:00:00 午後,24.315,,,,,
31,11/13/20 03:00:00 午後,24.823,,,,,
32,11/13/20 04:00:00 午後,24.823,,,,,
33,11/13/20 05:00:00 午後,24.339,,,,,
34,11/13/20 06:00:00 午後,25.04,,,,,
35,11/13/20 07:00:00 午後,25.234,,,,,
36,11/13/20 08:00:00 午後,25.331,,,,,
37,11/13/20 09:00:00 午後,25.307,,,,,
38,11/13/20 10:00:00 午後,25.283,,,,,
39,11/13/20 11:00:00 午後,23.088,,,,,
40,11/14/20 12:00:00 午前,24.098,,,,,
41,11/14/20 01:00:00 午前,24.002,,,,,
42,11/14/20 02:00:00 午前,23.978,,,,,
43,11/14/20 03:00:00 午前,23.881,,,,,
44,11/14/20 04:00:00 午前,24.315,,,,,
45,11/14/20 05:00:00 午前,24.098,,,,,
46,11/14/20 06:00:00 午前,24.146,,,,,
47,11/14/20 07:00:00 午前,24.653,,,,,
48,11/14/20 08:00:00 午前,24.895,,,,,
49,11/14/20 09:00:00 午前,25.04,,,,,
50,11/14/20 10:00:00 午前,25.258,,,,,
51,11/14/20 11:00:00 午前,24.436,,,,,
52,11/14/20 12:00:00 午後,23.785,,,,,
53,11/14/20 01:00:00 午後,23.857,,,,,
54,11/14/20 02:00:00 午後,24.315,,,,,
55,11/14/20 03:00:00 午後,24.605,,,,,
56,11/14/20 04:00:00 午後,24.798,,,,,
57,11/14/20 05:00:00 午後,24.363,,,,,
58,11/14/20 06:00:00 午後,24.508,,,,,
59,11/14/20 07:00:00 午後,24.605,,,,,
60,11/14/20 08:00:00 午後,24.629,,,,,
61,11/14/20 09:00:00 午後,24.75,,,,,
62,11/14/20 10:00:00 午後,24.847,,,,,
63,11/14/20 11:00:00 午後,24.653,,,,,
64,11/15/20 12:00:00 午前,23.857,,,,,
65,11/15/20 01:00:00 午前,24.46,,,,,
66,11/15/20 02:00:00 午前,24.508,,,,,
67,11/15/20 03:00:00 午前,24.653,,,,,
68,11/15/20 04:00:00 午前,24.605,,,,,
69,11/15/20 05:00:00 午前,24.532,,,,,
70,11/15/20 06:00:00 午前,24.484,,,,,
71,11/15/20 07:00:00 午前,24.195,,,,,
72,11/15/20 08:00:00 午前,24.026,,,,,
73,11/15/20 09:00:00 午前,23.978,,,,,
74,11/15/20 10:00:00 午前,24.122,,,,,
75,11/15/20 11:00:00 午前,23.978,,,,,
76,11/15/20 12:00:00 午後,24.146,,,,,
77,11/15/20 01:00:00 午後,24.074,,,,,
78,11/15/20 02:00:00 午後,24.098,,,,,
79,11/15/20 03:00:00 午後,24.026,,,,,
80,11/15/20 04:00:00 午後,24.122,,,,,
81,11/15/20 05:00:00 午後,24.267,,,,,
82,11/15/20 06:00:00 午後,23.905,,,,,
83,11/15/20 07:00:00 午後,23.857,,,,,
84,11/15/20 08:00:00 午後,24.315,,,,,
85,11/15/20 09:00:00 午後,24.339,,,,,
86,11/15/20 10:00:00 午後,24.339,,,,,
87,11/15/20 11:00:00 午後,24.339,,,,,
88,11/16/20 12:00:00 午前,24.315,,,,,
89,11/16/20 01:00:00 午前,23.352,,,,,
90,11/16/20 02:00:00 午前,23.184,,,,,
91,11/16/20 03:00:00 午前,23.088,,,,,
92,11/16/20 04:00:00 午前,23.112,,,,,
93,11/16/20 05:00:00 午前,23.545,,,,,
94,11/16/20 06:00:00 午前,23.809,,,,,
95,11/16/20 07:00:00 午前,23.785,,,,,
96,11/16/20 08:00:00 午前,23.833,,,,,
97,11/16/20 09:00:00 午前,24.219,,,,,
98,11/16/20 10:00:00 午前,24.363,,,,,
99,11/16/20 11:00:00 午前,24.75,,,,,
100,11/16/20 12:00:00 午後,24.581,,,,,
101,11/16/20 01:00:00 午後,23.833,,,,,
102,11/16/20 02:00:00 午後,23.376,,,,,
103,11/16/20 03:00:00 午後,23.617,,,,,
104,11/16/20 04:00:00 午後,23.689,,,,,
105,11/16/20 05:00:00 午後,23.809,,,,,
106,11/16/20 06:00:00 午後,23.833,,,,,
107,11/16/20 07:00:00 午後,23.761,,,,,
108,11/16/20 08:00:00 午後,23.954,,,,,
109,11/16/20 09:00:00 午後,24.122,,,,,
110,11/16/20 10:00:00 午後,24.315,,,,,
111,11/16/20 11:00:00 午後,24.315,,,,,
112,11/17/20 12:00:00 午前,24.315,,,,,
113,11/17/20 01:00:00 午前,24.363,,,,,
114,11/17/20 02:00:00 午前,23.376,,,,,
115,11/17/20 03:00:00 午前,23.136,,,,,
116,11/17/20 04:00:00 午前,23.4,,,,,
117,11/17/20 05:00:00 午前,23.4,,,,,
118,11/17/20 06:00:00 午前,23.857,,,,,
119,11/17/20 07:00:00 午前,23.905,,,,,
120,11/17/20 08:00:00 午前,23.785,,,,,
121,11/17/20 09:00:00 午前,24.219,,,,,
122,11/17/20 10:00:00 午前,24.508,,,,,
123,11/17/20 11:00:00 午前,24.774,,,,,
124,11/17/20 12:00:00 午後,24.677,,,,,
125,11/17/20 01:00:00 午後,24.532,,,,,
126,11/17/20 02:00:00 午後,23.857,,,,,
127,11/17/20 03:00:00 午後,23.545,,,,,
128,11/17/20 04:00:00 午後,23.569,,,,,
129,11/17/20 05:00:00 午後,23.857,,,,,
130,11/17/20 06:00:00 午後,23.905,,,,,
131,11/17/20 07:00:00 午後,23.978,,,,,
132,11/17/20 08:00:00 午後,23.472,,,,,
133,11/17/20 09:00:00 午後,23.593,,,,,
134,11/17/20 10:00:00 午後,23.472,,,,,
135,11/17/20 11:00:00 午後,23.4,,,,,
136,11/18/20 12:00:00 午前,23.28,,,,,
137,11/18/20 01:00:00 午前,23.232,,,,,
138,11/18/20 02:00:00 午前,23.256,,,,,
139,11/18/20 03:00:00 午前,23.232,,,,,
140,11/18/20 04:00:00 午前,23.352,,,,,
141,11/18/20 05:00:00 午前,23.352,,,,,
142,11/18/20 06:00:00 午前,23.497,,,,,
143,11/18/20 07:00:00 午前,23.665,,,,,
144,11/18/20 08:00:00 午前,23.689,,,,,
145,11/18/20 09:00:00 午前,24.508,,,,,
146,11/18/20 10:00:00 午前,24.944,,,,,
147,11/18/20 11:00:00 午前,24.992,,,,,
148,11/18/20 12:00:00 午後,25.113,,,,,
149,11/18/20 01:00:00 午後,24.968,,,,,
150,11/18/20 02:00:00 午後,23.785,,,,,
151,11/18/20 03:00:00 午後,23.256,,,,,
152,11/18/20 04:00:00 午後,23.28,,,,,
153,11/18/20 05:00:00 午後,23.352,,,,,
154,11/18/20 06:00:00 午後,23.472,,,,,
155,11/18/20 07:00:00 午後,23.593,,,,,
156,11/18/20 08:00:00 午後,23.665,,,,,
157,11/18/20 09:00:00 午後,23.785,,,,,
158,11/18/20 10:00:00 午後,23.617,,,,,
159,11/18/20 11:00:00 午後,23.352,,,,,
160,11/19/20 12:00:00 午前,23.448,,,,,
161,11/19/20 01:00:00 午前,23.4,,,,,
162,11/19/20 02:00:00 午前,23.448,,,,,
163,11/19/20 03:00:00 午前,23.737,,,,,
164,11/19/20 04:00:00 午前,23.497,,,,,
165,11/19/20 05:00:00 午前,23.617,,,,,
166,11/19/20 06:00:00 午前,23.593,,,,,
167,11/19/20 07:00:00 午前,23.617,,,,,
168,11/19/20 08:00:00 午前,23.737,,,,,
169,11/19/20 09:00:00 午前,23.785,,,,,
170,11/19/20 10:00:00 午前,23.954,,,,,
171,11/19/20 11:00:00 午前,24.339,,,,,
172,11/19/20 12:00:00 午後,24.412,,,,,
173,11/19/20 01:00:00 午後,24.557,,,,,
174,11/19/20 02:00:00 午後,24.944,,,,,
175,11/19/20 03:00:00 午後,23.785,,,,,
176,11/19/20 04:00:00 午後,23.256,,,,,
177,11/19/20 05:00:00 午後,23.545,,,,,
178,11/19/20 06:00:00 午後,23.689,,,,,
179,11/19/20 07:00:00 午後,23.809,,,,,
180,11/19/20 08:00:00 午後,24.002,,,,,
181,11/19/20 09:00:00 午後,23.833,,,,,
182,11/19/20 10:00:00 午後,23.905,,,,,
183,11/19/20 11:00:00 午後,23.833,,,,,
184,11/20/20 12:00:00 午前,23.761,,,,,
185,11/20/20 01:00:00 午前,23.809,,,,,
186,11/20/20 02:00:00 午前,23.93,,,,,
187,11/20/20 03:00:00 午前,24.098,,,,,
188,11/20/20 04:00:00 午前,24.219,,,,,
189,11/20/20 05:00:00 午前,23.954,,,,,
190,11/20/20 06:00:00 午前,23.881,,,,,
191,11/20/20 07:00:00 午前,23.857,,,,,
192,11/20/20 08:00:00 午前,23.833,,,,,
193,11/20/20 09:00:00 午前,24.074,,,,,
194,11/20/20 10:00:00 午前,24.146,,,,,
195,11/20/20 11:00:00 午前,24.267,,,,,
196,11/20/20 12:00:00 午後,24.412,,,,,
197,11/20/20 01:00:00 午後,24.557,,,,,
198,11/20/20 02:00:00 午後,24.363,,,,,
199,11/20/20 03:00:00 午後,24.557,,,,,
200,11/20/20 04:00:00 午後,23.737,,,,,
201,11/20/20 05:00:00 午後,23.328,,,,,
202,11/20/20 06:00:00 午後,23.569,,,,,
203,11/20/20 07:00:00 午後,23.689,,,,,
204,11/20/20 08:00:00 午後,23.809,,,,,
205,11/20/20 09:00:00 午後,24.002,,,,,
206,11/20/20 10:00:00 午後,23.93,,,,,
207,11/20/20 11:00:00 午後,24.026,,,,,
208,11/21/20 12:00:00 午前,23.881,,,,,
