プロット タイトル: 2021_10_18_nishidomari,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011400, SEN S/N: 21011400)",カプラー取り外し (LGR S/N: 21011400),カプラー取り付け (LGR S/N: 21011400),ホスト接続 (LGR S/N: 21011400),停止済み (LGR S/N: 21011400),ファイルの終わり (LGR S/N: 21011400)
1,10/18/21 11:00:00 午前,32.253,記録,,,,
2,10/18/21 12:00:00 午後,25.574,,,,,
3,10/18/21 01:00:00 午後,20.555,,,,,
4,10/18/21 02:00:00 午後,26.867,,,,,
5,10/18/21 03:00:00 午後,26.842,,,,,
6,10/18/21 04:00:00 午後,26.818,,,,,
7,10/18/21 05:00:00 午後,26.769,,,,,
8,10/18/21 06:00:00 午後,26.695,,,,,
9,10/18/21 07:00:00 午後,26.598,,,,,
10,10/18/21 08:00:00 午後,26.5,,,,,
11,10/18/21 09:00:00 午後,26.426,,,,,
12,10/18/21 10:00:00 午後,26.304,,,,,
13,10/18/21 11:00:00 午後,26.182,,,,,
14,10/19/21 12:00:00 午前,26.109,,,,,
15,10/19/21 01:00:00 午前,26.109,,,,,
16,10/19/21 02:00:00 午前,26.207,,,,,
17,10/19/21 03:00:00 午前,26.061,,,,,
18,10/19/21 04:00:00 午前,26.085,,,,,
19,10/19/21 05:00:00 午前,26.207,,,,,
20,10/19/21 06:00:00 午前,26.134,,,,,
21,10/19/21 07:00:00 午前,26.061,,,,,
22,10/19/21 08:00:00 午前,26.036,,,,,
23,10/19/21 09:00:00 午前,26.085,,,,,
24,10/19/21 10:00:00 午前,26.158,,,,,
25,10/19/21 11:00:00 午前,26.378,,,,,
26,10/19/21 12:00:00 午後,26.475,,,,,
27,10/19/21 01:00:00 午後,26.5,,,,,
28,10/19/21 02:00:00 午後,26.524,,,,,
29,10/19/21 03:00:00 午後,26.549,,,,,
30,10/19/21 04:00:00 午後,26.5,,,,,
31,10/19/21 05:00:00 午後,26.451,,,,,
32,10/19/21 06:00:00 午後,26.304,,,,,
33,10/19/21 07:00:00 午後,26.182,,,,,
34,10/19/21 08:00:00 午後,26.134,,,,,
35,10/19/21 09:00:00 午後,26.012,,,,,
36,10/19/21 10:00:00 午後,25.817,,,,,
37,10/19/21 11:00:00 午後,25.671,,,,,
38,10/20/21 12:00:00 午前,25.598,,,,,
39,10/20/21 01:00:00 午前,25.55,,,,,
40,10/20/21 02:00:00 午前,25.477,,,,,
41,10/20/21 03:00:00 午前,25.598,,,,,
42,10/20/21 04:00:00 午前,25.598,,,,,
43,10/20/21 05:00:00 午前,25.598,,,,,
44,10/20/21 06:00:00 午前,25.598,,,,,
45,10/20/21 07:00:00 午前,25.525,,,,,
46,10/20/21 08:00:00 午前,25.525,,,,,
47,10/20/21 09:00:00 午前,25.574,,,,,
48,10/20/21 10:00:00 午前,25.623,,,,,
49,10/20/21 11:00:00 午前,25.695,,,,,
50,10/20/21 12:00:00 午後,25.793,,,,,
51,10/20/21 01:00:00 午後,25.793,,,,,
52,10/20/21 02:00:00 午後,25.841,,,,,
53,10/20/21 03:00:00 午後,25.841,,,,,
54,10/20/21 04:00:00 午後,25.817,,,,,
55,10/20/21 05:00:00 午後,25.817,,,,,
56,10/20/21 06:00:00 午後,25.72,,,,,
57,10/20/21 07:00:00 午後,25.72,,,,,
58,10/20/21 08:00:00 午後,25.574,,,,,
59,10/20/21 09:00:00 午後,25.55,,,,,
60,10/20/21 10:00:00 午後,25.404,,,,,
61,10/20/21 11:00:00 午後,25.404,,,,,
62,10/21/21 12:00:00 午前,25.38,,,,,
63,10/21/21 01:00:00 午前,25.283,,,,,
64,10/21/21 02:00:00 午前,25.234,,,,,
65,10/21/21 03:00:00 午前,25.186,,,,,
66,10/21/21 04:00:00 午前,25.234,,,,,
67,10/21/21 05:00:00 午前,25.21,,,,,
68,10/21/21 06:00:00 午前,25.186,,,,,
69,10/21/21 07:00:00 午前,25.234,,,,,
70,10/21/21 08:00:00 午前,25.186,,,,,
71,10/21/21 09:00:00 午前,25.331,,,,,
72,10/21/21 10:00:00 午前,25.428,,,,,
73,10/21/21 11:00:00 午前,25.501,,,,,
74,10/21/21 12:00:00 午後,25.501,,,,,
75,10/21/21 01:00:00 午後,25.525,,,,,
76,10/21/21 02:00:00 午後,25.501,,,,,
77,10/21/21 03:00:00 午後,25.477,,,,,
78,10/21/21 04:00:00 午後,25.453,,,,,
79,10/21/21 05:00:00 午後,25.38,,,,,
80,10/21/21 06:00:00 午後,25.404,,,,,
81,10/21/21 07:00:00 午後,25.355,,,,,
82,10/21/21 08:00:00 午後,25.283,,,,,
83,10/21/21 09:00:00 午後,25.307,,,,,
84,10/21/21 10:00:00 午後,25.283,,,,,
85,10/21/21 11:00:00 午後,25.283,,,,,
86,10/22/21 12:00:00 午前,25.234,,,,,
87,10/22/21 01:00:00 午前,25.137,,,,,
88,10/22/21 02:00:00 午前,25.04,,,,,
89,10/22/21 03:00:00 午前,24.968,,,,,
90,10/22/21 04:00:00 午前,25.162,,,,,
91,10/22/21 05:00:00 午前,25.089,,,,,
92,10/22/21 06:00:00 午前,25.065,,,,,
93,10/22/21 07:00:00 午前,25.113,,,,,
94,10/22/21 08:00:00 午前,25.186,,,,,
95,10/22/21 09:00:00 午前,25.21,,,,,
96,10/22/21 10:00:00 午前,25.38,,,,,
97,10/22/21 11:00:00 午前,25.574,,,,,
98,10/22/21 12:00:00 午後,25.598,,,,,
99,10/22/21 01:00:00 午後,25.598,,,,,
100,10/22/21 02:00:00 午後,25.647,,,,,
101,10/22/21 03:00:00 午後,25.574,,,,,
102,10/22/21 04:00:00 午後,25.525,,,,,
103,10/22/21 05:00:00 午後,25.501,,,,,
104,10/22/21 06:00:00 午後,25.453,,,,,
105,10/22/21 07:00:00 午後,25.355,,,,,
106,10/22/21 08:00:00 午後,25.258,,,,,
107,10/22/21 09:00:00 午後,25.137,,,,,
108,10/22/21 10:00:00 午後,25.04,,,,,
109,10/22/21 11:00:00 午後,24.798,,,,,
110,10/23/21 12:00:00 午前,24.629,,,,,
111,10/23/21 01:00:00 午前,24.581,,,,,
112,10/23/21 02:00:00 午前,24.702,,,,,
113,10/23/21 03:00:00 午前,24.798,,,,,
114,10/23/21 04:00:00 午前,24.726,,,,,
115,10/23/21 05:00:00 午前,24.774,,,,,
116,10/23/21 06:00:00 午前,24.895,,,,,
117,10/23/21 07:00:00 午前,24.895,,,,,
118,10/23/21 08:00:00 午前,24.847,,,,,
119,10/23/21 09:00:00 午前,24.919,,,,,
120,10/23/21 10:00:00 午前,25.186,,,,,
121,10/23/21 11:00:00 午前,25.477,,,,,
122,10/23/21 12:00:00 午後,25.477,,,,,
123,10/23/21 01:00:00 午後,25.453,,,,,
124,10/23/21 02:00:00 午後,25.477,,,,,
125,10/23/21 03:00:00 午後,25.477,,,,,
126,10/23/21 04:00:00 午後,25.477,,,,,
127,10/23/21 05:00:00 午後,25.428,,,,,
128,10/23/21 06:00:00 午後,25.331,,,,,
129,10/23/21 07:00:00 午後,25.234,,,,,
130,10/23/21 08:00:00 午後,25.137,,,,,
131,10/23/21 09:00:00 午後,24.968,,,,,
