プロット タイトル: site15_spot104_2022,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011401, SEN S/N: 21011401)",カプラー取り外し (LGR S/N: 21011401),カプラー取り付け (LGR S/N: 21011401),ホスト接続 (LGR S/N: 21011401),停止済み (LGR S/N: 21011401),ファイルの終わり (LGR S/N: 21011401)
1,10/27/21 08:00:00 午前,24.871,記録,,,,
2,10/27/21 09:00:00 午前,25.113,,,,,
3,10/27/21 10:00:00 午前,30.748,,,,,
4,10/27/21 11:00:00 午前,29.916,,,,,
5,10/27/21 12:00:00 午後,26.72,,,,,
6,10/27/21 01:00:00 午後,26.891,,,,,
7,10/27/21 02:00:00 午後,27.087,,,,,
8,10/27/21 03:00:00 午後,27.112,,,,,
9,10/27/21 04:00:00 午後,27.112,,,,,
10,10/27/21 05:00:00 午後,27.063,,,,,
11,10/27/21 06:00:00 午後,26.891,,,,,
12,10/27/21 07:00:00 午後,26.72,,,,,
13,10/27/21 08:00:00 午後,26.573,,,,,
14,10/27/21 09:00:00 午後,26.475,,,,,
15,10/27/21 10:00:00 午後,26.378,,,,,
16,10/27/21 11:00:00 午後,26.426,,,,,
17,10/28/21 12:00:00 午前,26.402,,,,,
18,10/28/21 01:00:00 午前,26.5,,,,,
19,10/28/21 02:00:00 午前,26.378,,,,,
20,10/28/21 03:00:00 午前,26.549,,,,,
21,10/28/21 04:00:00 午前,26.769,,,,,
22,10/28/21 05:00:00 午前,26.94,,,,,
23,10/28/21 06:00:00 午前,26.695,,,,,
24,10/28/21 07:00:00 午前,26.378,,,,,
25,10/28/21 08:00:00 午前,26.402,,,,,
26,10/28/21 09:00:00 午前,26.426,,,,,
27,10/28/21 10:00:00 午前,26.5,,,,,
28,10/28/21 11:00:00 午前,26.573,,,,,
29,10/28/21 12:00:00 午後,26.671,,,,,
30,10/28/21 01:00:00 午後,26.646,,,,,
31,10/28/21 02:00:00 午後,26.769,,,,,
32,10/28/21 03:00:00 午後,26.94,,,,,
33,10/28/21 04:00:00 午後,26.94,,,,,
34,10/28/21 05:00:00 午後,26.769,,,,,
35,10/28/21 06:00:00 午後,26.598,,,,,
36,10/28/21 07:00:00 午後,26.475,,,,,
37,10/28/21 08:00:00 午後,26.353,,,,,
38,10/28/21 09:00:00 午後,26.207,,,,,
39,10/28/21 10:00:00 午後,26.158,,,,,
40,10/28/21 11:00:00 午後,25.963,,,,,
41,10/29/21 12:00:00 午前,26.158,,,,,
42,10/29/21 01:00:00 午前,26.109,,,,,
43,10/29/21 02:00:00 午前,26.329,,,,,
