プロット タイトル: site09_spot003_2020,,,,,,,,
#,日付,"時間, GMT+09:00","温度, °C (LGR S/N: 20054327, SEN S/N: 20054327)",カプラー取り外し (LGR S/N: 20054327),カプラー取り付け (LGR S/N: 20054327),ホスト接続 (LGR S/N: 20054327),停止済み (LGR S/N: 20054327),ファイルの終わり (LGR S/N: 20054327)
1,2019/12/17,9:00:00,23.881,記録,,,,
2,2019/12/17,10:00:00,24.532,,,,,
3,2019/12/17,11:00:00,26.426,,,,,
4,2019/12/17,12:00:00,28.345,,,,,
5,2019/12/17,13:00:00,26.329,,,,,
6,2019/12/17,14:00:00,25.428,,,,,
7,2019/12/17,15:00:00,25.453,,,,,
8,2019/12/17,16:00:00,25.428,,,,,
9,2019/12/17,17:00:00,25.186,,,,,
10,2019/12/17,18:00:00,26.916,,,,,
11,2019/12/17,19:00:00,26.671,,,,,
12,2019/12/17,20:00:00,26.475,,,,,
13,2019/12/17,21:00:00,26.329,,,,,
14,2019/12/17,22:00:00,26.134,,,,,
15,2019/12/17,23:00:00,25.89,,,,,
16,2019/12/18,0:00:00,25.647,,,,,
17,2019/12/18,1:00:00,25.404,,,,,
18,2019/12/18,2:00:00,25.186,,,,,
19,2019/12/18,3:00:00,25.04,,,,,
20,2019/12/18,4:00:00,24.895,,,,,
21,2019/12/18,5:00:00,24.702,,,,,
22,2019/12/18,6:00:00,24.605,,,,,
23,2019/12/18,7:00:00,24.532,,,,,
24,2019/12/18,8:00:00,24.436,,,,,
25,2019/12/18,9:00:00,22.417,,,,,
26,2019/12/18,10:00:00,22.729,,,,,
27,2019/12/18,11:00:00,23.16,,,,,
28,2019/12/18,12:00:00,22.298,,,,,
29,2019/12/18,13:00:00,22.321,,,,,
30,2019/12/18,14:00:00,23.761,,,,,
31,2019/12/18,15:00:00,23.93,,,,,
32,2019/12/18,16:00:00,23.881,,,,,
33,2019/12/18,17:00:00,23.833,,,,,
34,2019/12/18,18:00:00,23.809,,,,,
35,2019/12/18,19:00:00,23.785,,,,,
36,2019/12/18,20:00:00,23.737,,,,,
37,2019/12/18,21:00:00,23.713,,,,,
38,2019/12/18,22:00:00,23.689,,,,,
39,2019/12/18,23:00:00,23.689,,,,,
40,2019/12/19,0:00:00,23.641,,,,,
41,2019/12/19,1:00:00,23.617,,,,,
42,2019/12/19,2:00:00,23.593,,,,,
43,2019/12/19,3:00:00,23.593,,,,,
44,2019/12/19,4:00:00,23.593,,,,,
45,2019/12/19,5:00:00,23.569,,,,,
46,2019/12/19,6:00:00,23.545,,,,,
47,2019/12/19,7:00:00,23.545,,,,,
48,2019/12/19,8:00:00,23.545,,,,,
49,2019/12/19,9:00:00,23.545,,,,,
50,2019/12/19,10:00:00,23.569,,,,,
51,2019/12/19,11:00:00,23.689,,,,,
52,2019/12/19,12:00:00,23.761,,,,,
53,2019/12/19,13:00:00,23.785,,,,,
54,2019/12/19,14:00:00,23.881,,,,,
55,2019/12/19,15:00:00,23.857,,,,,
56,2019/12/19,16:00:00,23.881,,,,,
57,2019/12/19,17:00:00,23.857,,,,,
58,2019/12/19,18:00:00,23.857,,,,,
59,2019/12/19,19:00:00,23.857,,,,,
60,2019/12/19,20:00:00,23.833,,,,,
61,2019/12/19,21:00:00,23.833,,,,,
62,2019/12/19,22:00:00,23.833,,,,,
63,2019/12/19,23:00:00,23.809,,,,,
64,2019/12/20,0:00:00,23.785,,,,,
65,2019/12/20,1:00:00,23.761,,,,,
66,2019/12/20,2:00:00,23.761,,,,,
67,2019/12/20,3:00:00,23.713,,,,,
68,2019/12/20,4:00:00,23.689,,,,,
69,2019/12/20,5:00:00,23.689,,,,,
70,2019/12/20,6:00:00,23.665,,,,,
71,2019/12/20,7:00:00,23.665,,,,,
72,2019/12/20,8:00:00,23.641,,,,,
73,2019/12/20,9:00:00,23.593,,,,,
74,2019/12/20,10:00:00,23.617,,,,,
75,2019/12/20,11:00:00,23.617,,,,,
76,2019/12/20,12:00:00,23.617,,,,,
77,2019/12/20,13:00:00,23.593,,,,,
78,2019/12/20,14:00:00,23.545,,,,,
79,2019/12/20,15:00:00,23.569,,,,,
80,2019/12/20,16:00:00,23.617,,,,,
81,2019/12/20,17:00:00,23.569,,,,,
82,2019/12/20,18:00:00,23.641,,,,,
83,2019/12/20,19:00:00,23.593,,,,,
84,2019/12/20,20:00:00,23.545,,,,,
85,2019/12/20,21:00:00,23.617,,,,,
86,2019/12/20,22:00:00,23.593,,,,,
87,2019/12/20,23:00:00,23.521,,,,,
88,2019/12/21,0:00:00,23.545,,,,,
89,2019/12/21,1:00:00,23.569,,,,,
90,2019/12/21,2:00:00,23.593,,,,,
91,2019/12/21,3:00:00,23.617,,,,,
92,2019/12/21,4:00:00,23.593,,,,,
93,2019/12/21,5:00:00,23.545,,,,,
94,2019/12/21,6:00:00,23.521,,,,,
95,2019/12/21,7:00:00,23.497,,,,,
96,2019/12/21,8:00:00,23.521,,,,,
97,2019/12/21,9:00:00,23.569,,,,,
98,2019/12/21,10:00:00,23.617,,,,,
99,2019/12/21,11:00:00,23.665,,,,,
100,2019/12/21,12:00:00,23.713,,,,,
101,2019/12/21,13:00:00,23.737,,,,,
102,2019/12/21,14:00:00,23.761,,,,,
103,2019/12/21,15:00:00,23.833,,,,,
104,2019/12/21,16:00:00,23.93,,,,,
105,2019/12/21,17:00:00,23.93,,,,,
106,2019/12/21,18:00:00,23.905,,,,,
107,2019/12/21,19:00:00,23.881,,,,,
108,2019/12/21,20:00:00,23.881,,,,,
109,2019/12/21,21:00:00,24.098,,,,,
110,2019/12/21,22:00:00,24.074,,,,,
111,2019/12/21,23:00:00,24.074,,,,,
112,2019/12/22,0:00:00,24.05,,,,,
113,2019/12/22,1:00:00,24.026,,,,,
114,2019/12/22,2:00:00,23.978,,,,,
115,2019/12/22,3:00:00,23.93,,,,,
116,2019/12/22,4:00:00,23.881,,,,,
117,2019/12/22,5:00:00,23.881,,,,,
118,2019/12/22,6:00:00,23.857,,,,,
119,2019/12/22,7:00:00,23.833,,,,,
120,2019/12/22,8:00:00,23.857,,,,,
121,2019/12/22,9:00:00,23.857,,,,,
122,2019/12/22,10:00:00,23.881,,,,,
123,2019/12/22,11:00:00,23.93,,,,,
124,2019/12/22,12:00:00,24.002,,,,,
125,2019/12/22,13:00:00,24.219,,,,,
126,2019/12/22,14:00:00,24.219,,,,,
127,2019/12/22,15:00:00,24.122,,,,,
128,2019/12/22,16:00:00,24.122,,,,,
129,2019/12/22,17:00:00,24.074,,,,,
130,2019/12/22,18:00:00,24.002,,,,,
131,2019/12/22,19:00:00,23.954,,,,,
132,2019/12/22,20:00:00,23.905,,,,,
133,2019/12/22,21:00:00,23.881,,,,,
134,2019/12/22,22:00:00,23.857,,,,,
135,2019/12/22,23:00:00,23.809,,,,,
136,2019/12/23,0:00:00,23.761,,,,,
137,2019/12/23,1:00:00,23.737,,,,,
138,2019/12/23,2:00:00,23.713,,,,,
139,2019/12/23,3:00:00,23.737,,,,,
140,2019/12/23,4:00:00,23.713,,,,,
141,2019/12/23,5:00:00,23.713,,,,,
142,2019/12/23,6:00:00,23.689,,,,,
143,2019/12/23,7:00:00,23.689,,,,,
144,2019/12/23,8:00:00,23.689,,,,,
145,2019/12/23,9:00:00,23.665,,,,,
146,2019/12/23,10:00:00,23.665,,,,,
147,2019/12/23,11:00:00,23.689,,,,,
148,2019/12/23,12:00:00,23.713,,,,,
149,2019/12/23,13:00:00,23.785,,,,,
150,2019/12/23,14:00:00,23.833,,,,,
