プロット タイトル: site12_spot040_2020,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054373, SEN S/N: 20054373)",カプラー取り外し (LGR S/N: 20054373),ファイルの終わり (LGR S/N: 20054373)
135,10/21/19 12:00:00 午後,26.231,,
136,10/21/19 12:00:00 午後,25.866,,
137,10/21/19 12:00:00 午後,26.451,,
138,10/21/19 12:00:00 午後,26.524,,
139,10/21/19 12:00:00 午後,26.524,,
140,10/21/19 12:00:00 午後,26.5,,
141,10/21/19 12:00:00 午後,26.475,,
142,10/21/19 12:00:00 午後,26.622,,
143,10/21/19 12:00:00 午後,26.793,,
144,10/21/19 12:00:00 午後,27.186,,
145,10/21/19 12:00:00 午後,27.579,,
146,10/21/19 12:00:00 午後,27.924,,
147,10/21/19 12:00:00 午後,27.949,,
148,10/21/19 12:00:00 午後,27.677,,
149,10/21/19 12:00:00 午後,27.505,,
150,10/21/19 12:00:00 午後,26.965,,
151,10/21/19 12:00:00 午後,26.793,,
152,10/21/19 12:00:00 午後,26.695,,
153,10/21/19 12:00:00 午後,26.622,,
154,10/21/19 12:00:00 午後,26.818,,
155,10/21/19 12:00:00 午後,26.744,,
156,10/21/19 12:00:00 午後,26.695,,
157,10/21/19 12:00:00 午後,26.695,,
158,10/21/19 12:00:00 午後,26.549,,
159,10/21/19 12:00:00 午後,26.426,,
160,10/21/19 12:00:00 午後,26.304,,
161,10/21/19 12:00:00 午後,26.061,,
162,10/21/19 12:00:00 午後,26.451,,
163,10/21/19 12:00:00 午後,26.524,,
164,10/21/19 12:00:00 午後,26.524,,
165,10/21/19 12:00:00 午後,26.549,,
166,10/21/19 12:00:00 午後,26.646,,
167,10/21/19 12:00:00 午後,26.769,,
168,10/21/19 12:00:00 午後,27.112,,
169,10/21/19 12:00:00 午後,27.456,,
170,10/21/19 12:00:00 午後,27.825,,
171,10/21/19 12:00:00 午後,27.801,,
172,10/21/19 12:00:00 午後,27.85,,
173,10/21/19 12:00:00 午後,27.875,,
174,10/21/19 12:00:00 午後,27.431,,
175,10/21/19 12:00:00 午後,27.186,,
176,10/21/19 12:00:00 午後,27.063,,
177,10/21/19 12:00:00 午後,26.989,,
178,10/21/19 12:00:00 午後,27.014,,
179,10/21/19 12:00:00 午後,27.161,,
180,10/21/19 12:00:00 午後,27.112,,
181,10/21/19 12:00:00 午後,27.063,,
