プロット タイトル: site12_spot040_2020,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054373, SEN S/N: 20054373)",カプラー取り外し (LGR S/N: 20054373),ファイルの終わり (LGR S/N: 20054373)
1751,10/21/19 12:00:00 午後,22.968,,
1752,10/21/19 12:00:00 午後,23.424,,
1753,10/21/19 12:00:00 午後,23.689,,
1754,10/21/19 12:00:00 午後,23.785,,
1755,10/21/19 12:00:00 午後,23.857,,
1756,10/21/19 12:00:00 午後,23.905,,
1757,10/21/19 12:00:00 午後,23.833,,
1758,10/21/19 12:00:00 午後,23.737,,
1759,10/21/19 12:00:00 午後,23.472,,
1760,10/21/19 12:00:00 午後,23.497,,
1761,10/21/19 12:00:00 午後,23.136,,
1762,10/21/19 12:00:00 午後,22.776,,
1763,10/21/19 12:00:00 午後,23.016,,
1764,10/21/19 12:00:00 午後,23.04,,
1765,10/21/19 12:00:00 午後,23.04,,
1766,10/21/19 12:00:00 午後,23.016,,
1767,10/21/19 12:00:00 午後,23.016,,
1768,10/21/19 12:00:00 午後,22.944,,
1769,10/21/19 12:00:00 午後,22.776,,
1770,10/21/19 12:00:00 午後,22.561,,
1771,10/21/19 12:00:00 午後,22.321,,
1772,10/21/19 12:00:00 午後,22.178,,
1773,10/21/19 12:00:00 午後,22.298,,
1774,10/21/19 12:00:00 午後,22.369,,
1775,10/21/19 12:00:00 午後,22.369,,
1776,10/21/19 12:00:00 午後,23.376,,
1777,10/21/19 12:00:00 午後,23.737,,
1778,10/21/19 12:00:00 午後,23.809,,
1779,10/21/19 12:00:00 午後,23.905,,
1780,10/21/19 12:00:00 午後,23.905,,
1781,10/21/19 12:00:00 午後,23.93,,
1782,10/21/19 12:00:00 午後,23.857,,
1783,10/21/19 12:00:00 午後,23.713,,
1784,10/21/19 12:00:00 午後,23.593,,
1785,10/21/19 12:00:00 午後,23.424,,
1786,10/21/19 12:00:00 午後,22.872,,
1787,10/21/19 12:00:00 午後,22.824,,
1788,10/21/19 12:00:00 午後,22.968,,
1789,10/21/19 12:00:00 午後,22.992,,
1790,10/21/19 12:00:00 午後,22.968,,
1791,10/21/19 12:00:00 午後,22.968,,
1792,10/21/19 12:00:00 午後,22.944,,
1793,10/21/19 12:00:00 午後,22.896,,
1794,10/21/19 12:00:00 午後,22.8,,
1795,10/21/19 12:00:00 午後,22.705,,
1796,10/21/19 12:00:00 午後,22.585,,
1797,10/21/19 12:00:00 午後,22.417,,
1798,10/21/19 12:00:00 午後,22.417,,
1799,10/21/19 12:00:00 午後,22.561,,
1800,10/21/19 12:00:00 午後,23.328,,
1801,10/21/19 12:00:00 午後,23.737,,
1802,10/21/19 12:00:00 午後,23.833,,
1803,10/21/19 12:00:00 午後,23.857,,
1804,10/21/19 12:00:00 午後,23.809,,
1805,10/21/19 12:00:00 午後,23.665,,
1806,10/21/19 12:00:00 午後,23.545,,
1807,10/21/19 12:00:00 午後,23.424,,
1808,10/21/19 12:00:00 午後,23.304,,
1809,10/21/19 12:00:00 午後,23.112,,
1810,10/21/19 12:00:00 午後,22.92,,
1811,10/21/19 12:00:00 午後,22.681,,
1812,10/21/19 12:00:00 午後,22.824,,
1813,10/21/19 12:00:00 午後,22.992,,
1814,10/21/19 12:00:00 午後,23.04,,
1815,10/21/19 12:00:00 午後,22.992,,
1816,10/21/19 12:00:00 午後,22.968,,
1817,10/21/19 12:00:00 午後,22.968,,
1818,10/21/19 12:00:00 午後,22.92,,
1819,10/21/19 12:00:00 午後,22.872,,
1820,10/21/19 12:00:00 午後,22.8,,
1821,10/21/19 12:00:00 午後,22.729,,
1822,10/21/19 12:00:00 午後,22.585,,
1823,10/21/19 12:00:00 午後,22.872,,
1824,10/21/19 12:00:00 午後,23.16,,
1825,10/21/19 12:00:00 午後,23.785,,
1826,10/21/19 12:00:00 午後,23.905,,
1827,10/21/19 12:00:00 午後,23.93,,
1828,10/21/19 12:00:00 午後,23.881,,
1829,10/21/19 12:00:00 午後,23.833,,
1830,10/21/19 12:00:00 午後,23.617,,
1831,10/21/19 12:00:00 午後,23.593,,
1832,10/21/19 12:00:00 午後,23.593,,
1833,10/21/19 12:00:00 午後,23.545,,
1834,10/21/19 12:00:00 午後,23.424,,
1835,10/21/19 12:00:00 午後,23.256,,
1836,10/21/19 12:00:00 午後,22.992,,
1837,10/21/19 12:00:00 午後,22.8,,
1838,10/21/19 12:00:00 午後,22.824,,
1839,10/21/19 12:00:00 午後,23.184,,
1840,10/21/19 12:00:00 午後,23.208,,
1841,10/21/19 12:00:00 午後,23.16,,
1842,10/21/19 12:00:00 午後,23.136,,
1843,10/21/19 12:00:00 午後,23.088,,
1844,10/21/19 12:00:00 午後,23.016,,
1845,10/21/19 12:00:00 午後,22.92,,
1846,10/21/19 12:00:00 午後,22.992,,
1847,10/21/19 12:00:00 午後,23.304,,
1848,10/21/19 12:00:00 午後,23.521,,
1849,10/21/19 12:00:00 午後,23.881,,
1850,10/21/19 12:00:00 午後,23.809,,
1851,10/21/19 12:00:00 午後,23.833,,
1852,10/21/19 12:00:00 午後,23.833,,
1853,10/21/19 12:00:00 午後,23.833,,
1854,10/21/19 12:00:00 午後,23.689,,
1855,10/21/19 12:00:00 午後,23.545,,
1856,10/21/19 12:00:00 午後,23.472,,
1857,10/21/19 12:00:00 午後,23.376,,
1858,10/21/19 12:00:00 午後,23.28,,
1859,10/21/19 12:00:00 午後,23.16,,
1860,10/21/19 12:00:00 午後,23.016,,
1861,10/21/19 12:00:00 午後,22.92,,
1862,10/21/19 12:00:00 午後,22.848,,
1863,10/21/19 12:00:00 午後,22.8,,
1864,10/21/19 12:00:00 午後,23.304,,
1865,10/21/19 12:00:00 午後,23.448,,
1866,10/21/19 12:00:00 午後,23.448,,
1867,10/21/19 12:00:00 午後,23.448,,
1868,10/21/19 12:00:00 午後,23.448,,
1869,10/21/19 12:00:00 午後,23.376,,
1870,10/21/19 12:00:00 午後,23.424,,
1871,10/21/19 12:00:00 午後,23.545,,
1872,10/21/19 12:00:00 午後,23.785,,
1873,10/21/19 12:00:00 午後,24.122,,
1874,10/21/19 12:00:00 午後,24.026,,
1875,10/21/19 12:00:00 午後,24.122,,
1876,10/21/19 12:00:00 午後,24.171,,
1877,10/21/19 12:00:00 午後,24.122,,
1878,10/21/19 12:00:00 午後,24.122,,
1879,10/21/19 12:00:00 午後,23.978,,
1880,10/21/19 12:00:00 午後,23.93,,
1881,10/21/19 12:00:00 午後,23.905,,
1882,10/21/19 12:00:00 午後,23.881,,
1883,10/21/19 12:00:00 午後,23.833,,
1884,10/21/19 12:00:00 午後,23.761,,
1885,10/21/19 12:00:00 午後,23.689,,
1886,10/21/19 12:00:00 午後,23.689,,
1887,10/21/19 12:00:00 午後,23.665,,
1888,10/21/19 12:00:00 午後,23.424,,
1889,10/21/19 12:00:00 午後,23.713,,
1890,10/21/19 12:00:00 午後,23.833,,
1891,10/21/19 12:00:00 午後,23.857,,
1892,10/21/19 12:00:00 午後,23.833,,
1893,10/21/19 12:00:00 午後,23.833,,
1894,10/21/19 12:00:00 午後,23.93,,
1895,10/21/19 12:00:00 午後,23.737,,
1896,10/21/19 12:00:00 午後,23.689,,
1897,10/21/19 12:00:00 午後,23.713,,
1898,10/21/19 12:00:00 午後,23.521,,
1899,10/21/19 12:00:00 午後,23.713,,
1900,10/21/19 12:00:00 午後,23.833,,
1901,10/21/19 12:00:00 午後,23.881,,
1902,10/21/19 12:00:00 午後,23.761,,
1903,10/21/19 12:00:00 午後,23.617,,
1904,10/21/19 12:00:00 午後,23.352,,
1905,10/21/19 12:00:00 午後,23.04,,
1906,10/21/19 12:00:00 午後,22.92,,
1907,10/21/19 12:00:00 午後,22.824,,
1908,10/21/19 12:00:00 午後,22.537,,
1909,10/21/19 12:00:00 午後,22.298,,
1910,10/21/19 12:00:00 午後,22.13,,
1911,10/21/19 12:00:00 午後,22.106,,
1912,10/21/19 12:00:00 午後,22.13,,
1913,10/21/19 12:00:00 午後,22.202,,
1914,10/21/19 12:00:00 午後,23.04,,
1915,10/21/19 12:00:00 午後,23.352,,
1916,10/21/19 12:00:00 午後,23.352,,
1917,10/21/19 12:00:00 午後,23.28,,
1918,10/21/19 12:00:00 午後,22.992,,
1919,10/21/19 12:00:00 午後,22.393,,
1920,10/21/19 12:00:00 午後,22.298,,
1921,10/21/19 12:00:00 午後,22.417,,
1922,10/21/19 12:00:00 午後,22.513,,
1923,10/21/19 12:00:00 午後,22.011,,
1924,10/21/19 12:00:00 午後,23.208,,
1925,10/21/19 12:00:00 午後,23.93,,
1926,10/21/19 12:00:00 午後,24.002,,
1927,10/21/19 12:00:00 午後,23.905,,
1928,10/21/19 12:00:00 午後,23.833,,
1929,10/21/19 12:00:00 午後,23.641,,
1930,10/21/19 12:00:00 午後,23.521,,
1931,10/21/19 12:00:00 午後,23.376,,
1932,10/21/19 12:00:00 午後,23.232,,
1933,10/21/19 12:00:00 午後,22.896,,
1934,10/21/19 12:00:00 午後,22.896,,
1935,10/21/19 12:00:00 午後,22.681,,
1936,10/21/19 12:00:00 午後,22.633,,
1937,10/21/19 12:00:00 午後,22.585,,
1938,10/21/19 12:00:00 午後,22.872,,
1939,10/21/19 12:00:00 午後,23.545,,
1940,10/21/19 12:00:00 午後,23.665,,
1941,10/21/19 12:00:00 午後,23.641,,
1942,10/21/19 12:00:00 午後,23.521,,
1943,10/21/19 12:00:00 午後,23.328,,
1944,10/21/19 12:00:00 午後,23.28,,
1945,10/21/19 12:00:00 午後,23.448,,
1946,10/21/19 12:00:00 午後,23.617,,
1947,10/21/19 12:00:00 午後,23.569,,
1948,10/21/19 12:00:00 午後,24.219,,
1949,10/21/19 12:00:00 午後,24.315,,
1950,10/21/19 12:00:00 午後,24.122,,
1951,10/21/19 12:00:00 午後,23.954,,
1952,10/21/19 12:00:00 午後,23.857,,
1953,10/21/19 12:00:00 午後,23.785,,
1954,10/21/19 12:00:00 午後,23.689,,
1955,10/21/19 12:00:00 午後,23.617,,
1956,10/21/19 12:00:00 午後,23.424,,
1957,10/21/19 12:00:00 午後,23.16,,
1958,10/21/19 12:00:00 午後,22.944,,
1959,10/21/19 12:00:00 午後,22.8,,
1960,10/21/19 12:00:00 午後,22.609,,
1961,10/21/19 12:00:00 午後,22.657,,
1962,10/21/19 12:00:00 午後,22.8,,
1963,10/21/19 12:00:00 午後,23.208,,
1964,10/21/19 12:00:00 午後,23.641,,
1965,10/21/19 12:00:00 午後,23.689,,
1966,10/21/19 12:00:00 午後,23.761,,
1967,10/21/19 12:00:00 午後,23.689,,
1968,10/21/19 12:00:00 午後,23.665,,
1969,10/21/19 12:00:00 午後,23.761,,
1970,10/21/19 12:00:00 午後,24.05,,
1971,10/21/19 12:00:00 午後,24.122,,
1972,10/21/19 12:00:00 午後,24.05,,
1973,10/21/19 12:00:00 午後,24.05,,
1974,10/21/19 12:00:00 午後,24.388,,
1975,10/21/19 12:00:00 午後,24.098,,
1976,10/21/19 12:00:00 午後,23.978,,
1977,10/21/19 12:00:00 午後,23.93,,
1978,10/21/19 12:00:00 午後,23.881,,
1979,10/21/19 12:00:00 午後,23.857,,
1980,10/21/19 12:00:00 午後,23.905,,
1981,10/21/19 12:00:00 午後,23.881,,
1982,10/21/19 12:00:00 午後,23.713,,
1983,10/21/19 12:00:00 午後,23.569,,
1984,10/21/19 12:00:00 午後,23.521,,
1985,10/21/19 12:00:00 午後,23.424,,
1986,10/21/19 12:00:00 午後,23.545,,
1987,10/21/19 12:00:00 午後,23.424,,
1988,10/21/19 12:00:00 午後,23.448,,
1989,10/21/19 12:00:00 午後,23.569,,
1990,10/21/19 12:00:00 午後,23.569,,
1991,10/21/19 12:00:00 午後,23.569,,
1992,10/21/19 12:00:00 午後,23.569,,
1993,10/21/19 12:00:00 午後,23.521,,
1994,10/21/19 12:00:00 午後,23.448,,
1995,10/21/19 12:00:00 午後,23.472,,
1996,10/21/19 12:00:00 午後,23.352,,
1997,10/21/19 12:00:00 午後,23.232,,
1998,10/21/19 12:00:00 午後,22.513,,
1999,10/21/19 12:00:00 午後,23.352,,
2000,10/21/19 12:00:00 午後,23.448,,
2001,10/21/19 12:00:00 午後,23.448,,
2002,10/21/19 12:00:00 午後,23.4,,
2003,10/21/19 12:00:00 午後,23.28,,
2004,10/21/19 12:00:00 午後,22.92,,
2005,10/21/19 12:00:00 午後,22.441,,
2006,10/21/19 12:00:00 午後,22.345,,
2007,10/21/19 12:00:00 午後,22.274,,
2008,10/21/19 12:00:00 午後,22.13,,
2009,10/21/19 12:00:00 午後,21.915,,
2010,10/21/19 12:00:00 午後,21.867,,
2011,10/21/19 12:00:00 午後,21.963,,
2012,10/21/19 12:00:00 午後,22.13,,
2013,10/21/19 12:00:00 午後,23.256,,
2014,10/21/19 12:00:00 午後,23.304,,
2015,10/21/19 12:00:00 午後,23.304,,
2016,10/21/19 12:00:00 午後,22.609,,
2017,10/21/19 12:00:00 午後,22.369,,
2018,10/21/19 12:00:00 午後,22.561,,
2019,10/21/19 12:00:00 午後,22.369,,
2020,10/21/19 12:00:00 午後,22.082,,
2021,10/21/19 12:00:00 午後,21.987,,
2022,10/21/19 12:00:00 午後,22.585,,
2023,10/21/19 12:00:00 午後,23.472,,
2024,10/21/19 12:00:00 午後,23.569,,
2025,10/21/19 12:00:00 午後,23.569,,
2026,10/21/19 12:00:00 午後,23.521,,
2027,10/21/19 12:00:00 午後,23.328,,
2028,10/21/19 12:00:00 午後,23.16,,
2029,10/21/19 12:00:00 午後,23.088,,
2030,10/21/19 12:00:00 午後,23.016,,
2031,10/21/19 12:00:00 午後,22.896,,
2032,10/21/19 12:00:00 午後,22.681,,
2033,10/21/19 12:00:00 午後,22.561,,
2034,10/21/19 12:00:00 午後,22.441,,
2035,10/21/19 12:00:00 午後,22.417,,
2036,10/21/19 12:00:00 午後,22.345,,
2037,10/21/19 12:00:00 午後,23.088,,
2038,10/21/19 12:00:00 午後,23.665,,
2039,10/21/19 12:00:00 午後,23.809,,
2040,10/21/19 12:00:00 午後,23.954,,
2041,10/21/19 12:00:00 午後,24.146,,
2042,10/21/19 12:00:00 午後,24.291,,
2043,10/21/19 12:00:00 午後,24.532,,
2044,10/21/19 12:00:00 午後,24.195,,
2045,10/21/19 12:00:00 午後,24.026,,
2046,10/21/19 12:00:00 午後,23.809,,
2047,10/21/19 12:00:00 午後,24.219,,
2048,10/21/19 12:00:00 午後,23.93,,
2049,10/21/19 12:00:00 午後,23.857,,
2050,10/21/19 12:00:00 午後,23.833,,
2051,10/21/19 12:00:00 午後,23.809,,
2052,10/21/19 12:00:00 午後,23.737,,
2053,10/21/19 12:00:00 午後,23.521,,
2054,10/21/19 12:00:00 午後,23.376,,
2055,10/21/19 12:00:00 午後,23.232,,
2056,10/21/19 12:00:00 午後,22.944,,
2057,10/21/19 12:00:00 午後,22.633,,
2058,10/21/19 12:00:00 午後,22.441,,
2059,10/21/19 12:00:00 午後,22.417,,
2060,10/21/19 12:00:00 午後,22.489,,
2061,10/21/19 12:00:00 午後,22.25,,
2062,10/21/19 12:00:00 午後,23.208,,
2063,10/21/19 12:00:00 午後,23.569,,
2064,10/21/19 12:00:00 午後,23.569,,
2065,10/21/19 12:00:00 午後,23.424,,
2066,10/21/19 12:00:00 午後,23.352,,
2067,10/21/19 12:00:00 午後,23.376,,
2068,10/21/19 12:00:00 午後,23.376,,
2069,10/21/19 12:00:00 午後,23.328,,
2070,10/21/19 12:00:00 午後,23.208,,
2071,10/21/19 12:00:00 午後,23.088,,
2072,10/21/19 12:00:00 午後,22.872,,
2073,10/21/19 12:00:00 午後,23.304,,
2074,10/21/19 12:00:00 午後,23.424,,
2075,10/21/19 12:00:00 午後,23.424,,
2076,10/21/19 12:00:00 午後,23.4,,
2077,10/21/19 12:00:00 午後,23.304,,
2078,10/21/19 12:00:00 午後,23.28,,
2079,10/21/19 12:00:00 午後,23.16,,
2080,10/21/19 12:00:00 午後,23.064,,
2081,10/21/19 12:00:00 午後,23.016,,
2082,10/21/19 12:00:00 午後,22.896,,
2083,10/21/19 12:00:00 午後,22.8,,
2084,10/21/19 12:00:00 午後,22.753,,
2085,10/21/19 12:00:00 午後,22.753,,
2086,10/21/19 12:00:00 午後,23.112,,
2087,10/21/19 12:00:00 午後,23.785,,
2088,10/21/19 12:00:00 午後,23.857,,
2089,10/21/19 12:00:00 午後,24.171,,
2090,10/21/19 12:00:00 午後,24.315,,
2091,10/21/19 12:00:00 午後,24.074,,
2092,10/21/19 12:00:00 午後,24.46,,
2093,10/21/19 12:00:00 午後,24.363,,
2094,10/21/19 12:00:00 午後,24.267,,
2095,10/21/19 12:00:00 午後,24.171,,
2096,10/21/19 12:00:00 午後,24.05,,
2097,10/21/19 12:00:00 午後,23.593,,
2098,10/21/19 12:00:00 午後,23.713,,
2099,10/21/19 12:00:00 午後,23.785,,
2100,10/21/19 12:00:00 午後,23.809,,
2101,10/21/19 12:00:00 午後,23.809,,
2102,10/21/19 12:00:00 午後,23.785,,
2103,10/21/19 12:00:00 午後,23.641,,
2104,10/21/19 12:00:00 午後,23.497,,
2105,10/21/19 12:00:00 午後,23.4,,
2106,10/21/19 12:00:00 午後,23.328,,
2107,10/21/19 12:00:00 午後,23.208,,
2108,10/21/19 12:00:00 午後,23.208,,
2109,10/21/19 12:00:00 午後,23.184,,
2110,10/21/19 12:00:00 午後,23.184,,
2111,10/21/19 12:00:00 午後,23.497,,
2112,10/21/19 12:00:00 午後,23.954,,
2113,10/21/19 12:00:00 午後,24.098,,
2114,10/21/19 12:00:00 午後,24.339,,
2115,10/21/19 12:00:00 午後,24.171,,
2116,10/21/19 12:00:00 午後,24.026,,
2117,10/21/19 12:00:00 午後,23.713,,
2118,10/21/19 12:00:00 午後,23.809,,
2119,10/21/19 12:00:00 午後,23.545,,
2120,10/21/19 12:00:00 午後,23.376,,
2121,10/21/19 12:00:00 午後,23.232,,
2122,10/21/19 12:00:00 午後,22.968,,
2123,10/21/19 12:00:00 午後,22.489,,
2124,10/21/19 12:00:00 午後,23.184,,
2125,10/21/19 12:00:00 午後,23.352,,
2126,10/21/19 12:00:00 午後,23.376,,
2127,10/21/19 12:00:00 午後,23.304,,
2128,10/21/19 12:00:00 午後,23.16,,
2129,10/21/19 12:00:00 午後,22.753,,
2130,10/21/19 12:00:00 午後,22.345,,
2131,10/21/19 12:00:00 午後,22.13,,
2132,10/21/19 12:00:00 午後,22.034,,
2133,10/21/19 12:00:00 午後,21.676,,
2134,10/21/19 12:00:00 午後,21.7,,
2135,10/21/19 12:00:00 午後,21.437,,
2136,10/21/19 12:00:00 午後,22.537,,
2137,10/21/19 12:00:00 午後,23.256,,
2138,10/21/19 12:00:00 午後,23.497,,
2139,10/21/19 12:00:00 午後,23.593,,
2140,10/21/19 12:00:00 午後,23.545,,
2141,10/21/19 12:00:00 午後,22.513,,
2142,10/21/19 12:00:00 午後,22.274,,
2143,10/21/19 12:00:00 午後,22.345,,
2144,10/21/19 12:00:00 午後,22.202,,
2145,10/21/19 12:00:00 午後,21.939,,
2146,10/21/19 12:00:00 午後,21.843,,
2147,10/21/19 12:00:00 午後,21.628,,
2148,10/21/19 12:00:00 午後,20.603,,
2149,10/21/19 12:00:00 午後,22.25,,
2150,10/21/19 12:00:00 午後,22.968,,
2151,10/21/19 12:00:00 午後,23.136,,
2152,10/21/19 12:00:00 午後,23.208,,
2153,10/21/19 12:00:00 午後,23.208,,
2154,10/21/19 12:00:00 午後,23.016,,
2155,10/21/19 12:00:00 午後,22.345,,
2156,10/21/19 12:00:00 午後,21.748,,
2157,10/21/19 12:00:00 午後,21.724,,
2158,10/21/19 12:00:00 午後,21.819,,
2159,10/21/19 12:00:00 午後,21.963,,
2160,10/21/19 12:00:00 午後,21.652,,
2161,10/21/19 12:00:00 午後,23.28,,
2162,10/21/19 12:00:00 午後,23.857,,
2163,10/21/19 12:00:00 午後,23.978,,
2164,10/21/19 12:00:00 午後,23.881,,
2165,10/21/19 12:00:00 午後,23.881,,
2166,10/21/19 12:00:00 午後,23.472,,
2167,10/21/19 12:00:00 午後,23.208,,
2168,10/21/19 12:00:00 午後,23.16,,
2169,10/21/19 12:00:00 午後,22.944,,
2170,10/21/19 12:00:00 午後,22.681,,
2171,10/21/19 12:00:00 午後,22.657,,
2172,10/21/19 12:00:00 午後,22.393,,
2173,10/21/19 12:00:00 午後,22.25,,
2174,10/21/19 12:00:00 午後,21.915,,
2175,10/21/19 12:00:00 午後,22.609,,
2176,10/21/19 12:00:00 午後,23.088,,
2177,10/21/19 12:00:00 午後,23.208,,
2178,10/21/19 12:00:00 午後,23.28,,
2179,10/21/19 12:00:00 午後,23.184,,
2180,10/21/19 12:00:00 午後,22.968,,
2181,10/21/19 12:00:00 午後,22.729,,
2182,10/21/19 12:00:00 午後,22.633,,
2183,10/21/19 12:00:00 午後,22.537,,
2184,10/21/19 12:00:00 午後,22.537,,
2185,10/21/19 12:00:00 午後,21.652,,
2186,10/21/19 12:00:00 午後,23.088,,
2187,10/21/19 12:00:00 午後,23.665,,
2188,10/21/19 12:00:00 午後,23.689,,
2189,10/21/19 12:00:00 午後,23.593,,
2190,10/21/19 12:00:00 午後,23.424,,
2191,10/21/19 12:00:00 午後,22.968,,
2192,10/21/19 12:00:00 午後,22.417,,
2193,10/21/19 12:00:00 午後,22.13,,
2194,10/21/19 12:00:00 午後,22.034,,
2195,10/21/19 12:00:00 午後,22.058,,
2196,10/21/19 12:00:00 午後,21.963,,
2197,10/21/19 12:00:00 午後,21.843,,
2198,10/21/19 12:00:00 午後,21.366,,
2199,10/21/19 12:00:00 午後,21.342,,
2200,10/21/19 12:00:00 午後,21.819,,
2201,10/21/19 12:00:00 午後,22.705,,
2202,10/21/19 12:00:00 午後,22.824,,
2203,10/21/19 12:00:00 午後,23.064,,
2204,10/21/19 12:00:00 午後,22.896,,
2205,10/21/19 12:00:00 午後,22.729,,
2206,10/21/19 12:00:00 午後,22.561,,
2207,10/21/19 12:00:00 午後,22.705,,
2208,10/21/19 12:00:00 午後,22.729,,
2209,10/21/19 12:00:00 午後,22.824,,
2210,10/21/19 12:00:00 午後,22.633,,
2211,10/21/19 12:00:00 午後,24.219,,
2212,10/21/19 12:00:00 午後,24.122,,
2213,10/21/19 12:00:00 午後,23.978,,
2214,10/21/19 12:00:00 午後,23.833,,
2215,10/21/19 12:00:00 午後,23.689,,
2216,10/21/19 12:00:00 午後,23.665,,
2217,10/21/19 12:00:00 午後,23.4,,
2218,10/21/19 12:00:00 午後,23.208,,
2219,10/21/19 12:00:00 午後,23.04,,
2220,10/21/19 12:00:00 午後,22.848,,
2221,10/21/19 12:00:00 午後,22.729,,
2222,10/21/19 12:00:00 午後,22.657,,
2223,10/21/19 12:00:00 午後,22.657,,
2224,10/21/19 12:00:00 午後,22.537,,
2225,10/21/19 12:00:00 午後,22.369,,
2226,10/21/19 12:00:00 午後,23.088,,
2227,10/21/19 12:00:00 午後,23.304,,
2228,10/21/19 12:00:00 午後,23.304,,
2229,10/21/19 12:00:00 午後,23.208,,
2230,10/21/19 12:00:00 午後,22.992,,
2231,10/21/19 12:00:00 午後,22.968,,
2232,10/21/19 12:00:00 午後,22.872,,
2233,10/21/19 12:00:00 午後,22.824,,
2234,10/21/19 12:00:00 午後,22.848,,
2235,10/21/19 12:00:00 午後,23.93,,
2236,10/21/19 12:00:00 午後,23.833,,
2237,10/21/19 12:00:00 午後,23.737,,
2238,10/21/19 12:00:00 午後,23.665,,
2239,10/21/19 12:00:00 午後,23.593,,
2240,10/21/19 12:00:00 午後,23.545,,
2241,10/21/19 12:00:00 午後,23.497,,
2242,10/21/19 12:00:00 午後,23.424,,
2243,10/21/19 12:00:00 午後,23.352,,
2244,10/21/19 12:00:00 午後,23.256,,
2245,10/21/19 12:00:00 午後,23.184,,
2246,10/21/19 12:00:00 午後,23.088,,
2247,10/21/19 12:00:00 午後,22.992,,
2248,10/21/19 12:00:00 午後,22.992,,
2249,10/21/19 12:00:00 午後,22.968,,
2250,10/21/19 12:00:00 午後,23.16,,
2251,10/21/19 12:00:00 午後,23.4,,
2252,10/21/19 12:00:00 午後,23.472,,
2253,10/21/19 12:00:00 午後,23.448,,
2254,10/21/19 12:00:00 午後,23.521,,
2255,10/21/19 12:00:00 午後,23.472,,
2256,10/21/19 12:00:00 午後,23.689,,
2257,10/21/19 12:00:00 午後,23.954,,
2258,10/21/19 12:00:00 午後,23.809,,
2259,10/21/19 12:00:00 午後,23.881,,
2260,10/21/19 12:00:00 午後,24.677,,
2261,10/21/19 12:00:00 午後,24.171,,
2262,10/21/19 12:00:00 午後,24.002,,
2263,10/21/19 12:00:00 午後,23.881,,
2264,10/21/19 12:00:00 午後,23.785,,
2265,10/21/19 12:00:00 午後,23.737,,
2266,10/21/19 12:00:00 午後,23.713,,
2267,10/21/19 12:00:00 午後,23.761,,
2268,10/21/19 12:00:00 午後,23.689,,
2269,10/21/19 12:00:00 午後,23.545,,
2270,10/21/19 12:00:00 午後,23.448,,
2271,10/21/19 12:00:00 午後,23.304,,
2272,10/21/19 12:00:00 午後,23.28,,
2273,10/21/19 12:00:00 午後,23.328,,
2274,10/21/19 12:00:00 午後,23.112,,
2275,10/21/19 12:00:00 午後,23.184,,
2276,10/21/19 12:00:00 午後,23.256,,
2277,10/21/19 12:00:00 午後,23.28,,
2278,10/21/19 12:00:00 午後,23.4,,
2279,10/21/19 12:00:00 午後,23.521,,
2280,10/21/19 12:00:00 午後,23.833,,
2281,10/21/19 12:00:00 午後,24.315,,
2282,10/21/19 12:00:00 午後,24.557,,
2283,10/21/19 12:00:00 午後,24.629,,
2284,10/21/19 12:00:00 午後,24.508,,
2285,10/21/19 12:00:00 午後,24.871,,
2286,10/21/19 12:00:00 午後,24.484,,
2287,10/21/19 12:00:00 午後,24.195,,
2288,10/21/19 12:00:00 午後,24.026,,
2289,10/21/19 12:00:00 午後,23.905,,
2290,10/21/19 12:00:00 午後,23.905,,
2291,10/21/19 12:00:00 午後,24.146,,
2292,10/21/19 12:00:00 午後,24.243,,
2293,10/21/19 12:00:00 午後,24.219,,
2294,10/21/19 12:00:00 午後,23.881,,
2295,10/21/19 12:00:00 午後,23.761,,
2296,10/21/19 12:00:00 午後,23.785,,
2297,10/21/19 12:00:00 午後,23.905,,
2298,10/21/19 12:00:00 午後,23.713,,
2299,10/21/19 12:00:00 午後,23.448,,
2300,10/21/19 12:00:00 午後,23.665,,
2301,10/21/19 12:00:00 午後,23.665,,
2302,10/21/19 12:00:00 午後,23.689,,
2303,10/21/19 12:00:00 午後,23.809,,
2304,10/21/19 12:00:00 午後,23.833,,
2305,10/21/19 12:00:00 午後,23.954,,
2306,10/21/19 12:00:00 午後,23.93,,
2307,10/21/19 12:00:00 午後,24.05,,
2308,10/21/19 12:00:00 午後,24.074,,
2309,10/21/19 12:00:00 午後,24.436,,
2310,10/21/19 12:00:00 午後,24.026,,
2311,10/21/19 12:00:00 午後,23.809,,
2312,10/21/19 12:00:00 午後,23.761,,
2313,10/21/19 12:00:00 午後,23.737,,
2314,10/21/19 12:00:00 午後,23.713,,
2315,10/21/19 12:00:00 午後,23.689,,
2316,10/21/19 12:00:00 午後,23.689,,
2317,10/21/19 12:00:00 午後,23.641,,
2318,10/21/19 12:00:00 午後,23.593,,
2319,10/21/19 12:00:00 午後,23.545,,
2320,10/21/19 12:00:00 午後,23.521,,
2321,10/21/19 12:00:00 午後,23.521,,
2322,10/21/19 12:00:00 午後,23.521,,
2323,10/21/19 12:00:00 午後,23.448,,
2324,10/21/19 12:00:00 午後,23.713,,
2325,10/21/19 12:00:00 午後,23.713,,
2326,10/21/19 12:00:00 午後,23.761,,
2327,10/21/19 12:00:00 午後,23.905,,
2328,10/21/19 12:00:00 午後,24.002,,
