Plot Title: site19_spot001_2020,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054360, SEN S/N: 20054360)",カプラー取り外し (LGR S/N: 20054360),カプラー取り付け (LGR S/N: 20054360),ホスト接続 (LGR S/N: 20054360),停止済み (LGR S/N: 20054360),ファイルの終わり (LGR S/N: 20054360)
134,11/13/19 06:07:26 午前,21.342,,,,,
135,11/13/19 07:07:26 午前,21.39,,,,,
136,11/13/19 08:07:26 午前,21.437,,,,,
137,11/13/19 09:07:26 午前,21.461,,,,,
138,11/13/19 10:07:26 午前,21.461,,,,,
139,11/13/19 11:07:26 午前,21.461,,,,,
140,11/13/19 12:07:26 午後,21.485,,,,,
141,11/13/19 01:07:26 午後,21.509,,,,,
142,11/13/19 02:07:26 午後,21.533,,,,,
143,11/13/19 03:07:26 午後,21.557,,,,,
144,11/13/19 04:07:26 午後,21.628,,,,,
145,11/13/19 05:07:26 午後,21.867,,,,,
146,11/13/19 06:07:26 午後,22.058,,,,,
147,11/13/19 07:07:26 午後,22.13,,,,,
148,11/13/19 08:07:26 午後,22.202,,,,,
149,11/13/19 09:07:26 午後,22.226,,,,,
150,11/13/19 10:07:26 午後,22.274,,,,,
151,11/13/19 11:07:26 午後,22.274,,,,,
152,11/14/19 12:07:26 午前,22.202,,,,,
153,11/14/19 01:07:26 午前,22.058,,,,,
154,11/14/19 02:07:26 午前,21.963,,,,,
155,11/14/19 03:07:26 午前,21.795,,,,,
156,11/14/19 04:07:26 午前,21.533,,,,,
157,11/14/19 05:07:26 午前,21.342,,,,,
158,11/14/19 06:07:26 午前,21.294,,,,,
159,11/14/19 07:07:26 午前,21.199,,,,,
160,11/14/19 08:07:26 午前,21.223,,,,,
161,11/14/19 09:07:26 午前,21.223,,,,,
162,11/14/19 10:07:26 午前,21.246,,,,,
163,11/14/19 11:07:26 午前,21.199,,,,,
164,11/14/19 12:07:26 午後,21.151,,,,,
165,11/14/19 01:07:26 午後,21.151,,,,,
166,11/14/19 02:07:26 午後,21.199,,,,,
167,11/14/19 03:07:26 午後,21.246,,,,,
168,11/14/19 04:07:26 午後,21.246,,,,,
169,11/14/19 05:07:26 午後,21.27,,,,,
170,11/14/19 06:07:26 午後,21.246,,,,,
171,11/14/19 07:07:26 午後,21.199,,,,,
172,11/14/19 08:07:26 午後,21.175,,,,,
173,11/14/19 09:07:26 午後,21.175,,,,,
174,11/14/19 10:07:26 午後,21.175,,,,,
175,11/14/19 11:07:26 午後,21.175,,,,,
176,11/15/19 12:07:26 午前,21.151,,,,,
177,11/15/19 01:07:26 午前,21.199,,,,,
178,11/15/19 02:07:26 午前,21.246,,,,,
179,11/15/19 03:07:26 午前,21.318,,,,,
180,11/15/19 04:07:26 午前,21.366,,,,,
181,11/15/19 05:07:26 午前,21.39,,,,,
182,11/15/19 06:07:26 午前,21.437,,,,,
183,11/15/19 07:07:26 午前,21.461,,,,,
184,11/15/19 08:07:26 午前,21.485,,,,,
185,11/15/19 09:07:26 午前,21.509,,,,,
186,11/15/19 10:07:26 午前,21.533,,,,,
187,11/15/19 11:07:26 午前,21.557,,,,,
188,11/15/19 12:07:26 午後,21.581,,,,,
189,11/15/19 01:07:26 午後,21.604,,,,,
190,11/15/19 02:07:26 午後,21.628,,,,,
191,11/15/19 03:07:26 午後,21.628,,,,,
192,11/15/19 04:07:26 午後,21.676,,,,,
193,11/15/19 05:07:26 午後,21.724,,,,,
194,11/15/19 06:07:26 午後,21.748,,,,,
195,11/15/19 07:07:26 午後,21.748,,,,,
196,11/15/19 08:07:26 午後,21.748,,,,,
197,11/15/19 09:07:26 午後,21.748,,,,,
198,11/15/19 10:07:26 午後,21.748,,,,,
199,11/15/19 11:07:26 午後,21.724,,,,,
200,11/16/19 12:07:26 午前,21.676,,,,,
201,11/16/19 01:07:26 午前,21.628,,,,,
202,11/16/19 02:07:26 午前,21.557,,,,,
203,11/16/19 03:07:26 午前,21.485,,,,,
204,11/16/19 04:07:26 午前,21.437,,,,,
205,11/16/19 05:07:26 午前,21.39,,,,,
206,11/16/19 06:07:26 午前,21.366,,,,,
207,11/16/19 07:07:26 午前,21.342,,,,,
208,11/16/19 08:07:26 午前,21.318,,,,,
209,11/16/19 09:07:26 午前,21.294,,,,,
210,11/16/19 10:07:26 午前,21.294,,,,,
211,11/16/19 11:07:26 午前,21.294,,,,,
212,11/16/19 12:07:26 午後,21.294,,,,,
213,11/16/19 01:07:26 午後,21.294,,,,,
214,11/16/19 02:07:26 午後,21.342,,,,,
215,11/16/19 03:07:26 午後,21.366,,,,,
216,11/16/19 04:07:26 午後,21.39,,,,,
217,11/16/19 05:07:26 午後,21.485,,,,,
218,11/16/19 06:07:26 午後,21.724,,,,,
219,11/16/19 07:07:26 午後,21.987,,,,,
220,11/16/19 08:07:26 午後,22.034,,,,,
221,11/16/19 09:07:26 午後,21.963,,,,,
222,11/16/19 10:07:26 午後,21.915,,,,,
223,11/16/19 11:07:26 午後,21.915,,,,,
224,11/17/19 12:07:26 午前,21.915,,,,,
225,11/17/19 01:07:26 午前,21.843,,,,,
226,11/17/19 02:07:26 午前,21.7,,,,,
227,11/17/19 03:07:26 午前,21.557,,,,,
228,11/17/19 04:07:26 午前,21.485,,,,,
229,11/17/19 05:07:26 午前,21.413,,,,,
230,11/17/19 06:07:26 午前,21.342,,,,,
231,11/17/19 07:07:26 午前,21.246,,,,,
232,11/17/19 08:07:26 午前,21.151,,,,,
233,11/17/19 09:07:26 午前,21.151,,,,,
234,11/17/19 10:07:26 午前,21.318,,,,,
235,11/17/19 11:07:26 午前,21.461,,,,,
236,11/17/19 12:07:26 午後,21.604,,,,,
237,11/17/19 01:07:26 午後,21.7,,,,,
238,11/17/19 02:07:26 午後,21.795,,,,,
239,11/17/19 03:07:26 午後,21.843,,,,,
240,11/17/19 04:07:26 午後,21.891,,,,,
241,11/17/19 05:07:26 午後,21.891,,,,,
