プロット タイトル: site01_spot005(-8)_2022,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054304, SEN S/N: 20054304)",カプラー取り外し (LGR S/N: 20054304),カプラー取り付け (LGR S/N: 20054304),ホスト接続 (LGR S/N: 20054304),停止済み (LGR S/N: 20054304),ファイルの終わり (LGR S/N: 20054304)
1,01/17/22 02:00:00 午後,22.681,記録,,,,
2,01/17/22 03:00:00 午後,19.389,,,,,
3,01/17/22 04:00:00 午後,19.508,,,,,
4,01/17/22 05:00:00 午後,19.484,,,,,
5,01/17/22 06:00:00 午後,19.484,,,,,
6,01/17/22 07:00:00 午後,19.46,,,,,
7,01/17/22 08:00:00 午後,19.46,,,,,
8,01/17/22 09:00:00 午後,19.46,,,,,
9,01/17/22 10:00:00 午後,19.032,,,,,
10,01/17/22 11:00:00 午後,18.866,,,,,
11,01/18/22 12:00:00 午前,18.818,,,,,
12,01/18/22 01:00:00 午前,18.771,,,,,
13,01/18/22 02:00:00 午前,18.937,,,,,
14,01/18/22 03:00:00 午前,18.699,,,,,
15,01/18/22 04:00:00 午前,19.103,,,,,
16,01/18/22 05:00:00 午前,19.08,,,,,
17,01/18/22 06:00:00 午前,19.056,,,,,
18,01/18/22 07:00:00 午前,19.103,,,,,
19,01/18/22 08:00:00 午前,19.103,,,,,
20,01/18/22 09:00:00 午前,19.127,,,,,
21,01/18/22 10:00:00 午前,19.127,,,,,
22,01/18/22 11:00:00 午前,19.056,,,,,
23,01/18/22 12:00:00 午後,18.961,,,,,
24,01/18/22 01:00:00 午後,18.961,,,,,
25,01/18/22 02:00:00 午後,18.985,,,,,
26,01/18/22 03:00:00 午後,18.889,,,,,
27,01/18/22 04:00:00 午後,18.985,,,,,
28,01/18/22 05:00:00 午後,19.032,,,,,
29,01/18/22 06:00:00 午後,18.961,,,,,
30,01/18/22 07:00:00 午後,19.008,,,,,
31,01/18/22 08:00:00 午後,18.985,,,,,
32,01/18/22 09:00:00 午後,18.961,,,,,
33,01/18/22 10:00:00 午後,18.937,,,,,
34,01/18/22 11:00:00 午後,18.937,,,,,
35,01/19/22 12:00:00 午前,18.866,,,,,
36,01/19/22 01:00:00 午前,18.675,,,,,
37,01/19/22 02:00:00 午前,18.58,,,,,
38,01/19/22 03:00:00 午前,18.604,,,,,
39,01/19/22 04:00:00 午前,18.343,,,,,
40,01/19/22 05:00:00 午前,18.176,,,,,
41,01/19/22 06:00:00 午前,18.2,,,,,
42,01/19/22 07:00:00 午前,18.2,,,,,
43,01/19/22 08:00:00 午前,18.224,,,,,
44,01/19/22 09:00:00 午前,18.271,,,,,
45,01/19/22 10:00:00 午前,18.319,,,,,
46,01/19/22 11:00:00 午前,18.271,,,,,
47,01/19/22 12:00:00 午後,18.295,,,,,
48,01/19/22 01:00:00 午後,18.295,,,,,
49,01/19/22 02:00:00 午後,18.319,,,,,
50,01/19/22 03:00:00 午後,18.343,,,,,
51,01/19/22 04:00:00 午後,18.343,,,,,
52,01/19/22 05:00:00 午後,18.366,,,,,
53,01/19/22 06:00:00 午後,18.319,,,,,
54,01/19/22 07:00:00 午後,18.295,,,,,
55,01/19/22 08:00:00 午後,18.247,,,,,
56,01/19/22 09:00:00 午後,18.247,,,,,
57,01/19/22 10:00:00 午後,18.224,,,,,
58,01/19/22 11:00:00 午後,18.271,,,,,
59,01/20/22 12:00:00 午前,18.2,,,,,
60,01/20/22 01:00:00 午前,18.2,,,,,
61,01/20/22 02:00:00 午前,18.2,,,,,
62,01/20/22 03:00:00 午前,18.176,,,,,
63,01/20/22 04:00:00 午前,18.129,,,,,
64,01/20/22 05:00:00 午前,18.105,,,,,
65,01/20/22 06:00:00 午前,18.01,,,,,
66,01/20/22 07:00:00 午前,18.176,,,,,
67,01/20/22 08:00:00 午前,18.366,,,,,
68,01/20/22 09:00:00 午前,18.628,,,,,
69,01/20/22 10:00:00 午前,18.699,,,,,
70,01/20/22 11:00:00 午前,18.794,,,,,
71,01/20/22 12:00:00 午後,19.246,,,,,
72,01/20/22 01:00:00 午後,19.032,,,,,
73,01/20/22 02:00:00 午後,18.913,,,,,
74,01/20/22 03:00:00 午後,19.103,,,,,
75,01/20/22 04:00:00 午後,19.056,,,,,
76,01/20/22 05:00:00 午後,19.294,,,,,
77,01/20/22 06:00:00 午後,19.555,,,,,
78,01/20/22 07:00:00 午後,20.055,,,,,
79,01/20/22 08:00:00 午後,20.269,,,,,
80,01/20/22 09:00:00 午後,20.436,,,,,
81,01/20/22 10:00:00 午後,20.579,,,,,
82,01/20/22 11:00:00 午後,20.579,,,,,
83,01/21/22 12:00:00 午前,20.507,,,,,
