プロット タイトル: site19_spot001_2022,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011416, SEN S/N: 21011416)",カプラー取り外し (LGR S/N: 21011416),カプラー取り付け (LGR S/N: 21011416),停止済み (LGR S/N: 21011416),ファイルの終わり (LGR S/N: 21011416)
5,10/28/21 11:46:15 午前,22.92,,,,
6,10/28/21 12:46:15 午後,22.992,,,,
7,10/28/21 01:46:15 午後,23.136,,,,
8,10/28/21 02:46:15 午後,23.256,,,,
9,10/28/21 03:46:15 午後,23.328,,,,
10,10/28/21 04:46:15 午後,23.352,,,,
11,10/28/21 05:46:15 午後,23.376,,,,
12,10/28/21 06:46:15 午後,23.376,,,,
13,10/28/21 07:46:15 午後,23.328,,,,
14,10/28/21 08:46:15 午後,23.28,,,,
15,10/28/21 09:46:15 午後,23.256,,,,
16,10/28/21 10:46:15 午後,23.184,,,,
17,10/28/21 11:46:15 午後,23.04,,,,
18,10/29/21 12:46:15 午前,22.872,,,,
19,10/29/21 01:46:15 午前,22.848,,,,
20,10/29/21 02:46:15 午前,22.776,,,,
21,10/29/21 03:46:15 午前,22.393,,,,
22,10/29/21 04:46:15 午前,22.058,,,,
23,10/29/21 05:46:15 午前,21.939,,,,
24,10/29/21 06:46:15 午前,22.13,,,,
25,10/29/21 07:46:15 午前,22.345,,,,
26,10/29/21 08:46:15 午前,22.345,,,,
27,10/29/21 09:46:15 午前,22.226,,,,
28,10/29/21 10:46:15 午前,21.843,,,,
29,10/29/21 11:46:15 午前,21.724,,,,
30,10/29/21 12:46:15 午後,21.795,,,,
31,10/29/21 01:46:15 午後,21.891,,,,
32,10/29/21 02:46:15 午後,21.963,,,,
33,10/29/21 03:46:15 午後,22.034,,,,
34,10/29/21 04:46:15 午後,22.13,,,,
35,10/29/21 05:46:15 午後,22.202,,,,
36,10/29/21 06:46:15 午後,22.226,,,,
37,10/29/21 07:46:15 午後,22.274,,,,
38,10/29/21 08:46:15 午後,22.321,,,,
39,10/29/21 09:46:15 午後,22.154,,,,
40,10/29/21 10:46:15 午後,22.058,,,,
41,10/29/21 11:46:15 午後,22.058,,,,
42,10/30/21 12:46:15 午前,22.082,,,,
43,10/30/21 01:46:15 午前,22.058,,,,
44,10/30/21 02:46:15 午前,22.034,,,,
45,10/30/21 03:46:15 午前,22.034,,,,
46,10/30/21 04:46:15 午前,21.939,,,,
47,10/30/21 05:46:15 午前,21.867,,,,
48,10/30/21 06:46:15 午前,22.106,,,,
49,10/30/21 07:46:15 午前,22.465,,,,
50,10/30/21 08:46:15 午前,22.705,,,,
51,10/30/21 09:46:15 午前,22.872,,,,
52,10/30/21 10:46:15 午前,23.016,,,,
53,10/30/21 11:46:15 午前,23.16,,,,
54,10/30/21 12:46:15 午後,23.304,,,,
55,10/30/21 01:46:15 午後,23.4,,,,
56,10/30/21 02:46:15 午後,23.472,,,,
57,10/30/21 03:46:15 午後,23.545,,,,
58,10/30/21 04:46:15 午後,23.593,,,,
59,10/30/21 05:46:15 午後,23.617,,,,
60,10/30/21 06:46:15 午後,23.617,,,,
61,10/30/21 07:46:15 午後,23.593,,,,
62,10/30/21 08:46:15 午後,23.593,,,,
63,10/30/21 09:46:15 午後,23.521,,,,
64,10/30/21 10:46:15 午後,23.424,,,,
65,10/30/21 11:46:15 午後,23.352,,,,
66,10/31/21 12:46:15 午前,23.328,,,,
67,10/31/21 01:46:15 午前,23.328,,,,
68,10/31/21 02:46:15 午前,23.304,,,,
69,10/31/21 03:46:15 午前,23.304,,,,
70,10/31/21 04:46:15 午前,23.28,,,,
71,10/31/21 05:46:15 午前,23.304,,,,
72,10/31/21 06:46:15 午前,23.304,,,,
73,10/31/21 07:46:15 午前,23.304,,,,
74,10/31/21 08:46:15 午前,23.28,,,,
75,10/31/21 09:46:15 午前,23.256,,,,
76,10/31/21 10:46:15 午前,23.376,,,,
77,10/31/21 11:46:15 午前,23.545,,,,
78,10/31/21 12:46:15 午後,23.665,,,,
79,10/31/21 01:46:15 午後,23.737,,,,
80,10/31/21 02:46:15 午後,23.785,,,,
81,10/31/21 03:46:15 午後,23.785,,,,
82,10/31/21 04:46:15 午後,23.761,,,,
83,10/31/21 05:46:15 午後,23.761,,,,
84,10/31/21 06:46:15 午後,23.761,,,,
85,10/31/21 07:46:15 午後,23.737,,,,
86,10/31/21 08:46:15 午後,23.737,,,,
