プロット タイトル: site06_spot005_2020,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20523069, SEN S/N: 20523069)",カプラー取り外し (LGR S/N: 20523069),カプラー取り付け (LGR S/N: 20523069),ホスト接続 (LGR S/N: 20523069),停止済み (LGR S/N: 20523069),ファイルの終わり (LGR S/N: 20523069)
1,10/08/19 12:00:00 午後,27.038,記録,,,,
2,10/08/19 12:30:00 午後,27.063,,,,,
3,10/08/19 01:00:00 午後,27.087,,,,,
4,10/08/19 01:30:00 午後,27.087,,,,,
5,10/08/19 02:00:00 午後,27.112,,,,,
6,10/08/19 02:30:00 午後,27.161,,,,,
7,10/08/19 03:00:00 午後,27.136,,,,,
8,10/08/19 03:30:00 午後,27.136,,,,,
9,10/08/19 04:00:00 午後,27.136,,,,,
10,10/08/19 04:30:00 午後,27.136,,,,,
11,10/08/19 05:00:00 午後,27.136,,,,,
12,10/08/19 05:30:00 午後,27.112,,,,,
13,10/08/19 06:00:00 午後,27.112,,,,,
14,10/08/19 06:30:00 午後,27.087,,,,,
15,10/08/19 07:00:00 午後,27.087,,,,,
16,10/08/19 07:30:00 午後,27.087,,,,,
17,10/08/19 08:00:00 午後,27.063,,,,,
18,10/08/19 08:30:00 午後,27.063,,,,,
19,10/08/19 09:00:00 午後,27.038,,,,,
20,10/08/19 09:30:00 午後,27.014,,,,,
21,10/08/19 10:00:00 午後,27.038,,,,,
22,10/08/19 10:30:00 午後,27.038,,,,,
23,10/08/19 11:00:00 午後,27.038,,,,,
24,10/08/19 11:30:00 午後,27.038,,,,,
25,10/09/19 12:00:00 午前,27.014,,,,,
26,10/09/19 12:30:00 午前,27.014,,,,,
27,10/09/19 01:00:00 午前,26.989,,,,,
28,10/09/19 01:30:00 午前,26.989,,,,,
29,10/09/19 02:00:00 午前,26.989,,,,,
30,10/09/19 02:30:00 午前,26.989,,,,,
31,10/09/19 03:00:00 午前,26.989,,,,,
32,10/09/19 03:30:00 午前,26.965,,,,,
33,10/09/19 04:00:00 午前,26.965,,,,,
34,10/09/19 04:30:00 午前,26.965,,,,,
35,10/09/19 05:00:00 午前,26.891,,,,,
36,10/09/19 05:30:00 午前,26.916,,,,,
37,10/09/19 06:00:00 午前,26.916,,,,,
38,10/09/19 06:30:00 午前,26.891,,,,,
39,10/09/19 07:00:00 午前,26.891,,,,,
40,10/09/19 07:30:00 午前,26.867,,,,,
41,10/09/19 08:00:00 午前,26.842,,,,,
42,10/09/19 08:30:00 午前,26.842,,,,,
43,10/09/19 09:00:00 午前,26.842,,,,,
44,10/09/19 09:30:00 午前,26.818,,,,,
45,10/09/19 10:00:00 午前,26.818,,,,,
46,10/09/19 10:30:00 午前,26.842,,,,,
47,10/09/19 11:00:00 午前,26.867,,,,,
48,10/09/19 11:30:00 午前,26.891,,,,,
49,10/09/19 12:00:00 午後,26.891,,,,,
50,10/09/19 12:30:00 午後,26.916,,,,,
51,10/09/19 01:00:00 午後,26.916,,,,,
