プロット タイトル: site12_spot023_2022,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20291292, SEN S/N: 20291292)",カプラー取り外し (LGR S/N: 20291292),カプラー取り付け (LGR S/N: 20291292),ホスト接続 (LGR S/N: 20291292),停止済み (LGR S/N: 20291292),ファイルの終わり (LGR S/N: 20291292)
1,09/09/21 09:00:00 午前,32.304,記録,,,,
2,09/09/21 09:30:00 午前,34.019,,,,,
3,09/09/21 10:00:00 午前,37.893,,,,,
4,09/09/21 10:30:00 午前,32.562,,,,,
5,09/09/21 11:00:00 午前,30.192,,,,,
6,09/09/21 11:30:00 午前,30.343,,,,,
7,09/09/21 12:00:00 午後,30.419,,,,,
8,09/09/21 12:30:00 午後,30.545,,,,,
9,09/09/21 01:00:00 午後,30.722,,,,,
10,09/09/21 01:30:00 午後,31.052,,,,,
11,09/09/21 02:00:00 午後,31.357,,,,,
12,09/09/21 02:30:00 午後,31.765,,,,,
13,09/09/21 03:00:00 午後,32.124,,,,,
14,09/09/21 03:30:00 午後,32.304,,,,,
15,09/09/21 04:00:00 午後,32.691,,,,,
16,09/09/21 04:30:00 午後,33.261,,,,,
17,09/09/21 05:00:00 午後,32.562,,,,,
18,09/09/21 05:30:00 午後,31.714,,,,,
19,09/09/21 06:00:00 午後,31.153,,,,,
20,09/09/21 06:30:00 午後,30.722,,,,,
21,09/09/21 07:00:00 午後,30.419,,,,,
22,09/09/21 07:30:00 午後,30.142,,,,,
23,09/09/21 08:00:00 午後,29.991,,,,,
24,09/09/21 08:30:00 午後,30.066,,,,,
25,09/09/21 09:00:00 午後,30.016,,,,,
26,09/09/21 09:30:00 午後,29.966,,,,,
27,09/09/21 10:00:00 午後,29.941,,,,,
28,09/09/21 10:30:00 午後,29.941,,,,,
29,09/09/21 11:00:00 午後,29.916,,,,,
30,09/09/21 11:30:00 午後,29.916,,,,,
31,09/10/21 12:00:00 午前,29.916,,,,,
32,09/10/21 12:30:00 午前,29.865,,,,,
33,09/10/21 01:00:00 午前,29.815,,,,,
34,09/10/21 01:30:00 午前,29.765,,,,,
35,09/10/21 02:00:00 午前,29.715,,,,,
36,09/10/21 02:30:00 午前,29.665,,,,,
37,09/10/21 03:00:00 午前,29.54,,,,,
38,09/10/21 03:30:00 午前,29.439,,,,,
39,09/10/21 04:00:00 午前,29.365,,,,,
40,09/10/21 04:30:00 午前,29.29,,,,,
41,09/10/21 05:00:00 午前,29.565,,,,,
42,09/10/21 05:30:00 午前,29.665,,,,,
43,09/10/21 06:00:00 午前,29.74,,,,,
44,09/10/21 06:30:00 午前,29.74,,,,,
