site19_spot001_2024,,
no,time,temp
853,11/27/23 05:00:00 午後,19.579
854,11/27/23 06:00:00 午後,19.627
855,11/27/23 07:00:00 午後,19.674
856,11/27/23 08:00:00 午後,19.579
857,11/27/23 09:00:00 午後,19.627
858,11/27/23 10:00:00 午後,19.722
859,11/27/23 11:00:00 午後,19.698
860,11/28/23 12:00:00 午前,19.698
861,11/28/23 01:00:00 午前,19.698
862,11/28/23 02:00:00 午前,19.698
863,11/28/23 03:00:00 午前,19.698
864,11/28/23 04:00:00 午前,19.674
865,11/28/23 05:00:00 午前,19.603
866,11/28/23 06:00:00 午前,19.532
867,11/28/23 07:00:00 午前,19.508
868,11/28/23 08:00:00 午前,19.484
869,11/28/23 09:00:00 午前,19.579
870,11/28/23 10:00:00 午前,19.722
871,11/28/23 11:00:00 午前,19.936
872,11/28/23 12:00:00 午後,19.841
873,11/28/23 01:00:00 午後,19.722
874,11/28/23 02:00:00 午後,19.698
875,11/28/23 03:00:00 午後,19.627
876,11/28/23 04:00:00 午後,19.484
877,11/28/23 05:00:00 午後,19.341
878,11/28/23 06:00:00 午後,19.413
879,11/28/23 07:00:00 午後,19.627
880,11/28/23 08:00:00 午後,19.579
881,11/28/23 09:00:00 午後,19.508
882,11/28/23 10:00:00 午後,19.318
883,11/28/23 11:00:00 午後,18.866
884,11/29/23 12:00:00 午前,18.961
885,11/29/23 01:00:00 午前,18.985
886,11/29/23 02:00:00 午前,19.056
887,11/29/23 03:00:00 午前,19.294
888,11/29/23 04:00:00 午前,19.413
889,11/29/23 05:00:00 午前,19.413
890,11/29/23 06:00:00 午前,19.46
891,11/29/23 07:00:00 午前,19.365
892,11/29/23 08:00:00 午前,19.222
893,11/29/23 09:00:00 午前,19.08
894,11/29/23 10:00:00 午前,19.008
895,11/29/23 11:00:00 午前,18.889
896,11/29/23 12:00:00 午後,18.961
897,11/29/23 01:00:00 午後,18.818
898,11/29/23 02:00:00 午後,18.794
899,11/29/23 03:00:00 午後,18.842
900,11/29/23 04:00:00 午後,18.747
901,11/29/23 05:00:00 午後,18.557
902,11/29/23 06:00:00 午後,18.461
