プロット タイトル:site15_spot022_2023,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21155715, SEN S/N: 21155715)",カプラー取り外し (LGR S/N: 21155715),カプラー取り付け (LGR S/N: 21155715),ホスト接続 (LGR S/N: 21155715),停止済み (LGR S/N: 21155715),ファイルの終わり (LGR S/N: 21155715)
1,10/24/22 08:00:00 午前,23.208,記録,,,,
2,10/24/22 09:00:00 午前,23.16,,,,,
3,10/24/22 10:00:00 午前,25.113,,,,,
4,10/24/22 11:00:00 午前,26.72,,,,,
5,10/24/22 12:00:00 午後,26.622,,,,,
6,10/24/22 01:00:00 午後,26.622,,,,,
7,10/24/22 02:00:00 午後,26.622,,,,,
8,10/24/22 03:00:00 午後,26.769,,,,,
9,10/24/22 04:00:00 午後,26.867,,,,,
10,10/24/22 05:00:00 午後,26.842,,,,,
11,10/24/22 06:00:00 午後,26.793,,,,,
12,10/24/22 07:00:00 午後,26.842,,,,,
13,10/24/22 08:00:00 午後,26.916,,,,,
14,10/24/22 09:00:00 午後,26.769,,,,,
15,10/24/22 10:00:00 午後,26.549,,,,,
16,10/24/22 11:00:00 午後,26.329,,,,,
17,10/25/22 12:00:00 午前,26.231,,,,,
18,10/25/22 01:00:00 午前,26.085,,,,,
19,10/25/22 02:00:00 午前,26.426,,,,,
20,10/25/22 03:00:00 午前,26.353,,,,,
21,10/25/22 04:00:00 午前,26.402,,,,,
22,10/25/22 05:00:00 午前,26.598,,,,,
23,10/25/22 06:00:00 午前,26.402,,,,,
24,10/25/22 07:00:00 午前,26.451,,,,,
25,10/25/22 08:00:00 午前,26.549,,,,,
26,10/25/22 09:00:00 午前,26.549,,,,,
27,10/25/22 10:00:00 午前,26.182,,,,,
28,10/25/22 11:00:00 午前,26.012,,,,,
29,10/25/22 12:00:00 午後,25.987,,,,,
30,10/25/22 01:00:00 午後,26.012,,,,,
31,10/25/22 02:00:00 午後,26.304,,,,,
32,10/25/22 03:00:00 午後,26.061,,,,,
33,10/25/22 04:00:00 午後,26.134,,,,,
34,10/25/22 05:00:00 午後,26.134,,,,,
35,10/25/22 06:00:00 午後,26.158,,,,,
36,10/25/22 07:00:00 午後,26.329,,,,,
37,10/25/22 08:00:00 午後,26.622,,,,,
38,10/25/22 09:00:00 午後,26.671,,,,,
39,10/25/22 10:00:00 午後,26.622,,,,,
40,10/25/22 11:00:00 午後,26.451,,,,,
41,10/26/22 12:00:00 午前,26.061,,,,,
42,10/26/22 01:00:00 午前,25.89,,,,,
43,10/26/22 02:00:00 午前,26.109,,,,,
44,10/26/22 03:00:00 午前,26.256,,,,,
45,10/26/22 04:00:00 午前,26.061,,,,,
46,10/26/22 05:00:00 午前,26.182,,,,,
47,10/26/22 06:00:00 午前,26.28,,,,,
48,10/26/22 07:00:00 午前,26.182,,,,,
49,10/26/22 08:00:00 午前,26.475,,,,,
50,10/26/22 09:00:00 午前,26.622,,,,,
51,10/26/22 10:00:00 午前,26.695,,,,,
52,10/26/22 11:00:00 午前,26.598,,,,,
53,10/26/22 12:00:00 午後,26.353,,,,,
54,10/26/22 01:00:00 午後,26.426,,,,,
55,10/26/22 02:00:00 午後,26.646,,,,,
56,10/26/22 03:00:00 午後,26.5,,,,,
57,10/26/22 04:00:00 午後,26.329,,,,,
58,10/26/22 05:00:00 午後,26.109,,,,,
59,10/26/22 06:00:00 午後,26.28,,,,,
60,10/26/22 07:00:00 午後,26.402,,,,,
61,10/26/22 08:00:00 午後,26.598,,,,,
62,10/26/22 09:00:00 午後,26.695,,,,,
63,10/26/22 10:00:00 午後,26.671,,,,,
64,10/26/22 11:00:00 午後,26.598,,,,,
65,10/27/22 12:00:00 午前,26.353,,,,,
66,10/27/22 01:00:00 午前,26.207,,,,,
67,10/27/22 02:00:00 午前,26.524,,,,,
68,10/27/22 03:00:00 午前,26.5,,,,,
69,10/27/22 04:00:00 午前,26.207,,,,,
70,10/27/22 05:00:00 午前,26.109,,,,,
71,10/27/22 06:00:00 午前,26.134,,,,,
72,10/27/22 07:00:00 午前,26.353,,,,,
73,10/27/22 08:00:00 午前,26.549,,,,,
74,10/27/22 09:00:00 午前,26.695,,,,,
75,10/27/22 10:00:00 午前,26.646,,,,,
76,10/27/22 11:00:00 午前,26.72,,,,,
77,10/27/22 12:00:00 午後,26.769,,,,,
78,10/27/22 01:00:00 午後,26.744,,,,,
79,10/27/22 02:00:00 午後,26.72,,,,,
80,10/27/22 03:00:00 午後,26.842,,,,,
81,10/27/22 04:00:00 午後,26.793,,,,,
82,10/27/22 05:00:00 午後,26.671,,,,,
83,10/27/22 06:00:00 午後,26.524,,,,,
84,10/27/22 07:00:00 午後,26.671,,,,,
85,10/27/22 08:00:00 午後,26.769,,,,,
86,10/27/22 09:00:00 午後,27.087,,,,,
87,10/27/22 10:00:00 午後,27.112,,,,,
88,10/27/22 11:00:00 午後,27.063,,,,,
89,10/28/22 12:00:00 午前,26.989,,,,,
90,10/28/22 01:00:00 午前,26.72,,,,,
91,10/28/22 02:00:00 午前,26.769,,,,,
92,10/28/22 03:00:00 午前,26.867,,,,,
93,10/28/22 04:00:00 午前,26.744,,,,,
94,10/28/22 05:00:00 午前,26.598,,,,,
95,10/28/22 06:00:00 午前,26.671,,,,,
96,10/28/22 07:00:00 午前,26.793,,,,,
97,10/28/22 08:00:00 午前,27.014,,,,,
98,10/28/22 09:00:00 午前,27.112,,,,,
99,10/28/22 10:00:00 午前,27.112,,,,,
100,10/28/22 11:00:00 午前,27.161,,,,,
101,10/28/22 12:00:00 午後,27.161,,,,,
102,10/28/22 01:00:00 午後,27.21,,,,,
103,10/28/22 02:00:00 午後,27.308,,,,,
104,10/28/22 03:00:00 午後,27.333,,,,,
105,10/28/22 04:00:00 午後,27.21,,,,,
106,10/28/22 05:00:00 午後,27.161,,,,,
107,10/28/22 06:00:00 午後,26.94,,,,,
108,10/28/22 07:00:00 午後,26.989,,,,,
109,10/28/22 08:00:00 午後,27.136,,,,,
110,10/28/22 09:00:00 午後,27.235,,,,,
111,10/28/22 10:00:00 午後,27.259,,,,,
112,10/28/22 11:00:00 午後,27.235,,,,,
113,10/29/22 12:00:00 午前,27.161,,,,,
114,10/29/22 01:00:00 午前,27.087,,,,,
115,10/29/22 02:00:00 午前,26.989,,,,,
116,10/29/22 03:00:00 午前,26.965,,,,,
117,10/29/22 04:00:00 午前,27.038,,,,,
118,10/29/22 05:00:00 午前,26.916,,,,,
119,10/29/22 06:00:00 午前,26.916,,,,,
120,10/29/22 07:00:00 午前,27.014,,,,,
121,10/29/22 08:00:00 午前,27.038,,,,,
122,10/29/22 09:00:00 午前,27.235,,,,,
123,10/29/22 10:00:00 午前,27.333,,,,,
124,10/29/22 11:00:00 午前,27.407,,,,,
125,10/29/22 12:00:00 午後,27.407,,,,,
126,10/29/22 01:00:00 午後,27.407,,,,,
127,10/29/22 02:00:00 午後,27.333,,,,,
128,10/29/22 03:00:00 午後,27.259,,,,,
129,10/29/22 04:00:00 午後,27.308,,,,,
130,10/29/22 05:00:00 午後,27.136,,,,,
131,10/29/22 06:00:00 午後,27.186,,,,,
132,10/29/22 07:00:00 午後,27.112,,,,,
133,10/29/22 08:00:00 午後,27.087,,,,,
134,10/29/22 09:00:00 午後,27.136,,,,,
135,10/29/22 10:00:00 午後,27.235,,,,,
136,10/29/22 11:00:00 午後,27.235,,,,,
137,10/30/22 12:00:00 午前,27.186,,,,,
138,10/30/22 01:00:00 午前,27.112,,,,,
139,10/30/22 02:00:00 午前,26.94,,,,,
140,10/30/22 03:00:00 午前,26.842,,,,,
141,10/30/22 04:00:00 午前,27.038,,,,,
142,10/30/22 05:00:00 午前,26.989,,,,,
143,10/30/22 06:00:00 午前,26.842,,,,,
144,10/30/22 07:00:00 午前,26.524,,,,,
145,10/30/22 08:00:00 午前,26.769,,,,,
146,10/30/22 09:00:00 午前,26.965,,,,,
147,10/30/22 10:00:00 午前,26.965,,,,,
148,10/30/22 11:00:00 午前,26.989,,,,,
149,10/30/22 12:00:00 午後,27.014,,,,,
150,10/30/22 01:00:00 午後,27.038,,,,,
151,10/30/22 02:00:00 午後,27.038,,,,,
152,10/30/22 03:00:00 午後,27.038,,,,,
153,10/30/22 04:00:00 午後,27.014,,,,,
154,10/30/22 05:00:00 午後,26.916,,,,,
155,10/30/22 06:00:00 午後,26.769,,,,,
156,10/30/22 07:00:00 午後,26.769,,,,,
157,10/30/22 08:00:00 午後,26.72,,,,,
158,10/30/22 09:00:00 午後,26.842,,,,,
159,10/30/22 10:00:00 午後,26.867,,,,,
160,10/30/22 11:00:00 午後,26.818,,,,,
161,10/31/22 12:00:00 午前,26.744,,,,,
162,10/31/22 01:00:00 午前,26.769,,,,,
163,10/31/22 02:00:00 午前,26.769,,,,,
164,10/31/22 03:00:00 午前,26.744,,,,,
165,10/31/22 04:00:00 午前,26.695,,,,,
166,10/31/22 05:00:00 午前,26.695,,,,,
167,10/31/22 06:00:00 午前,26.72,,,,,
168,10/31/22 07:00:00 午前,26.622,,,,,
169,10/31/22 08:00:00 午前,26.646,,,,,
170,10/31/22 09:00:00 午前,26.695,,,,,
171,10/31/22 10:00:00 午前,26.695,,,,,
172,10/31/22 11:00:00 午前,26.671,,,,,
173,10/31/22 12:00:00 午後,26.695,,,,,
174,10/31/22 01:00:00 午後,26.671,,,,,
175,10/31/22 02:00:00 午後,26.671,,,,,
176,10/31/22 03:00:00 午後,26.622,,,,,
177,10/31/22 04:00:00 午後,26.622,,,,,
178,10/31/22 05:00:00 午後,26.646,,,,,
179,10/31/22 06:00:00 午後,26.622,,,,,
180,10/31/22 07:00:00 午後,26.646,,,,,
181,10/31/22 08:00:00 午後,26.646,,,,,
182,10/31/22 09:00:00 午後,26.671,,,,,
183,10/31/22 10:00:00 午後,26.549,,,,,
184,10/31/22 11:00:00 午後,26.329,,,,,
185,11/01/22 12:00:00 午前,26.549,,,,,
186,11/01/22 01:00:00 午前,26.329,,,,,
187,11/01/22 02:00:00 午前,26.207,,,,,
188,11/01/22 03:00:00 午前,26.182,,,,,
189,11/01/22 04:00:00 午前,26.134,,,,,
190,11/01/22 05:00:00 午前,25.939,,,,,
191,11/01/22 06:00:00 午前,25.841,,,,,
192,11/01/22 07:00:00 午前,26.012,,,,,
193,11/01/22 08:00:00 午前,26.182,,,,,
194,11/01/22 09:00:00 午前,26.134,,,,,
195,11/01/22 10:00:00 午前,26.036,,,,,
196,11/01/22 11:00:00 午前,26.158,,,,,
197,11/01/22 12:00:00 午後,26.28,,,,,
198,11/01/22 01:00:00 午後,26.231,,,,,
199,11/01/22 02:00:00 午後,26.207,,,,,
200,11/01/22 03:00:00 午後,26.134,,,,,
201,11/01/22 04:00:00 午後,26.109,,,,,
202,11/01/22 05:00:00 午後,25.963,,,,,
203,11/01/22 06:00:00 午後,25.841,,,,,
204,11/01/22 07:00:00 午後,25.647,,,,,
205,11/01/22 08:00:00 午後,25.477,,,,,
206,11/01/22 09:00:00 午後,25.914,,,,,
207,11/01/22 10:00:00 午後,25.55,,,,,
208,11/01/22 11:00:00 午後,25.914,,,,,
209,11/02/22 12:00:00 午前,26.012,,,,,
210,11/02/22 01:00:00 午前,26.012,,,,,
211,11/02/22 02:00:00 午前,26.012,,,,,
212,11/02/22 03:00:00 午前,25.939,,,,,
213,11/02/22 04:00:00 午前,25.768,,,,,
214,11/02/22 05:00:00 午前,25.598,,,,,
215,11/02/22 06:00:00 午前,25.501,,,,,
216,11/02/22 07:00:00 午前,25.331,,,,,
217,11/02/22 08:00:00 午前,25.113,,,,,
218,11/02/22 09:00:00 午前,25.234,,,,,
219,11/02/22 10:00:00 午前,25.647,,,,,
220,11/02/22 11:00:00 午前,25.647,,,,,
221,11/02/22 12:00:00 午後,25.744,,,,,
222,11/02/22 01:00:00 午後,25.817,,,,,
223,11/02/22 02:00:00 午後,25.817,,,,,
224,11/02/22 03:00:00 午後,25.793,,,,,
225,11/02/22 04:00:00 午後,25.817,,,,,
226,11/02/22 05:00:00 午後,25.793,,,,,
227,11/02/22 06:00:00 午後,25.768,,,,,
228,11/02/22 07:00:00 午後,25.623,,,,,
229,11/02/22 08:00:00 午後,25.501,,,,,
230,11/02/22 09:00:00 午後,25.598,,,,,
231,11/02/22 10:00:00 午後,25.331,,,,,
232,11/02/22 11:00:00 午後,25.234,,,,,
233,11/03/22 12:00:00 午前,25.258,,,,,
234,11/03/22 01:00:00 午前,25.525,,,,,
235,11/03/22 02:00:00 午前,25.623,,,,,
236,11/03/22 03:00:00 午前,25.695,,,,,
237,11/03/22 04:00:00 午前,25.695,,,,,
238,11/03/22 05:00:00 午前,25.671,,,,,
239,11/03/22 06:00:00 午前,25.623,,,,,
240,11/03/22 07:00:00 午前,25.428,,,,,
241,11/03/22 08:00:00 午前,25.258,,,,,
242,11/03/22 09:00:00 午前,25.477,,,,,
243,11/03/22 10:00:00 午前,25.574,,,,,
244,11/03/22 11:00:00 午前,25.574,,,,,
245,11/03/22 12:00:00 午後,25.574,,,,,
246,11/03/22 01:00:00 午後,25.525,,,,,
247,11/03/22 02:00:00 午後,25.647,,,,,
248,11/03/22 03:00:00 午後,25.793,,,,,
249,11/03/22 04:00:00 午後,25.841,,,,,
250,11/03/22 05:00:00 午後,25.866,,,,,
251,11/03/22 06:00:00 午後,25.841,,,,,
252,11/03/22 07:00:00 午後,25.695,,,,,
253,11/03/22 08:00:00 午後,25.671,,,,,
254,11/03/22 09:00:00 午後,25.598,,,,,
255,11/03/22 10:00:00 午後,25.598,,,,,
256,11/03/22 11:00:00 午後,25.623,,,,,
257,11/04/22 12:00:00 午前,25.525,,,,,
258,11/04/22 01:00:00 午前,25.55,,,,,
259,11/04/22 02:00:00 午前,25.793,,,,,
260,11/04/22 03:00:00 午前,26.036,,,,,
261,11/04/22 04:00:00 午前,26.28,,,,,
262,11/04/22 05:00:00 午前,26.012,,,,,
263,11/04/22 06:00:00 午前,26.158,,,,,
264,11/04/22 07:00:00 午前,26.012,,,,,
265,11/04/22 08:00:00 午前,25.72,,,,,
266,11/04/22 09:00:00 午前,25.598,,,,,
267,11/04/22 10:00:00 午前,25.574,,,,,
268,11/04/22 11:00:00 午前,25.453,,,,,
269,11/04/22 12:00:00 午後,25.987,,,,,
270,11/04/22 01:00:00 午後,25.914,,,,,
271,11/04/22 02:00:00 午後,25.939,,,,,
272,11/04/22 03:00:00 午後,25.939,,,,,
273,11/04/22 04:00:00 午後,26.402,,,,,
274,11/04/22 05:00:00 午後,26.329,,,,,
275,11/04/22 06:00:00 午後,26.28,,,,,
276,11/04/22 07:00:00 午後,26.304,,,,,
277,11/04/22 08:00:00 午後,26.353,,,,,
278,11/04/22 09:00:00 午後,26.182,,,,,
279,11/04/22 10:00:00 午後,25.866,,,,,
280,11/04/22 11:00:00 午後,25.647,,,,,
281,11/05/22 12:00:00 午前,25.477,,,,,
282,11/05/22 01:00:00 午前,25.89,,,,,
283,11/05/22 02:00:00 午前,26.012,,,,,
284,11/05/22 03:00:00 午前,25.987,,,,,
285,11/05/22 04:00:00 午前,26.28,,,,,
286,11/05/22 05:00:00 午前,26.353,,,,,
287,11/05/22 06:00:00 午前,26.353,,,,,
288,11/05/22 07:00:00 午前,26.28,,,,,
289,11/05/22 08:00:00 午前,26.28,,,,,
290,11/05/22 09:00:00 午前,26.036,,,,,
291,11/05/22 10:00:00 午前,25.453,,,,,
292,11/05/22 11:00:00 午前,25.113,,,,,
293,11/05/22 12:00:00 午後,24.871,,,,,
294,11/05/22 01:00:00 午後,25.089,,,,,
295,11/05/22 02:00:00 午後,25.21,,,,,
296,11/05/22 03:00:00 午後,25.817,,,,,
297,11/05/22 04:00:00 午後,25.525,,,,,
298,11/05/22 05:00:00 午後,25.817,,,,,
299,11/05/22 06:00:00 午後,26.231,,,,,
300,11/05/22 07:00:00 午後,26.207,,,,,
301,11/05/22 08:00:00 午後,25.574,,,,,
302,11/05/22 09:00:00 午後,24.968,,,,,
303,11/05/22 10:00:00 午後,24.339,,,,,
304,11/05/22 11:00:00 午後,24.267,,,,,
305,11/06/22 12:00:00 午前,24.992,,,,,
306,11/06/22 01:00:00 午前,24.871,,,,,
307,11/06/22 02:00:00 午前,24.702,,,,,
308,11/06/22 03:00:00 午前,24.726,,,,,
309,11/06/22 04:00:00 午前,25.574,,,,,
310,11/06/22 05:00:00 午前,26.158,,,,,
311,11/06/22 06:00:00 午前,26.256,,,,,
312,11/06/22 07:00:00 午前,26.231,,,,,
313,11/06/22 08:00:00 午前,26.304,,,,,
314,11/06/22 09:00:00 午前,26.134,,,,,
315,11/06/22 10:00:00 午前,26.036,,,,,
316,11/06/22 11:00:00 午前,25.866,,,,,
317,11/06/22 12:00:00 午後,26.158,,,,,
318,11/06/22 01:00:00 午後,26.085,,,,,
319,11/06/22 02:00:00 午後,25.671,,,,,
320,11/06/22 03:00:00 午後,25.501,,,,,
321,11/06/22 04:00:00 午後,25.866,,,,,
322,11/06/22 05:00:00 午後,25.914,,,,,
323,11/06/22 06:00:00 午後,26.28,,,,,
324,11/06/22 07:00:00 午後,26.402,,,,,
325,11/06/22 08:00:00 午後,26.378,,,,,
326,11/06/22 09:00:00 午後,26.353,,,,,
327,11/06/22 10:00:00 午後,26.28,,,,,
328,11/06/22 11:00:00 午後,25.866,,,,,
329,11/07/22 12:00:00 午前,26.182,,,,,
330,11/07/22 01:00:00 午前,26.182,,,,,
331,11/07/22 02:00:00 午前,25.914,,,,,
332,11/07/22 03:00:00 午前,25.55,,,,,
333,11/07/22 04:00:00 午前,25.331,,,,,
334,11/07/22 05:00:00 午前,25.793,,,,,
335,11/07/22 06:00:00 午前,25.817,,,,,
336,11/07/22 07:00:00 午前,25.89,,,,,
337,11/07/22 08:00:00 午前,26.231,,,,,
338,11/07/22 09:00:00 午前,26.061,,,,,
339,11/07/22 10:00:00 午前,25.914,,,,,
340,11/07/22 11:00:00 午前,25.744,,,,,
341,11/07/22 12:00:00 午後,25.768,,,,,
342,11/07/22 01:00:00 午後,26.182,,,,,
343,11/07/22 02:00:00 午後,26.085,,,,,
344,11/07/22 03:00:00 午後,25.623,,,,,
345,11/07/22 04:00:00 午後,25.355,,,,,
346,11/07/22 05:00:00 午後,25.331,,,,,
347,11/07/22 06:00:00 午後,25.55,,,,,
348,11/07/22 07:00:00 午後,25.89,,,,,
349,11/07/22 08:00:00 午後,26.012,,,,,
350,11/07/22 09:00:00 午後,26.012,,,,,
351,11/07/22 10:00:00 午後,25.939,,,,,
352,11/07/22 11:00:00 午後,25.55,,,,,
353,11/08/22 12:00:00 午前,25.38,,,,,
354,11/08/22 01:00:00 午前,25.817,,,,,
355,11/08/22 02:00:00 午前,25.841,,,,,
356,11/08/22 03:00:00 午前,25.55,,,,,
357,11/08/22 04:00:00 午前,25.283,,,,,
358,11/08/22 05:00:00 午前,25.428,,,,,
359,11/08/22 06:00:00 午前,25.695,,,,,
360,11/08/22 07:00:00 午前,25.817,,,,,
361,11/08/22 08:00:00 午前,26.158,,,,,
362,11/08/22 09:00:00 午前,26.304,,,,,
363,11/08/22 10:00:00 午前,26.158,,,,,
364,11/08/22 11:00:00 午前,26.134,,,,,
365,11/08/22 12:00:00 午後,25.939,,,,,
366,11/08/22 01:00:00 午後,25.841,,,,,
367,11/08/22 02:00:00 午後,26.329,,,,,
368,11/08/22 03:00:00 午後,26.231,,,,,
369,11/08/22 04:00:00 午後,26.207,,,,,
370,11/08/22 05:00:00 午後,25.55,,,,,
371,11/08/22 06:00:00 午後,25.841,,,,,
372,11/08/22 07:00:00 午後,26.109,,,,,
373,11/08/22 08:00:00 午後,26.426,,,,,
374,11/08/22 09:00:00 午後,26.549,,,,,
375,11/08/22 10:00:00 午後,26.622,,,,,
