プロット タイトル: site15_spot022_2024,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21155708, SEN S/N: 21155708)",カプラー取り外し (LGR S/N: 21155708),カプラー取り付け (LGR S/N: 21155708),ホスト接続 (LGR S/N: 21155708),停止済み (LGR S/N: 21155708),ファイルの終わり (LGR S/N: 21155708)
1,11/11/23 08:00:00 午前,24.605,記録,,,,
2,11/11/23 09:00:00 午前,25.793,,,,,
3,11/11/23 10:00:00 午前,26.793,,,,,
4,11/11/23 11:00:00 午前,27.186,,,,,
5,11/11/23 12:00:00 午後,27.284,,,,,
6,11/11/23 01:00:00 午後,27.308,,,,,
7,11/11/23 02:00:00 午後,27.259,,,,,
8,11/11/23 03:00:00 午後,27.21,,,,,
9,11/11/23 04:00:00 午後,27.21,,,,,
10,11/11/23 05:00:00 午後,27.284,,,,,
11,11/11/23 06:00:00 午後,27.21,,,,,
12,11/11/23 07:00:00 午後,27.235,,,,,
13,11/11/23 08:00:00 午後,27.21,,,,,
14,11/11/23 09:00:00 午後,27.136,,,,,
15,11/11/23 10:00:00 午後,27.038,,,,,
16,11/11/23 11:00:00 午後,26.818,,,,,
17,11/12/23 12:00:00 午前,26.818,,,,,
18,11/12/23 01:00:00 午前,26.867,,,,,
19,11/12/23 02:00:00 午前,26.989,,,,,
20,11/12/23 03:00:00 午前,27.038,,,,,
21,11/12/23 04:00:00 午前,27.063,,,,,
22,11/12/23 05:00:00 午前,26.916,,,,,
23,11/12/23 06:00:00 午前,27.014,,,,,
24,11/12/23 07:00:00 午前,27.087,,,,,
25,11/12/23 08:00:00 午前,27.087,,,,,
26,11/12/23 09:00:00 午前,26.891,,,,,
27,11/12/23 10:00:00 午前,26.842,,,,,
28,11/12/23 11:00:00 午前,26.646,,,,,
29,11/12/23 12:00:00 午後,26.671,,,,,
30,11/12/23 01:00:00 午後,26.622,,,,,
31,11/12/23 02:00:00 午後,26.573,,,,,
32,11/12/23 03:00:00 午後,26.793,,,,,
33,11/12/23 04:00:00 午後,26.965,,,,,
34,11/12/23 05:00:00 午後,26.94,,,,,
35,11/12/23 06:00:00 午後,26.891,,,,,
36,11/12/23 07:00:00 午後,27.063,,,,,
37,11/12/23 08:00:00 午後,27.087,,,,,
38,11/12/23 09:00:00 午後,27.038,,,,,
39,11/12/23 10:00:00 午後,26.842,,,,,
40,11/12/23 11:00:00 午後,26.5,,,,,
41,11/13/23 12:00:00 午前,26.182,,,,,
42,11/13/23 01:00:00 午前,26.061,,,,,
43,11/13/23 02:00:00 午前,26.134,,,,,
44,11/13/23 03:00:00 午前,26.549,,,,,
45,11/13/23 04:00:00 午前,26.622,,,,,
46,11/13/23 05:00:00 午前,26.744,,,,,
47,11/13/23 06:00:00 午前,26.622,,,,,
