プロット タイトル:site09_spot006_2023,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054327, SEN S/N: 20054327)",カプラー取り外し (LGR S/N: 20054327),カプラー取り付け (LGR S/N: 20054327),ホスト接続 (LGR S/N: 20054327),停止済み (LGR S/N: 20054327),ファイルの終わり (LGR S/N: 20054327)
1,01/10/23 09:00:00 午前,20.841,記録,,,,
2,01/10/23 10:00:00 午前,21.199,,,,,
3,01/10/23 11:00:00 午前,23.376,,,,,
4,01/10/23 12:00:00 午後,23.881,,,,,
5,01/10/23 01:00:00 午後,25.016,,,,,
6,01/10/23 02:00:00 午後,23.593,,,,,
7,01/10/23 03:00:00 午後,23.376,,,,,
8,01/10/23 04:00:00 午後,23.352,,,,,
9,01/10/23 05:00:00 午後,23.352,,,,,
10,01/10/23 06:00:00 午後,23.328,,,,,
11,01/10/23 07:00:00 午後,23.304,,,,,
12,01/10/23 08:00:00 午後,23.304,,,,,
13,01/10/23 09:00:00 午後,23.304,,,,,
14,01/10/23 10:00:00 午後,23.28,,,,,
15,01/10/23 11:00:00 午後,23.208,,,,,
16,01/11/23 12:00:00 午前,23.208,,,,,
17,01/11/23 01:00:00 午前,23.064,,,,,
18,01/11/23 02:00:00 午前,23.064,,,,,
19,01/11/23 03:00:00 午前,23.136,,,,,
20,01/11/23 04:00:00 午前,23.184,,,,,
21,01/11/23 05:00:00 午前,23.184,,,,,
22,01/11/23 06:00:00 午前,23.184,,,,,
23,01/11/23 07:00:00 午前,23.184,,,,,
24,01/11/23 08:00:00 午前,23.184,,,,,
25,01/11/23 09:00:00 午前,23.208,,,,,
26,01/11/23 10:00:00 午前,23.232,,,,,
27,01/11/23 11:00:00 午前,23.256,,,,,
28,01/11/23 12:00:00 午後,23.232,,,,,
29,01/11/23 01:00:00 午後,23.232,,,,,
30,01/11/23 02:00:00 午後,23.256,,,,,
31,01/11/23 03:00:00 午後,23.256,,,,,
32,01/11/23 04:00:00 午後,23.352,,,,,
33,01/11/23 05:00:00 午後,23.376,,,,,
34,01/11/23 06:00:00 午後,23.4,,,,,
35,01/11/23 07:00:00 午後,23.376,,,,,
36,01/11/23 08:00:00 午後,23.376,,,,,
37,01/11/23 09:00:00 午後,23.4,,,,,
38,01/11/23 10:00:00 午後,23.352,,,,,
39,01/11/23 11:00:00 午後,23.328,,,,,
40,01/12/23 12:00:00 午前,23.328,,,,,
41,01/12/23 01:00:00 午前,23.304,,,,,
42,01/12/23 02:00:00 午前,23.304,,,,,
43,01/12/23 03:00:00 午前,23.304,,,,,
44,01/12/23 04:00:00 午前,23.304,,,,,
45,01/12/23 05:00:00 午前,23.28,,,,,
46,01/12/23 06:00:00 午前,23.28,,,,,
47,01/12/23 07:00:00 午前,23.28,,,,,
48,01/12/23 08:00:00 午前,23.304,,,,,
49,01/12/23 09:00:00 午前,23.328,,,,,
50,01/12/23 10:00:00 午前,23.352,,,,,
51,01/12/23 11:00:00 午前,23.352,,,,,
52,01/12/23 12:00:00 午後,23.352,,,,,
53,01/12/23 01:00:00 午後,23.352,,,,,
54,01/12/23 02:00:00 午後,23.4,,,,,
55,01/12/23 03:00:00 午後,23.4,,,,,
56,01/12/23 04:00:00 午後,23.4,,,,,
57,01/12/23 05:00:00 午後,23.376,,,,,
58,01/12/23 06:00:00 午後,23.376,,,,,
59,01/12/23 07:00:00 午後,23.376,,,,,
60,01/12/23 08:00:00 午後,23.376,,,,,
61,01/12/23 09:00:00 午後,23.376,,,,,
62,01/12/23 10:00:00 午後,23.376,,,,,
63,01/12/23 11:00:00 午後,23.376,,,,,
64,01/13/23 12:00:00 午前,23.376,,,,,
65,01/13/23 01:00:00 午前,23.376,,,,,
66,01/13/23 02:00:00 午前,23.376,,,,,
67,01/13/23 03:00:00 午前,23.352,,,,,
68,01/13/23 04:00:00 午前,23.352,,,,,
69,01/13/23 05:00:00 午前,23.352,,,,,
70,01/13/23 06:00:00 午前,23.352,,,,,
71,01/13/23 07:00:00 午前,23.352,,,,,
72,01/13/23 08:00:00 午前,23.352,,,,,
73,01/13/23 09:00:00 午前,23.376,,,,,
74,01/13/23 10:00:00 午前,23.4,,,,,
75,01/13/23 11:00:00 午前,23.424,,,,,
76,01/13/23 12:00:00 午後,23.448,,,,,
77,01/13/23 01:00:00 午後,23.497,,,,,
78,01/13/23 02:00:00 午後,23.521,,,,,
79,01/13/23 03:00:00 午後,23.521,,,,,
80,01/13/23 04:00:00 午後,23.545,,,,,
81,01/13/23 05:00:00 午後,23.569,,,,,
82,01/13/23 06:00:00 午後,23.545,,,,,
83,01/13/23 07:00:00 午後,23.545,,,,,
84,01/13/23 08:00:00 午後,23.521,,,,,
85,01/13/23 09:00:00 午後,23.497,,,,,
86,01/13/23 10:00:00 午後,23.497,,,,,
87,01/13/23 11:00:00 午後,23.497,,,,,
88,01/14/23 12:00:00 午前,23.497,,,,,
89,01/14/23 01:00:00 午前,23.472,,,,,
90,01/14/23 02:00:00 午前,23.424,,,,,
91,01/14/23 03:00:00 午前,23.448,,,,,
92,01/14/23 04:00:00 午前,23.448,,,,,
93,01/14/23 05:00:00 午前,23.448,,,,,
94,01/14/23 06:00:00 午前,23.497,,,,,
95,01/14/23 07:00:00 午前,23.497,,,,,
96,01/14/23 08:00:00 午前,23.497,,,,,
97,01/14/23 09:00:00 午前,23.521,,,,,
98,01/14/23 10:00:00 午前,23.545,,,,,
99,01/14/23 11:00:00 午前,23.593,,,,,
100,01/14/23 12:00:00 午後,23.617,,,,,
101,01/14/23 01:00:00 午後,23.689,,,,,
102,01/14/23 02:00:00 午後,23.737,,,,,
103,01/14/23 03:00:00 午後,23.761,,,,,
104,01/14/23 04:00:00 午後,23.809,,,,,
105,01/14/23 05:00:00 午後,23.833,,,,,
106,01/14/23 06:00:00 午後,23.785,,,,,
107,01/14/23 07:00:00 午後,23.713,,,,,
108,01/14/23 08:00:00 午後,23.737,,,,,
109,01/14/23 09:00:00 午後,23.713,,,,,
110,01/14/23 10:00:00 午後,23.689,,,,,
111,01/14/23 11:00:00 午後,23.713,,,,,
112,01/15/23 12:00:00 午前,23.713,,,,,
113,01/15/23 01:00:00 午前,23.713,,,,,
114,01/15/23 02:00:00 午前,23.713,,,,,
115,01/15/23 03:00:00 午前,23.689,,,,,
116,01/15/23 04:00:00 午前,23.689,,,,,
117,01/15/23 05:00:00 午前,23.689,,,,,
118,01/15/23 06:00:00 午前,23.689,,,,,
119,01/15/23 07:00:00 午前,23.689,,,,,
120,01/15/23 08:00:00 午前,23.689,,,,,
121,01/15/23 09:00:00 午前,23.689,,,,,
122,01/15/23 10:00:00 午前,23.713,,,,,
123,01/15/23 11:00:00 午前,23.689,,,,,
124,01/15/23 12:00:00 午後,23.689,,,,,
125,01/15/23 01:00:00 午後,23.665,,,,,
126,01/15/23 02:00:00 午後,23.641,,,,,
127,01/15/23 03:00:00 午後,23.569,,,,,
128,01/15/23 04:00:00 午後,23.497,,,,,
129,01/15/23 05:00:00 午後,23.352,,,,,
130,01/15/23 06:00:00 午後,23.28,,,,,
131,01/15/23 07:00:00 午後,23.4,,,,,
132,01/15/23 08:00:00 午後,23.304,,,,,
133,01/15/23 09:00:00 午後,23.352,,,,,
134,01/15/23 10:00:00 午後,23.352,,,,,
135,01/15/23 11:00:00 午後,23.328,,,,,
136,01/16/23 12:00:00 午前,23.304,,,,,
137,01/16/23 01:00:00 午前,23.304,,,,,
138,01/16/23 02:00:00 午前,23.256,,,,,
139,01/16/23 03:00:00 午前,23.256,,,,,
140,01/16/23 04:00:00 午前,22.776,,,,,
141,01/16/23 05:00:00 午前,22.705,,,,,
142,01/16/23 06:00:00 午前,23.088,,,,,
143,01/16/23 07:00:00 午前,23.088,,,,,
144,01/16/23 08:00:00 午前,23.088,,,,,
145,01/16/23 09:00:00 午前,23.088,,,,,
146,01/16/23 10:00:00 午前,23.064,,,,,
147,01/16/23 11:00:00 午前,23.088,,,,,
148,01/16/23 12:00:00 午後,23.064,,,,,
149,01/16/23 01:00:00 午後,23.064,,,,,
150,01/16/23 02:00:00 午後,23.064,,,,,
151,01/16/23 03:00:00 午後,23.04,,,,,
152,01/16/23 04:00:00 午後,22.848,,,,,
153,01/16/23 05:00:00 午後,22.776,,,,,
154,01/16/23 06:00:00 午後,22.776,,,,,
155,01/16/23 07:00:00 午後,22.872,,,,,
156,01/16/23 08:00:00 午後,22.92,,,,,
157,01/16/23 09:00:00 午後,22.896,,,,,
158,01/16/23 10:00:00 午後,22.872,,,,,
159,01/16/23 11:00:00 午後,22.848,,,,,
160,01/17/23 12:00:00 午前,22.824,,,,,
161,01/17/23 01:00:00 午前,22.92,,,,,
162,01/17/23 02:00:00 午前,22.968,,,,,
163,01/17/23 03:00:00 午前,22.968,,,,,
164,01/17/23 04:00:00 午前,22.944,,,,,
165,01/17/23 05:00:00 午前,22.92,,,,,
166,01/17/23 06:00:00 午前,22.92,,,,,
167,01/17/23 07:00:00 午前,22.896,,,,,
168,01/17/23 08:00:00 午前,22.896,,,,,
169,01/17/23 09:00:00 午前,22.896,,,,,
170,01/17/23 10:00:00 午前,22.92,,,,,
171,01/17/23 11:00:00 午前,22.944,,,,,
172,01/17/23 12:00:00 午後,22.968,,,,,
173,01/17/23 01:00:00 午後,23.016,,,,,
174,01/17/23 02:00:00 午後,23.04,,,,,
175,01/17/23 03:00:00 午後,23.04,,,,,
176,01/17/23 04:00:00 午後,23.016,,,,,
177,01/17/23 05:00:00 午後,22.968,,,,,
178,01/17/23 06:00:00 午後,22.896,,,,,
179,01/17/23 07:00:00 午後,22.824,,,,,
180,01/17/23 08:00:00 午後,22.753,,,,,
181,01/17/23 09:00:00 午後,22.8,,,,,
182,01/17/23 10:00:00 午後,22.848,,,,,
183,01/17/23 11:00:00 午後,22.92,,,,,
184,01/18/23 12:00:00 午前,22.944,,,,,
185,01/18/23 01:00:00 午前,22.92,,,,,
186,01/18/23 02:00:00 午前,22.92,,,,,
187,01/18/23 03:00:00 午前,22.92,,,,,
188,01/18/23 04:00:00 午前,22.896,,,,,
189,01/18/23 05:00:00 午前,22.896,,,,,
190,01/18/23 06:00:00 午前,22.896,,,,,
191,01/18/23 07:00:00 午前,22.896,,,,,
192,01/18/23 08:00:00 午前,22.872,,,,,
193,01/18/23 09:00:00 午前,22.896,,,,,
194,01/18/23 10:00:00 午前,22.872,,,,,
195,01/18/23 11:00:00 午前,22.872,,,,,
196,01/18/23 12:00:00 午後,22.896,,,,,
197,01/18/23 01:00:00 午後,22.872,,,,,
198,01/18/23 02:00:00 午後,22.944,,,,,
199,01/18/23 03:00:00 午後,22.944,,,,,
200,01/18/23 04:00:00 午後,22.944,,,,,
201,01/18/23 05:00:00 午後,22.896,,,,,
202,01/18/23 06:00:00 午後,22.753,,,,,
203,01/18/23 07:00:00 午後,22.705,,,,,
204,01/18/23 08:00:00 午後,22.609,,,,,
205,01/18/23 09:00:00 午後,22.537,,,,,
206,01/18/23 10:00:00 午後,22.657,,,,,
207,01/18/23 11:00:00 午後,22.753,,,,,
208,01/19/23 12:00:00 午前,22.753,,,,,
209,01/19/23 01:00:00 午前,22.729,,,,,
210,01/19/23 02:00:00 午前,22.729,,,,,
211,01/19/23 03:00:00 午前,22.729,,,,,
212,01/19/23 04:00:00 午前,22.729,,,,,
213,01/19/23 05:00:00 午前,22.729,,,,,
214,01/19/23 06:00:00 午前,22.729,,,,,
215,01/19/23 07:00:00 午前,22.729,,,,,
216,01/19/23 08:00:00 午前,22.681,,,,,
217,01/19/23 09:00:00 午前,22.633,,,,,
218,01/19/23 10:00:00 午前,22.585,,,,,
219,01/19/23 11:00:00 午前,22.609,,,,,
220,01/19/23 12:00:00 午後,22.729,,,,,
221,01/19/23 01:00:00 午後,22.848,,,,,
222,01/19/23 02:00:00 午後,22.848,,,,,
223,01/19/23 03:00:00 午後,22.824,,,,,
224,01/19/23 04:00:00 午後,22.8,,,,,
225,01/19/23 05:00:00 午後,22.824,,,,,
226,01/19/23 06:00:00 午後,22.776,,,,,
227,01/19/23 07:00:00 午後,22.705,,,,,
228,01/19/23 08:00:00 午後,22.609,,,,,
229,01/19/23 09:00:00 午後,22.537,,,,,
230,01/19/23 10:00:00 午後,22.537,,,,,
231,01/19/23 11:00:00 午後,22.609,,,,,
232,01/20/23 12:00:00 午前,22.657,,,,,
233,01/20/23 01:00:00 午前,22.657,,,,,
234,01/20/23 02:00:00 午前,22.633,,,,,
235,01/20/23 03:00:00 午前,22.657,,,,,
236,01/20/23 04:00:00 午前,22.657,,,,,
237,01/20/23 05:00:00 午前,22.657,,,,,
238,01/20/23 06:00:00 午前,22.657,,,,,
239,01/20/23 07:00:00 午前,22.633,,,,,
240,01/20/23 08:00:00 午前,22.681,,,,,
241,01/20/23 09:00:00 午前,22.681,,,,,
242,01/20/23 10:00:00 午前,22.585,,,,,
243,01/20/23 11:00:00 午前,22.537,,,,,
244,01/20/23 12:00:00 午後,22.657,,,,,
245,01/20/23 01:00:00 午後,22.896,,,,,
246,01/20/23 02:00:00 午後,22.968,,,,,
247,01/20/23 03:00:00 午後,22.872,,,,,
248,01/20/23 04:00:00 午後,22.944,,,,,
249,01/20/23 05:00:00 午後,22.872,,,,,
250,01/20/23 06:00:00 午後,22.848,,,,,
251,01/20/23 07:00:00 午後,22.92,,,,,
252,01/20/23 08:00:00 午後,22.776,,,,,
253,01/20/23 09:00:00 午後,22.681,,,,,
254,01/20/23 10:00:00 午後,22.585,,,,,
255,01/20/23 11:00:00 午後,22.585,,,,,
256,01/21/23 12:00:00 午前,22.8,,,,,
257,01/21/23 01:00:00 午前,22.848,,,,,
258,01/21/23 02:00:00 午前,22.848,,,,,
259,01/21/23 03:00:00 午前,22.848,,,,,
260,01/21/23 04:00:00 午前,22.848,,,,,
261,01/21/23 05:00:00 午前,22.824,,,,,
262,01/21/23 06:00:00 午前,22.824,,,,,
263,01/21/23 07:00:00 午前,22.848,,,,,
264,01/21/23 08:00:00 午前,22.872,,,,,
265,01/21/23 09:00:00 午前,22.896,,,,,
266,01/21/23 10:00:00 午前,22.848,,,,,
267,01/21/23 11:00:00 午前,22.824,,,,,
268,01/21/23 12:00:00 午後,22.705,,,,,
269,01/21/23 01:00:00 午後,22.848,,,,,
270,01/21/23 02:00:00 午後,22.968,,,,,
271,01/21/23 03:00:00 午後,22.944,,,,,
272,01/21/23 04:00:00 午後,22.968,,,,,
273,01/21/23 05:00:00 午後,22.968,,,,,
274,01/21/23 06:00:00 午後,22.968,,,,,
275,01/21/23 07:00:00 午後,22.944,,,,,
276,01/21/23 08:00:00 午後,22.896,,,,,
277,01/21/23 09:00:00 午後,22.848,,,,,
278,01/21/23 10:00:00 午後,22.824,,,,,
279,01/21/23 11:00:00 午後,22.776,,,,,
280,01/22/23 12:00:00 午前,22.753,,,,,
281,01/22/23 01:00:00 午前,22.753,,,,,
282,01/22/23 02:00:00 午前,22.729,,,,,
283,01/22/23 03:00:00 午前,22.705,,,,,
284,01/22/23 04:00:00 午前,22.729,,,,,
285,01/22/23 05:00:00 午前,22.753,,,,,
286,01/22/23 06:00:00 午前,22.776,,,,,
287,01/22/23 07:00:00 午前,22.776,,,,,
288,01/22/23 08:00:00 午前,22.776,,,,,
289,01/22/23 09:00:00 午前,22.776,,,,,
290,01/22/23 10:00:00 午前,22.8,,,,,
291,01/22/23 11:00:00 午前,22.8,,,,,
292,01/22/23 12:00:00 午後,22.824,,,,,
293,01/22/23 01:00:00 午後,22.848,,,,,
294,01/22/23 02:00:00 午後,22.848,,,,,
295,01/22/23 03:00:00 午後,22.872,,,,,
296,01/22/23 04:00:00 午後,22.896,,,,,
297,01/22/23 05:00:00 午後,22.92,,,,,
298,01/22/23 06:00:00 午後,22.92,,,,,
299,01/22/23 07:00:00 午後,22.92,,,,,
300,01/22/23 08:00:00 午後,22.92,,,,,
301,01/22/23 09:00:00 午後,22.92,,,,,
302,01/22/23 10:00:00 午後,22.896,,,,,
303,01/22/23 11:00:00 午後,22.92,,,,,
304,01/23/23 12:00:00 午前,22.848,,,,,
305,01/23/23 01:00:00 午前,22.872,,,,,
306,01/23/23 02:00:00 午前,22.872,,,,,
307,01/23/23 03:00:00 午前,22.872,,,,,
308,01/23/23 04:00:00 午前,22.872,,,,,
309,01/23/23 05:00:00 午前,22.872,,,,,
310,01/23/23 06:00:00 午前,22.872,,,,,
311,01/23/23 07:00:00 午前,22.872,,,,,
312,01/23/23 08:00:00 午前,22.896,,,,,
313,01/23/23 09:00:00 午前,22.896,,,,,
314,01/23/23 10:00:00 午前,22.872,,,,,
315,01/23/23 11:00:00 午前,22.872,,,,,
316,01/23/23 12:00:00 午後,22.872,,,,,
317,01/23/23 01:00:00 午後,22.896,,,,,
318,01/23/23 02:00:00 午後,22.944,,,,,
319,01/23/23 03:00:00 午後,22.92,,,,,
320,01/23/23 04:00:00 午後,22.896,,,,,
321,01/23/23 05:00:00 午後,22.872,,,,,
322,01/23/23 06:00:00 午後,22.872,,,,,
323,01/23/23 07:00:00 午後,22.872,,,,,
324,01/23/23 08:00:00 午後,22.848,,,,,
325,01/23/23 09:00:00 午後,22.872,,,,,
326,01/23/23 10:00:00 午後,22.848,,,,,
327,01/23/23 11:00:00 午後,22.776,,,,,
328,01/24/23 12:00:00 午前,22.729,,,,,
329,01/24/23 01:00:00 午前,22.729,,,,,
330,01/24/23 02:00:00 午前,22.633,,,,,
331,01/24/23 03:00:00 午前,22.561,,,,,
332,01/24/23 04:00:00 午前,22.441,,,,,
333,01/24/23 05:00:00 午前,22.609,,,,,
334,01/24/23 06:00:00 午前,22.681,,,,,
335,01/24/23 07:00:00 午前,22.729,,,,,
336,01/24/23 08:00:00 午前,22.753,,,,,
337,01/24/23 09:00:00 午前,22.776,,,,,
338,01/24/23 10:00:00 午前,22.657,,,,,
339,01/24/23 11:00:00 午前,22.633,,,,,
340,01/24/23 12:00:00 午後,22.369,,,,,
341,01/24/23 01:00:00 午後,22.202,,,,,
342,01/24/23 02:00:00 午後,22.034,,,,,
343,01/24/23 03:00:00 午後,21.795,,,,,
344,01/24/23 04:00:00 午後,21.604,,,,,
345,01/24/23 05:00:00 午後,22.058,,,,,
346,01/24/23 06:00:00 午後,22.298,,,,,
347,01/24/23 07:00:00 午後,22.25,,,,,
348,01/24/23 08:00:00 午後,22.106,,,,,
349,01/24/23 09:00:00 午後,22.154,,,,,
350,01/24/23 10:00:00 午後,22.226,,,,,
351,01/24/23 11:00:00 午後,21.915,,,,,
352,01/25/23 12:00:00 午前,21.533,,,,,
