プロット タイトル:site24_spot007_2021,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20291307, SEN S/N: 20291307)",カプラー取り外し (LGR S/N: 20291307),カプラー取り付け (LGR S/N: 20291307),ホスト接続 (LGR S/N: 20291307),停止済み (LGR S/N: 20291307),ファイルの終わり (LGR S/N: 20291307)
1,2020/10/25 09:56:28 午後,27.382,,,,,
2,2020/10/25 09:57:06 午後,,記録,,,,
3,2020/10/25 10:56:28 午後,23.208,,,,,
4,2020/10/25 11:56:28 午後,21.939,,,,,
5,2020/10/26 12:56:28 午前,21.151,,,,,
6,2020/10/26 01:56:28 午前,20.603,,,,,
7,2020/10/26 02:56:28 午前,20.222,,,,,
8,2020/10/26 03:56:28 午前,19.888,,,,,
9,2020/10/26 04:56:28 午前,19.579,,,,,
10,2020/10/26 05:56:28 午前,19.246,,,,,
11,2020/10/26 06:56:28 午前,19.08,,,,,
12,2020/10/26 07:56:28 午前,19.318,,,,,
13,2020/10/26 08:56:28 午前,19.674,,,,,
14,2020/10/26 09:56:28 午前,20.388,,,,,
15,2020/10/26 10:56:28 午前,21.223,,,,,
16,2020/10/26 11:56:28 午前,22.082,,,,,
17,2020/10/26 12:56:28 午後,22.824,,,,,
18,2020/10/26 01:56:28 午後,23.497,,,,,
19,2020/10/26 02:56:28 午後,23.954,,,,,
20,2020/10/26 03:56:28 午後,24.219,,,,,
21,2020/10/26 04:56:28 午後,24.098,,,,,
22,2020/10/26 05:56:28 午後,23.665,,,,,
23,2020/10/26 06:56:28 午後,23.208,,,,,
24,2020/10/26 07:56:28 午後,22.393,,,,,
25,2020/10/26 08:56:28 午後,21.748,,,,,
26,2020/10/26 09:56:28 午後,21.413,,,,,
27,2020/10/26 10:56:28 午後,21.533,,,,,
28,2020/10/26 11:56:28 午後,21.652,,,,,
29,2020/10/27 12:56:28 午前,21.413,,,,,
30,2020/10/27 01:56:28 午前,21.151,,,,,
31,2020/10/27 02:56:28 午前,20.889,,,,,
32,2020/10/27 03:56:28 午前,20.603,,,,,
33,2020/10/27 04:56:28 午前,20.365,,,,,
34,2020/10/27 05:56:28 午前,20.15,,,,,
35,2020/10/27 06:56:28 午前,19.96,,,,,
36,2020/10/27 07:56:28 午前,19.984,,,,,
37,2020/10/27 08:56:28 午前,20.126,,,,,
38,2020/10/27 09:56:28 午前,20.555,,,,,
39,2020/10/27 10:56:28 午前,21.199,,,,,
40,2020/10/27 11:56:28 午前,21.891,,,,,
41,2020/10/27 12:56:28 午後,22.441,,,,,
42,2020/10/27 01:56:28 午後,22.92,,,,,
43,2020/10/27 02:56:28 午後,23.328,,,,,
44,2020/10/27 03:56:28 午後,23.569,,,,,
45,2020/10/27 04:56:28 午後,23.545,,,,,
46,2020/10/27 05:56:28 午後,23.4,,,,,
47,2020/10/27 06:56:28 午後,23.112,,,,,
48,2020/10/27 07:56:28 午後,22.776,,,,,
49,2020/10/27 08:56:28 午後,22.489,,,,,
50,2020/10/27 09:56:28 午後,22.13,,,,,
51,2020/10/27 10:56:28 午後,21.843,,,,,
52,2020/10/27 11:56:28 午後,21.604,,,,,
53,2020/10/28 12:56:28 午前,21.39,,,,,
54,2020/10/28 01:56:28 午前,21.27,,,,,
55,2020/10/28 02:56:28 午前,21.151,,,,,
56,2020/10/28 03:56:28 午前,21.056,,,,,
57,2020/10/28 04:56:28 午前,20.936,,,,,
58,2020/10/28 05:56:28 午前,20.817,,,,,
59,2020/10/28 06:56:28 午前,20.817,,,,,
60,2020/10/28 07:56:28 午前,20.865,,,,,
61,2020/10/28 08:56:28 午前,20.913,,,,,
62,2020/10/28 09:56:28 午前,21.008,,,,,
63,2020/10/28 10:56:28 午前,21.199,,,,,
64,2020/10/28 11:56:28 午前,21.533,,,,,
65,2020/10/28 12:56:28 午後,22.034,,,,,
66,2020/10/28 01:56:28 午後,22.537,,,,,
67,2020/10/28 02:56:28 午後,23.016,,,,,
68,2020/10/28 03:56:28 午後,23.352,,,,,
69,2020/10/28 04:56:28 午後,23.569,,,,,
70,2020/10/28 05:56:28 午後,23.665,,,,,
71,2020/10/28 06:56:28 午後,23.545,,,,,
72,2020/10/28 07:56:28 午後,23.376,,,,,
73,2020/10/28 08:56:28 午後,23.208,,,,,
74,2020/10/28 09:56:28 午後,23.04,,,,,
75,2020/10/28 10:56:28 午後,22.848,,,,,
76,2020/10/28 11:56:28 午後,22.633,,,,,
77,2020/10/29 12:56:28 午前,22.489,,,,,
78,2020/10/29 01:56:28 午前,22.202,,,,,
79,2020/10/29 02:56:28 午前,21.963,,,,,
80,2020/10/29 03:56:28 午前,21.7,,,,,
81,2020/10/29 04:56:28 午前,21.413,,,,,
82,2020/10/29 05:56:28 午前,21.199,,,,,
83,2020/10/29 06:56:28 午前,21.056,,,,,
84,2020/10/29 07:56:28 午前,20.936,,,,,
85,2020/10/29 08:56:28 午前,20.722,,,,,
86,2020/10/29 09:56:28 午前,21.604,,,,,
87,2020/10/29 10:56:28 午前,23.424,,,,,
88,2020/10/29 11:56:28 午前,26.72,,,,,
89,2020/10/29 12:56:28 午後,27.161,,,,,
90,2020/10/29 01:56:28 午後,25.963,,,,,
91,2020/10/29 02:56:28 午後,23.833,,,,,
92,2020/10/29 03:56:28 午後,23.833,,,,,
93,2020/10/29 04:56:28 午後,23.833,,,,,
94,2020/10/29 05:56:28 午後,23.809,,,,,
95,2020/10/29 06:56:28 午後,23.761,,,,,
96,2020/10/29 07:56:28 午後,23.737,,,,,
97,2020/10/29 08:56:28 午後,23.713,,,,,
98,2020/10/29 09:56:28 午後,23.713,,,,,
99,2020/10/29 10:56:28 午後,23.761,,,,,
100,2020/10/29 11:56:28 午後,23.761,,,,,
101,2020/10/30 12:56:28 午前,23.737,,,,,
102,2020/10/30 01:56:28 午前,23.665,,,,,
103,2020/10/30 02:56:28 午前,23.641,,,,,
104,2020/10/30 03:56:28 午前,23.545,,,,,
105,2020/10/30 04:56:28 午前,23.472,,,,,
106,2020/10/30 05:56:28 午前,23.472,,,,,
107,2020/10/30 06:56:28 午前,23.448,,,,,
108,2020/10/30 07:56:28 午前,23.472,,,,,
109,2020/10/30 08:56:28 午前,23.521,,,,,
110,2020/10/30 09:56:28 午前,23.617,,,,,
111,2020/10/30 10:56:28 午前,23.641,,,,,
112,2020/10/30 11:56:28 午前,23.737,,,,,
113,2020/10/30 12:56:28 午後,23.737,,,,,
114,2020/10/30 01:56:28 午後,23.713,,,,,
115,2020/10/30 02:56:28 午後,23.713,,,,,
116,2020/10/30 03:56:28 午後,23.641,,,,,
117,2020/10/30 04:56:28 午後,23.569,,,,,
118,2020/10/30 05:56:28 午後,23.497,,,,,
119,2020/10/30 06:56:28 午後,23.472,,,,,
120,2020/10/30 07:56:28 午後,23.424,,,,,
121,2020/10/30 08:56:28 午後,23.424,,,,,
122,2020/10/30 09:56:28 午後,23.448,,,,,
123,2020/10/30 10:56:28 午後,23.521,,,,,
124,2020/10/30 11:56:28 午後,23.545,,,,,
125,2020/10/31 12:56:28 午前,23.424,,,,,
126,2020/10/31 01:56:28 午前,23.304,,,,,
127,2020/10/31 02:56:28 午前,23.16,,,,,
128,2020/10/31 03:56:28 午前,23.112,,,,,
129,2020/10/31 04:56:28 午前,23.088,,,,,
130,2020/10/31 05:56:28 午前,23.16,,,,,
131,2020/10/31 06:56:28 午前,23.256,,,,,
132,2020/10/31 07:56:28 午前,23.256,,,,,
133,2020/10/31 08:56:28 午前,23.256,,,,,
134,2020/10/31 09:56:28 午前,23.28,,,,,
135,2020/10/31 10:56:28 午前,23.352,,,,,
136,2020/10/31 11:56:28 午前,23.424,,,,,
137,2020/10/31 12:56:28 午後,23.521,,,,,
138,2020/10/31 01:56:28 午後,23.569,,,,,
139,2020/10/31 02:56:28 午後,23.569,,,,,
140,2020/10/31 03:56:28 午後,23.593,,,,,
141,2020/10/31 04:56:28 午後,23.593,,,,,
142,2020/10/31 05:56:28 午後,23.593,,,,,
143,2020/10/31 06:56:28 午後,23.521,,,,,
144,2020/10/31 07:56:28 午後,23.472,,,,,
145,2020/10/31 08:56:28 午後,23.448,,,,,
146,2020/10/31 09:56:28 午後,23.376,,,,,
147,2020/10/31 10:56:28 午後,23.328,,,,,
