プロット タイトル: site21_spot013_2020,,,,
番号,年/月/日,時間,午前/午後,水温データ
"2	",2019/12/7,11:00:00,"午前	",19.793
"3	",2019/12/7,12:00:00,"午後	",19.603
"4	",2019/12/7,1:00:00,"午後	",19.484
"5	",2019/12/7,2:00:00,"午後	",19.532
"6	",2019/12/7,3:00:00,"午後	",19.532
"7	",2019/12/7,4:00:00,"午後	",19.508
"8	",2019/12/7,5:00:00,"午後	",19.555
"9	",2019/12/7,6:00:00,"午後	",19.674
"10	",2019/12/7,7:00:00,"午後	",19.793
"11	",2019/12/7,8:00:00,"午後	",19.865
"12	",2019/12/7,9:00:00,"午後	",19.841
"13	",2019/12/7,10:00:00,"午後	",19.77
"14	",2019/12/7,11:00:00,"午後	",19.484
"15	",2019/12/8,12:00:00,"午前	",19.484
"16	",2019/12/8,1:00:00,"午前	",19.508
"17	",2019/12/8,2:00:00,"午前	",19.389
"18	",2019/12/8,3:00:00,"午前	",19.365
"19	",2019/12/8,4:00:00,"午前	",19.175
"20	",2019/12/8,5:00:00,"午前	",19.222
"21	",2019/12/8,6:00:00,"午前	",19.27
"22	",2019/12/8,7:00:00,"午前	",19.199
"23	",2019/12/8,8:00:00,"午前	",19.127
"24	",2019/12/8,9:00:00,"午前	",18.985
"25	",2019/12/8,10:00:00,"午前	",19.032
"26	",2019/12/8,11:00:00,"午前	",19.151
"27	",2019/12/8,12:00:00,"午後	",19.318
"28	",2019/12/8,1:00:00,"午後	",19.436
"29	",2019/12/8,2:00:00,"午後	",19.46
"30	",2019/12/8,3:00:00,"午後	",19.46
"31	",2019/12/8,4:00:00,"午後	",19.508
"32	",2019/12/8,5:00:00,"午後	",19.532
"33	",2019/12/8,6:00:00,"午後	",19.555
"34	",2019/12/8,7:00:00,"午後	",19.627
"35	",2019/12/8,8:00:00,"午後	",19.793
"36	",2019/12/8,9:00:00,"午後	",19.651
"37	",2019/12/8,10:00:00,"午後	",19.484
"38	",2019/12/8,11:00:00,"午後	",19.46
"39	",2019/12/9,12:00:00,"午前	",19.484
"40	",2019/12/9,1:00:00,"午前	",19.389
"41	",2019/12/9,2:00:00,"午前	",19.341
"42	",2019/12/9,3:00:00,"午前	",19.389
"43	",2019/12/9,4:00:00,"午前	",19.413
"44	",2019/12/9,5:00:00,"午前	",19.341
"45	",2019/12/9,6:00:00,"午前	",19.341
"46	",2019/12/9,7:00:00,"午前	",19.365
"47	",2019/12/9,8:00:00,"午前	",19.294
"48	",2019/12/9,9:00:00,"午前	",19.199
"49	",2019/12/9,10:00:00,"午前	",19.246
"50	",2019/12/9,11:00:00,"午前	",19.389
"51	",2019/12/9,12:00:00,"午後	",19.413
"52	",2019/12/9,1:00:00,"午後	",19.413
"53	",2019/12/9,2:00:00,"午後	",19.508
"54	",2019/12/9,3:00:00,"午後	",19.603
"55	",2019/12/9,4:00:00,"午後	",19.651
"56	",2019/12/9,5:00:00,"午後	",19.698
"57	",2019/12/9,6:00:00,"午後	",19.77
"58	",2019/12/9,7:00:00,"午後	",19.841
"59	",2019/12/9,8:00:00,"午後	",19.817
"60	",2019/12/9,9:00:00,"午後	",19.651
"61	",2019/12/9,10:00:00,"午後	",19.674
"62	",2019/12/9,11:00:00,"午後	",19.532
"63	",2019/12/10,12:00:00,"午前	",19.579
"64	",2019/12/10,1:00:00,"午前	",19.722
"65	",2019/12/10,2:00:00,"午前	",19.77
"66	",2019/12/10,3:00:00,"午前	",19.746
"67	",2019/12/10,4:00:00,"午前	",19.698
"68	",2019/12/10,5:00:00,"午前	",19.579
"69	",2019/12/10,6:00:00,"午前	",19.579
"70	",2019/12/10,7:00:00,"午前	",19.484
