プロット タイトル:site22_spot006_2021,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20481320, SEN S/N: 20481320)",カプラー取り外し (LGR S/N: 20481320),カプラー取り付け (LGR S/N: 20481320),ホスト接続 (LGR S/N: 20481320),停止済み (LGR S/N: 20481320),ファイルの終わり (LGR S/N: 20481320)
117,11/25/20 06:00:00 午前,22.058,,,,,
118,11/25/20 07:00:00 午前,22.034,,,,,
119,11/25/20 08:00:00 午前,21.939,,,,,
120,11/25/20 09:00:00 午前,22.058,,,,,
121,11/25/20 10:00:00 午前,22.034,,,,,
122,11/25/20 11:00:00 午前,22.011,,,,,
123,11/25/20 12:00:00 午後,22.106,,,,,
124,11/25/20 01:00:00 午後,22.202,,,,,
125,11/25/20 02:00:00 午後,22.274,,,,,
126,11/25/20 03:00:00 午後,22.321,,,,,
127,11/25/20 04:00:00 午後,22.298,,,,,
128,11/25/20 05:00:00 午後,22.25,,,,,
129,11/25/20 06:00:00 午後,22.178,,,,,
130,11/25/20 07:00:00 午後,22.058,,,,,
131,11/25/20 08:00:00 午後,21.843,,,,,
132,11/25/20 09:00:00 午後,21.7,,,,,
133,11/25/20 10:00:00 午後,21.604,,,,,
134,11/25/20 11:00:00 午後,21.461,,,,,
135,11/26/20 12:00:00 午前,21.461,,,,,
136,11/26/20 01:00:00 午前,21.628,,,,,
137,11/26/20 02:00:00 午前,21.604,,,,,
138,11/26/20 03:00:00 午前,21.676,,,,,
139,11/26/20 04:00:00 午前,21.557,,,,,
140,11/26/20 05:00:00 午前,21.581,,,,,
141,11/26/20 06:00:00 午前,21.628,,,,,
142,11/26/20 07:00:00 午前,21.557,,,,,
143,11/26/20 08:00:00 午前,21.581,,,,,
144,11/26/20 09:00:00 午前,21.533,,,,,
145,11/26/20 10:00:00 午前,21.963,,,,,
146,11/26/20 11:00:00 午前,22.082,,,,,
147,11/26/20 12:00:00 午後,22.321,,,,,
148,11/26/20 01:00:00 午後,22.393,,,,,
149,11/26/20 02:00:00 午後,22.298,,,,,
150,11/26/20 03:00:00 午後,22.298,,,,,
151,11/26/20 04:00:00 午後,22.298,,,,,
152,11/26/20 05:00:00 午後,22.25,,,,,
153,11/26/20 06:00:00 午後,22.226,,,,,
154,11/26/20 07:00:00 午後,22.106,,,,,
155,11/26/20 08:00:00 午後,21.987,,,,,
156,11/26/20 09:00:00 午後,21.891,,,,,
157,11/26/20 10:00:00 午後,21.748,,,,,
158,11/26/20 11:00:00 午後,21.7,,,,,
159,11/27/20 12:00:00 午前,21.581,,,,,
160,11/27/20 01:00:00 午前,21.652,,,,,
161,11/27/20 02:00:00 午前,21.772,,,,,
