プロット タイトル: site09_spot006_2021,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20922258, SEN S/N: 20922258)",カプラー取り外し (LGR S/N: 20922258),カプラー取り付け (LGR S/N: 20922258),ホスト接続 (LGR S/N: 20922258),停止済み (LGR S/N: 20922258),ファイルの終わり (LGR S/N: 20922258)
1,10/04/20 09:00:00 午前,26.769,記録,,,,
2,10/04/20 10:00:00 午前,29.865,,,,,
3,10/04/20 11:00:00 午前,34.202,,,,,
4,10/04/20 12:00:00 午後,35.985,,,,,
5,10/04/20 01:00:00 午後,28.593,,,,,
6,10/04/20 02:00:00 午後,28.617,,,,,
7,10/04/20 03:00:00 午後,28.568,,,,,
8,10/04/20 04:00:00 午後,28.468,,,,,
9,10/04/20 05:00:00 午後,28.444,,,,,
10,10/04/20 06:00:00 午後,28.419,,,,,
11,10/04/20 07:00:00 午後,28.419,,,,,
12,10/04/20 08:00:00 午後,28.468,,,,,
13,10/04/20 09:00:00 午後,28.543,,,,,
14,10/04/20 10:00:00 午後,28.518,,,,,
15,10/04/20 11:00:00 午後,28.394,,,,,
16,10/05/20 12:00:00 午前,28.369,,,,,
17,10/05/20 01:00:00 午前,28.345,,,,,
18,10/05/20 02:00:00 午前,28.345,,,,,
19,10/05/20 03:00:00 午前,28.369,,,,,
20,10/05/20 04:00:00 午前,28.345,,,,,
21,10/05/20 05:00:00 午前,28.369,,,,,
22,10/05/20 06:00:00 午前,28.394,,,,,
23,10/05/20 07:00:00 午前,28.419,,,,,
24,10/05/20 08:00:00 午前,28.444,,,,,
25,10/05/20 09:00:00 午前,28.493,,,,,
26,10/05/20 10:00:00 午前,28.568,,,,,
27,10/05/20 11:00:00 午前,28.617,,,,,
28,10/05/20 12:00:00 午後,28.667,,,,,
29,10/05/20 01:00:00 午後,28.617,,,,,
30,10/05/20 02:00:00 午後,28.717,,,,,
31,10/05/20 03:00:00 午後,28.617,,,,,
32,10/05/20 04:00:00 午後,28.568,,,,,
33,10/05/20 05:00:00 午後,28.493,,,,,
34,10/05/20 06:00:00 午後,28.518,,,,,
35,10/05/20 07:00:00 午後,28.493,,,,,
36,10/05/20 08:00:00 午後,28.493,,,,,
37,10/05/20 09:00:00 午後,28.468,,,,,
38,10/05/20 10:00:00 午後,28.444,,,,,
39,10/05/20 11:00:00 午後,28.369,,,,,
40,10/06/20 12:00:00 午前,28.32,,,,,
41,10/06/20 01:00:00 午前,28.32,,,,,
42,10/06/20 02:00:00 午前,28.345,,,,,
43,10/06/20 03:00:00 午前,28.32,,,,,
44,10/06/20 04:00:00 午前,28.27,,,,,
45,10/06/20 05:00:00 午前,28.295,,,,,
46,10/06/20 06:00:00 午前,28.32,,,,,
47,10/06/20 07:00:00 午前,28.295,,,,,
48,10/06/20 08:00:00 午前,28.295,,,,,
49,10/06/20 09:00:00 午前,28.394,,,,,
50,10/06/20 10:00:00 午前,28.444,,,,,
51,10/06/20 11:00:00 午前,28.493,,,,,
52,10/06/20 12:00:00 午後,28.419,,,,,
53,10/06/20 01:00:00 午後,28.419,,,,,
54,10/06/20 02:00:00 午後,28.369,,,,,
55,10/06/20 03:00:00 午後,28.444,,,,,
56,10/06/20 04:00:00 午後,28.345,,,,,
57,10/06/20 05:00:00 午後,28.345,,,,,
58,10/06/20 06:00:00 午後,28.345,,,,,
59,10/06/20 07:00:00 午後,28.32,,,,,
60,10/06/20 08:00:00 午後,28.32,,,,,
61,10/06/20 09:00:00 午後,28.295,,,,,
62,10/06/20 10:00:00 午後,28.196,,,,,
63,10/06/20 11:00:00 午後,28.048,,,,,
64,10/07/20 12:00:00 午前,28.048,,,,,
65,10/07/20 01:00:00 午前,27.949,,,,,
66,10/07/20 02:00:00 午前,27.85,,,,,
67,10/07/20 03:00:00 午前,27.924,,,,,
68,10/07/20 04:00:00 午前,27.875,,,,,
69,10/07/20 05:00:00 午前,28.023,,,,,
70,10/07/20 06:00:00 午前,27.998,,,,,
71,10/07/20 07:00:00 午前,28.072,,,,,
72,10/07/20 08:00:00 午前,28.048,,,,,
73,10/07/20 09:00:00 午前,28.122,,,,,
74,10/07/20 10:00:00 午前,28.171,,,,,
75,10/07/20 11:00:00 午前,28.27,,,,,
76,10/07/20 12:00:00 午後,28.245,,,,,
77,10/07/20 01:00:00 午後,28.171,,,,,
78,10/07/20 02:00:00 午後,28.27,,,,,
79,10/07/20 03:00:00 午後,28.32,,,,,
