プロット タイトル: site11_spot019_2022,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054351, SEN S/N: 20054351)",カプラー取り外し (LGR S/N: 20054351),カプラー取り付け (LGR S/N: 20054351),ホスト接続 (LGR S/N: 20054351),停止済み (LGR S/N: 20054351),ファイルの終わり (LGR S/N: 20054351)
1,09/24/21 08:00:00 午前,28.642,記録,,,,
2,09/24/21 08:30:00 午前,32.33,,,,,
3,09/24/21 09:00:00 午前,30.167,,,,,
4,09/24/21 09:30:00 午前,29.916,,,,,
5,09/24/21 10:00:00 午前,29.966,,,,,
6,09/24/21 10:30:00 午前,30.016,,,,,
7,09/24/21 11:00:00 午前,30.041,,,,,
8,09/24/21 11:30:00 午前,30.091,,,,,
9,09/24/21 12:00:00 午後,30.243,,,,,
10,09/24/21 12:30:00 午後,30.343,,,,,
11,09/24/21 01:00:00 午後,30.495,,,,,
12,09/24/21 01:30:00 午後,30.672,,,,,
13,09/24/21 02:00:00 午後,30.824,,,,,
14,09/24/21 02:30:00 午後,30.874,,,,,
15,09/24/21 03:00:00 午後,30.925,,,,,
16,09/24/21 03:30:00 午後,30.95,,,,,
17,09/24/21 04:00:00 午後,30.925,,,,,
18,09/24/21 04:30:00 午後,30.874,,,,,
19,09/24/21 05:00:00 午後,30.798,,,,,
20,09/24/21 05:30:00 午後,30.697,,,,,
21,09/24/21 06:00:00 午後,30.621,,,,,
22,09/24/21 06:30:00 午後,30.596,,,,,
23,09/24/21 07:00:00 午後,30.545,,,,,
24,09/24/21 07:30:00 午後,30.52,,,,,
25,09/24/21 08:00:00 午後,30.469,,,,,
26,09/24/21 08:30:00 午後,30.444,,,,,
27,09/24/21 09:00:00 午後,30.419,,,,,
28,09/24/21 09:30:00 午後,30.394,,,,,
29,09/24/21 10:00:00 午後,30.394,,,,,
30,09/24/21 10:30:00 午後,30.394,,,,,
31,09/24/21 11:00:00 午後,30.369,,,,,
32,09/24/21 11:30:00 午後,30.369,,,,,
33,09/25/21 12:00:00 午前,30.318,,,,,
34,09/25/21 12:30:00 午前,30.268,,,,,
35,09/25/21 01:00:00 午前,30.091,,,,,
36,09/25/21 01:30:00 午前,29.84,,,,,
37,09/25/21 02:00:00 午前,29.64,,,,,
38,09/25/21 02:30:00 午前,29.49,,,,,
39,09/25/21 03:00:00 午前,29.365,,,,,
40,09/25/21 03:30:00 午前,29.29,,,,,
41,09/25/21 04:00:00 午前,29.215,,,,,
42,09/25/21 04:30:00 午前,29.115,,,,,
43,09/25/21 05:00:00 午前,29.065,,,,,
44,09/25/21 05:30:00 午前,29.04,,,,,
45,09/25/21 06:00:00 午前,29.04,,,,,
46,09/25/21 06:30:00 午前,29.015,,,,,
47,09/25/21 07:00:00 午前,28.99,,,,,
48,09/25/21 07:30:00 午前,28.965,,,,,
49,09/25/21 08:00:00 午前,29.015,,,,,
50,09/25/21 08:30:00 午前,29.015,,,,,
51,09/25/21 09:00:00 午前,29.015,,,,,
52,09/25/21 09:30:00 午前,29.115,,,,,
53,09/25/21 10:00:00 午前,29.115,,,,,
54,09/25/21 10:30:00 午前,29.115,,,,,
55,09/25/21 11:00:00 午前,29.19,,,,,
56,09/25/21 11:30:00 午前,29.265,,,,,
57,09/25/21 12:00:00 午後,29.389,,,,,
58,09/25/21 12:30:00 午後,29.464,,,,,
59,09/25/21 01:00:00 午後,29.464,,,,,
60,09/25/21 01:30:00 午後,29.49,,,,,
61,09/25/21 02:00:00 午後,29.665,,,,,
62,09/25/21 02:30:00 午後,29.815,,,,,
63,09/25/21 03:00:00 午後,30.066,,,,,
64,09/25/21 03:30:00 午後,30.192,,,,,
65,09/25/21 04:00:00 午後,30.293,,,,,
66,09/25/21 04:30:00 午後,30.369,,,,,
67,09/25/21 05:00:00 午後,30.369,,,,,
68,09/25/21 05:30:00 午後,30.369,,,,,
69,09/25/21 06:00:00 午後,30.343,,,,,
70,09/25/21 06:30:00 午後,30.318,,,,,
71,09/25/21 07:00:00 午後,30.268,,,,,
72,09/25/21 07:30:00 午後,30.217,,,,,
73,09/25/21 08:00:00 午後,30.142,,,,,
74,09/25/21 08:30:00 午後,30.117,,,,,
75,09/25/21 09:00:00 午後,30.091,,,,,
76,09/25/21 09:30:00 午後,30.066,,,,,
77,09/25/21 10:00:00 午後,30.041,,,,,
78,09/25/21 10:30:00 午後,29.991,,,,,
79,09/25/21 11:00:00 午後,29.966,,,,,
80,09/25/21 11:30:00 午後,29.966,,,,,
81,09/26/21 12:00:00 午前,29.916,,,,,
82,09/26/21 12:30:00 午前,29.89,,,,,
83,09/26/21 01:00:00 午前,29.815,,,,,
84,09/26/21 01:30:00 午前,29.69,,,,,
85,09/26/21 02:00:00 午前,29.59,,,,,
86,09/26/21 02:30:00 午前,29.54,,,,,
87,09/26/21 03:00:00 午前,29.439,,,,,
88,09/26/21 03:30:00 午前,29.365,,,,,
89,09/26/21 04:00:00 午前,29.315,,,,,
90,09/26/21 04:30:00 午前,29.265,,,,,
91,09/26/21 05:00:00 午前,29.215,,,,,
92,09/26/21 05:30:00 午前,29.19,,,,,
93,09/26/21 06:00:00 午前,29.165,,,,,
94,09/26/21 06:30:00 午前,29.165,,,,,
95,09/26/21 07:00:00 午前,29.14,,,,,
96,09/26/21 07:30:00 午前,29.165,,,,,
97,09/26/21 08:00:00 午前,29.215,,,,,
98,09/26/21 08:30:00 午前,29.24,,,,,
99,09/26/21 09:00:00 午前,29.315,,,,,
100,09/26/21 09:30:00 午前,29.464,,,,,
101,09/26/21 10:00:00 午前,29.615,,,,,
102,09/26/21 10:30:00 午前,29.74,,,,,
103,09/26/21 11:00:00 午前,29.84,,,,,
104,09/26/21 11:30:00 午前,29.916,,,,,
105,09/26/21 12:00:00 午後,29.916,,,,,
106,09/26/21 12:30:00 午後,30.016,,,,,
107,09/26/21 01:00:00 午後,30.016,,,,,
108,09/26/21 01:30:00 午後,30.041,,,,,
109,09/26/21 02:00:00 午後,30.142,,,,,
110,09/26/21 02:30:00 午後,30.268,,,,,
111,09/26/21 03:00:00 午後,30.369,,,,,
112,09/26/21 03:30:00 午後,30.469,,,,,
113,09/26/21 04:00:00 午後,30.495,,,,,
114,09/26/21 04:30:00 午後,30.52,,,,,
115,09/26/21 05:00:00 午後,30.52,,,,,
116,09/26/21 05:30:00 午後,30.545,,,,,
117,09/26/21 06:00:00 午後,30.571,,,,,
118,09/26/21 06:30:00 午後,30.571,,,,,
119,09/26/21 07:00:00 午後,30.545,,,,,
120,09/26/21 07:30:00 午後,30.571,,,,,
121,09/26/21 08:00:00 午後,30.545,,,,,
122,09/26/21 08:30:00 午後,30.52,,,,,
123,09/26/21 09:00:00 午後,30.369,,,,,
124,09/26/21 09:30:00 午後,30.318,,,,,
125,09/26/21 10:00:00 午後,30.419,,,,,
126,09/26/21 10:30:00 午後,30.444,,,,,
127,09/26/21 11:00:00 午後,30.469,,,,,
128,09/26/21 11:30:00 午後,30.369,,,,,
129,09/27/21 12:00:00 午前,30.217,,,,,
130,09/27/21 12:30:00 午前,30.091,,,,,
131,09/27/21 01:00:00 午前,30.016,,,,,
132,09/27/21 01:30:00 午前,29.941,,,,,
133,09/27/21 02:00:00 午前,29.74,,,,,
134,09/27/21 02:30:00 午前,29.615,,,,,
135,09/27/21 03:00:00 午前,29.54,,,,,
136,09/27/21 03:30:00 午前,29.515,,,,,
137,09/27/21 04:00:00 午前,29.515,,,,,
138,09/27/21 04:30:00 午前,29.49,,,,,
139,09/27/21 05:00:00 午前,29.464,,,,,
140,09/27/21 05:30:00 午前,29.439,,,,,
141,09/27/21 06:00:00 午前,29.414,,,,,
142,09/27/21 06:30:00 午前,29.414,,,,,
143,09/27/21 07:00:00 午前,29.414,,,,,
144,09/27/21 07:30:00 午前,29.414,,,,,
145,09/27/21 08:00:00 午前,29.439,,,,,
146,09/27/21 08:30:00 午前,29.464,,,,,
147,09/27/21 09:00:00 午前,29.515,,,,,
148,09/27/21 09:30:00 午前,29.565,,,,,
149,09/27/21 10:00:00 午前,29.64,,,,,
150,09/27/21 10:30:00 午前,29.69,,,,,
151,09/27/21 11:00:00 午前,29.765,,,,,
152,09/27/21 11:30:00 午前,29.865,,,,,
153,09/27/21 12:00:00 午後,29.966,,,,,
154,09/27/21 12:30:00 午後,30.117,,,,,
155,09/27/21 01:00:00 午後,30.268,,,,,
156,09/27/21 01:30:00 午後,30.419,,,,,
157,09/27/21 02:00:00 午後,30.596,,,,,
158,09/27/21 02:30:00 午後,30.672,,,,,
159,09/27/21 03:00:00 午後,30.722,,,,,
160,09/27/21 03:30:00 午後,30.722,,,,,
161,09/27/21 04:00:00 午後,30.646,,,,,
162,09/27/21 04:30:00 午後,30.646,,,,,
163,09/27/21 05:00:00 午後,30.596,,,,,
164,09/27/21 05:30:00 午後,30.571,,,,,
165,09/27/21 06:00:00 午後,30.52,,,,,
166,09/27/21 06:30:00 午後,30.419,,,,,
167,09/27/21 07:00:00 午後,30.293,,,,,
168,09/27/21 07:30:00 午後,30.066,,,,,
169,09/27/21 08:00:00 午後,30.016,,,,,
170,09/27/21 08:30:00 午後,29.991,,,,,
171,09/27/21 09:00:00 午後,29.966,,,,,
172,09/27/21 09:30:00 午後,29.941,,,,,
173,09/27/21 10:00:00 午後,29.89,,,,,
174,09/27/21 10:30:00 午後,29.865,,,,,
175,09/27/21 11:00:00 午後,29.865,,,,,
176,09/27/21 11:30:00 午後,29.84,,,,,
177,09/28/21 12:00:00 午前,29.815,,,,,
178,09/28/21 12:30:00 午前,29.79,,,,,
179,09/28/21 01:00:00 午前,29.79,,,,,
180,09/28/21 01:30:00 午前,29.765,,,,,
181,09/28/21 02:00:00 午前,29.665,,,,,
182,09/28/21 02:30:00 午前,29.565,,,,,
183,09/28/21 03:00:00 午前,29.439,,,,,
