Plot Title: site24_spot007_2020,,,,,,,
#,"Date Time, GMT+09:00","Temp, °C",Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
120,09/15/19 11:00:00 午後,26.402,,,,,
121,09/16/19 12:00:00 午前,25.963,,,,,
122,09/16/19 01:00:00 午前,26.061,,,,,
123,09/16/19 02:00:00 午前,26.109,,,,,
124,09/16/19 03:00:00 午前,26.085,,,,,
125,09/16/19 04:00:00 午前,26.061,,,,,
126,09/16/19 05:00:00 午前,26.182,,,,,
127,09/16/19 06:00:00 午前,26.158,,,,,
128,09/16/19 07:00:00 午前,26.109,,,,,
129,09/16/19 08:00:00 午前,25.574,,,,,
130,09/16/19 09:00:00 午前,25.793,,,,,
131,09/16/19 10:00:00 午前,25.963,,,,,
132,09/16/19 11:00:00 午前,25.866,,,,,
133,09/16/19 12:00:00 午後,25.987,,,,,
134,09/16/19 01:00:00 午後,26.109,,,,,
135,09/16/19 02:00:00 午後,26.109,,,,,
136,09/16/19 03:00:00 午後,26.158,,,,,
137,09/16/19 04:00:00 午後,26.231,,,,,
138,09/16/19 05:00:00 午後,26.158,,,,,
139,09/16/19 06:00:00 午後,26.182,,,,,
140,09/16/19 07:00:00 午後,26.109,,,,,
141,09/16/19 08:00:00 午後,26.061,,,,,
142,09/16/19 09:00:00 午後,25.89,,,,,
143,09/16/19 10:00:00 午後,25.987,,,,,
144,09/16/19 11:00:00 午後,25.623,,,,,
145,09/17/19 12:00:00 午前,25.695,,,,,
146,09/17/19 01:00:00 午前,25.647,,,,,
147,09/17/19 02:00:00 午前,25.671,,,,,
148,09/17/19 03:00:00 午前,25.671,,,,,
149,09/17/19 04:00:00 午前,25.55,,,,,
150,09/17/19 05:00:00 午前,25.501,,,,,
151,09/17/19 06:00:00 午前,25.501,,,,,
152,09/17/19 07:00:00 午前,25.428,,,,,
153,09/17/19 08:00:00 午前,25.331,,,,,
154,09/17/19 09:00:00 午前,25.331,,,,,
155,09/17/19 10:00:00 午前,24.895,,,,,
156,09/17/19 11:00:00 午前,24.871,,,,,
157,09/17/19 12:00:00 午後,24.726,,,,,
158,09/17/19 01:00:00 午後,25.234,,,,,
159,09/17/19 02:00:00 午後,25.695,,,,,
160,09/17/19 03:00:00 午後,25.695,,,,,
161,09/17/19 04:00:00 午後,25.647,,,,,
162,09/17/19 05:00:00 午後,25.623,,,,,
163,09/17/19 06:00:00 午後,25.671,,,,,
164,09/17/19 07:00:00 午後,25.768,,,,,
165,09/17/19 08:00:00 午後,25.647,,,,,
166,09/17/19 09:00:00 午後,25.744,,,,,
167,09/17/19 10:00:00 午後,25.744,,,,,
168,09/17/19 11:00:00 午後,25.72,,,,,
169,09/18/19 12:00:00 午前,25.89,,,,,
170,09/18/19 01:00:00 午前,25.647,,,,,
171,09/18/19 02:00:00 午前,25.574,,,,,
172,09/18/19 03:00:00 午前,25.671,,,,,
173,09/18/19 04:00:00 午前,25.793,,,,,
174,09/18/19 05:00:00 午前,25.866,,,,,
175,09/18/19 06:00:00 午前,25.866,,,,,
176,09/18/19 07:00:00 午前,25.841,,,,,
177,09/18/19 08:00:00 午前,25.768,,,,,
178,09/18/19 09:00:00 午前,25.647,,,,,
179,09/18/19 10:00:00 午前,25.258,,,,,
180,09/18/19 11:00:00 午前,25.404,,,,,
181,09/18/19 12:00:00 午後,25.355,,,,,
182,09/18/19 01:00:00 午後,25.428,,,,,
183,09/18/19 02:00:00 午後,25.671,,,,,
184,09/18/19 03:00:00 午後,25.939,,,,,
185,09/18/19 04:00:00 午後,25.963,,,,,
186,09/18/19 05:00:00 午後,26.012,,,,,
187,09/18/19 06:00:00 午後,25.939,,,,,
188,09/18/19 07:00:00 午後,25.866,,,,,
189,09/18/19 08:00:00 午後,25.768,,,,,
190,09/18/19 09:00:00 午後,25.695,,,,,
191,09/18/19 10:00:00 午後,25.671,,,,,
192,09/18/19 11:00:00 午後,25.623,,,,,
193,09/19/19 12:00:00 午前,25.598,,,,,
194,09/19/19 01:00:00 午前,25.501,,,,,
195,09/19/19 02:00:00 午前,25.355,,,,,
196,09/19/19 03:00:00 午前,25.404,,,,,
197,09/19/19 04:00:00 午前,25.453,,,,,
198,09/19/19 05:00:00 午前,25.38,,,,,
199,09/19/19 06:00:00 午前,25.258,,,,,
200,09/19/19 07:00:00 午前,25.21,,,,,
201,09/19/19 08:00:00 午前,25.186,,,,,
202,09/19/19 09:00:00 午前,25.113,,,,,
203,09/19/19 10:00:00 午前,25.04,,,,,
204,09/19/19 11:00:00 午前,25.137,,,,,
205,09/19/19 12:00:00 午後,25.21,,,,,
206,09/19/19 01:00:00 午後,25.307,,,,,
207,09/19/19 02:00:00 午後,25.331,,,,,
208,09/19/19 03:00:00 午後,25.331,,,,,
209,09/19/19 04:00:00 午後,25.501,,,,,
210,09/19/19 05:00:00 午後,25.404,,,,,
211,09/19/19 06:00:00 午後,25.355,,,,,
212,09/19/19 07:00:00 午後,25.307,,,,,
213,09/19/19 08:00:00 午後,25.21,,,,,
214,09/19/19 09:00:00 午後,25.186,,,,,
215,09/19/19 10:00:00 午後,25.089,,,,,
216,09/19/19 11:00:00 午後,24.871,,,,,
217,09/20/19 12:00:00 午前,24.774,,,,,
218,09/20/19 01:00:00 午前,24.944,,,,,
219,09/20/19 02:00:00 午前,25.065,,,,,
220,09/20/19 03:00:00 午前,25.331,,,,,
221,09/20/19 04:00:00 午前,25.355,,,,,
222,09/20/19 05:00:00 午前,25.355,,,,,
223,09/20/19 06:00:00 午前,25.283,,,,,
224,09/20/19 07:00:00 午前,25.283,,,,,
225,09/20/19 08:00:00 午前,25.234,,,,,
226,09/20/19 09:00:00 午前,25.186,,,,,
227,09/20/19 10:00:00 午前,25.21,,,,,
228,09/20/19 11:00:00 午前,25.186,,,,,
229,09/20/19 12:00:00 午後,25.162,,,,,
230,09/20/19 01:00:00 午後,25.162,,,,,
231,09/20/19 02:00:00 午後,25.137,,,,,
232,09/20/19 03:00:00 午後,25.113,,,,,
233,09/20/19 04:00:00 午後,25.113,,,,,
234,09/20/19 05:00:00 午後,25.21,,,,,
235,09/20/19 06:00:00 午後,25.162,,,,,
236,09/20/19 07:00:00 午後,25.162,,,,,
237,09/20/19 08:00:00 午後,25.137,,,,,
238,09/20/19 09:00:00 午後,25.089,,,,,
239,09/20/19 10:00:00 午後,25.04,,,,,
240,09/20/19 11:00:00 午後,24.823,,,,,
241,09/21/19 12:00:00 午前,24.798,,,,,
242,09/21/19 01:00:00 午前,24.774,,,,,
243,09/21/19 02:00:00 午前,24.702,,,,,
244,09/21/19 03:00:00 午前,24.702,,,,,
245,09/21/19 04:00:00 午前,24.702,,,,,
246,09/21/19 05:00:00 午前,24.653,,,,,
247,09/21/19 06:00:00 午前,24.653,,,,,
248,09/21/19 07:00:00 午前,24.605,,,,,
249,09/21/19 08:00:00 午前,24.605,,,,,
250,09/21/19 09:00:00 午前,24.629,,,,,
251,09/21/19 10:00:00 午前,24.605,,,,,
252,09/21/19 11:00:00 午前,24.847,,,,,
253,09/21/19 12:00:00 午後,25.404,,,,,
254,09/21/19 01:00:00 午後,25.671,,,,,
255,09/21/19 02:00:00 午後,25.671,,,,,
256,09/21/19 03:00:00 午後,25.671,,,,,
257,09/21/19 04:00:00 午後,25.744,,,,,
258,09/21/19 05:00:00 午後,25.817,,,,,
259,09/21/19 06:00:00 午後,25.914,,,,,
260,09/21/19 07:00:00 午後,25.866,,,,,
261,09/21/19 08:00:00 午後,25.866,,,,,
262,09/21/19 09:00:00 午後,25.793,,,,,
263,09/21/19 10:00:00 午後,25.695,,,,,
264,09/21/19 11:00:00 午後,25.744,,,,,
265,09/22/19 12:00:00 午前,25.866,,,,,
266,09/22/19 01:00:00 午前,26.012,,,,,
267,09/22/19 02:00:00 午前,26.085,,,,,
268,09/22/19 03:00:00 午前,26.182,,,,,
269,09/22/19 04:00:00 午前,26.28,,,,,
270,09/22/19 05:00:00 午前,26.353,,,,,
271,09/22/19 06:00:00 午前,26.231,,,,,
272,09/22/19 07:00:00 午前,26.304,,,,,
273,09/22/19 08:00:00 午前,26.28,,,,,
274,09/22/19 09:00:00 午前,26.475,,,,,
275,09/22/19 10:00:00 午前,26.524,,,,,
276,09/22/19 11:00:00 午前,26.573,,,,,
277,09/22/19 12:00:00 午後,26.671,,,,,
278,09/22/19 01:00:00 午後,26.671,,,,,
279,09/22/19 02:00:00 午後,26.695,,,,,
280,09/22/19 03:00:00 午後,26.695,,,,,
281,09/22/19 04:00:00 午後,26.744,,,,,
282,09/22/19 05:00:00 午後,26.769,,,,,
283,09/22/19 06:00:00 午後,26.769,,,,,
284,09/22/19 07:00:00 午後,26.793,,,,,
285,09/22/19 08:00:00 午後,26.793,,,,,
286,09/22/19 09:00:00 午後,26.769,,,,,
287,09/22/19 10:00:00 午後,26.744,,,,,
288,09/22/19 11:00:00 午後,26.671,,,,,
289,09/23/19 12:00:00 午前,26.646,,,,,
290,09/23/19 01:00:00 午前,26.549,,,,,
291,09/23/19 02:00:00 午前,26.5,,,,,
292,09/23/19 03:00:00 午前,26.475,,,,,
293,09/23/19 04:00:00 午前,26.5,,,,,
294,09/23/19 05:00:00 午前,26.475,,,,,
295,09/23/19 06:00:00 午前,26.5,,,,,
296,09/23/19 07:00:00 午前,26.5,,,,,
297,09/23/19 08:00:00 午前,26.451,,,,,
298,09/23/19 09:00:00 午前,26.304,,,,,
299,09/23/19 10:00:00 午前,26.329,,,,,
300,09/23/19 11:00:00 午前,26.378,,,,,
301,09/23/19 12:00:00 午後,26.426,,,,,
302,09/23/19 01:00:00 午後,26.353,,,,,
303,09/23/19 02:00:00 午後,26.109,,,,,
304,09/23/19 03:00:00 午後,25.695,,,,,
305,09/23/19 04:00:00 午後,25.525,,,,,
306,09/23/19 05:00:00 午後,25.574,,,,,
307,09/23/19 06:00:00 午後,25.817,,,,,
308,09/23/19 07:00:00 午後,25.841,,,,,
309,09/23/19 08:00:00 午後,25.817,,,,,
310,09/23/19 09:00:00 午後,25.963,,,,,
311,09/23/19 10:00:00 午後,26.061,,,,,
312,09/23/19 11:00:00 午後,26.134,,,,,
313,09/24/19 12:00:00 午前,26.109,,,,,
314,09/24/19 01:00:00 午前,26.036,,,,,
315,09/24/19 02:00:00 午前,26.036,,,,,
316,09/24/19 03:00:00 午前,25.963,,,,,
317,09/24/19 04:00:00 午前,26.036,,,,,
318,09/24/19 05:00:00 午前,26.402,,,,,
319,09/24/19 06:00:00 午前,26.426,,,,,
320,09/24/19 07:00:00 午前,26.426,,,,,
321,09/24/19 08:00:00 午前,26.402,,,,,
322,09/24/19 09:00:00 午前,26.329,,,,,
323,09/24/19 10:00:00 午前,26.329,,,,,
324,09/24/19 11:00:00 午前,26.158,,,,,
325,09/24/19 12:00:00 午後,26.207,,,,,
326,09/24/19 01:00:00 午後,26.256,,,,,
327,09/24/19 02:00:00 午後,25.89,,,,,
328,09/24/19 03:00:00 午後,25.963,,,,,
329,09/24/19 04:00:00 午後,26.5,,,,,
330,09/24/19 05:00:00 午後,26.402,,,,,
331,09/24/19 06:00:00 午後,26.451,,,,,
332,09/24/19 07:00:00 午後,26.378,,,,,
333,09/24/19 08:00:00 午後,26.329,,,,,
334,09/24/19 09:00:00 午後,26.28,,,,,
335,09/24/19 10:00:00 午後,26.28,,,,,
336,09/24/19 11:00:00 午後,26.304,,,,,
337,09/25/19 12:00:00 午前,26.329,,,,,
338,09/25/19 01:00:00 午前,26.402,,,,,
339,09/25/19 02:00:00 午前,26.256,,,,,
340,09/25/19 03:00:00 午前,26.353,,,,,
341,09/25/19 04:00:00 午前,26.231,,,,,
342,09/25/19 05:00:00 午前,26.061,,,,,
343,09/25/19 06:00:00 午前,25.963,,,,,
344,09/25/19 07:00:00 午前,25.89,,,,,
345,09/25/19 08:00:00 午前,25.89,,,,,
346,09/25/19 09:00:00 午前,25.841,,,,,
347,09/25/19 10:00:00 午前,25.768,,,,,
348,09/25/19 11:00:00 午前,25.914,,,,,
349,09/25/19 12:00:00 午後,26.109,,,,,
350,09/25/19 01:00:00 午後,26.182,,,,,
351,09/25/19 02:00:00 午後,26.182,,,,,
352,09/25/19 03:00:00 午後,26.207,,,,,
353,09/25/19 04:00:00 午後,26.256,,,,,
354,09/25/19 05:00:00 午後,26.28,,,,,
