プロット タイトル: site04_spot003_2020,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20386458, SEN S/N: 20386458)",カプラー取り外し (LGR S/N: 20386458),カプラー取り付け (LGR S/N: 20386458),ホスト接続 (LGR S/N: 20386458),停止済み (LGR S/N: 20386458),ファイルの終わり (LGR S/N: 20386458)
1,09/23/19 12:00:00 午後,37.645,記録,,,,
2,09/23/19 12:30:00 午後,38.004,,,,,
3,09/23/19 01:00:00 午後,37.398,,,,,
4,09/23/19 01:30:00 午後,36.661,,,,,
5,09/23/19 02:00:00 午後,36.498,,,,,
6,09/23/19 02:30:00 午後,36.552,,,,,
7,09/23/19 03:00:00 午後,36.796,,,,,
8,09/23/19 03:30:00 午後,36.796,,,,,
9,09/23/19 04:00:00 午後,36.092,,,,,
10,09/23/19 04:30:00 午後,34.916,,,,,
11,09/23/19 05:00:00 午後,34.045,,,,,
12,09/23/19 05:30:00 午後,32.304,,,,,
13,09/23/19 06:00:00 午後,31.026,,,,,
14,09/23/19 06:30:00 午後,29.815,,,,,
15,09/23/19 07:00:00 午後,28.742,,,,,
16,09/23/19 07:30:00 午後,27.998,,,,,
17,09/23/19 08:00:00 午後,27.407,,,,,
18,09/23/19 08:30:00 午後,26.989,,,,,
19,09/23/19 09:00:00 午後,26.622,,,,,
20,09/23/19 09:30:00 午後,26.231,,,,,
21,09/23/19 10:00:00 午後,25.939,,,,,
22,09/23/19 10:30:00 午後,25.647,,,,,
23,09/23/19 11:00:00 午後,25.501,,,,,
24,09/23/19 11:30:00 午後,25.404,,,,,
25,09/24/19 12:00:00 午前,25.258,,,,,
26,09/24/19 12:30:00 午前,25.065,,,,,
27,09/24/19 01:00:00 午前,24.919,,,,,
28,09/24/19 01:30:00 午前,24.774,,,,,
29,09/24/19 02:00:00 午前,24.557,,,,,
30,09/24/19 02:30:00 午前,24.412,,,,,
31,09/24/19 03:00:00 午前,24.388,,,,,
32,09/24/19 03:30:00 午前,24.388,,,,,
33,09/24/19 04:00:00 午前,24.315,,,,,
34,09/24/19 04:30:00 午前,24.146,,,,,
35,09/24/19 05:00:00 午前,24.002,,,,,
36,09/24/19 05:30:00 午前,23.93,,,,,
37,09/24/19 06:00:00 午前,23.93,,,,,
38,09/24/19 06:30:00 午前,23.905,,,,,
39,09/24/19 07:00:00 午前,24.026,,,,,
40,09/24/19 07:30:00 午前,23.93,,,,,
41,09/24/19 08:00:00 午前,24.798,,,,,
42,09/24/19 08:30:00 午前,26.769,,,,,
43,09/24/19 09:00:00 午前,27.21,,,,,
44,09/24/19 09:30:00 午前,27.456,,,,,
45,09/24/19 10:00:00 午前,27.112,,,,,
46,09/24/19 10:30:00 午前,28.444,,,,,
47,09/24/19 11:00:00 午前,26.475,,,,,
48,09/24/19 11:30:00 午前,26.475,,,,,
49,09/24/19 12:00:00 午後,26.573,,,,,
50,09/24/19 12:30:00 午後,26.622,,,,,
51,09/24/19 01:00:00 午後,26.646,,,,,
52,09/24/19 01:30:00 午後,26.573,,,,,
53,09/24/19 02:00:00 午後,26.598,,,,,
54,09/24/19 02:30:00 午後,26.451,,,,,
55,09/24/19 03:00:00 午後,26.304,,,,,
56,09/24/19 03:30:00 午後,26.036,,,,,
57,09/24/19 04:00:00 午後,26.353,,,,,
58,09/24/19 04:30:00 午後,26.012,,,,,
59,09/24/19 05:00:00 午後,26.109,,,,,
60,09/24/19 05:30:00 午後,26.256,,,,,
61,09/24/19 06:00:00 午後,26.598,,,,,
62,09/24/19 06:30:00 午後,26.524,,,,,
63,09/24/19 07:00:00 午後,26.475,,,,,
64,09/24/19 07:30:00 午後,26.524,,,,,
65,09/24/19 08:00:00 午後,26.622,,,,,
66,09/24/19 08:30:00 午後,26.622,,,,,
67,09/24/19 09:00:00 午後,26.598,,,,,
68,09/24/19 09:30:00 午後,26.573,,,,,
69,09/24/19 10:00:00 午後,26.598,,,,,
70,09/24/19 10:30:00 午後,26.573,,,,,
71,09/24/19 11:00:00 午後,26.524,,,,,
72,09/24/19 11:30:00 午後,26.524,,,,,
73,09/25/19 12:00:00 午前,26.475,,,,,
74,09/25/19 12:30:00 午前,26.549,,,,,
75,09/25/19 01:00:00 午前,26.524,,,,,
76,09/25/19 01:30:00 午前,26.549,,,,,
77,09/25/19 02:00:00 午前,26.573,,,,,
78,09/25/19 02:30:00 午前,26.524,,,,,
79,09/25/19 03:00:00 午前,26.549,,,,,
80,09/25/19 03:30:00 午前,26.549,,,,,
81,09/25/19 04:00:00 午前,26.475,,,,,
82,09/25/19 04:30:00 午前,26.475,,,,,
83,09/25/19 05:00:00 午前,26.475,,,,,
84,09/25/19 05:30:00 午前,26.5,,,,,
85,09/25/19 06:00:00 午前,26.524,,,,,
86,09/25/19 06:30:00 午前,26.549,,,,,
87,09/25/19 07:00:00 午前,26.549,,,,,
88,09/25/19 07:30:00 午前,26.524,,,,,
89,09/25/19 08:00:00 午前,26.5,,,,,
90,09/25/19 08:30:00 午前,26.549,,,,,
91,09/25/19 09:00:00 午前,26.524,,,,,
92,09/25/19 09:30:00 午前,26.524,,,,,
93,09/25/19 10:00:00 午前,26.524,,,,,
94,09/25/19 10:30:00 午前,26.549,,,,,
95,09/25/19 11:00:00 午前,26.573,,,,,
96,09/25/19 11:30:00 午前,26.598,,,,,
97,09/25/19 12:00:00 午後,26.598,,,,,
98,09/25/19 12:30:00 午後,26.549,,,,,
99,09/25/19 01:00:00 午後,26.598,,,,,
100,09/25/19 01:30:00 午後,26.646,,,,,
101,09/25/19 02:00:00 午後,26.744,,,,,
102,09/25/19 02:30:00 午後,26.793,,,,,
103,09/25/19 03:00:00 午後,26.818,,,,,
104,09/25/19 03:30:00 午後,26.891,,,,,
105,09/25/19 04:00:00 午後,26.891,,,,,
106,09/25/19 04:30:00 午後,26.916,,,,,
107,09/25/19 05:00:00 午後,26.769,,,,,
108,09/25/19 05:30:00 午後,26.793,,,,,
109,09/25/19 06:00:00 午後,26.793,,,,,
110,09/25/19 06:30:00 午後,26.793,,,,,
111,09/25/19 07:00:00 午後,26.793,,,,,
112,09/25/19 07:30:00 午後,26.72,,,,,
113,09/25/19 08:00:00 午後,26.72,,,,,
114,09/25/19 08:30:00 午後,26.793,,,,,
115,09/25/19 09:00:00 午後,26.818,,,,,
116,09/25/19 09:30:00 午後,26.793,,,,,
117,09/25/19 10:00:00 午後,26.793,,,,,
118,09/25/19 10:30:00 午後,26.793,,,,,
119,09/25/19 11:00:00 午後,26.818,,,,,
120,09/25/19 11:30:00 午後,26.793,,,,,
121,09/26/19 12:00:00 午前,26.793,,,,,
122,09/26/19 12:30:00 午前,26.769,,,,,
123,09/26/19 01:00:00 午前,26.769,,,,,
124,09/26/19 01:30:00 午前,26.769,,,,,
125,09/26/19 02:00:00 午前,26.769,,,,,
126,09/26/19 02:30:00 午前,26.769,,,,,
127,09/26/19 03:00:00 午前,26.744,,,,,
128,09/26/19 03:30:00 午前,26.744,,,,,
129,09/26/19 04:00:00 午前,26.744,,,,,
130,09/26/19 04:30:00 午前,26.744,,,,,
131,09/26/19 05:00:00 午前,26.769,,,,,
132,09/26/19 05:30:00 午前,26.769,,,,,
133,09/26/19 06:00:00 午前,26.769,,,,,
134,09/26/19 06:30:00 午前,26.769,,,,,
135,09/26/19 07:00:00 午前,26.769,,,,,
136,09/26/19 07:30:00 午前,26.769,,,,,
137,09/26/19 08:00:00 午前,26.793,,,,,
138,09/26/19 08:30:00 午前,26.793,,,,,
139,09/26/19 09:00:00 午前,26.818,,,,,
140,09/26/19 09:30:00 午前,26.842,,,,,
141,09/26/19 10:00:00 午前,26.867,,,,,
142,09/26/19 10:30:00 午前,26.867,,,,,
143,09/26/19 11:00:00 午前,26.916,,,,,
144,09/26/19 11:30:00 午前,26.965,,,,,
145,09/26/19 12:00:00 午後,26.965,,,,,
146,09/26/19 12:30:00 午後,26.94,,,,,
147,09/26/19 01:00:00 午後,26.94,,,,,
148,09/26/19 01:30:00 午後,26.94,,,,,
149,09/26/19 02:00:00 午後,26.94,,,,,
150,09/26/19 02:30:00 午後,26.989,,,,,
151,09/26/19 03:00:00 午後,27.014,,,,,
152,09/26/19 03:30:00 午後,27.087,,,,,
153,09/26/19 04:00:00 午後,27.136,,,,,
154,09/26/19 04:30:00 午後,27.136,,,,,
155,09/26/19 05:00:00 午後,27.136,,,,,
156,09/26/19 05:30:00 午後,27.136,,,,,
157,09/26/19 06:00:00 午後,27.136,,,,,
158,09/26/19 06:30:00 午後,27.136,,,,,
159,09/26/19 07:00:00 午後,27.112,,,,,
160,09/26/19 07:30:00 午後,27.087,,,,,
161,09/26/19 08:00:00 午後,27.087,,,,,
162,09/26/19 08:30:00 午後,27.014,,,,,
163,09/26/19 09:00:00 午後,26.989,,,,,
164,09/26/19 09:30:00 午後,27.063,,,,,
165,09/26/19 10:00:00 午後,27.038,,,,,
166,09/26/19 10:30:00 午後,27.063,,,,,
167,09/26/19 11:00:00 午後,27.063,,,,,
168,09/26/19 11:30:00 午後,27.063,,,,,
169,09/27/19 12:00:00 午前,27.038,,,,,
170,09/27/19 12:30:00 午前,27.038,,,,,
171,09/27/19 01:00:00 午前,27.038,,,,,
172,09/27/19 01:30:00 午前,27.038,,,,,
173,09/27/19 02:00:00 午前,27.014,,,,,
174,09/27/19 02:30:00 午前,27.014,,,,,
175,09/27/19 03:00:00 午前,27.014,,,,,
176,09/27/19 03:30:00 午前,27.014,,,,,
177,09/27/19 04:00:00 午前,27.014,,,,,
178,09/27/19 04:30:00 午前,27.014,,,,,
179,09/27/19 05:00:00 午前,27.014,,,,,
180,09/27/19 05:30:00 午前,27.014,,,,,
181,09/27/19 06:00:00 午前,27.038,,,,,
182,09/27/19 06:30:00 午前,27.038,,,,,
183,09/27/19 07:00:00 午前,27.014,,,,,
184,09/27/19 07:30:00 午前,27.038,,,,,
185,09/27/19 08:00:00 午前,27.038,,,,,
186,09/27/19 08:30:00 午前,27.087,,,,,
187,09/27/19 09:00:00 午前,27.136,,,,,
188,09/27/19 09:30:00 午前,27.112,,,,,
189,09/27/19 10:00:00 午前,27.112,,,,,
190,09/27/19 10:30:00 午前,27.136,,,,,
191,09/27/19 11:00:00 午前,27.259,,,,,
192,09/27/19 11:30:00 午前,27.333,,,,,
193,09/27/19 12:00:00 午後,27.407,,,,,
194,09/27/19 12:30:00 午後,27.259,,,,,
195,09/27/19 01:00:00 午後,27.186,,,,,
196,09/27/19 01:30:00 午後,27.235,,,,,
197,09/27/19 02:00:00 午後,27.186,,,,,
198,09/27/19 02:30:00 午後,27.284,,,,,
199,09/27/19 03:00:00 午後,27.186,,,,,
200,09/27/19 03:30:00 午後,27.358,,,,,
201,09/27/19 04:00:00 午後,27.407,,,,,
202,09/27/19 04:30:00 午後,27.382,,,,,
203,09/27/19 05:00:00 午後,27.382,,,,,
204,09/27/19 05:30:00 午後,27.382,,,,,
205,09/27/19 06:00:00 午後,27.358,,,,,
206,09/27/19 06:30:00 午後,27.358,,,,,
207,09/27/19 07:00:00 午後,27.308,,,,,
208,09/27/19 07:30:00 午後,27.161,,,,,
209,09/27/19 08:00:00 午後,27.161,,,,,
210,09/27/19 08:30:00 午後,27.235,,,,,
211,09/27/19 09:00:00 午後,27.235,,,,,
212,09/27/19 09:30:00 午後,27.259,,,,,
213,09/27/19 10:00:00 午後,27.235,,,,,
214,09/27/19 10:30:00 午後,27.21,,,,,
215,09/27/19 11:00:00 午後,27.235,,,,,
216,09/27/19 11:30:00 午後,27.235,,,,,
217,09/28/19 12:00:00 午前,27.235,,,,,
218,09/28/19 12:30:00 午前,27.235,,,,,
219,09/28/19 01:00:00 午前,27.235,,,,,
220,09/28/19 01:30:00 午前,27.259,,,,,
221,09/28/19 02:00:00 午前,27.284,,,,,
222,09/28/19 02:30:00 午前,27.284,,,,,
223,09/28/19 03:00:00 午前,27.284,,,,,
224,09/28/19 03:30:00 午前,27.284,,,,,
225,09/28/19 04:00:00 午前,27.284,,,,,
226,09/28/19 04:30:00 午前,27.308,,,,,
227,09/28/19 05:00:00 午前,27.308,,,,,
228,09/28/19 05:30:00 午前,27.333,,,,,
229,09/28/19 06:00:00 午前,27.308,,,,,
230,09/28/19 06:30:00 午前,27.308,,,,,
231,09/28/19 07:00:00 午前,27.308,,,,,
232,09/28/19 07:30:00 午前,27.186,,,,,
233,09/28/19 08:00:00 午前,27.186,,,,,
234,09/28/19 08:30:00 午前,27.284,,,,,
235,09/28/19 09:00:00 午前,27.308,,,,,
236,09/28/19 09:30:00 午前,27.358,,,,,
237,09/28/19 10:00:00 午前,27.284,,,,,
238,09/28/19 10:30:00 午前,27.333,,,,,
239,09/28/19 11:00:00 午前,27.407,,,,,
240,09/28/19 11:30:00 午前,27.505,,,,,
241,09/28/19 12:00:00 午後,27.579,,,,,
242,09/28/19 12:30:00 午後,27.677,,,,,
243,09/28/19 01:00:00 午後,27.653,,,,,
244,09/28/19 01:30:00 午後,27.702,,,,,
245,09/28/19 02:00:00 午後,27.579,,,,,
246,09/28/19 02:30:00 午後,27.604,,,,,
247,09/28/19 03:00:00 午後,27.53,,,,,
248,09/28/19 03:30:00 午後,27.53,,,,,
249,09/28/19 04:00:00 午後,27.481,,,,,
250,09/28/19 04:30:00 午後,27.554,,,,,
251,09/28/19 05:00:00 午後,27.554,,,,,
252,09/28/19 05:30:00 午後,27.653,,,,,
253,09/28/19 06:00:00 午後,27.653,,,,,
254,09/28/19 06:30:00 午後,27.53,,,,,
255,09/28/19 07:00:00 午後,27.653,,,,,
256,09/28/19 07:30:00 午後,27.653,,,,,
257,09/28/19 08:00:00 午後,27.628,,,,,
258,09/28/19 08:30:00 午後,27.628,,,,,
259,09/28/19 09:00:00 午後,27.677,,,,,
260,09/28/19 09:30:00 午後,27.653,,,,,
261,09/28/19 10:00:00 午後,27.677,,,,,
262,09/28/19 10:30:00 午後,27.677,,,,,
263,09/28/19 11:00:00 午後,27.677,,,,,
264,09/28/19 11:30:00 午後,27.702,,,,,
265,09/29/19 12:00:00 午前,27.702,,,,,
266,09/29/19 12:30:00 午前,27.702,,,,,
267,09/29/19 01:00:00 午前,27.677,,,,,
268,09/29/19 01:30:00 午前,27.628,,,,,
269,09/29/19 02:00:00 午前,27.653,,,,,
270,09/29/19 02:30:00 午前,27.653,,,,,
271,09/29/19 03:00:00 午前,27.628,,,,,
272,09/29/19 03:30:00 午前,27.628,,,,,
273,09/29/19 04:00:00 午前,27.628,,,,,
274,09/29/19 04:30:00 午前,27.579,,,,,
275,09/29/19 05:00:00 午前,27.554,,,,,
276,09/29/19 05:30:00 午前,27.628,,,,,
277,09/29/19 06:00:00 午前,27.628,,,,,
278,09/29/19 06:30:00 午前,27.628,,,,,
279,09/29/19 07:00:00 午前,27.604,,,,,
280,09/29/19 07:30:00 午前,27.653,,,,,
281,09/29/19 08:00:00 午前,27.677,,,,,
282,09/29/19 08:30:00 午前,27.604,,,,,
283,09/29/19 09:00:00 午前,27.604,,,,,
284,09/29/19 09:30:00 午前,27.677,,,,,
285,09/29/19 10:00:00 午前,27.702,,,,,
286,09/29/19 10:30:00 午前,27.776,,,,,
287,09/29/19 11:00:00 午前,27.825,,,,,
288,09/29/19 11:30:00 午前,27.727,,,,,
289,09/29/19 12:00:00 午後,27.677,,,,,
290,09/29/19 12:30:00 午後,27.677,,,,,
291,09/29/19 01:00:00 午後,27.751,,,,,
292,09/29/19 01:30:00 午後,27.727,,,,,
293,09/29/19 02:00:00 午後,27.702,,,,,
294,09/29/19 02:30:00 午後,27.702,,,,,
295,09/29/19 03:00:00 午後,27.727,,,,,
296,09/29/19 03:30:00 午後,27.801,,,,,
297,09/29/19 04:00:00 午後,27.751,,,,,
298,09/29/19 04:30:00 午後,27.702,,,,,
299,09/29/19 05:00:00 午後,27.677,,,,,
300,09/29/19 05:30:00 午後,27.579,,,,,
301,09/29/19 06:00:00 午後,27.579,,,,,
302,09/29/19 06:30:00 午後,27.751,,,,,
303,09/29/19 07:00:00 午後,27.628,,,,,
304,09/29/19 07:30:00 午後,27.677,,,,,
305,09/29/19 08:00:00 午後,27.702,,,,,
306,09/29/19 08:30:00 午後,27.702,,,,,
307,09/29/19 09:00:00 午後,27.653,,,,,
308,09/29/19 09:30:00 午後,27.751,,,,,
309,09/29/19 10:00:00 午後,27.825,,,,,
310,09/29/19 10:30:00 午後,27.875,,,,,
311,09/29/19 11:00:00 午後,27.899,,,,,
312,09/29/19 11:30:00 午後,27.875,,,,,
313,09/30/19 12:00:00 午前,27.85,,,,,
314,09/30/19 12:30:00 午前,27.801,,,,,
315,09/30/19 01:00:00 午前,27.751,,,,,
316,09/30/19 01:30:00 午前,27.727,,,,,
317,09/30/19 02:00:00 午前,27.702,,,,,
318,09/30/19 02:30:00 午前,27.727,,,,,
319,09/30/19 03:00:00 午前,27.751,,,,,
320,09/30/19 03:30:00 午前,27.776,,,,,
321,09/30/19 04:00:00 午前,27.776,,,,,
322,09/30/19 04:30:00 午前,27.801,,,,,
323,09/30/19 05:00:00 午前,27.801,,,,,
324,09/30/19 05:30:00 午前,27.776,,,,,
325,09/30/19 06:00:00 午前,27.727,,,,,
326,09/30/19 06:30:00 午前,27.702,,,,,
327,09/30/19 07:00:00 午前,27.727,,,,,
328,09/30/19 07:30:00 午前,27.751,,,,,
329,09/30/19 08:00:00 午前,27.727,,,,,
330,09/30/19 08:30:00 午前,27.702,,,,,
