プロット タイトル: site01_spot005(-25)_2021,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054307, SEN S/N: 20054307)"
26002,01/01/21 12:00:00 午前,20.341
26003,01/01/21 01:00:00 午前,20.341
26004,01/01/21 02:00:00 午前,20.317
26005,01/01/21 03:00:00 午前,20.317
26006,01/01/21 04:00:00 午前,20.341
26007,01/01/21 05:00:00 午前,20.341
26008,01/01/21 06:00:00 午前,20.317
26009,01/01/21 07:00:00 午前,20.317
26010,01/01/21 08:00:00 午前,20.365
26011,01/01/21 09:00:00 午前,20.341
26012,01/01/21 10:00:00 午前,20.341
26013,01/01/21 11:00:00 午前,20.317
26014,01/01/21 12:00:00 午後,20.293
26015,01/01/21 01:00:00 午後,20.198
26016,01/01/21 02:00:00 午後,20.246
26017,01/01/21 03:00:00 午後,20.15
26018,01/01/21 04:00:00 午後,20.15
26019,01/01/21 05:00:00 午後,20.174
26020,01/01/21 06:00:00 午後,20.222
26021,01/01/21 07:00:00 午後,20.15
26022,01/01/21 08:00:00 午後,20.126
26023,01/01/21 09:00:00 午後,20.15
26024,01/01/21 10:00:00 午後,20.174
26025,01/01/21 11:00:00 午後,20.15
26026,01/02/21 12:00:00 午前,20.126
26027,01/02/21 01:00:00 午前,20.055
26028,01/02/21 02:00:00 午前,20.103
26029,01/02/21 03:00:00 午前,20.15
26030,01/02/21 04:00:00 午前,20.15
26031,01/02/21 05:00:00 午前,20.126
26032,01/02/21 06:00:00 午前,20.103
26033,01/02/21 07:00:00 午前,20.103
26034,01/02/21 08:00:00 午前,20.126
26035,01/02/21 09:00:00 午前,20.079
26036,01/02/21 10:00:00 午前,20.103
26037,01/02/21 11:00:00 午前,20.126
26038,01/02/21 12:00:00 午後,20.126
26039,01/02/21 01:00:00 午後,20.126
26040,01/02/21 02:00:00 午後,20.126
26041,01/02/21 03:00:00 午後,20.103
26042,01/02/21 04:00:00 午後,20.079
26043,01/02/21 05:00:00 午後,20.055
26044,01/02/21 06:00:00 午後,20.055
26045,01/02/21 07:00:00 午後,20.055
26046,01/02/21 08:00:00 午後,20.031
26047,01/02/21 09:00:00 午後,20.055
26048,01/02/21 10:00:00 午後,19.984
26049,01/02/21 11:00:00 午後,19.96
26050,01/03/21 12:00:00 午前,20.079
26051,01/03/21 01:00:00 午前,20.055
26052,01/03/21 02:00:00 午前,20.15
26053,01/03/21 03:00:00 午前,20.174
26054,01/03/21 04:00:00 午前,20.198
26055,01/03/21 05:00:00 午前,20.15
26056,01/03/21 06:00:00 午前,20.15
26057,01/03/21 07:00:00 午前,20.174
26058,01/03/21 08:00:00 午前,20.15
