プロット タイトル: site18_spot007_2023,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20016016, SEN S/N: 20016016)",カプラー取り外し (LGR S/N: 20016016),カプラー取り付け (LGR S/N: 20016016),ホスト接続 (LGR S/N: 20016016),停止済み (LGR S/N: 20016016),ファイルの終わり (LGR S/N: 20016016)
1,12/07/22 08:00:00 午前,26.231,記録,,,,
2,12/07/22 09:00:00 午前,22.489,,,,,
3,12/07/22 10:00:00 午前,22.585,,,,,
4,12/07/22 11:00:00 午前,22.058,,,,,
5,12/07/22 12:00:00 午後,22.154,,,,,
6,12/07/22 01:00:00 午後,25.647,,,,,
7,12/07/22 02:00:00 午後,24.847,,,,,
8,12/07/22 03:00:00 午後,24.992,,,,,
9,12/07/22 04:00:00 午後,25.55,,,,,
10,12/07/22 05:00:00 午後,25.914,,,,,
11,12/07/22 06:00:00 午後,26.378,,,,,
12,12/07/22 07:00:00 午後,26.378,,,,,
13,12/07/22 08:00:00 午後,26.549,,,,,
14,12/07/22 09:00:00 午後,26.671,,,,,
15,12/07/22 10:00:00 午後,26.549,,,,,
16,12/07/22 11:00:00 午後,26.549,,,,,
17,12/08/22 12:00:00 午前,26.549,,,,,
18,12/08/22 01:00:00 午前,26.353,,,,,
19,12/08/22 02:00:00 午前,26.012,,,,,
20,12/08/22 03:00:00 午前,25.574,,,,,
21,12/08/22 04:00:00 午前,25.307,,,,,
22,12/08/22 05:00:00 午前,25.453,,,,,
23,12/08/22 06:00:00 午前,25.623,,,,,
24,12/08/22 07:00:00 午前,25.404,,,,,
25,12/08/22 08:00:00 午前,25.21,,,,,
26,12/08/22 09:00:00 午前,21.056,,,,,
27,12/08/22 10:00:00 午前,20.246,,,,,
28,12/08/22 11:00:00 午前,20.889,,,,,
29,12/08/22 12:00:00 午後,22.25,,,,,
30,12/08/22 01:00:00 午後,22.681,,,,,
31,12/08/22 02:00:00 午後,23.016,,,,,
32,12/08/22 03:00:00 午後,23.545,,,,,
33,12/08/22 04:00:00 午後,23.978,,,,,
34,12/08/22 05:00:00 午後,24.267,,,,,
35,12/08/22 06:00:00 午後,25.355,,,,,
36,12/08/22 07:00:00 午後,26.109,,,,,
37,12/08/22 08:00:00 午後,26.158,,,,,
38,12/08/22 09:00:00 午後,26.085,,,,,
39,12/08/22 10:00:00 午後,26.036,,,,,
40,12/08/22 11:00:00 午後,25.987,,,,,
41,12/09/22 12:00:00 午前,25.914,,,,,
42,12/09/22 01:00:00 午前,25.817,,,,,
43,12/09/22 02:00:00 午前,25.744,,,,,
44,12/09/22 03:00:00 午前,25.841,,,,,
45,12/09/22 04:00:00 午前,25.939,,,,,
46,12/09/22 05:00:00 午前,25.914,,,,,
47,12/09/22 06:00:00 午前,25.841,,,,,
48,12/09/22 07:00:00 午前,26.158,,,,,
49,12/09/22 08:00:00 午前,26.182,,,,,
50,12/09/22 09:00:00 午前,26.207,,,,,
51,12/09/22 10:00:00 午前,26.036,,,,,
52,12/09/22 11:00:00 午前,26.109,,,,,
53,12/09/22 12:00:00 午後,26.28,,,,,
54,12/09/22 01:00:00 午後,25.987,,,,,
55,12/09/22 02:00:00 午後,25.598,,,,,
56,12/09/22 03:00:00 午後,25.186,,,,,
57,12/09/22 04:00:00 午後,24.919,,,,,
58,12/09/22 05:00:00 午後,24.653,,,,,
59,12/09/22 06:00:00 午後,24.871,,,,,
60,12/09/22 07:00:00 午後,25.21,,,,,
61,12/09/22 08:00:00 午後,25.404,,,,,
62,12/09/22 09:00:00 午後,25.55,,,,,
63,12/09/22 10:00:00 午後,25.623,,,,,
64,12/09/22 11:00:00 午後,25.671,,,,,
65,12/10/22 12:00:00 午前,25.647,,,,,
66,12/10/22 01:00:00 午前,25.647,,,,,
67,12/10/22 02:00:00 午前,25.671,,,,,
68,12/10/22 03:00:00 午前,25.695,,,,,
