プロット タイトル: site09_spot009_2023,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054382, SEN S/N: 20054382)",カプラー取り外し (LGR S/N: 20054382),カプラー取り付け (LGR S/N: 20054382),ホスト接続 (LGR S/N: 20054382),停止済み (LGR S/N: 20054382),ファイルの終わり (LGR S/N: 20054382)
1,12/27/22 09:00:00 午前,18.39,記録,,,,
2,12/27/22 10:00:00 午前,17.106,,,,,
3,12/27/22 11:00:00 午前,22.298,,,,,
4,12/27/22 12:00:00 午後,22.705,,,,,
5,12/27/22 01:00:00 午後,22.705,,,,,
6,12/27/22 02:00:00 午後,22.681,,,,,
7,12/27/22 03:00:00 午後,22.681,,,,,
8,12/27/22 04:00:00 午後,22.681,,,,,
9,12/27/22 05:00:00 午後,22.872,,,,,
10,12/27/22 06:00:00 午後,22.776,,,,,
11,12/27/22 07:00:00 午後,22.824,,,,,
12,12/27/22 08:00:00 午後,22.968,,,,,
13,12/27/22 09:00:00 午後,22.968,,,,,
14,12/27/22 10:00:00 午後,22.992,,,,,
15,12/27/22 11:00:00 午後,22.824,,,,,
16,12/28/22 12:00:00 午前,22.824,,,,,
17,12/28/22 01:00:00 午前,22.896,,,,,
18,12/28/22 02:00:00 午前,22.729,,,,,
19,12/28/22 03:00:00 午前,22.729,,,,,
20,12/28/22 04:00:00 午前,22.729,,,,,
21,12/28/22 05:00:00 午前,22.681,,,,,
22,12/28/22 06:00:00 午前,22.657,,,,,
23,12/28/22 07:00:00 午前,22.657,,,,,
24,12/28/22 08:00:00 午前,22.633,,,,,
25,12/28/22 09:00:00 午前,22.8,,,,,
26,12/28/22 10:00:00 午前,22.705,,,,,
27,12/28/22 11:00:00 午前,22.705,,,,,
28,12/28/22 12:00:00 午後,22.681,,,,,
29,12/28/22 01:00:00 午後,22.776,,,,,
30,12/28/22 02:00:00 午後,22.776,,,,,
31,12/28/22 03:00:00 午後,22.944,,,,,
32,12/28/22 04:00:00 午後,22.92,,,,,
33,12/28/22 05:00:00 午後,22.968,,,,,
34,12/28/22 06:00:00 午後,22.944,,,,,
35,12/28/22 07:00:00 午後,22.968,,,,,
36,12/28/22 08:00:00 午後,22.824,,,,,
37,12/28/22 09:00:00 午後,22.824,,,,,
38,12/28/22 10:00:00 午後,22.872,,,,,
39,12/28/22 11:00:00 午後,22.968,,,,,
40,12/29/22 12:00:00 午前,22.896,,,,,
41,12/29/22 01:00:00 午前,22.824,,,,,
42,12/29/22 02:00:00 午前,22.896,,,,,
43,12/29/22 03:00:00 午前,22.896,,,,,
44,12/29/22 04:00:00 午前,22.872,,,,,
45,12/29/22 05:00:00 午前,22.896,,,,,
46,12/29/22 06:00:00 午前,22.776,,,,,
47,12/29/22 07:00:00 午前,22.705,,,,,
48,12/29/22 08:00:00 午前,22.8,,,,,
49,12/29/22 09:00:00 午前,22.824,,,,,
50,12/29/22 10:00:00 午前,22.944,,,,,
51,12/29/22 11:00:00 午前,22.896,,,,,
52,12/29/22 12:00:00 午後,22.848,,,,,
53,12/29/22 01:00:00 午後,22.824,,,,,
54,12/29/22 02:00:00 午後,22.776,,,,,
55,12/29/22 03:00:00 午後,22.848,,,,,
56,12/29/22 04:00:00 午後,22.896,,,,,
57,12/29/22 05:00:00 午後,22.92,,,,,
58,12/29/22 06:00:00 午後,22.968,,,,,
59,12/29/22 07:00:00 午後,22.968,,,,,
60,12/29/22 08:00:00 午後,22.968,,,,,
61,12/29/22 09:00:00 午後,22.944,,,,,
62,12/29/22 10:00:00 午後,22.992,,,,,
63,12/29/22 11:00:00 午後,22.992,,,,,
64,12/30/22 12:00:00 午前,22.968,,,,,
65,12/30/22 01:00:00 午前,22.992,,,,,
66,12/30/22 02:00:00 午前,22.896,,,,,
67,12/30/22 03:00:00 午前,22.944,,,,,
68,12/30/22 04:00:00 午前,22.848,,,,,
69,12/30/22 05:00:00 午前,22.968,,,,,
70,12/30/22 06:00:00 午前,22.968,,,,,
71,12/30/22 07:00:00 午前,22.872,,,,,
72,12/30/22 08:00:00 午前,22.824,,,,,
73,12/30/22 09:00:00 午前,22.776,,,,,
74,12/30/22 10:00:00 午前,22.848,,,,,
75,12/30/22 11:00:00 午前,22.92,,,,,
76,12/30/22 12:00:00 午後,22.968,,,,,
77,12/30/22 01:00:00 午後,22.992,,,,,
78,12/30/22 02:00:00 午後,22.992,,,,,
79,12/30/22 03:00:00 午後,22.992,,,,,
80,12/30/22 04:00:00 午後,22.968,,,,,
81,12/30/22 05:00:00 午後,22.968,,,,,
82,12/30/22 06:00:00 午後,22.944,,,,,
83,12/30/22 07:00:00 午後,22.944,,,,,
84,12/30/22 08:00:00 午後,22.944,,,,,
85,12/30/22 09:00:00 午後,22.92,,,,,
86,12/30/22 10:00:00 午後,22.92,,,,,
87,12/30/22 11:00:00 午後,22.92,,,,,
88,12/31/22 12:00:00 午前,22.944,,,,,
89,12/31/22 01:00:00 午前,22.944,,,,,
90,12/31/22 02:00:00 午前,22.944,,,,,
91,12/31/22 03:00:00 午前,22.944,,,,,
92,12/31/22 04:00:00 午前,22.92,,,,,
93,12/31/22 05:00:00 午前,22.92,,,,,
94,12/31/22 06:00:00 午前,22.92,,,,,
95,12/31/22 07:00:00 午前,22.896,,,,,
96,12/31/22 08:00:00 午前,22.896,,,,,
97,12/31/22 09:00:00 午前,22.896,,,,,
98,12/31/22 10:00:00 午前,22.92,,,,,
99,12/31/22 11:00:00 午前,22.92,,,,,
100,12/31/22 12:00:00 午後,22.968,,,,,
101,12/31/22 01:00:00 午後,22.968,,,,,
102,12/31/22 02:00:00 午後,22.968,,,,,
103,12/31/22 03:00:00 午後,22.968,,,,,
104,12/31/22 04:00:00 午後,22.944,,,,,
105,12/31/22 05:00:00 午後,22.92,,,,,
106,12/31/22 06:00:00 午後,22.896,,,,,
107,12/31/22 07:00:00 午後,22.896,,,,,
108,12/31/22 08:00:00 午後,22.872,,,,,
109,12/31/22 09:00:00 午後,22.872,,,,,
110,12/31/22 10:00:00 午後,22.824,,,,,
111,12/31/22 11:00:00 午後,22.824,,,,,
112,01/01/23 12:00:00 午前,22.824,,,,,
113,01/01/23 01:00:00 午前,22.848,,,,,
114,01/01/23 02:00:00 午前,22.848,,,,,
115,01/01/23 03:00:00 午前,22.848,,,,,
116,01/01/23 04:00:00 午前,22.896,,,,,
117,01/01/23 05:00:00 午前,22.92,,,,,
118,01/01/23 06:00:00 午前,22.92,,,,,
119,01/01/23 07:00:00 午前,22.92,,,,,
120,01/01/23 08:00:00 午前,22.872,,,,,
121,01/01/23 09:00:00 午前,22.872,,,,,
122,01/01/23 10:00:00 午前,22.872,,,,,
123,01/01/23 11:00:00 午前,22.872,,,,,
124,01/01/23 12:00:00 午後,22.896,,,,,
125,01/01/23 01:00:00 午後,22.92,,,,,
126,01/01/23 02:00:00 午後,22.896,,,,,
127,01/01/23 03:00:00 午後,22.872,,,,,
128,01/01/23 04:00:00 午後,22.872,,,,,
129,01/01/23 05:00:00 午後,22.872,,,,,
130,01/01/23 06:00:00 午後,22.872,,,,,
131,01/01/23 07:00:00 午後,22.848,,,,,
132,01/01/23 08:00:00 午後,22.848,,,,,
133,01/01/23 09:00:00 午後,22.824,,,,,
134,01/01/23 10:00:00 午後,22.8,,,,,
135,01/01/23 11:00:00 午後,22.776,,,,,
136,01/02/23 12:00:00 午前,22.753,,,,,
137,01/02/23 01:00:00 午前,22.776,,,,,
138,01/02/23 02:00:00 午前,22.824,,,,,
139,01/02/23 03:00:00 午前,22.848,,,,,
140,01/02/23 04:00:00 午前,22.872,,,,,
141,01/02/23 05:00:00 午前,22.872,,,,,
142,01/02/23 06:00:00 午前,22.872,,,,,
143,01/02/23 07:00:00 午前,22.872,,,,,
144,01/02/23 08:00:00 午前,22.872,,,,,
145,01/02/23 09:00:00 午前,22.872,,,,,
146,01/02/23 10:00:00 午前,22.872,,,,,
147,01/02/23 11:00:00 午前,22.824,,,,,
148,01/02/23 12:00:00 午後,22.872,,,,,
149,01/02/23 01:00:00 午後,22.968,,,,,
150,01/02/23 02:00:00 午後,22.968,,,,,
151,01/02/23 03:00:00 午後,22.968,,,,,
152,01/02/23 04:00:00 午後,22.968,,,,,
153,01/02/23 05:00:00 午後,22.968,,,,,
154,01/02/23 06:00:00 午後,22.944,,,,,
155,01/02/23 07:00:00 午後,22.92,,,,,
156,01/02/23 08:00:00 午後,22.92,,,,,
157,01/02/23 09:00:00 午後,22.896,,,,,
158,01/02/23 10:00:00 午後,22.896,,,,,
159,01/02/23 11:00:00 午後,22.896,,,,,
160,01/03/23 12:00:00 午前,22.896,,,,,
161,01/03/23 01:00:00 午前,22.872,,,,,
162,01/03/23 02:00:00 午前,22.872,,,,,
163,01/03/23 03:00:00 午前,22.848,,,,,
164,01/03/23 04:00:00 午前,22.848,,,,,
165,01/03/23 05:00:00 午前,22.824,,,,,
166,01/03/23 06:00:00 午前,22.8,,,,,
167,01/03/23 07:00:00 午前,22.776,,,,,
168,01/03/23 08:00:00 午前,22.776,,,,,
169,01/03/23 09:00:00 午前,22.8,,,,,
170,01/03/23 10:00:00 午前,22.824,,,,,
171,01/03/23 11:00:00 午前,22.872,,,,,
172,01/03/23 12:00:00 午後,22.872,,,,,
173,01/03/23 01:00:00 午後,22.92,,,,,
174,01/03/23 02:00:00 午後,23.064,,,,,
175,01/03/23 03:00:00 午後,23.064,,,,,
176,01/03/23 04:00:00 午後,23.064,,,,,
177,01/03/23 05:00:00 午後,23.064,,,,,
178,01/03/23 06:00:00 午後,22.968,,,,,
179,01/03/23 07:00:00 午後,22.92,,,,,
180,01/03/23 08:00:00 午後,22.968,,,,,
181,01/03/23 09:00:00 午後,22.92,,,,,
182,01/03/23 10:00:00 午後,22.848,,,,,
