Plot Title: site24_spot003_2020,,,,,,,
#,"Date Time, GMT+09:00","Temp, °C",Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
1,09/11/19 12:00:00 午後,33.365,Logged,,,,
2,09/11/19 01:00:00 午後,34.757,,,,,
3,09/11/19 02:00:00 午後,34.598,,,,,
4,09/11/19 03:00:00 午後,35.102,,,,,
5,09/11/19 04:00:00 午後,34.677,,,,,
6,09/11/19 05:00:00 午後,35.502,,,,,
7,09/11/19 06:00:00 午後,37.866,,,,,
8,09/11/19 07:00:00 午後,37.425,,,,,
9,09/11/19 08:00:00 午後,35.662,,,,,
10,09/11/19 09:00:00 午後,34.097,,,,,
11,09/11/19 10:00:00 午後,32.794,,,,,
12,09/11/19 11:00:00 午後,31.842,,,,,
13,09/12/19 12:00:00 午前,31.001,,,,,
14,09/12/19 01:00:00 午前,30.217,,,,,
15,09/12/19 02:00:00 午前,29.74,,,,,
16,09/12/19 03:00:00 午前,29.34,,,,,
17,09/12/19 04:00:00 午前,28.891,,,,,
18,09/12/19 05:00:00 午前,28.518,,,,,
19,09/12/19 06:00:00 午前,28.122,,,,,
20,09/12/19 07:00:00 午前,27.875,,,,,
21,09/12/19 08:00:00 午前,27.85,,,,,
22,09/12/19 09:00:00 午前,28.742,,,,,
23,09/12/19 10:00:00 午前,32.098,,,,,
24,09/12/19 11:00:00 午前,32.742,,,,,
25,09/12/19 12:00:00 午後,33.001,,,,,
26,09/12/19 01:00:00 午後,33.131,,,,,
27,09/12/19 02:00:00 午後,31.484,,,,,
28,09/12/19 03:00:00 午後,27.677,,,,,
29,09/12/19 04:00:00 午後,27.259,,,,,
30,09/12/19 05:00:00 午後,26.402,,,,,
31,09/12/19 06:00:00 午後,26.061,,,,,
32,09/12/19 07:00:00 午後,26.207,,,,,
33,09/12/19 08:00:00 午後,26.695,,,,,
34,09/12/19 09:00:00 午後,26.769,,,,,
35,09/12/19 10:00:00 午後,26.475,,,,,
36,09/12/19 11:00:00 午後,26.5,,,,,
37,09/13/19 12:00:00 午前,26.867,,,,,
38,09/13/19 01:00:00 午前,26.769,,,,,
39,09/13/19 02:00:00 午前,26.744,,,,,
40,09/13/19 03:00:00 午前,26.622,,,,,
41,09/13/19 04:00:00 午前,26.549,,,,,
42,09/13/19 05:00:00 午前,26.5,,,,,
43,09/13/19 06:00:00 午前,26.891,,,,,
44,09/13/19 07:00:00 午前,26.793,,,,,
45,09/13/19 08:00:00 午前,26.842,,,,,
46,09/13/19 09:00:00 午前,27.161,,,,,
47,09/13/19 10:00:00 午前,27.382,,,,,
48,09/13/19 11:00:00 午前,27.628,,,,,
49,09/13/19 12:00:00 午後,27.677,,,,,
50,09/13/19 01:00:00 午後,27.628,,,,,
51,09/13/19 02:00:00 午後,27.481,,,,,
52,09/13/19 03:00:00 午後,27.554,,,,,
53,09/13/19 04:00:00 午後,27.333,,,,,
54,09/13/19 05:00:00 午後,25.598,,,,,
55,09/13/19 06:00:00 午後,25.817,,,,,
56,09/13/19 07:00:00 午後,25.866,,,,,
57,09/13/19 08:00:00 午後,26.134,,,,,
58,09/13/19 09:00:00 午後,26.695,,,,,
59,09/13/19 10:00:00 午後,26.549,,,,,
60,09/13/19 11:00:00 午後,26.451,,,,,
61,09/14/19 12:00:00 午前,26.402,,,,,
62,09/14/19 01:00:00 午前,26.304,,,,,
63,09/14/19 02:00:00 午前,26.304,,,,,
64,09/14/19 03:00:00 午前,26.353,,,,,
65,09/14/19 04:00:00 午前,26.329,,,,,
66,09/14/19 05:00:00 午前,26.28,,,,,
67,09/14/19 06:00:00 午前,25.939,,,,,
68,09/14/19 07:00:00 午前,25.598,,,,,
69,09/14/19 08:00:00 午前,26.158,,,,,
70,09/14/19 09:00:00 午前,26.524,,,,,
71,09/14/19 10:00:00 午前,26.5,,,,,
72,09/14/19 11:00:00 午前,26.72,,,,,
73,09/14/19 12:00:00 午後,26.744,,,,,
74,09/14/19 01:00:00 午後,26.72,,,,,
75,09/14/19 02:00:00 午後,26.598,,,,,
76,09/14/19 03:00:00 午後,26.598,,,,,
77,09/14/19 04:00:00 午後,26.549,,,,,
78,09/14/19 05:00:00 午後,26.28,,,,,
79,09/14/19 06:00:00 午後,25.404,,,,,
80,09/14/19 07:00:00 午後,25.525,,,,,
81,09/14/19 08:00:00 午後,25.817,,,,,
82,09/14/19 09:00:00 午後,26.475,,,,,
83,09/14/19 10:00:00 午後,26.402,,,,,
84,09/14/19 11:00:00 午後,26.231,,,,,
85,09/15/19 12:00:00 午前,26.061,,,,,
86,09/15/19 01:00:00 午前,26.207,,,,,
87,09/15/19 02:00:00 午前,26.207,,,,,
88,09/15/19 03:00:00 午前,26.207,,,,,
89,09/15/19 04:00:00 午前,25.866,,,,,
90,09/15/19 05:00:00 午前,25.866,,,,,
91,09/15/19 06:00:00 午前,25.428,,,,,
92,09/15/19 07:00:00 午前,25.283,,,,,
93,09/15/19 08:00:00 午前,25.744,,,,,
94,09/15/19 09:00:00 午前,26.158,,,,,
95,09/15/19 10:00:00 午前,26.353,,,,,
96,09/15/19 11:00:00 午前,26.304,,,,,
97,09/15/19 12:00:00 午後,26.402,,,,,
98,09/15/19 01:00:00 午後,26.182,,,,,
99,09/15/19 02:00:00 午後,26.304,,,,,
100,09/15/19 03:00:00 午後,26.231,,,,,
101,09/15/19 04:00:00 午後,26.061,,,,,
102,09/15/19 05:00:00 午後,26.012,,,,,
103,09/15/19 06:00:00 午後,24.895,,,,,
104,09/15/19 07:00:00 午後,25.137,,,,,
105,09/15/19 08:00:00 午後,25.404,,,,,
106,09/15/19 09:00:00 午後,25.841,,,,,
107,09/15/19 10:00:00 午後,26.256,,,,,
108,09/15/19 11:00:00 午後,26.036,,,,,
109,09/16/19 12:00:00 午前,25.963,,,,,
110,09/16/19 01:00:00 午前,26.158,,,,,
111,09/16/19 02:00:00 午前,26.109,,,,,
112,09/16/19 03:00:00 午前,26.012,,,,,
113,09/16/19 04:00:00 午前,25.89,,,,,
114,09/16/19 05:00:00 午前,25.89,,,,,
115,09/16/19 06:00:00 午前,25.307,,,,,
116,09/16/19 07:00:00 午前,24.508,,,,,
117,09/16/19 08:00:00 午前,25.477,,,,,
118,09/16/19 09:00:00 午前,25.695,,,,,
119,09/16/19 10:00:00 午前,25.841,,,,,
120,09/16/19 11:00:00 午前,25.987,,,,,
121,09/16/19 12:00:00 午後,25.89,,,,,
122,09/16/19 01:00:00 午後,25.89,,,,,
123,09/16/19 02:00:00 午後,25.866,,,,,
124,09/16/19 03:00:00 午後,25.987,,,,,
125,09/16/19 04:00:00 午後,25.939,,,,,
126,09/16/19 05:00:00 午後,25.914,,,,,
127,09/16/19 06:00:00 午後,25.137,,,,,
128,09/16/19 07:00:00 午後,25.113,,,,,
129,09/16/19 08:00:00 午後,24.919,,,,,
130,09/16/19 09:00:00 午後,24.871,,,,,
131,09/16/19 10:00:00 午後,25.671,,,,,
132,09/16/19 11:00:00 午後,25.695,,,,,
133,09/17/19 12:00:00 午前,25.55,,,,,
134,09/17/19 01:00:00 午前,25.623,,,,,
135,09/17/19 02:00:00 午前,25.574,,,,,
136,09/17/19 03:00:00 午前,25.501,,,,,
137,09/17/19 04:00:00 午前,25.501,,,,,
138,09/17/19 05:00:00 午前,25.453,,,,,
139,09/17/19 06:00:00 午前,24.919,,,,,
140,09/17/19 07:00:00 午前,24.581,,,,,
141,09/17/19 08:00:00 午前,24.605,,,,,
142,09/17/19 09:00:00 午前,24.726,,,,,
143,09/17/19 10:00:00 午前,24.823,,,,,
144,09/17/19 11:00:00 午前,25.186,,,,,
145,09/17/19 12:00:00 午後,25.283,,,,,
146,09/17/19 01:00:00 午後,25.331,,,,,
147,09/17/19 02:00:00 午後,25.404,,,,,
148,09/17/19 03:00:00 午後,25.428,,,,,
149,09/17/19 04:00:00 午後,25.38,,,,,
150,09/17/19 05:00:00 午後,25.38,,,,,
151,09/17/19 06:00:00 午後,24.919,,,,,
152,09/17/19 07:00:00 午後,24.75,,,,,
153,09/17/19 08:00:00 午後,24.508,,,,,
154,09/17/19 09:00:00 午後,24.532,,,,,
155,09/17/19 10:00:00 午後,24.847,,,,,
156,09/17/19 11:00:00 午後,25.307,,,,,
157,09/18/19 12:00:00 午前,25.331,,,,,
158,09/18/19 01:00:00 午前,25.38,,,,,
159,09/18/19 02:00:00 午前,25.38,,,,,
160,09/18/19 03:00:00 午前,25.307,,,,,
161,09/18/19 04:00:00 午前,25.331,,,,,
162,09/18/19 05:00:00 午前,25.331,,,,,
163,09/18/19 06:00:00 午前,25.331,,,,,
164,09/18/19 07:00:00 午前,25.186,,,,,
165,09/18/19 08:00:00 午前,25.137,,,,,
166,09/18/19 09:00:00 午前,25.162,,,,,
167,09/18/19 10:00:00 午前,25.258,,,,,
168,09/18/19 11:00:00 午前,25.404,,,,,
169,09/18/19 12:00:00 午後,25.574,,,,,
170,09/18/19 01:00:00 午後,25.501,,,,,
171,09/18/19 02:00:00 午後,25.598,,,,,
172,09/18/19 03:00:00 午後,25.598,,,,,
173,09/18/19 04:00:00 午後,25.574,,,,,
174,09/18/19 05:00:00 午後,25.598,,,,,
175,09/18/19 06:00:00 午後,25.574,,,,,
176,09/18/19 07:00:00 午後,25.355,,,,,
177,09/18/19 08:00:00 午後,25.186,,,,,
178,09/18/19 09:00:00 午後,24.823,,,,,
179,09/18/19 10:00:00 午後,24.847,,,,,
180,09/18/19 11:00:00 午後,25.089,,,,,
181,09/19/19 12:00:00 午前,25.21,,,,,
182,09/19/19 01:00:00 午前,25.234,,,,,
183,09/19/19 02:00:00 午前,25.186,,,,,
184,09/19/19 03:00:00 午前,25.186,,,,,
185,09/19/19 04:00:00 午前,25.162,,,,,
186,09/19/19 05:00:00 午前,25.137,,,,,
187,09/19/19 06:00:00 午前,25.113,,,,,
188,09/19/19 07:00:00 午前,24.992,,,,,
189,09/19/19 08:00:00 午前,24.774,,,,,
190,09/19/19 09:00:00 午前,24.508,,,,,
191,09/19/19 10:00:00 午前,24.798,,,,,
192,09/19/19 11:00:00 午前,24.944,,,,,
193,09/19/19 12:00:00 午後,25.186,,,,,
194,09/19/19 01:00:00 午後,25.186,,,,,
195,09/19/19 02:00:00 午後,25.089,,,,,
196,09/19/19 03:00:00 午後,25.283,,,,,
197,09/19/19 04:00:00 午後,25.04,,,,,
198,09/19/19 05:00:00 午後,25.137,,,,,
199,09/19/19 06:00:00 午後,25.065,,,,,
200,09/19/19 07:00:00 午後,24.436,,,,,
201,09/19/19 08:00:00 午後,24.363,,,,,
202,09/19/19 09:00:00 午後,24.436,,,,,
203,09/19/19 10:00:00 午後,25.162,,,,,
204,09/19/19 11:00:00 午後,25.21,,,,,
205,09/20/19 12:00:00 午前,25.258,,,,,
206,09/20/19 01:00:00 午前,25.21,,,,,
207,09/20/19 02:00:00 午前,25.186,,,,,
208,09/20/19 03:00:00 午前,25.016,,,,,
209,09/20/19 04:00:00 午前,24.968,,,,,
210,09/20/19 05:00:00 午前,24.919,,,,,
211,09/20/19 06:00:00 午前,24.847,,,,,
212,09/20/19 07:00:00 午前,24.968,,,,,
213,09/20/19 08:00:00 午前,24.895,,,,,
214,09/20/19 09:00:00 午前,25.04,,,,,
215,09/20/19 10:00:00 午前,25.065,,,,,
216,09/20/19 11:00:00 午前,25.089,,,,,
217,09/20/19 12:00:00 午後,25.04,,,,,
218,09/20/19 01:00:00 午後,24.992,,,,,
219,09/20/19 02:00:00 午後,25.04,,,,,
220,09/20/19 03:00:00 午後,24.919,,,,,
221,09/20/19 04:00:00 午後,24.895,,,,,
222,09/20/19 05:00:00 午後,24.919,,,,,
223,09/20/19 06:00:00 午後,24.871,,,,,
224,09/20/19 07:00:00 午後,25.016,,,,,
225,09/20/19 08:00:00 午後,25.065,,,,,
226,09/20/19 09:00:00 午後,25.04,,,,,
227,09/20/19 10:00:00 午後,24.992,,,,,
228,09/20/19 11:00:00 午後,25.016,,,,,
229,09/21/19 12:00:00 午前,25.113,,,,,
230,09/21/19 01:00:00 午前,25.307,,,,,
231,09/21/19 02:00:00 午前,25.307,,,,,
232,09/21/19 03:00:00 午前,25.065,,,,,
233,09/21/19 04:00:00 午前,25.065,,,,,
234,09/21/19 05:00:00 午前,25.089,,,,,
235,09/21/19 06:00:00 午前,25.065,,,,,
236,09/21/19 07:00:00 午前,25.089,,,,,
237,09/21/19 08:00:00 午前,25.065,,,,,
238,09/21/19 09:00:00 午前,25.113,,,,,
239,09/21/19 10:00:00 午前,25.065,,,,,
240,09/21/19 11:00:00 午前,25.162,,,,,
241,09/21/19 12:00:00 午後,25.307,,,,,
242,09/21/19 01:00:00 午後,25.307,,,,,
243,09/21/19 02:00:00 午後,25.331,,,,,
244,09/21/19 03:00:00 午後,25.307,,,,,
245,09/21/19 04:00:00 午後,25.283,,,,,
246,09/21/19 05:00:00 午後,25.258,,,,,
247,09/21/19 06:00:00 午後,25.234,,,,,
248,09/21/19 07:00:00 午後,25.21,,,,,
249,09/21/19 08:00:00 午後,25.21,,,,,
250,09/21/19 09:00:00 午後,25.162,,,,,
251,09/21/19 10:00:00 午後,25.065,,,,,
252,09/21/19 11:00:00 午後,25.016,,,,,
253,09/22/19 12:00:00 午前,25.089,,,,,
254,09/22/19 01:00:00 午前,25.04,,,,,
255,09/22/19 02:00:00 午前,24.992,,,,,
256,09/22/19 03:00:00 午前,24.968,,,,,
257,09/22/19 04:00:00 午前,24.944,,,,,
258,09/22/19 05:00:00 午前,24.944,,,,,
259,09/22/19 06:00:00 午前,25.065,,,,,
260,09/22/19 07:00:00 午前,25.283,,,,,
261,09/22/19 08:00:00 午前,25.283,,,,,
262,09/22/19 09:00:00 午前,25.598,,,,,
263,09/22/19 10:00:00 午前,25.647,,,,,
264,09/22/19 11:00:00 午前,25.768,,,,,
265,09/22/19 12:00:00 午後,25.866,,,,,
266,09/22/19 01:00:00 午後,25.914,,,,,
267,09/22/19 02:00:00 午後,25.89,,,,,
268,09/22/19 03:00:00 午後,25.817,,,,,
269,09/22/19 04:00:00 午後,25.817,,,,,
270,09/22/19 05:00:00 午後,25.793,,,,,
271,09/22/19 06:00:00 午後,25.768,,,,,
272,09/22/19 07:00:00 午後,25.768,,,,,
273,09/22/19 08:00:00 午後,25.744,,,,,
274,09/22/19 09:00:00 午後,25.768,,,,,
275,09/22/19 10:00:00 午後,25.744,,,,,
276,09/22/19 11:00:00 午後,25.72,,,,,
277,09/23/19 12:00:00 午前,25.695,,,,,
278,09/23/19 01:00:00 午前,25.671,,,,,
279,09/23/19 02:00:00 午前,25.671,,,,,
280,09/23/19 03:00:00 午前,25.598,,,,,
281,09/23/19 04:00:00 午前,25.428,,,,,
282,09/23/19 05:00:00 午前,25.258,,,,,
283,09/23/19 06:00:00 午前,25.307,,,,,
284,09/23/19 07:00:00 午前,25.307,,,,,
285,09/23/19 08:00:00 午前,25.186,,,,,
286,09/23/19 09:00:00 午前,25.113,,,,,
287,09/23/19 10:00:00 午前,25.186,,,,,
288,09/23/19 11:00:00 午前,25.307,,,,,
289,09/23/19 12:00:00 午後,25.307,,,,,
290,09/23/19 01:00:00 午後,25.234,,,,,
291,09/23/19 02:00:00 午後,25.283,,,,,
292,09/23/19 03:00:00 午後,25.307,,,,,
293,09/23/19 04:00:00 午後,25.307,,,,,
294,09/23/19 05:00:00 午後,25.355,,,,,
295,09/23/19 06:00:00 午後,26.182,,,,,
296,09/23/19 07:00:00 午後,26.085,,,,,
297,09/23/19 08:00:00 午後,25.768,,,,,
