プロット タイトル: site21_spot011_2024,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20291294, SEN S/N: 20291294, LBL: ℃)",カプラー取り外し (LGR S/N: 20291294),カプラー取り付け (LGR S/N: 20291294),ホスト接続 (LGR S/N: 20291294),停止済み (LGR S/N: 20291294),ファイルの終わり (LGR S/N: 20291294)
81,12/25/23 07:00:00 午後,17.867,,,,,
82,12/25/23 08:00:00 午後,17.748,,,,,
83,12/25/23 09:00:00 午後,17.51,,,,,
84,12/25/23 10:00:00 午後,17.32,,,,,
85,12/25/23 11:00:00 午後,17.344,,,,,
86,12/26/23 12:00:00 午前,17.391,,,,,
87,12/26/23 01:00:00 午前,17.344,,,,,
88,12/26/23 02:00:00 午前,17.344,,,,,
89,12/26/23 03:00:00 午前,17.058,,,,,
90,12/26/23 04:00:00 午前,17.177,,,,,
91,12/26/23 05:00:00 午前,17.201,,,,,
92,12/26/23 06:00:00 午前,17.391,,,,,
93,12/26/23 07:00:00 午前,17.653,,,,,
94,12/26/23 08:00:00 午前,17.701,,,,,
95,12/26/23 09:00:00 午前,17.819,,,,,
96,12/26/23 10:00:00 午前,17.867,,,,,
97,12/26/23 11:00:00 午前,17.962,,,,,
98,12/26/23 12:00:00 午後,18.105,,,,,
99,12/26/23 01:00:00 午後,18.057,,,,,
100,12/26/23 02:00:00 午後,18.01,,,,,
101,12/26/23 03:00:00 午後,17.986,,,,,
102,12/26/23 04:00:00 午後,17.819,,,,,
103,12/26/23 05:00:00 午後,17.796,,,,,
104,12/26/23 06:00:00 午後,17.819,,,,,
105,12/26/23 07:00:00 午後,17.748,,,,,
106,12/26/23 08:00:00 午後,17.724,,,,,
107,12/26/23 09:00:00 午後,17.701,,,,,
108,12/26/23 10:00:00 午後,17.534,,,,,
109,12/26/23 11:00:00 午後,17.51,,,,,
110,12/27/23 12:00:00 午前,17.415,,,,,
111,12/27/23 01:00:00 午前,17.534,,,,,
112,12/27/23 02:00:00 午前,17.582,,,,,
113,12/27/23 03:00:00 午前,17.558,,,,,
114,12/27/23 04:00:00 午前,17.582,,,,,
115,12/27/23 05:00:00 午前,17.653,,,,,
116,12/27/23 06:00:00 午前,17.653,,,,,
117,12/27/23 07:00:00 午前,17.629,,,,,
118,12/27/23 08:00:00 午前,17.701,,,,,
119,12/27/23 09:00:00 午前,17.724,,,,,
120,12/27/23 10:00:00 午前,17.796,,,,,
121,12/27/23 11:00:00 午前,17.915,,,,,
122,12/27/23 12:00:00 午後,17.915,,,,,
123,12/27/23 01:00:00 午後,18.033,,,,,
124,12/27/23 02:00:00 午後,18.105,,,,,
125,12/27/23 03:00:00 午後,18.105,,,,,
126,12/27/23 04:00:00 午後,18.152,,,,,
127,12/27/23 05:00:00 午後,18.152,,,,,
128,12/27/23 06:00:00 午後,18.105,,,,,
129,12/27/23 07:00:00 午後,18.105,,,,,
130,12/27/23 08:00:00 午後,17.986,,,,,
131,12/27/23 09:00:00 午後,17.962,,,,,
132,12/27/23 10:00:00 午後,17.843,,,,,
133,12/27/23 11:00:00 午後,17.748,,,,,
134,12/28/23 12:00:00 午前,17.558,,,,,
135,12/28/23 01:00:00 午前,17.51,,,,,
136,12/28/23 02:00:00 午前,17.463,,,,,
137,12/28/23 03:00:00 午前,17.51,,,,,
138,12/28/23 04:00:00 午前,17.629,,,,,
139,12/28/23 05:00:00 午前,17.605,,,,,
140,12/28/23 06:00:00 午前,17.629,,,,,
141,12/28/23 07:00:00 午前,17.629,,,,,
142,12/28/23 08:00:00 午前,17.629,,,,,
143,12/28/23 09:00:00 午前,17.653,,,,,
144,12/28/23 10:00:00 午前,17.748,,,,,
145,12/28/23 11:00:00 午前,17.819,,,,,
146,12/28/23 12:00:00 午後,17.962,,,,,
147,12/28/23 01:00:00 午後,18.033,,,,,
148,12/28/23 02:00:00 午後,18.057,,,,,
149,12/28/23 03:00:00 午後,18.081,,,,,
150,12/28/23 04:00:00 午後,18.081,,,,,
151,12/28/23 05:00:00 午後,18.01,,,,,
152,12/28/23 06:00:00 午後,17.986,,,,,
153,12/28/23 07:00:00 午後,17.986,,,,,
154,12/28/23 08:00:00 午後,17.962,,,,,
155,12/28/23 09:00:00 午後,17.891,,,,,
156,12/28/23 10:00:00 午後,17.819,,,,,
157,12/28/23 11:00:00 午後,17.701,,,,,
158,12/29/23 12:00:00 午前,17.558,,,,,
159,12/29/23 01:00:00 午前,17.582,,,,,
160,12/29/23 02:00:00 午前,17.629,,,,,
161,12/29/23 03:00:00 午前,17.558,,,,,
162,12/29/23 04:00:00 午前,17.629,,,,,
163,12/29/23 05:00:00 午前,17.558,,,,,
164,12/29/23 06:00:00 午前,17.677,,,,,
165,12/29/23 07:00:00 午前,17.796,,,,,
166,12/29/23 08:00:00 午前,17.843,,,,,
167,12/29/23 09:00:00 午前,17.891,,,,,
168,12/29/23 10:00:00 午前,18.01,,,,,
169,12/29/23 11:00:00 午前,18.105,,,,,
170,12/29/23 12:00:00 午後,18.2,,,,,
171,12/29/23 01:00:00 午後,18.224,,,,,
172,12/29/23 02:00:00 午後,18.343,,,,,
173,12/29/23 03:00:00 午後,18.461,,,,,
174,12/29/23 04:00:00 午後,18.485,,,,,
175,12/29/23 05:00:00 午後,18.461,,,,,
176,12/29/23 06:00:00 午後,18.438,,,,,
177,12/29/23 07:00:00 午後,18.39,,,,,
178,12/29/23 08:00:00 午後,18.319,,,,,
179,12/29/23 09:00:00 午後,18.271,,,,,
180,12/29/23 10:00:00 午後,18.224,,,,,
181,12/29/23 11:00:00 午後,18.057,,,,,
182,12/30/23 12:00:00 午前,17.938,,,,,
183,12/30/23 01:00:00 午前,17.819,,,,,
184,12/30/23 02:00:00 午前,17.748,,,,,
185,12/30/23 03:00:00 午前,17.819,,,,,
186,12/30/23 04:00:00 午前,17.772,,,,,
187,12/30/23 05:00:00 午前,17.796,,,,,
188,12/30/23 06:00:00 午前,17.796,,,,,
189,12/30/23 07:00:00 午前,17.843,,,,,
190,12/30/23 08:00:00 午前,17.867,,,,,
191,12/30/23 09:00:00 午前,17.891,,,,,
192,12/30/23 10:00:00 午前,17.938,,,,,
193,12/30/23 11:00:00 午前,17.938,,,,,
194,12/30/23 12:00:00 午後,18.105,,,,,
195,12/30/23 01:00:00 午後,18.271,,,,,
196,12/30/23 02:00:00 午後,18.343,,,,,
197,12/30/23 03:00:00 午後,18.39,,,,,
198,12/30/23 04:00:00 午後,18.414,,,,,
199,12/30/23 05:00:00 午後,18.39,,,,,
200,12/30/23 06:00:00 午後,18.39,,,,,
201,12/30/23 07:00:00 午後,18.366,,,,,
202,12/30/23 08:00:00 午後,18.343,,,,,
203,12/30/23 09:00:00 午後,18.343,,,,,
204,12/30/23 10:00:00 午後,18.224,,,,,
205,12/30/23 11:00:00 午後,18.081,,,,,
206,12/31/23 12:00:00 午前,18.295,,,,,
207,12/31/23 01:00:00 午前,18.295,,,,,
208,12/31/23 02:00:00 午前,18.247,,,,,
209,12/31/23 03:00:00 午前,18.176,,,,,
210,12/31/23 04:00:00 午前,18.176,,,,,
211,12/31/23 05:00:00 午前,18.057,,,,,
212,12/31/23 06:00:00 午前,18.01,,,,,
213,12/31/23 07:00:00 午前,18.081,,,,,
214,12/31/23 08:00:00 午前,18.081,,,,,
215,12/31/23 09:00:00 午前,18.152,,,,,
216,12/31/23 10:00:00 午前,18.247,,,,,
217,12/31/23 11:00:00 午前,18.319,,,,,
218,12/31/23 12:00:00 午後,18.39,,,,,
219,12/31/23 01:00:00 午後,18.438,,,,,
220,12/31/23 02:00:00 午後,18.485,,,,,
221,12/31/23 03:00:00 午後,18.485,,,,,
222,12/31/23 04:00:00 午後,18.485,,,,,
223,12/31/23 05:00:00 午後,18.533,,,,,
224,12/31/23 06:00:00 午後,18.533,,,,,
225,12/31/23 07:00:00 午後,18.39,,,,,
226,12/31/23 08:00:00 午後,18.247,,,,,
227,12/31/23 09:00:00 午後,18.247,,,,,
228,12/31/23 10:00:00 午後,17.819,,,,,
229,12/31/23 11:00:00 午後,17.724,,,,,
230,01/01/24 12:00:00 午前,17.677,,,,,
231,01/01/24 01:00:00 午前,17.629,,,,,
232,01/01/24 02:00:00 午前,17.629,,,,,
233,01/01/24 03:00:00 午前,17.51,,,,,
234,01/01/24 04:00:00 午前,17.463,,,,,
235,01/01/24 05:00:00 午前,17.439,,,,,
236,01/01/24 06:00:00 午前,17.534,,,,,
237,01/01/24 07:00:00 午前,17.463,,,,,
238,01/01/24 08:00:00 午前,17.391,,,,,
239,01/01/24 09:00:00 午前,17.439,,,,,
240,01/01/24 10:00:00 午前,17.51,,,,,
241,01/01/24 11:00:00 午前,17.582,,,,,
242,01/01/24 12:00:00 午後,17.724,,,,,
243,01/01/24 01:00:00 午後,17.748,,,,,
244,01/01/24 02:00:00 午後,18.01,,,,,
245,01/01/24 03:00:00 午後,17.938,,,,,
246,01/01/24 04:00:00 午後,17.938,,,,,
247,01/01/24 05:00:00 午後,18.033,,,,,
248,01/01/24 06:00:00 午後,18.01,,,,,
249,01/01/24 07:00:00 午後,17.915,,,,,
250,01/01/24 08:00:00 午後,17.891,,,,,
251,01/01/24 09:00:00 午後,17.867,,,,,
252,01/01/24 10:00:00 午後,17.748,,,,,
253,01/01/24 11:00:00 午後,17.558,,,,,
