プロット タイトル: site21_spot011_2024,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20291294, SEN S/N: 20291294, LBL: ℃)",カプラー取り外し (LGR S/N: 20291294),カプラー取り付け (LGR S/N: 20291294),ホスト接続 (LGR S/N: 20291294),停止済み (LGR S/N: 20291294),ファイルの終わり (LGR S/N: 20291294)
1991,03/14/24 09:00:00 午前,17.296,,,,,
1992,03/14/24 10:00:00 午前,17.32,,,,,
1993,03/14/24 11:00:00 午前,17.391,,,,,
1994,03/14/24 12:00:00 午後,17.439,,,,,
1995,03/14/24 01:00:00 午後,17.344,,,,,
1996,03/14/24 02:00:00 午後,17.439,,,,,
1997,03/14/24 03:00:00 午後,17.439,,,,,
1998,03/14/24 04:00:00 午後,17.439,,,,,
1999,03/14/24 05:00:00 午後,17.391,,,,,
2000,03/14/24 06:00:00 午後,17.391,,,,,
2001,03/14/24 07:00:00 午後,17.344,,,,,
2002,03/14/24 08:00:00 午後,17.368,,,,,
2003,03/14/24 09:00:00 午後,17.32,,,,,
2004,03/14/24 10:00:00 午後,17.296,,,,,
2005,03/14/24 11:00:00 午後,17.272,,,,,
2006,03/15/24 12:00:00 午前,17.249,,,,,
2007,03/15/24 01:00:00 午前,17.225,,,,,
2008,03/15/24 02:00:00 午前,17.201,,,,,
2009,03/15/24 03:00:00 午前,16.844,,,,,
2010,03/15/24 04:00:00 午前,16.606,,,,,
2011,03/15/24 05:00:00 午前,16.677,,,,,
2012,03/15/24 06:00:00 午前,16.63,,,,,
2013,03/15/24 07:00:00 午前,16.606,,,,,
2014,03/15/24 08:00:00 午前,16.725,,,,,
2015,03/15/24 09:00:00 午前,16.701,,,,,
2016,03/15/24 10:00:00 午前,16.796,,,,,
2017,03/15/24 11:00:00 午前,16.844,,,,,
2018,03/15/24 12:00:00 午後,16.987,,,,,
2019,03/15/24 01:00:00 午後,17.058,,,,,
2020,03/15/24 02:00:00 午後,17.106,,,,,
2021,03/15/24 03:00:00 午後,17.153,,,,,
2022,03/15/24 04:00:00 午後,17.106,,,,,
2023,03/15/24 05:00:00 午後,17.082,,,,,
2024,03/15/24 06:00:00 午後,17.058,,,,,
2025,03/15/24 07:00:00 午後,17.011,,,,,
2026,03/15/24 08:00:00 午後,17.034,,,,,
2027,03/15/24 09:00:00 午後,17.034,,,,,
2028,03/15/24 10:00:00 午後,16.963,,,,,
2029,03/15/24 11:00:00 午後,16.892,,,,,
2030,03/16/24 12:00:00 午前,16.844,,,,,
2031,03/16/24 01:00:00 午前,16.773,,,,,
2032,03/16/24 02:00:00 午前,16.701,,,,,
2033,03/16/24 03:00:00 午前,16.725,,,,,
2034,03/16/24 04:00:00 午前,16.749,,,,,
2035,03/16/24 05:00:00 午前,16.558,,,,,
2036,03/16/24 06:00:00 午前,16.534,,,,,
2037,03/16/24 07:00:00 午前,16.677,,,,,
2038,03/16/24 08:00:00 午前,16.677,,,,,
2039,03/16/24 09:00:00 午前,16.725,,,,,
2040,03/16/24 10:00:00 午前,16.725,,,,,
2041,03/16/24 11:00:00 午前,16.796,,,,,
2042,03/16/24 12:00:00 午後,16.915,,,,,
2043,03/16/24 01:00:00 午後,16.963,,,,,
2044,03/16/24 02:00:00 午後,17.058,,,,,
2045,03/16/24 03:00:00 午後,17.106,,,,,
2046,03/16/24 04:00:00 午後,17.13,,,,,
2047,03/16/24 05:00:00 午後,17.106,,,,,
2048,03/16/24 06:00:00 午後,17.034,,,,,
2049,03/16/24 07:00:00 午後,16.892,,,,,
2050,03/16/24 08:00:00 午後,16.963,,,,,
2051,03/16/24 09:00:00 午後,16.987,,,,,
2052,03/16/24 10:00:00 午後,16.963,,,,,
2053,03/16/24 11:00:00 午後,16.915,,,,,
2054,03/17/24 12:00:00 午前,16.915,,,,,
2055,03/17/24 01:00:00 午前,16.892,,,,,
2056,03/17/24 02:00:00 午前,16.82,,,,,
2057,03/17/24 03:00:00 午前,16.725,,,,,
2058,03/17/24 04:00:00 午前,16.701,,,,,
2059,03/17/24 05:00:00 午前,16.725,,,,,
2060,03/17/24 06:00:00 午前,16.677,,,,,
2061,03/17/24 07:00:00 午前,16.677,,,,,
2062,03/17/24 08:00:00 午前,16.725,,,,,
2063,03/17/24 09:00:00 午前,16.773,,,,,
2064,03/17/24 10:00:00 午前,16.868,,,,,
2065,03/17/24 11:00:00 午前,16.915,,,,,
2066,03/17/24 12:00:00 午後,16.915,,,,,
2067,03/17/24 01:00:00 午後,16.915,,,,,
2068,03/17/24 02:00:00 午後,16.939,,,,,
2069,03/17/24 03:00:00 午後,17.034,,,,,
2070,03/17/24 04:00:00 午後,16.987,,,,,
2071,03/17/24 05:00:00 午後,16.963,,,,,
2072,03/17/24 06:00:00 午後,16.963,,,,,
2073,03/17/24 07:00:00 午後,16.939,,,,,
2074,03/17/24 08:00:00 午後,16.915,,,,,
2075,03/17/24 09:00:00 午後,16.915,,,,,
2076,03/17/24 10:00:00 午後,16.915,,,,,
2077,03/17/24 11:00:00 午後,16.963,,,,,
2078,03/18/24 12:00:00 午前,16.892,,,,,
2079,03/18/24 01:00:00 午前,16.844,,,,,
2080,03/18/24 02:00:00 午前,16.796,,,,,
2081,03/18/24 03:00:00 午前,16.773,,,,,
2082,03/18/24 04:00:00 午前,16.749,,,,,
2083,03/18/24 05:00:00 午前,16.868,,,,,
2084,03/18/24 06:00:00 午前,16.796,,,,,
2085,03/18/24 07:00:00 午前,16.677,,,,,
2086,03/18/24 08:00:00 午前,16.582,,,,,
2087,03/18/24 09:00:00 午前,16.63,,,,,
2088,03/18/24 10:00:00 午前,16.63,,,,,
2089,03/18/24 11:00:00 午前,16.725,,,,,
2090,03/18/24 12:00:00 午後,16.82,,,,,
2091,03/18/24 01:00:00 午後,16.82,,,,,
2092,03/18/24 02:00:00 午後,16.963,,,,,
2093,03/18/24 03:00:00 午後,17.034,,,,,
2094,03/18/24 04:00:00 午後,17.011,,,,,
2095,03/18/24 05:00:00 午後,16.987,,,,,
2096,03/18/24 06:00:00 午後,16.963,,,,,
2097,03/18/24 07:00:00 午後,16.82,,,,,
2098,03/18/24 08:00:00 午後,16.892,,,,,
2099,03/18/24 09:00:00 午後,16.868,,,,,
2100,03/18/24 10:00:00 午後,16.844,,,,,
2101,03/18/24 11:00:00 午後,16.82,,,,,
2102,03/19/24 12:00:00 午前,16.796,,,,,
2103,03/19/24 01:00:00 午前,16.63,,,,,
2104,03/19/24 02:00:00 午前,16.558,,,,,
2105,03/19/24 03:00:00 午前,16.487,,,,,
2106,03/19/24 04:00:00 午前,16.392,,,,,
2107,03/19/24 05:00:00 午前,16.392,,,,,
2108,03/19/24 06:00:00 午前,16.392,,,,,
2109,03/19/24 07:00:00 午前,16.368,,,,,
2110,03/19/24 08:00:00 午前,16.249,,,,,
2111,03/19/24 09:00:00 午前,16.201,,,,,
2112,03/19/24 10:00:00 午前,16.344,,,,,
2113,03/19/24 11:00:00 午前,16.344,,,,,
2114,03/19/24 12:00:00 午後,16.487,,,,,
2115,03/19/24 01:00:00 午後,16.796,,,,,
2116,03/19/24 02:00:00 午後,17.082,,,,,
2117,03/19/24 03:00:00 午後,17.13,,,,,
2118,03/19/24 04:00:00 午後,17.106,,,,,
2119,03/19/24 05:00:00 午後,17.249,,,,,
2120,03/19/24 06:00:00 午後,17.272,,,,,
2121,03/19/24 07:00:00 午後,17.249,,,,,
2122,03/19/24 08:00:00 午後,16.892,,,,,
2123,03/19/24 09:00:00 午後,17.106,,,,,
2124,03/19/24 10:00:00 午後,17.011,,,,,
2125,03/19/24 11:00:00 午後,16.915,,,,,
2126,03/20/24 12:00:00 午前,16.82,,,,,
2127,03/20/24 01:00:00 午前,16.915,,,,,
2128,03/20/24 02:00:00 午前,16.987,,,,,
2129,03/20/24 03:00:00 午前,17.13,,,,,
2130,03/20/24 04:00:00 午前,17.058,,,,,
2131,03/20/24 05:00:00 午前,16.987,,,,,
2132,03/20/24 06:00:00 午前,17.011,,,,,
2133,03/20/24 07:00:00 午前,16.844,,,,,
2134,03/20/24 08:00:00 午前,16.82,,,,,
2135,03/20/24 09:00:00 午前,16.963,,,,,
2136,03/20/24 10:00:00 午前,17.106,,,,,
2137,03/20/24 11:00:00 午前,17.201,,,,,
2138,03/20/24 12:00:00 午後,17.368,,,,,
2139,03/20/24 01:00:00 午後,17.368,,,,,
2140,03/20/24 02:00:00 午後,17.344,,,,,
2141,03/20/24 03:00:00 午後,17.439,,,,,
2142,03/20/24 04:00:00 午後,17.463,,,,,
2143,03/20/24 05:00:00 午後,17.486,,,,,
2144,03/20/24 06:00:00 午後,17.391,,,,,
2145,03/20/24 07:00:00 午後,17.249,,,,,
2146,03/20/24 08:00:00 午後,17.058,,,,,
2147,03/20/24 09:00:00 午後,16.892,,,,,
2148,03/20/24 10:00:00 午後,16.677,,,,,
2149,03/20/24 11:00:00 午後,16.868,,,,,
2150,03/21/24 12:00:00 午前,16.82,,,,,
2151,03/21/24 01:00:00 午前,16.701,,,,,
2152,03/21/24 02:00:00 午前,16.82,,,,,
2153,03/21/24 03:00:00 午前,16.963,,,,,
2154,03/21/24 04:00:00 午前,17.011,,,,,
2155,03/21/24 05:00:00 午前,17.011,,,,,
2156,03/21/24 06:00:00 午前,17.011,,,,,
2157,03/21/24 07:00:00 午前,16.892,,,,,
2158,03/21/24 08:00:00 午前,16.868,,,,,
2159,03/21/24 09:00:00 午前,16.82,,,,,
2160,03/21/24 10:00:00 午前,16.82,,,,,
2161,03/21/24 11:00:00 午前,16.915,,,,,
2162,03/21/24 12:00:00 午後,17.034,,,,,
2163,03/21/24 01:00:00 午後,17.011,,,,,
2164,03/21/24 02:00:00 午後,17.082,,,,,
2165,03/21/24 03:00:00 午後,17.058,,,,,
2166,03/21/24 04:00:00 午後,17.106,,,,,
2167,03/21/24 05:00:00 午後,17.106,,,,,
2168,03/21/24 06:00:00 午後,17.058,,,,,
2169,03/21/24 07:00:00 午後,16.987,,,,,
2170,03/21/24 08:00:00 午後,16.892,,,,,
2171,03/21/24 09:00:00 午後,16.844,,,,,
2172,03/21/24 10:00:00 午後,16.796,,,,,
2173,03/21/24 11:00:00 午後,16.749,,,,,
2174,03/22/24 12:00:00 午前,16.63,,,,,
2175,03/22/24 01:00:00 午前,16.677,,,,,
2176,03/22/24 02:00:00 午前,16.606,,,,,
2177,03/22/24 03:00:00 午前,16.582,,,,,
2178,03/22/24 04:00:00 午前,16.511,,,,,
2179,03/22/24 05:00:00 午前,16.534,,,,,
2180,03/22/24 06:00:00 午前,16.487,,,,,
2181,03/22/24 07:00:00 午前,16.439,,,,,
2182,03/22/24 08:00:00 午前,16.439,,,,,
2183,03/22/24 09:00:00 午前,16.487,,,,,
2184,03/22/24 10:00:00 午前,16.534,,,,,
2185,03/22/24 11:00:00 午前,16.606,,,,,
2186,03/22/24 12:00:00 午後,16.677,,,,,
2187,03/22/24 01:00:00 午後,16.844,,,,,
2188,03/22/24 02:00:00 午後,16.939,,,,,
2189,03/22/24 03:00:00 午後,16.987,,,,,
2190,03/22/24 04:00:00 午後,16.892,,,,,
2191,03/22/24 05:00:00 午後,16.963,,,,,
2192,03/22/24 06:00:00 午後,16.987,,,,,
2193,03/22/24 07:00:00 午後,16.963,,,,,
2194,03/22/24 08:00:00 午後,16.915,,,,,
2195,03/22/24 09:00:00 午後,16.796,,,,,
2196,03/22/24 10:00:00 午後,16.725,,,,,
2197,03/22/24 11:00:00 午後,16.606,,,,,
2198,03/23/24 12:00:00 午前,16.534,,,,,
2199,03/23/24 01:00:00 午前,16.487,,,,,
2200,03/23/24 02:00:00 午前,16.439,,,,,
2201,03/23/24 03:00:00 午前,16.392,,,,,
2202,03/23/24 04:00:00 午前,16.368,,,,,
2203,03/23/24 05:00:00 午前,16.344,,,,,
2204,03/23/24 06:00:00 午前,16.368,,,,,
2205,03/23/24 07:00:00 午前,16.296,,,,,
2206,03/23/24 08:00:00 午前,16.272,,,,,
2207,03/23/24 09:00:00 午前,16.106,,,,,
2208,03/23/24 10:00:00 午前,16.058,,,,,
2209,03/23/24 11:00:00 午前,16.106,,,,,
2210,03/23/24 12:00:00 午後,16.249,,,,,
2211,03/23/24 01:00:00 午後,16.296,,,,,
2212,03/23/24 02:00:00 午後,16.344,,,,,
2213,03/23/24 03:00:00 午後,16.392,,,,,
2214,03/23/24 04:00:00 午後,16.392,,,,,
2215,03/23/24 05:00:00 午後,16.415,,,,,
2216,03/23/24 06:00:00 午後,16.392,,,,,
2217,03/23/24 07:00:00 午後,16.392,,,,,
2218,03/23/24 08:00:00 午後,16.392,,,,,
2219,03/23/24 09:00:00 午後,16.392,,,,,
2220,03/23/24 10:00:00 午後,16.392,,,,,
2221,03/23/24 11:00:00 午後,16.392,,,,,
2222,03/24/24 12:00:00 午前,16.368,,,,,
2223,03/24/24 01:00:00 午前,16.368,,,,,
2224,03/24/24 02:00:00 午前,16.344,,,,,
2225,03/24/24 03:00:00 午前,16.344,,,,,
2226,03/24/24 04:00:00 午前,16.32,,,,,
2227,03/24/24 05:00:00 午前,16.296,,,,,
2228,03/24/24 06:00:00 午前,16.272,,,,,
2229,03/24/24 07:00:00 午前,16.249,,,,,
2230,03/24/24 08:00:00 午前,16.201,,,,,
2231,03/24/24 09:00:00 午前,16.201,,,,,
2232,03/24/24 10:00:00 午前,16.225,,,,,
2233,03/24/24 11:00:00 午前,16.201,,,,,
2234,03/24/24 12:00:00 午後,16.225,,,,,
2235,03/24/24 01:00:00 午後,16.201,,,,,
2236,03/24/24 02:00:00 午後,16.249,,,,,
2237,03/24/24 03:00:00 午後,16.272,,,,,
2238,03/24/24 04:00:00 午後,16.344,,,,,
2239,03/24/24 05:00:00 午後,16.344,,,,,
2240,03/24/24 06:00:00 午後,16.344,,,,,
2241,03/24/24 07:00:00 午後,16.32,,,,,
2242,03/24/24 08:00:00 午後,16.296,,,,,
2243,03/24/24 09:00:00 午後,16.249,,,,,
2244,03/24/24 10:00:00 午後,16.225,,,,,
2245,03/24/24 11:00:00 午後,16.201,,,,,
2246,03/25/24 12:00:00 午前,16.129,,,,,
2247,03/25/24 01:00:00 午前,16.129,,,,,
2248,03/25/24 02:00:00 午前,16.153,,,,,
2249,03/25/24 03:00:00 午前,16.153,,,,,
2250,03/25/24 04:00:00 午前,16.177,,,,,
2251,03/25/24 05:00:00 午前,16.201,,,,,
2252,03/25/24 06:00:00 午前,16.177,,,,,
2253,03/25/24 07:00:00 午前,16.177,,,,,
2254,03/25/24 08:00:00 午前,16.201,,,,,
2255,03/25/24 09:00:00 午前,16.225,,,,,
2256,03/25/24 10:00:00 午前,16.249,,,,,
2257,03/25/24 11:00:00 午前,16.296,,,,,
2258,03/25/24 12:00:00 午後,16.344,,,,,
2259,03/25/24 01:00:00 午後,16.368,,,,,
2260,03/25/24 02:00:00 午後,16.368,,,,,
2261,03/25/24 03:00:00 午後,16.368,,,,,
2262,03/25/24 04:00:00 午後,16.368,,,,,
2263,03/25/24 05:00:00 午後,16.344,,,,,
2264,03/25/24 06:00:00 午後,16.32,,,,,
2265,03/25/24 07:00:00 午後,16.32,,,,,
2266,03/25/24 08:00:00 午後,16.296,,,,,
2267,03/25/24 09:00:00 午後,16.296,,,,,
2268,03/25/24 10:00:00 午後,16.296,,,,,
2269,03/25/24 11:00:00 午後,16.296,,,,,
2270,03/26/24 12:00:00 午前,16.272,,,,,
2271,03/26/24 01:00:00 午前,16.249,,,,,
2272,03/26/24 02:00:00 午前,16.272,,,,,
2273,03/26/24 03:00:00 午前,16.249,,,,,
2274,03/26/24 04:00:00 午前,16.249,,,,,
2275,03/26/24 05:00:00 午前,16.225,,,,,
2276,03/26/24 06:00:00 午前,16.201,,,,,
2277,03/26/24 07:00:00 午前,16.201,,,,,
2278,03/26/24 08:00:00 午前,16.225,,,,,
2279,03/26/24 09:00:00 午前,16.201,,,,,
2280,03/26/24 10:00:00 午前,16.201,,,,,
2281,03/26/24 11:00:00 午前,16.201,,,,,
2282,03/26/24 12:00:00 午後,16.225,,,,,
2283,03/26/24 01:00:00 午後,16.296,,,,,
2284,03/26/24 02:00:00 午後,16.392,,,,,
2285,03/26/24 03:00:00 午後,16.463,,,,,
2286,03/26/24 04:00:00 午後,16.392,,,,,
2287,03/26/24 05:00:00 午後,16.32,,,,,
2288,03/26/24 06:00:00 午後,16.249,,,,,
2289,03/26/24 07:00:00 午後,16.249,,,,,
2290,03/26/24 08:00:00 午後,16.201,,,,,
2291,03/26/24 09:00:00 午後,16.106,,,,,
2292,03/26/24 10:00:00 午後,16.106,,,,,
2293,03/26/24 11:00:00 午後,16.106,,,,,
2294,03/27/24 12:00:00 午前,16.106,,,,,
2295,03/27/24 01:00:00 午前,16.129,,,,,
2296,03/27/24 02:00:00 午前,16.153,,,,,
2297,03/27/24 03:00:00 午前,15.772,,,,,
2298,03/27/24 04:00:00 午前,15.796,,,,,
2299,03/27/24 05:00:00 午前,15.891,,,,,
2300,03/27/24 06:00:00 午前,16.082,,,,,
2301,03/27/24 07:00:00 午前,16.106,,,,,
2302,03/27/24 08:00:00 午前,16.153,,,,,
2303,03/27/24 09:00:00 午前,16.201,,,,,
2304,03/27/24 10:00:00 午前,16.249,,,,,
2305,03/27/24 11:00:00 午前,16.344,,,,,
2306,03/27/24 12:00:00 午後,16.439,,,,,
2307,03/27/24 01:00:00 午後,16.534,,,,,
2308,03/27/24 02:00:00 午後,16.796,,,,,
2309,03/27/24 03:00:00 午後,16.939,,,,,
2310,03/27/24 04:00:00 午後,16.892,,,,,
2311,03/27/24 05:00:00 午後,16.701,,,,,
2312,03/27/24 06:00:00 午後,16.582,,,,,
2313,03/27/24 07:00:00 午後,16.582,,,,,
2314,03/27/24 08:00:00 午後,16.606,,,,,
2315,03/27/24 09:00:00 午後,16.606,,,,,
2316,03/27/24 10:00:00 午後,16.511,,,,,
2317,03/27/24 11:00:00 午後,16.534,,,,,
2318,03/28/24 12:00:00 午前,16.534,,,,,
2319,03/28/24 01:00:00 午前,16.487,,,,,
2320,03/28/24 02:00:00 午前,16.487,,,,,
2321,03/28/24 03:00:00 午前,16.463,,,,,
2322,03/28/24 04:00:00 午前,16.463,,,,,
2323,03/28/24 05:00:00 午前,16.463,,,,,
2324,03/28/24 06:00:00 午前,16.439,,,,,
2325,03/28/24 07:00:00 午前,16.463,,,,,
2326,03/28/24 08:00:00 午前,16.463,,,,,
2327,03/28/24 09:00:00 午前,16.463,,,,,
2328,03/28/24 10:00:00 午前,16.463,,,,,
2329,03/28/24 11:00:00 午前,16.439,,,,,
2330,03/28/24 12:00:00 午後,16.463,,,,,
2331,03/28/24 01:00:00 午後,16.463,,,,,
2332,03/28/24 02:00:00 午後,16.463,,,,,
2333,03/28/24 03:00:00 午後,16.487,,,,,
2334,03/28/24 04:00:00 午後,16.487,,,,,
2335,03/28/24 05:00:00 午後,16.487,,,,,
2336,03/28/24 06:00:00 午後,16.487,,,,,
2337,03/28/24 07:00:00 午後,16.463,,,,,
2338,03/28/24 08:00:00 午後,16.463,,,,,
2339,03/28/24 09:00:00 午後,16.487,,,,,
2340,03/28/24 10:00:00 午後,16.463,,,,,
2341,03/28/24 11:00:00 午後,16.415,,,,,
2342,03/29/24 12:00:00 午前,16.392,,,,,
2343,03/29/24 01:00:00 午前,16.368,,,,,
2344,03/29/24 02:00:00 午前,16.368,,,,,
2345,03/29/24 03:00:00 午前,16.368,,,,,
2346,03/29/24 04:00:00 午前,16.439,,,,,
2347,03/29/24 05:00:00 午前,16.487,,,,,
2348,03/29/24 06:00:00 午前,16.487,,,,,
2349,03/29/24 07:00:00 午前,16.487,,,,,
2350,03/29/24 08:00:00 午前,16.511,,,,,
2351,03/29/24 09:00:00 午前,16.534,,,,,
2352,03/29/24 10:00:00 午前,16.534,,,,,
2353,03/29/24 11:00:00 午前,16.582,,,,,
2354,03/29/24 12:00:00 午後,16.725,,,,,
2355,03/29/24 01:00:00 午後,16.796,,,,,
2356,03/29/24 02:00:00 午後,16.868,,,,,
2357,03/29/24 03:00:00 午後,16.868,,,,,
2358,03/29/24 04:00:00 午後,16.844,,,,,
2359,03/29/24 05:00:00 午後,16.773,,,,,
2360,03/29/24 06:00:00 午後,16.701,,,,,
2361,03/29/24 07:00:00 午後,16.63,,,,,
2362,03/29/24 08:00:00 午後,16.582,,,,,
2363,03/29/24 09:00:00 午後,16.511,,,,,
2364,03/29/24 10:00:00 午後,16.487,,,,,
2365,03/29/24 11:00:00 午後,16.463,,,,,
2366,03/30/24 12:00:00 午前,16.463,,,,,
2367,03/30/24 01:00:00 午前,16.439,,,,,
2368,03/30/24 02:00:00 午前,16.439,,,,,
2369,03/30/24 03:00:00 午前,16.439,,,,,
2370,03/30/24 04:00:00 午前,16.463,,,,,
2371,03/30/24 05:00:00 午前,16.439,,,,,
2372,03/30/24 06:00:00 午前,16.439,,,,,
2373,03/30/24 07:00:00 午前,16.463,,,,,
2374,03/30/24 08:00:00 午前,16.463,,,,,
2375,03/30/24 09:00:00 午前,16.534,,,,,
2376,03/30/24 10:00:00 午前,16.654,,,,,
2377,03/30/24 11:00:00 午前,16.701,,,,,
2378,03/30/24 12:00:00 午後,16.868,,,,,
2379,03/30/24 01:00:00 午後,17.011,,,,,
2380,03/30/24 02:00:00 午後,17.13,,,,,
2381,03/30/24 03:00:00 午後,17.13,,,,,
2382,03/30/24 04:00:00 午後,17.082,,,,,
2383,03/30/24 05:00:00 午後,17.058,,,,,
2384,03/30/24 06:00:00 午後,16.963,,,,,
2385,03/30/24 07:00:00 午後,16.915,,,,,
2386,03/30/24 08:00:00 午後,16.892,,,,,
2387,03/30/24 09:00:00 午後,17.034,,,,,
2388,03/30/24 10:00:00 午後,17.034,,,,,
2389,03/30/24 11:00:00 午後,17.034,,,,,
2390,03/31/24 12:00:00 午前,17.011,,,,,
2391,03/31/24 01:00:00 午前,16.963,,,,,
2392,03/31/24 02:00:00 午前,16.939,,,,,
2393,03/31/24 03:00:00 午前,16.915,,,,,
2394,03/31/24 04:00:00 午前,16.915,,,,,
2395,03/31/24 05:00:00 午前,16.892,,,,,
2396,03/31/24 06:00:00 午前,16.868,,,,,
2397,03/31/24 07:00:00 午前,16.868,,,,,
2398,03/31/24 08:00:00 午前,16.868,,,,,
2399,03/31/24 09:00:00 午前,16.844,,,,,
2400,03/31/24 10:00:00 午前,16.963,,,,,
2401,03/31/24 11:00:00 午前,17.153,,,,,
2402,03/31/24 12:00:00 午後,17.153,,,,,
2403,03/31/24 01:00:00 午後,17.249,,,,,
2404,03/31/24 02:00:00 午後,17.439,,,,,
2405,03/31/24 03:00:00 午後,17.629,,,,,
2406,03/31/24 04:00:00 午後,17.605,,,,,
2407,03/31/24 05:00:00 午後,17.724,,,,,
2408,03/31/24 06:00:00 午後,17.724,,,,,
2409,03/31/24 07:00:00 午後,17.582,,,,,
2410,03/31/24 08:00:00 午後,17.582,,,,,
2411,03/31/24 09:00:00 午後,17.605,,,,,
2412,03/31/24 10:00:00 午後,17.51,,,,,
2413,03/31/24 11:00:00 午後,17.344,,,,,
2414,04/01/24 12:00:00 午前,16.892,,,,,
2415,04/01/24 01:00:00 午前,16.725,,,,,
2416,04/01/24 02:00:00 午前,16.725,,,,,
2417,04/01/24 03:00:00 午前,16.773,,,,,
2418,04/01/24 04:00:00 午前,16.844,,,,,
2419,04/01/24 05:00:00 午前,16.939,,,,,
2420,04/01/24 06:00:00 午前,16.987,,,,,
2421,04/01/24 07:00:00 午前,16.939,,,,,
2422,04/01/24 08:00:00 午前,16.773,,,,,
2423,04/01/24 09:00:00 午前,16.701,,,,,
2424,04/01/24 10:00:00 午前,16.725,,,,,
2425,04/01/24 11:00:00 午前,16.725,,,,,
2426,04/01/24 12:00:00 午後,16.844,,,,,
2427,04/01/24 01:00:00 午後,17.034,,,,,
2428,04/01/24 02:00:00 午後,17.011,,,,,
2429,04/01/24 03:00:00 午後,17.011,,,,,
2430,04/01/24 04:00:00 午後,16.987,,,,,
2431,04/01/24 05:00:00 午後,17.034,,,,,
2432,04/01/24 06:00:00 午後,17.034,,,,,
2433,04/01/24 07:00:00 午後,17.058,,,,,
2434,04/01/24 08:00:00 午後,17.082,,,,,
2435,04/01/24 09:00:00 午後,17.106,,,,,
2436,04/01/24 10:00:00 午後,17.034,,,,,
2437,04/01/24 11:00:00 午後,17.034,,,,,
2438,04/02/24 12:00:00 午前,17.034,,,,,
2439,04/02/24 01:00:00 午前,17.011,,,,,
2440,04/02/24 02:00:00 午前,17.058,,,,,
2441,04/02/24 03:00:00 午前,17.011,,,,,
2442,04/02/24 04:00:00 午前,16.844,,,,,
2443,04/02/24 05:00:00 午前,16.749,,,,,
2444,04/02/24 06:00:00 午前,16.796,,,,,
2445,04/02/24 07:00:00 午前,16.868,,,,,
2446,04/02/24 08:00:00 午前,16.915,,,,,
2447,04/02/24 09:00:00 午前,16.915,,,,,
2448,04/02/24 10:00:00 午前,16.963,,,,,
2449,04/02/24 11:00:00 午前,16.987,,,,,
2450,04/02/24 12:00:00 午後,17.034,,,,,
2451,04/02/24 01:00:00 午後,17.034,,,,,
2452,04/02/24 02:00:00 午後,17.058,,,,,
2453,04/02/24 03:00:00 午後,17.058,,,,,
2454,04/02/24 04:00:00 午後,17.011,,,,,
2455,04/02/24 05:00:00 午後,16.963,,,,,
2456,04/02/24 06:00:00 午後,16.868,,,,,
2457,04/02/24 07:00:00 午後,16.796,,,,,
2458,04/02/24 08:00:00 午後,16.773,,,,,
2459,04/02/24 09:00:00 午後,16.749,,,,,
2460,04/02/24 10:00:00 午後,16.844,,,,,
2461,04/02/24 11:00:00 午後,16.987,,,,,
2462,04/03/24 12:00:00 午前,16.987,,,,,
2463,04/03/24 01:00:00 午前,16.963,,,,,
2464,04/03/24 02:00:00 午前,16.915,,,,,
2465,04/03/24 03:00:00 午前,16.963,,,,,
2466,04/03/24 04:00:00 午前,17.011,,,,,
2467,04/03/24 05:00:00 午前,17.058,,,,,
2468,04/03/24 06:00:00 午前,17.034,,,,,
2469,04/03/24 07:00:00 午前,17.034,,,,,
2470,04/03/24 08:00:00 午前,17.058,,,,,
2471,04/03/24 09:00:00 午前,16.987,,,,,
2472,04/03/24 10:00:00 午前,16.892,,,,,
2473,04/03/24 11:00:00 午前,16.892,,,,,
2474,04/03/24 12:00:00 午後,16.915,,,,,
2475,04/03/24 01:00:00 午後,16.892,,,,,
2476,04/03/24 02:00:00 午後,16.868,,,,,
2477,04/03/24 03:00:00 午後,16.82,,,,,
2478,04/03/24 04:00:00 午後,16.82,,,,,
2479,04/03/24 05:00:00 午後,16.82,,,,,
2480,04/03/24 06:00:00 午後,16.82,,,,,
2481,04/03/24 07:00:00 午後,16.796,,,,,
2482,04/03/24 08:00:00 午後,16.773,,,,,
2483,04/03/24 09:00:00 午後,16.749,,,,,
2484,04/03/24 10:00:00 午後,16.749,,,,,
2485,04/03/24 11:00:00 午後,16.773,,,,,
2486,04/04/24 12:00:00 午前,16.796,,,,,
2487,04/04/24 01:00:00 午前,16.82,,,,,
2488,04/04/24 02:00:00 午前,16.82,,,,,
2489,04/04/24 03:00:00 午前,16.796,,,,,
2490,04/04/24 04:00:00 午前,16.773,,,,,
2491,04/04/24 05:00:00 午前,16.773,,,,,
2492,04/04/24 06:00:00 午前,16.749,,,,,
2493,04/04/24 07:00:00 午前,16.749,,,,,
2494,04/04/24 08:00:00 午前,16.773,,,,,
2495,04/04/24 09:00:00 午前,16.868,,,,,
2496,04/04/24 10:00:00 午前,16.915,,,,,
2497,04/04/24 11:00:00 午前,17.011,,,,,
2498,04/04/24 12:00:00 午後,17.106,,,,,
2499,04/04/24 01:00:00 午後,17.13,,,,,
2500,04/04/24 02:00:00 午後,17.177,,,,,
2501,04/04/24 03:00:00 午後,17.391,,,,,
