プロット タイトル: site14_spot077_2022,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21155726, SEN S/N: 21155726)",カプラー取り外し (LGR S/N: 21155726),カプラー取り付け (LGR S/N: 21155726),停止済み (LGR S/N: 21155726),ファイルの終わり (LGR S/N: 21155726)
1,11/01/21 08:00:00 午前,24.702,記録,,,
2,11/01/21 09:00:00 午前,27.259,,,,
3,11/01/21 10:00:00 午前,26.573,,,,
4,11/01/21 11:00:00 午前,26.891,,,,
5,11/01/21 12:00:00 午後,27.112,,,,
6,11/01/21 01:00:00 午後,27.358,,,,
7,11/01/21 02:00:00 午後,26.304,,,,
8,11/01/21 03:00:00 午後,25.939,,,,
9,11/01/21 04:00:00 午後,25.355,,,,
10,11/01/21 05:00:00 午後,25.671,,,,
11,11/01/21 06:00:00 午後,25.89,,,,
12,11/01/21 07:00:00 午後,25.89,,,,
13,11/01/21 08:00:00 午後,25.793,,,,
14,11/01/21 09:00:00 午後,26.109,,,,
15,11/01/21 10:00:00 午後,25.574,,,,
16,11/01/21 11:00:00 午後,26.085,,,,
17,11/02/21 12:00:00 午前,26.231,,,,
18,11/02/21 01:00:00 午前,25.914,,,,
19,11/02/21 02:00:00 午前,26.158,,,,
20,11/02/21 03:00:00 午前,26.207,,,,
21,11/02/21 04:00:00 午前,26.207,,,,
22,11/02/21 05:00:00 午前,26.207,,,,
23,11/02/21 06:00:00 午前,26.207,,,,
24,11/02/21 07:00:00 午前,24.171,,,,
25,11/02/21 08:00:00 午前,25.065,,,,
26,11/02/21 09:00:00 午前,26.012,,,,
27,11/02/21 10:00:00 午前,27.628,,,,
28,11/02/21 11:00:00 午前,28.941,,,,
29,11/02/21 12:00:00 午後,26.231,,,,
30,11/02/21 01:00:00 午後,25.939,,,,
31,11/02/21 02:00:00 午後,26.036,,,,
32,11/02/21 03:00:00 午後,25.817,,,,
33,11/02/21 04:00:00 午後,26.036,,,,
34,11/02/21 05:00:00 午後,25.866,,,,
35,11/02/21 06:00:00 午後,26.28,,,,
36,11/02/21 07:00:00 午後,25.841,,,,
37,11/02/21 08:00:00 午後,26.182,,,,
38,11/02/21 09:00:00 午後,26.304,,,,
39,11/02/21 10:00:00 午後,26.329,,,,
40,11/02/21 11:00:00 午後,26.304,,,,
41,11/03/21 12:00:00 午前,26.304,,,,
42,11/03/21 01:00:00 午前,26.304,,,,
43,11/03/21 02:00:00 午前,26.28,,,,
44,11/03/21 03:00:00 午前,26.28,,,,
45,11/03/21 04:00:00 午前,26.28,,,,
46,11/03/21 05:00:00 午前,26.256,,,,
47,11/03/21 06:00:00 午前,26.256,,,,
48,11/03/21 07:00:00 午前,24.46,,,,
49,11/03/21 08:00:00 午前,26.549,,,,
50,11/03/21 09:00:00 午前,26.744,,,,
51,11/03/21 10:00:00 午前,26.695,,,,
52,11/03/21 11:00:00 午前,26.744,,,,
53,11/03/21 12:00:00 午後,26.867,,,,
54,11/03/21 01:00:00 午後,26.891,,,,
55,11/03/21 02:00:00 午後,26.891,,,,
56,11/03/21 03:00:00 午後,26.818,,,,
57,11/03/21 04:00:00 午後,26.965,,,,
58,11/03/21 05:00:00 午後,26.965,,,,
59,11/03/21 06:00:00 午後,26.867,,,,
60,11/03/21 07:00:00 午後,26.818,,,,
61,11/03/21 08:00:00 午後,26.695,,,,
62,11/03/21 09:00:00 午後,26.598,,,,
63,11/03/21 10:00:00 午後,26.426,,,,
64,11/03/21 11:00:00 午後,26.426,,,,
65,11/04/21 12:00:00 午前,26.5,,,,
66,11/04/21 01:00:00 午前,26.426,,,,
67,11/04/21 02:00:00 午前,26.353,,,,
68,11/04/21 03:00:00 午前,26.573,,,,
69,11/04/21 04:00:00 午前,26.769,,,,
70,11/04/21 05:00:00 午前,26.744,,,,
71,11/04/21 06:00:00 午前,26.695,,,,
72,11/04/21 07:00:00 午前,26.451,,,,
73,11/04/21 08:00:00 午前,26.426,,,,
74,11/04/21 09:00:00 午前,26.451,,,,
75,11/04/21 10:00:00 午前,26.524,,,,
76,11/04/21 11:00:00 午前,26.475,,,,
77,11/04/21 12:00:00 午後,26.598,,,,
78,11/04/21 01:00:00 午後,26.744,,,,
79,11/04/21 02:00:00 午後,26.842,,,,
80,11/04/21 03:00:00 午後,26.573,,,,
81,11/04/21 04:00:00 午後,26.867,,,,
82,11/04/21 05:00:00 午後,26.695,,,,
83,11/04/21 06:00:00 午後,26.744,,,,
84,11/04/21 07:00:00 午後,26.72,,,,
85,11/04/21 08:00:00 午後,26.695,,,,
86,11/04/21 09:00:00 午後,26.549,,,,
87,11/04/21 10:00:00 午後,26.426,,,,
88,11/04/21 11:00:00 午後,26.378,,,,
89,11/05/21 12:00:00 午前,26.475,,,,
90,11/05/21 01:00:00 午前,26.451,,,,
91,11/05/21 02:00:00 午前,26.402,,,,
92,11/05/21 03:00:00 午前,26.304,,,,
93,11/05/21 04:00:00 午前,26.769,,,,
94,11/05/21 05:00:00 午前,26.769,,,,
95,11/05/21 06:00:00 午前,26.671,,,,
96,11/05/21 07:00:00 午前,26.671,,,,
97,11/05/21 08:00:00 午前,26.475,,,,
98,11/05/21 09:00:00 午前,26.622,,,,
99,11/05/21 10:00:00 午前,26.646,,,,
100,11/05/21 11:00:00 午前,26.671,,,,
101,11/05/21 12:00:00 午後,26.549,,,,
102,11/05/21 01:00:00 午後,26.549,,,,
103,11/05/21 02:00:00 午後,26.744,,,,
104,11/05/21 03:00:00 午後,26.793,,,,
105,11/05/21 04:00:00 午後,26.744,,,,
106,11/05/21 05:00:00 午後,26.818,,,,
107,11/05/21 06:00:00 午後,26.842,,,,
108,11/05/21 07:00:00 午後,26.769,,,,
109,11/05/21 08:00:00 午後,26.94,,,,
110,11/05/21 09:00:00 午後,26.744,,,,
111,11/05/21 10:00:00 午後,26.646,,,,
112,11/05/21 11:00:00 午後,26.744,,,,
113,11/06/21 12:00:00 午前,26.769,,,,
114,11/06/21 01:00:00 午前,26.646,,,,
115,11/06/21 02:00:00 午前,26.573,,,,
116,11/06/21 03:00:00 午前,26.524,,,,
117,11/06/21 04:00:00 午前,26.695,,,,
