プロット タイトル: site10_spot002_2024,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20922255, SEN S/N: 20922255)",カプラー取り外し (LGR S/N: 20922255),カプラー取り付け (LGR S/N: 20922255),ホスト接続 (LGR S/N: 20922255),停止済み (LGR S/N: 20922255),ファイルの終わり (LGR S/N: 20922255)
1,11/23/23 09:00:00 午前,24.002,記録,,,,
2,11/23/23 10:00:00 午前,25.72,,,,,
3,11/23/23 11:00:00 午前,25.817,,,,,
4,11/23/23 12:00:00 午後,25.866,,,,,
5,11/23/23 01:00:00 午後,25.963,,,,,
6,11/23/23 02:00:00 午後,26.085,,,,,
7,11/23/23 03:00:00 午後,26.085,,,,,
8,11/23/23 04:00:00 午後,26.061,,,,,
9,11/23/23 05:00:00 午後,26.061,,,,,
10,11/23/23 06:00:00 午後,26.012,,,,,
11,11/23/23 07:00:00 午後,25.866,,,,,
12,11/23/23 08:00:00 午後,25.793,,,,,
13,11/23/23 09:00:00 午後,25.744,,,,,
14,11/23/23 10:00:00 午後,25.695,,,,,
15,11/23/23 11:00:00 午後,25.744,,,,,
16,11/24/23 12:00:00 午前,25.695,,,,,
17,11/24/23 01:00:00 午前,25.744,,,,,
18,11/24/23 02:00:00 午前,25.72,,,,,
19,11/24/23 03:00:00 午前,25.72,,,,,
20,11/24/23 04:00:00 午前,25.647,,,,,
21,11/24/23 05:00:00 午前,25.55,,,,,
22,11/24/23 06:00:00 午前,25.55,,,,,
23,11/24/23 07:00:00 午前,25.525,,,,,
24,11/24/23 08:00:00 午前,25.428,,,,,
25,11/24/23 09:00:00 午前,25.453,,,,,
26,11/24/23 10:00:00 午前,25.283,,,,,
27,11/24/23 11:00:00 午前,25.258,,,,,
28,11/24/23 12:00:00 午後,25.525,,,,,
29,11/24/23 01:00:00 午後,25.647,,,,,
30,11/24/23 02:00:00 午後,25.647,,,,,
31,11/24/23 03:00:00 午後,25.574,,,,,
32,11/24/23 04:00:00 午後,25.55,,,,,
33,11/24/23 05:00:00 午後,25.525,,,,,
34,11/24/23 06:00:00 午後,25.501,,,,,
35,11/24/23 07:00:00 午後,25.428,,,,,
36,11/24/23 08:00:00 午後,25.331,,,,,
37,11/24/23 09:00:00 午後,25.137,,,,,
38,11/24/23 10:00:00 午後,25.428,,,,,
39,11/24/23 11:00:00 午後,25.331,,,,,
40,11/25/23 12:00:00 午前,25.355,,,,,
41,11/25/23 01:00:00 午前,25.355,,,,,
42,11/25/23 02:00:00 午前,25.355,,,,,
43,11/25/23 03:00:00 午前,25.355,,,,,
44,11/25/23 04:00:00 午前,25.38,,,,,
45,11/25/23 05:00:00 午前,25.355,,,,,
46,11/25/23 06:00:00 午前,25.283,,,,,
47,11/25/23 07:00:00 午前,25.258,,,,,
48,11/25/23 08:00:00 午前,25.21,,,,,
49,11/25/23 09:00:00 午前,25.21,,,,,
50,11/25/23 10:00:00 午前,25.38,,,,,
51,11/25/23 11:00:00 午前,25.38,,,,,
52,11/25/23 12:00:00 午後,25.404,,,,,
53,11/25/23 01:00:00 午後,25.428,,,,,
54,11/25/23 02:00:00 午後,25.428,,,,,
55,11/25/23 03:00:00 午後,25.38,,,,,
56,11/25/23 04:00:00 午後,25.428,,,,,
57,11/25/23 05:00:00 午後,25.38,,,,,
58,11/25/23 06:00:00 午後,25.331,,,,,
59,11/25/23 07:00:00 午後,25.283,,,,,
60,11/25/23 08:00:00 午後,25.21,,,,,
61,11/25/23 09:00:00 午後,25.21,,,,,
62,11/25/23 10:00:00 午後,25.186,,,,,
63,11/25/23 11:00:00 午後,25.162,,,,,
64,11/26/23 12:00:00 午前,25.162,,,,,
65,11/26/23 01:00:00 午前,25.089,,,,,
66,11/26/23 02:00:00 午前,25.137,,,,,
67,11/26/23 03:00:00 午前,25.186,,,,,
68,11/26/23 04:00:00 午前,25.21,,,,,
69,11/26/23 05:00:00 午前,25.234,,,,,
70,11/26/23 06:00:00 午前,25.258,,,,,
71,11/26/23 07:00:00 午前,25.21,,,,,
72,11/26/23 08:00:00 午前,25.137,,,,,
73,11/26/23 09:00:00 午前,25.113,,,,,
74,11/26/23 10:00:00 午前,25.137,,,,,
75,11/26/23 11:00:00 午前,25.234,,,,,
76,11/26/23 12:00:00 午後,25.234,,,,,
77,11/26/23 01:00:00 午後,25.307,,,,,
78,11/26/23 02:00:00 午後,25.283,,,,,
79,11/26/23 03:00:00 午後,25.234,,,,,
80,11/26/23 04:00:00 午後,25.234,,,,,
81,11/26/23 05:00:00 午後,25.331,,,,,
82,11/26/23 06:00:00 午後,25.307,,,,,
83,11/26/23 07:00:00 午後,25.258,,,,,
84,11/26/23 08:00:00 午後,25.234,,,,,
85,11/26/23 09:00:00 午後,25.162,,,,,
86,11/26/23 10:00:00 午後,25.21,,,,,
87,11/26/23 11:00:00 午後,25.186,,,,,
88,11/27/23 12:00:00 午前,25.137,,,,,
89,11/27/23 01:00:00 午前,25.089,,,,,
90,11/27/23 02:00:00 午前,25.089,,,,,
91,11/27/23 03:00:00 午前,25.137,,,,,
92,11/27/23 04:00:00 午前,25.113,,,,,
93,11/27/23 05:00:00 午前,25.162,,,,,
94,11/27/23 06:00:00 午前,25.283,,,,,
95,11/27/23 07:00:00 午前,25.283,,,,,
96,11/27/23 08:00:00 午前,25.258,,,,,
97,11/27/23 09:00:00 午前,25.21,,,,,
98,11/27/23 10:00:00 午前,25.234,,,,,
99,11/27/23 11:00:00 午前,25.331,,,,,
100,11/27/23 12:00:00 午後,25.453,,,,,
101,11/27/23 01:00:00 午後,25.453,,,,,
102,11/27/23 02:00:00 午後,25.453,,,,,
103,11/27/23 03:00:00 午後,25.404,,,,,
104,11/27/23 04:00:00 午後,25.331,,,,,
105,11/27/23 05:00:00 午後,25.331,,,,,
106,11/27/23 06:00:00 午後,25.404,,,,,
107,11/27/23 07:00:00 午後,25.428,,,,,
108,11/27/23 08:00:00 午後,25.283,,,,,
109,11/27/23 09:00:00 午後,25.089,,,,,
110,11/27/23 10:00:00 午後,24.992,,,,,
111,11/27/23 11:00:00 午後,25.04,,,,,
112,11/28/23 12:00:00 午前,24.992,,,,,
113,11/28/23 01:00:00 午前,25.016,,,,,
114,11/28/23 02:00:00 午前,24.944,,,,,
115,11/28/23 03:00:00 午前,24.944,,,,,
116,11/28/23 04:00:00 午前,25.065,,,,,
117,11/28/23 05:00:00 午前,25.089,,,,,
118,11/28/23 06:00:00 午前,25.258,,,,,
119,11/28/23 07:00:00 午前,25.234,,,,,
120,11/28/23 08:00:00 午前,25.113,,,,,
121,11/28/23 09:00:00 午前,25.04,,,,,
122,11/28/23 10:00:00 午前,25.065,,,,,
123,11/28/23 11:00:00 午前,25.186,,,,,
124,11/28/23 12:00:00 午後,25.283,,,,,
125,11/28/23 01:00:00 午後,25.38,,,,,
126,11/28/23 02:00:00 午後,25.404,,,,,
127,11/28/23 03:00:00 午後,25.355,,,,,
128,11/28/23 04:00:00 午後,25.283,,,,,
129,11/28/23 05:00:00 午後,25.137,,,,,
130,11/28/23 06:00:00 午後,25.113,,,,,
131,11/28/23 07:00:00 午後,25.113,,,,,
132,11/28/23 08:00:00 午後,25.065,,,,,
133,11/28/23 09:00:00 午後,24.968,,,,,
134,11/28/23 10:00:00 午後,24.847,,,,,
135,11/28/23 11:00:00 午後,24.895,,,,,
136,11/29/23 12:00:00 午前,24.871,,,,,
137,11/29/23 01:00:00 午前,24.75,,,,,
138,11/29/23 02:00:00 午前,24.702,,,,,
139,11/29/23 03:00:00 午前,24.653,,,,,
140,11/29/23 04:00:00 午前,24.75,,,,,
141,11/29/23 05:00:00 午前,24.798,,,,,
142,11/29/23 06:00:00 午前,25.089,,,,,
143,11/29/23 07:00:00 午前,25.089,,,,,
144,11/29/23 08:00:00 午前,25.065,,,,,
145,11/29/23 09:00:00 午前,25.065,,,,,
146,11/29/23 10:00:00 午前,25.113,,,,,
147,11/29/23 11:00:00 午前,25.186,,,,,
148,11/29/23 12:00:00 午後,25.21,,,,,
149,11/29/23 01:00:00 午後,25.283,,,,,
150,11/29/23 02:00:00 午後,25.307,,,,,
151,11/29/23 03:00:00 午後,25.234,,,,,
152,11/29/23 04:00:00 午後,25.186,,,,,
153,11/29/23 05:00:00 午後,25.162,,,,,
154,11/29/23 06:00:00 午後,25.162,,,,,
155,11/29/23 07:00:00 午後,25.162,,,,,
156,11/29/23 08:00:00 午後,25.162,,,,,
157,11/29/23 09:00:00 午後,25.137,,,,,
158,11/29/23 10:00:00 午後,25.089,,,,,
159,11/29/23 11:00:00 午後,25.089,,,,,
160,11/30/23 12:00:00 午前,25.065,,,,,
161,11/30/23 01:00:00 午前,25.016,,,,,
162,11/30/23 02:00:00 午前,25.016,,,,,
163,11/30/23 03:00:00 午前,25.089,,,,,
164,11/30/23 04:00:00 午前,25.113,,,,,
165,11/30/23 05:00:00 午前,25.162,,,,,
166,11/30/23 06:00:00 午前,25.307,,,,,
167,11/30/23 07:00:00 午前,25.404,,,,,
168,11/30/23 08:00:00 午前,25.453,,,,,
169,11/30/23 09:00:00 午前,25.453,,,,,
170,11/30/23 10:00:00 午前,25.574,,,,,
171,11/30/23 11:00:00 午前,25.574,,,,,
172,11/30/23 12:00:00 午後,25.598,,,,,
173,11/30/23 01:00:00 午後,25.574,,,,,
174,11/30/23 02:00:00 午後,25.55,,,,,
175,11/30/23 03:00:00 午後,25.525,,,,,
176,11/30/23 04:00:00 午後,25.55,,,,,
177,11/30/23 05:00:00 午後,25.283,,,,,
178,11/30/23 06:00:00 午後,25.258,,,,,
179,11/30/23 07:00:00 午後,25.331,,,,,
180,11/30/23 08:00:00 午後,25.331,,,,,
181,11/30/23 09:00:00 午後,25.331,,,,,
182,11/30/23 10:00:00 午後,25.307,,,,,
183,11/30/23 11:00:00 午後,25.283,,,,,
184,12/01/23 12:00:00 午前,25.186,,,,,
185,12/01/23 01:00:00 午前,25.016,,,,,
186,12/01/23 02:00:00 午前,25.089,,,,,
187,12/01/23 03:00:00 午前,25.016,,,,,
188,12/01/23 04:00:00 午前,24.944,,,,,
189,12/01/23 05:00:00 午前,25.089,,,,,
190,12/01/23 06:00:00 午前,25.137,,,,,
191,12/01/23 07:00:00 午前,25.137,,,,,
192,12/01/23 08:00:00 午前,25.162,,,,,
193,12/01/23 09:00:00 午前,25.162,,,,,
194,12/01/23 10:00:00 午前,25.137,,,,,
195,12/01/23 11:00:00 午前,25.137,,,,,
196,12/01/23 12:00:00 午後,25.065,,,,,
197,12/01/23 01:00:00 午後,24.992,,,,,
198,12/01/23 02:00:00 午後,25.04,,,,,
199,12/01/23 03:00:00 午後,25.089,,,,,
200,12/01/23 04:00:00 午後,24.992,,,,,
201,12/01/23 05:00:00 午後,24.895,,,,,
202,12/01/23 06:00:00 午後,24.798,,,,,
203,12/01/23 07:00:00 午後,24.871,,,,,
204,12/01/23 08:00:00 午後,24.919,,,,,
205,12/01/23 09:00:00 午後,24.944,,,,,
206,12/01/23 10:00:00 午後,24.992,,,,,
207,12/01/23 11:00:00 午後,24.944,,,,,
208,12/02/23 12:00:00 午前,24.798,,,,,
209,12/02/23 01:00:00 午前,24.629,,,,,
210,12/02/23 02:00:00 午前,24.75,,,,,
211,12/02/23 03:00:00 午前,24.847,,,,,
212,12/02/23 04:00:00 午前,24.75,,,,,
213,12/02/23 05:00:00 午前,24.774,,,,,
214,12/02/23 06:00:00 午前,24.798,,,,,
215,12/02/23 07:00:00 午前,24.823,,,,,
216,12/02/23 08:00:00 午前,24.847,,,,,
217,12/02/23 09:00:00 午前,25.016,,,,,
218,12/02/23 10:00:00 午前,25.065,,,,,
219,12/02/23 11:00:00 午前,25.137,,,,,
220,12/02/23 12:00:00 午後,25.089,,,,,
221,12/02/23 01:00:00 午後,25.137,,,,,
222,12/02/23 02:00:00 午後,25.113,,,,,
223,12/02/23 03:00:00 午後,25.089,,,,,
224,12/02/23 04:00:00 午後,25.089,,,,,
225,12/02/23 05:00:00 午後,25.089,,,,,
226,12/02/23 06:00:00 午後,25.04,,,,,
227,12/02/23 07:00:00 午後,25.113,,,,,
228,12/02/23 08:00:00 午後,25.137,,,,,
229,12/02/23 09:00:00 午後,25.113,,,,,
230,12/02/23 10:00:00 午後,25.113,,,,,
231,12/02/23 11:00:00 午後,25.065,,,,,
232,12/03/23 12:00:00 午前,25.065,,,,,
233,12/03/23 01:00:00 午前,25.089,,,,,
234,12/03/23 02:00:00 午前,25.016,,,,,
235,12/03/23 03:00:00 午前,24.968,,,,,
236,12/03/23 04:00:00 午前,24.895,,,,,
237,12/03/23 05:00:00 午前,24.798,,,,,
238,12/03/23 06:00:00 午前,24.823,,,,,
239,12/03/23 07:00:00 午前,24.798,,,,,
240,12/03/23 08:00:00 午前,24.798,,,,,
241,12/03/23 09:00:00 午前,24.847,,,,,
242,12/03/23 10:00:00 午前,25.065,,,,,
243,12/03/23 11:00:00 午前,25.089,,,,,
244,12/03/23 12:00:00 午後,25.089,,,,,
245,12/03/23 01:00:00 午後,25.089,,,,,
246,12/03/23 02:00:00 午後,25.137,,,,,
247,12/03/23 03:00:00 午後,25.113,,,,,
248,12/03/23 04:00:00 午後,25.113,,,,,
249,12/03/23 05:00:00 午後,25.089,,,,,
250,12/03/23 06:00:00 午後,25.065,,,,,
251,12/03/23 07:00:00 午後,25.089,,,,,
252,12/03/23 08:00:00 午後,25.065,,,,,
253,12/03/23 09:00:00 午後,25.04,,,,,
254,12/03/23 10:00:00 午後,25.089,,,,,
255,12/03/23 11:00:00 午後,25.113,,,,,
256,12/04/23 12:00:00 午前,25.113,,,,,
257,12/04/23 01:00:00 午前,25.089,,,,,
258,12/04/23 02:00:00 午前,25.065,,,,,
259,12/04/23 03:00:00 午前,25.04,,,,,
260,12/04/23 04:00:00 午前,24.992,,,,,
261,12/04/23 05:00:00 午前,24.992,,,,,
262,12/04/23 06:00:00 午前,24.919,,,,,
263,12/04/23 07:00:00 午前,24.871,,,,,
264,12/04/23 08:00:00 午前,24.871,,,,,
265,12/04/23 09:00:00 午前,24.919,,,,,
266,12/04/23 10:00:00 午前,24.944,,,,,
267,12/04/23 11:00:00 午前,25.04,,,,,
268,12/04/23 12:00:00 午後,25.04,,,,,
269,12/04/23 01:00:00 午後,25.016,,,,,
270,12/04/23 02:00:00 午後,25.065,,,,,
271,12/04/23 03:00:00 午後,25.016,,,,,
272,12/04/23 04:00:00 午後,24.968,,,,,
273,12/04/23 05:00:00 午後,24.944,,,,,
274,12/04/23 06:00:00 午後,24.847,,,,,
275,12/04/23 07:00:00 午後,24.895,,,,,
276,12/04/23 08:00:00 午後,24.871,,,,,
277,12/04/23 09:00:00 午後,24.871,,,,,
278,12/04/23 10:00:00 午後,24.871,,,,,
279,12/04/23 11:00:00 午後,24.847,,,,,
280,12/05/23 12:00:00 午前,24.823,,,,,
281,12/05/23 01:00:00 午前,24.798,,,,,
282,12/05/23 02:00:00 午前,24.798,,,,,
283,12/05/23 03:00:00 午前,24.798,,,,,
284,12/05/23 04:00:00 午前,24.726,,,,,
285,12/05/23 05:00:00 午前,24.436,,,,,
286,12/05/23 06:00:00 午前,24.605,,,,,
287,12/05/23 07:00:00 午前,24.677,,,,,
288,12/05/23 08:00:00 午前,24.653,,,,,
289,12/05/23 09:00:00 午前,24.702,,,,,
290,12/05/23 10:00:00 午前,24.774,,,,,
291,12/05/23 11:00:00 午前,24.871,,,,,
292,12/05/23 12:00:00 午後,24.944,,,,,
293,12/05/23 01:00:00 午後,24.992,,,,,
294,12/05/23 02:00:00 午後,24.992,,,,,
295,12/05/23 03:00:00 午後,24.992,,,,,
296,12/05/23 04:00:00 午後,24.944,,,,,
297,12/05/23 05:00:00 午後,24.871,,,,,
298,12/05/23 06:00:00 午後,24.702,,,,,
299,12/05/23 07:00:00 午後,24.629,,,,,
300,12/05/23 08:00:00 午後,24.46,,,,,
301,12/05/23 09:00:00 午後,24.436,,,,,
