プロット タイトル: site24_spot007_2024,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20763658, SEN S/N: 20763658)",カプラー取り外し (LGR S/N: 20763658),カプラー取り付け (LGR S/N: 20763658),ホスト接続 (LGR S/N: 20763658),停止済み (LGR S/N: 20763658),ファイルの終わり (LGR S/N: 20763658)
1,09/19/23 10:00:00 午前,28.072,記録,,,,
2,09/19/23 11:00:00 午前,28.717,,,,,
3,09/19/23 12:00:00 午後,29.84,,,,,
4,09/19/23 01:00:00 午後,32.691,,,,,
5,09/19/23 02:00:00 午後,27.899,,,,,
6,09/19/23 03:00:00 午後,28.048,,,,,
7,09/19/23 04:00:00 午後,28.196,,,,,
8,09/19/23 05:00:00 午後,28.27,,,,,
9,09/19/23 06:00:00 午後,28.221,,,,,
10,09/19/23 07:00:00 午後,28.221,,,,,
11,09/19/23 08:00:00 午後,27.998,,,,,
12,09/19/23 09:00:00 午後,27.825,,,,,
13,09/19/23 10:00:00 午後,27.924,,,,,
14,09/19/23 11:00:00 午後,28.023,,,,,
15,09/20/23 12:00:00 午前,27.85,,,,,
16,09/20/23 01:00:00 午前,27.727,,,,,
17,09/20/23 02:00:00 午前,27.776,,,,,
18,09/20/23 03:00:00 午前,27.85,,,,,
19,09/20/23 04:00:00 午前,27.825,,,,,
20,09/20/23 05:00:00 午前,27.801,,,,,
21,09/20/23 06:00:00 午前,27.825,,,,,
22,09/20/23 07:00:00 午前,27.825,,,,,
23,09/20/23 08:00:00 午前,27.85,,,,,
24,09/20/23 09:00:00 午前,27.875,,,,,
25,09/20/23 10:00:00 午前,27.899,,,,,
26,09/20/23 11:00:00 午前,27.776,,,,,
27,09/20/23 12:00:00 午後,27.85,,,,,
28,09/20/23 01:00:00 午後,27.924,,,,,
29,09/20/23 02:00:00 午後,27.875,,,,,
30,09/20/23 03:00:00 午後,27.776,,,,,
31,09/20/23 04:00:00 午後,27.751,,,,,
32,09/20/23 05:00:00 午後,27.727,,,,,
33,09/20/23 06:00:00 午後,28.023,,,,,
34,09/20/23 07:00:00 午後,28.245,,,,,
35,09/20/23 08:00:00 午後,28.27,,,,,
36,09/20/23 09:00:00 午後,28.196,,,,,
37,09/20/23 10:00:00 午後,28.221,,,,,
38,09/20/23 11:00:00 午後,28.147,,,,,
39,09/21/23 12:00:00 午前,27.949,,,,,
40,09/21/23 01:00:00 午前,27.875,,,,,
41,09/21/23 02:00:00 午前,28.023,,,,,
42,09/21/23 03:00:00 午前,28.072,,,,,
43,09/21/23 04:00:00 午前,27.974,,,,,
44,09/21/23 05:00:00 午前,27.924,,,,,
45,09/21/23 06:00:00 午前,27.924,,,,,
46,09/21/23 07:00:00 午前,27.875,,,,,
47,09/21/23 08:00:00 午前,27.924,,,,,
48,09/21/23 09:00:00 午前,28.023,,,,,
49,09/21/23 10:00:00 午前,28.097,,,,,
50,09/21/23 11:00:00 午前,28.122,,,,,
51,09/21/23 12:00:00 午後,28.122,,,,,
52,09/21/23 01:00:00 午後,28.221,,,,,
53,09/21/23 02:00:00 午後,28.171,,,,,
54,09/21/23 03:00:00 午後,28.122,,,,,
55,09/21/23 04:00:00 午後,28.072,,,,,
56,09/21/23 05:00:00 午後,28.023,,,,,
57,09/21/23 06:00:00 午後,27.998,,,,,
58,09/21/23 07:00:00 午後,27.974,,,,,
59,09/21/23 08:00:00 午後,27.949,,,,,
60,09/21/23 09:00:00 午後,27.899,,,,,
61,09/21/23 10:00:00 午後,27.825,,,,,
62,09/21/23 11:00:00 午後,27.85,,,,,
63,09/22/23 12:00:00 午前,27.875,,,,,
64,09/22/23 01:00:00 午前,27.801,,,,,
65,09/22/23 02:00:00 午前,27.751,,,,,
66,09/22/23 03:00:00 午前,27.677,,,,,
67,09/22/23 04:00:00 午前,27.653,,,,,
68,09/22/23 05:00:00 午前,27.628,,,,,
69,09/22/23 06:00:00 午前,27.628,,,,,
70,09/22/23 07:00:00 午前,27.604,,,,,
71,09/22/23 08:00:00 午前,27.653,,,,,
72,09/22/23 09:00:00 午前,27.751,,,,,
73,09/22/23 10:00:00 午前,27.924,,,,,
74,09/22/23 11:00:00 午前,27.949,,,,,
75,09/22/23 12:00:00 午後,27.974,,,,,
76,09/22/23 01:00:00 午後,27.998,,,,,
77,09/22/23 02:00:00 午後,27.998,,,,,
78,09/22/23 03:00:00 午後,28.023,,,,,
79,09/22/23 04:00:00 午後,28.023,,,,,
80,09/22/23 05:00:00 午後,27.974,,,,,
81,09/22/23 06:00:00 午後,27.974,,,,,
82,09/22/23 07:00:00 午後,27.899,,,,,
83,09/22/23 08:00:00 午後,27.85,,,,,
84,09/22/23 09:00:00 午後,27.825,,,,,
85,09/22/23 10:00:00 午後,27.776,,,,,
86,09/22/23 11:00:00 午後,27.751,,,,,
87,09/23/23 12:00:00 午前,27.677,,,,,
88,09/23/23 01:00:00 午前,27.382,,,,,
89,09/23/23 02:00:00 午前,27.456,,,,,
90,09/23/23 03:00:00 午前,27.431,,,,,
91,09/23/23 04:00:00 午前,27.407,,,,,
92,09/23/23 05:00:00 午前,27.382,,,,,
93,09/23/23 06:00:00 午前,27.407,,,,,
94,09/23/23 07:00:00 午前,27.308,,,,,
95,09/23/23 08:00:00 午前,27.308,,,,,
96,09/23/23 09:00:00 午前,27.431,,,,,
97,09/23/23 10:00:00 午前,27.554,,,,,
98,09/23/23 11:00:00 午前,27.653,,,,,
99,09/23/23 12:00:00 午後,27.727,,,,,
100,09/23/23 01:00:00 午後,27.801,,,,,
101,09/23/23 02:00:00 午後,27.875,,,,,
102,09/23/23 03:00:00 午後,27.776,,,,,
103,09/23/23 04:00:00 午後,27.776,,,,,
104,09/23/23 05:00:00 午後,27.751,,,,,
105,09/23/23 06:00:00 午後,27.727,,,,,
106,09/23/23 07:00:00 午後,27.727,,,,,
107,09/23/23 08:00:00 午後,27.727,,,,,
108,09/23/23 09:00:00 午後,27.677,,,,,
109,09/23/23 10:00:00 午後,27.653,,,,,
110,09/23/23 11:00:00 午後,27.604,,,,,
