プロット タイトル: site17_spot126_2020,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054360, SEN S/N: 20054360)",カプラー取り外し (LGR S/N: 20054360),カプラー取り付け (LGR S/N: 20054360),ホスト接続 (LGR S/N: 20054360),停止済み (LGR S/N: 20054360),ファイルの終わり (LGR S/N: 20054360)
1,11/17/19 08:00:00 午前,25.089,記録,,,,
2,11/17/19 09:00:00 午前,25.065,,,,,
3,11/17/19 10:00:00 午前,25.283,,,,,
4,11/17/19 11:00:00 午前,25.914,,,,,
5,11/17/19 12:00:00 午後,25.963,,,,,
6,11/17/19 01:00:00 午後,26.036,,,,,
7,11/17/19 02:00:00 午後,26.036,,,,,
8,11/17/19 03:00:00 午後,25.963,,,,,
9,11/17/19 04:00:00 午後,25.963,,,,,
10,11/17/19 05:00:00 午後,25.963,,,,,
11,11/17/19 06:00:00 午後,25.987,,,,,
12,11/17/19 07:00:00 午後,26.012,,,,,
13,11/17/19 08:00:00 午後,26.012,,,,,
14,11/17/19 09:00:00 午後,26.036,,,,,
15,11/17/19 10:00:00 午後,26.036,,,,,
16,11/17/19 11:00:00 午後,26.012,,,,,
17,11/18/19 12:00:00 午前,26.012,,,,,
18,11/18/19 01:00:00 午前,26.012,,,,,
19,11/18/19 02:00:00 午前,25.987,,,,,
20,11/18/19 03:00:00 午前,25.963,,,,,
21,11/18/19 04:00:00 午前,25.89,,,,,
22,11/18/19 05:00:00 午前,25.963,,,,,
23,11/18/19 06:00:00 午前,25.866,,,,,
24,11/18/19 07:00:00 午前,25.817,,,,,
25,11/18/19 08:00:00 午前,25.866,,,,,
26,11/18/19 09:00:00 午前,25.939,,,,,
27,11/18/19 10:00:00 午前,25.963,,,,,
28,11/18/19 11:00:00 午前,25.963,,,,,
29,11/18/19 12:00:00 午後,25.987,,,,,
30,11/18/19 01:00:00 午後,25.987,,,,,
31,11/18/19 02:00:00 午後,25.987,,,,,
32,11/18/19 03:00:00 午後,26.061,,,,,
33,11/18/19 04:00:00 午後,26.109,,,,,
34,11/18/19 05:00:00 午後,26.061,,,,,
35,11/18/19 06:00:00 午後,26.036,,,,,
36,11/18/19 07:00:00 午後,26.012,,,,,
37,11/18/19 08:00:00 午後,26.012,,,,,
38,11/18/19 09:00:00 午後,25.987,,,,,
39,11/18/19 10:00:00 午後,25.963,,,,,
40,11/18/19 11:00:00 午後,25.89,,,,,
41,11/19/19 12:00:00 午前,25.817,,,,,
42,11/19/19 01:00:00 午前,25.793,,,,,
43,11/19/19 02:00:00 午前,25.695,,,,,
44,11/19/19 03:00:00 午前,25.671,,,,,
45,11/19/19 04:00:00 午前,25.623,,,,,
46,11/19/19 05:00:00 午前,25.598,,,,,
47,11/19/19 06:00:00 午前,25.598,,,,,
48,11/19/19 07:00:00 午前,25.574,,,,,
49,11/19/19 08:00:00 午前,25.501,,,,,
50,11/19/19 09:00:00 午前,25.453,,,,,
51,11/19/19 10:00:00 午前,25.404,,,,,
52,11/19/19 11:00:00 午前,25.38,,,,,
53,11/19/19 12:00:00 午後,25.355,,,,,
54,11/19/19 01:00:00 午後,25.331,,,,,
55,11/19/19 02:00:00 午後,25.307,,,,,
56,11/19/19 03:00:00 午後,25.283,,,,,
57,11/19/19 04:00:00 午後,25.283,,,,,
58,11/19/19 05:00:00 午後,25.283,,,,,
59,11/19/19 06:00:00 午後,25.283,,,,,
60,11/19/19 07:00:00 午後,25.283,,,,,
61,11/19/19 08:00:00 午後,25.258,,,,,
62,11/19/19 09:00:00 午後,25.234,,,,,
63,11/19/19 10:00:00 午後,25.21,,,,,
64,11/19/19 11:00:00 午後,25.113,,,,,
65,11/20/19 12:00:00 午前,25.089,,,,,
66,11/20/19 01:00:00 午前,25.04,,,,,
67,11/20/19 02:00:00 午前,25.016,,,,,
68,11/20/19 03:00:00 午前,25.016,,,,,
69,11/20/19 04:00:00 午前,24.992,,,,,
70,11/20/19 05:00:00 午前,24.992,,,,,
71,11/20/19 06:00:00 午前,24.992,,,,,
72,11/20/19 07:00:00 午前,24.895,,,,,
73,11/20/19 08:00:00 午前,24.871,,,,,
74,11/20/19 09:00:00 午前,24.895,,,,,
75,11/20/19 10:00:00 午前,24.944,,,,,
76,11/20/19 11:00:00 午前,24.871,,,,,
77,11/20/19 12:00:00 午後,24.944,,,,,
78,11/20/19 01:00:00 午後,24.944,,,,,
79,11/20/19 02:00:00 午後,24.944,,,,,
80,11/20/19 03:00:00 午後,24.944,,,,,
81,11/20/19 04:00:00 午後,24.944,,,,,
82,11/20/19 05:00:00 午後,24.992,,,,,
83,11/20/19 06:00:00 午後,24.992,,,,,
84,11/20/19 07:00:00 午後,24.847,,,,,
85,11/20/19 08:00:00 午後,24.774,,,,,
86,11/20/19 09:00:00 午後,24.798,,,,,
87,11/20/19 10:00:00 午後,24.774,,,,,
88,11/20/19 11:00:00 午後,24.871,,,,,
89,11/21/19 12:00:00 午前,24.798,,,,,
90,11/21/19 01:00:00 午前,24.895,,,,,
91,11/21/19 02:00:00 午前,24.895,,,,,
92,11/21/19 03:00:00 午前,24.871,,,,,
93,11/21/19 04:00:00 午前,24.823,,,,,
94,11/21/19 05:00:00 午前,24.798,,,,,
95,11/21/19 06:00:00 午前,24.774,,,,,
96,11/21/19 07:00:00 午前,24.847,,,,,
97,11/21/19 08:00:00 午前,24.895,,,,,
98,11/21/19 09:00:00 午前,24.798,,,,,
99,11/21/19 10:00:00 午前,24.847,,,,,
100,11/21/19 11:00:00 午前,24.847,,,,,
101,11/21/19 12:00:00 午後,24.895,,,,,
102,11/21/19 01:00:00 午後,25.307,,,,,
103,11/21/19 02:00:00 午後,25.477,,,,,
104,11/21/19 03:00:00 午後,25.477,,,,,
105,11/21/19 04:00:00 午後,25.38,,,,,
106,11/21/19 05:00:00 午後,25.428,,,,,
107,11/21/19 06:00:00 午後,25.453,,,,,
108,11/21/19 07:00:00 午後,25.477,,,,,
109,11/21/19 08:00:00 午後,25.477,,,,,
110,11/21/19 09:00:00 午後,25.477,,,,,
111,11/21/19 10:00:00 午後,25.477,,,,,
112,11/21/19 11:00:00 午後,25.501,,,,,
113,11/22/19 12:00:00 午前,25.501,,,,,
114,11/22/19 01:00:00 午前,25.525,,,,,
115,11/22/19 02:00:00 午前,25.525,,,,,
116,11/22/19 03:00:00 午前,25.525,,,,,
117,11/22/19 04:00:00 午前,25.501,,,,,
118,11/22/19 05:00:00 午前,25.501,,,,,
119,11/22/19 06:00:00 午前,25.501,,,,,
120,11/22/19 07:00:00 午前,25.477,,,,,
121,11/22/19 08:00:00 午前,25.453,,,,,
122,11/22/19 09:00:00 午前,25.477,,,,,
123,11/22/19 10:00:00 午前,25.453,,,,,
124,11/22/19 11:00:00 午前,25.477,,,,,
125,11/22/19 12:00:00 午後,25.525,,,,,
126,11/22/19 01:00:00 午後,25.574,,,,,
127,11/22/19 02:00:00 午後,25.574,,,,,
128,11/22/19 03:00:00 午後,25.598,,,,,
129,11/22/19 04:00:00 午後,25.623,,,,,
130,11/22/19 05:00:00 午後,25.623,,,,,
131,11/22/19 06:00:00 午後,25.623,,,,,
132,11/22/19 07:00:00 午後,25.598,,,,,
133,11/22/19 08:00:00 午後,25.598,,,,,
134,11/22/19 09:00:00 午後,25.598,,,,,
135,11/22/19 10:00:00 午後,25.598,,,,,
136,11/22/19 11:00:00 午後,25.574,,,,,
137,11/23/19 12:00:00 午前,25.574,,,,,
138,11/23/19 01:00:00 午前,25.574,,,,,
139,11/23/19 02:00:00 午前,25.574,,,,,
140,11/23/19 03:00:00 午前,25.55,,,,,
141,11/23/19 04:00:00 午前,25.55,,,,,
142,11/23/19 05:00:00 午前,25.501,,,,,
143,11/23/19 06:00:00 午前,25.453,,,,,
144,11/23/19 07:00:00 午前,25.477,,,,,
145,11/23/19 08:00:00 午前,25.477,,,,,
146,11/23/19 09:00:00 午前,25.501,,,,,
147,11/23/19 10:00:00 午前,25.525,,,,,
148,11/23/19 11:00:00 午前,25.525,,,,,
149,11/23/19 12:00:00 午後,25.501,,,,,
150,11/23/19 01:00:00 午後,25.55,,,,,
151,11/23/19 02:00:00 午後,25.768,,,,,
152,11/23/19 03:00:00 午後,25.768,,,,,
153,11/23/19 04:00:00 午後,25.768,,,,,
154,11/23/19 05:00:00 午後,25.695,,,,,
155,11/23/19 06:00:00 午後,25.598,,,,,
156,11/23/19 07:00:00 午後,25.647,,,,,
157,11/23/19 08:00:00 午後,25.695,,,,,
158,11/23/19 09:00:00 午後,25.671,,,,,
159,11/23/19 10:00:00 午後,25.623,,,,,
160,11/23/19 11:00:00 午後,25.574,,,,,
161,11/24/19 12:00:00 午前,25.574,,,,,
162,11/24/19 01:00:00 午前,25.598,,,,,
163,11/24/19 02:00:00 午前,25.598,,,,,
164,11/24/19 03:00:00 午前,25.623,,,,,
165,11/24/19 04:00:00 午前,25.623,,,,,
