プロット タイトル: site24_spot003_2024,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20291285, SEN S/N: 20291285)",カプラー取り外し (LGR S/N: 20291285),カプラー取り付け (LGR S/N: 20291285),ホスト接続 (LGR S/N: 20291285),停止済み (LGR S/N: 20291285),ファイルの終わり (LGR S/N: 20291285)
1,11/21/23 11:00:00 午前,22.489,記録,,,,
2,11/21/23 12:00:00 午後,20.031,,,,,
3,11/21/23 01:00:00 午後,20.198,,,,,
4,11/21/23 02:00:00 午後,20.15,,,,,
5,11/21/23 03:00:00 午後,20.103,,,,,
6,11/21/23 04:00:00 午後,20.126,,,,,
7,11/21/23 05:00:00 午後,20.126,,,,,
8,11/21/23 06:00:00 午後,20.222,,,,,
9,11/21/23 07:00:00 午後,20.246,,,,,
10,11/21/23 08:00:00 午後,20.341,,,,,
11,11/21/23 09:00:00 午後,20.341,,,,,
12,11/21/23 10:00:00 午後,20.388,,,,,
13,11/21/23 11:00:00 午後,20.365,,,,,
14,11/22/23 12:00:00 午前,20.341,,,,,
15,11/22/23 01:00:00 午前,20.246,,,,,
16,11/22/23 02:00:00 午前,20.269,,,,,
17,11/22/23 03:00:00 午前,20.246,,,,,
18,11/22/23 04:00:00 午前,20.174,,,,,
19,11/22/23 05:00:00 午前,20.15,,,,,
20,11/22/23 06:00:00 午前,20.15,,,,,
21,11/22/23 07:00:00 午前,20.15,,,,,
22,11/22/23 08:00:00 午前,20.15,,,,,
23,11/22/23 09:00:00 午前,20.15,,,,,
24,11/22/23 10:00:00 午前,20.269,,,,,
25,11/22/23 11:00:00 午前,20.365,,,,,
26,11/22/23 12:00:00 午後,20.293,,,,,
27,11/22/23 01:00:00 午後,20.412,,,,,
28,11/22/23 02:00:00 午後,20.412,,,,,
29,11/22/23 03:00:00 午後,20.388,,,,,
30,11/22/23 04:00:00 午後,20.317,,,,,
31,11/22/23 05:00:00 午後,20.293,,,,,
32,11/22/23 06:00:00 午後,20.341,,,,,
33,11/22/23 07:00:00 午後,20.388,,,,,
34,11/22/23 08:00:00 午後,20.507,,,,,
35,11/22/23 09:00:00 午後,20.579,,,,,
36,11/22/23 10:00:00 午後,20.531,,,,,
37,11/22/23 11:00:00 午後,20.507,,,,,
38,11/23/23 12:00:00 午前,20.46,,,,,
39,11/23/23 01:00:00 午前,20.436,,,,,
40,11/23/23 02:00:00 午前,20.412,,,,,
