プロット タイトル: site07_spot005_2021,,
#,月/日/年　時刻,"温度, °C (LGR S/N: 20280582, SEN S/N: 20280582)"
5400,03/27/21 09:30:00 午後,22.513
5401,03/27/21 10:00:00 午後,22.513
5402,03/27/21 10:30:00 午後,22.489
5403,03/27/21 11:00:00 午後,22.489
5404,03/27/21 11:30:00 午後,22.489
5405,03/28/21 12:00:00 午前,22.537
5406,03/28/21 12:30:00 午前,22.561
5407,03/28/21 01:00:00 午前,22.561
5408,03/28/21 01:30:00 午前,22.561
5409,03/28/21 02:00:00 午前,22.585
5410,03/28/21 02:30:00 午前,22.561
5411,03/28/21 03:00:00 午前,22.585
5412,03/28/21 03:30:00 午前,22.561
5413,03/28/21 04:00:00 午前,22.561
5414,03/28/21 04:30:00 午前,22.561
5415,03/28/21 05:00:00 午前,22.537
5416,03/28/21 05:30:00 午前,22.561
5417,03/28/21 06:00:00 午前,22.537
5418,03/28/21 06:30:00 午前,22.513
5419,03/28/21 07:00:00 午前,22.537
5420,03/28/21 07:30:00 午前,22.537
5421,03/28/21 08:00:00 午前,22.561
5422,03/28/21 08:30:00 午前,22.585
5423,03/28/21 09:00:00 午前,22.681
5424,03/28/21 09:30:00 午前,22.753
5425,03/28/21 10:00:00 午前,22.824
5426,03/28/21 10:30:00 午前,22.776
5427,03/28/21 11:00:00 午前,22.8
5428,03/28/21 11:30:00 午前,22.681
5429,03/28/21 12:00:00 午後,22.657
5430,03/28/21 12:30:00 午後,22.705
5431,03/28/21 01:00:00 午後,22.776
5432,03/28/21 01:30:00 午後,22.8
5433,03/28/21 02:00:00 午後,22.776
5434,03/28/21 02:30:00 午後,22.8
5435,03/28/21 03:00:00 午後,22.824
5436,03/28/21 03:30:00 午後,22.848
5437,03/28/21 04:00:00 午後,22.848
5438,03/28/21 04:30:00 午後,22.8
5439,03/28/21 05:00:00 午後,22.729
5440,03/28/21 05:30:00 午後,22.705
5441,03/28/21 06:00:00 午後,22.705
5442,03/28/21 06:30:00 午後,22.681
5443,03/28/21 07:00:00 午後,22.657
5444,03/28/21 07:30:00 午後,22.657
5445,03/28/21 08:00:00 午後,22.633
5446,03/28/21 08:30:00 午後,22.633
5447,03/28/21 09:00:00 午後,22.609
5448,03/28/21 09:30:00 午後,22.609
5449,03/28/21 10:00:00 午後,22.633
5450,03/28/21 10:30:00 午後,22.633
5451,03/28/21 11:00:00 午後,22.633
5452,03/28/21 11:30:00 午後,22.585
5453,03/29/21 12:00:00 午前,22.585
5454,03/29/21 12:30:00 午前,22.585
5455,03/29/21 01:00:00 午前,22.753
5456,03/29/21 01:30:00 午前,22.776
5457,03/29/21 02:00:00 午前,22.753
5458,03/29/21 02:30:00 午前,22.729
5459,03/29/21 03:00:00 午前,22.729
5460,03/29/21 03:30:00 午前,22.729
5461,03/29/21 04:00:00 午前,22.705
5462,03/29/21 04:30:00 午前,22.705
5463,03/29/21 05:00:00 午前,22.705
5464,03/29/21 05:30:00 午前,22.681
5465,03/29/21 06:00:00 午前,22.657
5466,03/29/21 06:30:00 午前,22.657
5467,03/29/21 07:00:00 午前,22.681
5468,03/29/21 07:30:00 午前,22.633
5469,03/29/21 08:00:00 午前,22.681
5470,03/29/21 08:30:00 午前,22.705
5471,03/29/21 09:00:00 午前,22.729
5472,03/29/21 09:30:00 午前,22.8
5473,03/29/21 10:00:00 午前,22.848
5474,03/29/21 10:30:00 午前,22.896
5475,03/29/21 11:00:00 午前,22.992
5476,03/29/21 11:30:00 午前,22.968
5477,03/29/21 12:00:00 午後,22.992
5478,03/29/21 12:30:00 午後,22.968
5479,03/29/21 01:00:00 午後,22.968
5480,03/29/21 01:30:00 午後,22.968
5481,03/29/21 02:00:00 午後,22.944
5482,03/29/21 02:30:00 午後,22.896
5483,03/29/21 03:00:00 午後,22.92
5484,03/29/21 03:30:00 午後,22.848
5485,03/29/21 04:00:00 午後,22.824
5486,03/29/21 04:30:00 午後,22.776
5487,03/29/21 05:00:00 午後,22.729
5488,03/29/21 05:30:00 午後,22.776
5489,03/29/21 06:00:00 午後,22.753
5490,03/29/21 06:30:00 午後,22.753
5491,03/29/21 07:00:00 午後,22.776
5492,03/29/21 07:30:00 午後,22.776
5493,03/29/21 08:00:00 午後,22.776
5494,03/29/21 08:30:00 午後,22.729
5495,03/29/21 09:00:00 午後,22.729
5496,03/29/21 09:30:00 午後,22.729
5497,03/29/21 10:00:00 午後,22.753
5498,03/29/21 10:30:00 午後,22.729
5499,03/29/21 11:00:00 午後,22.705
5500,03/29/21 11:30:00 午後,22.729
5501,03/30/21 12:00:00 午前,22.705
5502,03/30/21 12:30:00 午前,22.681
5503,03/30/21 01:00:00 午前,22.657
5504,03/30/21 01:30:00 午前,22.609
5505,03/30/21 02:00:00 午前,22.585
5506,03/30/21 02:30:00 午前,22.609
5507,03/30/21 03:00:00 午前,22.609
5508,03/30/21 03:30:00 午前,22.609
5509,03/30/21 04:00:00 午前,22.609
5510,03/30/21 04:30:00 午前,22.609
5511,03/30/21 05:00:00 午前,22.609
5512,03/30/21 05:30:00 午前,22.609
5513,03/30/21 06:00:00 午前,22.633
5514,03/30/21 06:30:00 午前,22.657
5515,03/30/21 07:00:00 午前,22.657
5516,03/30/21 07:30:00 午前,22.657
5517,03/30/21 08:00:00 午前,22.681
5518,03/30/21 08:30:00 午前,22.681
5519,03/30/21 09:00:00 午前,22.681
5520,03/30/21 09:30:00 午前,22.705
5521,03/30/21 10:00:00 午前,22.776
5522,03/30/21 10:30:00 午前,22.848
5523,03/30/21 11:00:00 午前,22.92
5524,03/30/21 11:30:00 午前,22.92
5525,03/30/21 12:00:00 午後,22.872
5526,03/30/21 12:30:00 午後,22.8
5527,03/30/21 01:00:00 午後,22.729
5528,03/30/21 01:30:00 午後,22.729
5529,03/30/21 02:00:00 午後,22.776
5530,03/30/21 02:30:00 午後,22.776
5531,03/30/21 03:00:00 午後,22.824
5532,03/30/21 03:30:00 午後,22.824
5533,03/30/21 04:00:00 午後,22.705
5534,03/30/21 04:30:00 午後,22.705
5535,03/30/21 05:00:00 午後,22.705
5536,03/30/21 05:30:00 午後,22.705
5537,03/30/21 06:00:00 午後,22.705
5538,03/30/21 06:30:00 午後,22.705
5539,03/30/21 07:00:00 午後,22.705
5540,03/30/21 07:30:00 午後,22.681
5541,03/30/21 08:00:00 午後,22.681
5542,03/30/21 08:30:00 午後,22.705
5543,03/30/21 09:00:00 午後,22.681
5544,03/30/21 09:30:00 午後,22.633
5545,03/30/21 10:00:00 午後,22.657
5546,03/30/21 10:30:00 午後,22.609
5547,03/30/21 11:00:00 午後,22.609
5548,03/30/21 11:30:00 午後,22.633
5549,03/31/21 12:00:00 午前,22.633
5550,03/31/21 12:30:00 午前,22.633
5551,03/31/21 01:00:00 午前,22.633
5552,03/31/21 01:30:00 午前,22.609
5553,03/31/21 02:00:00 午前,22.537
5554,03/31/21 02:30:00 午前,22.537
5555,03/31/21 03:00:00 午前,22.513
5556,03/31/21 03:30:00 午前,22.537
5557,03/31/21 04:00:00 午前,22.513
5558,03/31/21 04:30:00 午前,22.513
5559,03/31/21 05:00:00 午前,22.513
5560,03/31/21 05:30:00 午前,22.513
5561,03/31/21 06:00:00 午前,22.489
5562,03/31/21 06:30:00 午前,22.513
5563,03/31/21 07:00:00 午前,22.537
5564,03/31/21 07:30:00 午前,22.561
5565,03/31/21 08:00:00 午前,22.585
5566,03/31/21 08:30:00 午前,22.585
5567,03/31/21 09:00:00 午前,22.609
5568,03/31/21 09:30:00 午前,22.657
5569,03/31/21 10:00:00 午前,22.729
5570,03/31/21 10:30:00 午前,22.776
5571,03/31/21 11:00:00 午前,22.8
5572,03/31/21 11:30:00 午前,22.896
5573,03/31/21 12:00:00 午後,22.968
5574,03/31/21 12:30:00 午後,22.968
5575,03/31/21 01:00:00 午後,23.088
5576,03/31/21 01:30:00 午後,22.872
5577,03/31/21 02:00:00 午後,22.872
5578,03/31/21 02:30:00 午後,22.729
5579,03/31/21 03:00:00 午後,22.681
5580,03/31/21 03:30:00 午後,22.729
5581,03/31/21 04:00:00 午後,22.8
5582,03/31/21 04:30:00 午後,22.776
5583,03/31/21 05:00:00 午後,22.8
5584,03/31/21 05:30:00 午後,22.753
5585,03/31/21 06:00:00 午後,22.729
5586,03/31/21 06:30:00 午後,22.681
5587,03/31/21 07:00:00 午後,22.681
5588,03/31/21 07:30:00 午後,22.681
5589,03/31/21 08:00:00 午後,22.681
5590,03/31/21 08:30:00 午後,22.681
5591,03/31/21 09:00:00 午後,22.681
5592,03/31/21 09:30:00 午後,22.681
5593,03/31/21 10:00:00 午後,22.681
5594,03/31/21 10:30:00 午後,22.681
5595,03/31/21 11:00:00 午後,22.681
5596,03/31/21 11:30:00 午後,22.657
5597,04/01/21 12:00:00 午前,22.633
5598,04/01/21 12:30:00 午前,22.633
5599,04/01/21 01:00:00 午前,22.657
5600,04/01/21 01:30:00 午前,22.633
5601,04/01/21 02:00:00 午前,22.609
5602,04/01/21 02:30:00 午前,22.585
5603,04/01/21 03:00:00 午前,22.561
5604,04/01/21 03:30:00 午前,22.537
5605,04/01/21 04:00:00 午前,22.489
5606,04/01/21 04:30:00 午前,22.393
5607,04/01/21 05:00:00 午前,22.417
5608,04/01/21 05:30:00 午前,22.441
5609,04/01/21 06:00:00 午前,22.417
5610,04/01/21 06:30:00 午前,22.393
5611,04/01/21 07:00:00 午前,22.393
5612,04/01/21 07:30:00 午前,22.465
5613,04/01/21 08:00:00 午前,22.513
5614,04/01/21 08:30:00 午前,22.585
5615,04/01/21 09:00:00 午前,22.633
5616,04/01/21 09:30:00 午前,22.729
5617,04/01/21 10:00:00 午前,22.753
5618,04/01/21 10:30:00 午前,22.8
5619,04/01/21 11:00:00 午前,22.872
5620,04/01/21 11:30:00 午前,22.896
5621,04/01/21 12:00:00 午後,22.872
5622,04/01/21 12:30:00 午後,22.968
5623,04/01/21 01:00:00 午後,22.968
5624,04/01/21 01:30:00 午後,22.92
5625,04/01/21 02:00:00 午後,22.824
5626,04/01/21 02:30:00 午後,22.705
5627,04/01/21 03:00:00 午後,22.729
5628,04/01/21 03:30:00 午後,22.824
5629,04/01/21 04:00:00 午後,22.848
5630,04/01/21 04:30:00 午後,22.872
5631,04/01/21 05:00:00 午後,22.896
5632,04/01/21 05:30:00 午後,22.848
5633,04/01/21 06:00:00 午後,22.824
5634,04/01/21 06:30:00 午後,22.8
5635,04/01/21 07:00:00 午後,22.776
5636,04/01/21 07:30:00 午後,22.8
5637,04/01/21 08:00:00 午後,22.776
5638,04/01/21 08:30:00 午後,22.729
5639,04/01/21 09:00:00 午後,22.729
5640,04/01/21 09:30:00 午後,22.753
5641,04/01/21 10:00:00 午後,22.753
5642,04/01/21 10:30:00 午後,22.729
5643,04/01/21 11:00:00 午後,22.705
5644,04/01/21 11:30:00 午後,22.681
5645,04/02/21 12:00:00 午前,22.705
5646,04/02/21 12:30:00 午前,22.705
5647,04/02/21 01:00:00 午前,22.705
5648,04/02/21 01:30:00 午前,22.705
5649,04/02/21 02:00:00 午前,22.729
5650,04/02/21 02:30:00 午前,22.729
5651,04/02/21 03:00:00 午前,22.705
5652,04/02/21 03:30:00 午前,22.705
5653,04/02/21 04:00:00 午前,22.657
5654,04/02/21 04:30:00 午前,22.633
5655,04/02/21 05:00:00 午前,22.585
5656,04/02/21 05:30:00 午前,22.585
5657,04/02/21 06:00:00 午前,22.561
5658,04/02/21 06:30:00 午前,22.537
5659,04/02/21 07:00:00 午前,22.561
5660,04/02/21 07:30:00 午前,22.561
5661,04/02/21 08:00:00 午前,22.585
5662,04/02/21 08:30:00 午前,22.609
5663,04/02/21 09:00:00 午前,22.633
5664,04/02/21 09:30:00 午前,22.657
5665,04/02/21 10:00:00 午前,22.681
5666,04/02/21 10:30:00 午前,22.705
5667,04/02/21 11:00:00 午前,22.705
5668,04/02/21 11:30:00 午前,22.753
5669,04/02/21 12:00:00 午後,22.776
5670,04/02/21 12:30:00 午後,22.776
5671,04/02/21 01:00:00 午後,22.824
5672,04/02/21 01:30:00 午後,22.848
5673,04/02/21 02:00:00 午後,22.824
5674,04/02/21 02:30:00 午後,22.896
5675,04/02/21 03:00:00 午後,22.824
5676,04/02/21 03:30:00 午後,22.753
5677,04/02/21 04:00:00 午後,22.705
5678,04/02/21 04:30:00 午後,22.705
5679,04/02/21 05:00:00 午後,22.729
5680,04/02/21 05:30:00 午後,22.753
5681,04/02/21 06:00:00 午後,22.753
5682,04/02/21 06:30:00 午後,22.848
5683,04/02/21 07:00:00 午後,22.848
5684,04/02/21 07:30:00 午後,22.872
5685,04/02/21 08:00:00 午後,22.872
5686,04/02/21 08:30:00 午後,22.872
5687,04/02/21 09:00:00 午後,22.824
5688,04/02/21 09:30:00 午後,22.824
5689,04/02/21 10:00:00 午後,22.824
5690,04/02/21 10:30:00 午後,22.824
5691,04/02/21 11:00:00 午後,22.753
5692,04/02/21 11:30:00 午後,22.705
5693,04/03/21 12:00:00 午前,22.681
5694,04/03/21 12:30:00 午前,22.681
5695,04/03/21 01:00:00 午前,22.681
5696,04/03/21 01:30:00 午前,22.681
5697,04/03/21 02:00:00 午前,22.681
5698,04/03/21 02:30:00 午前,22.681
5699,04/03/21 03:00:00 午前,22.681
5700,04/03/21 03:30:00 午前,22.824
5701,04/03/21 04:00:00 午前,22.944
5702,04/03/21 04:30:00 午前,22.992
5703,04/03/21 05:00:00 午前,22.992
5704,04/03/21 05:30:00 午前,22.896
5705,04/03/21 06:00:00 午前,22.872
5706,04/03/21 06:30:00 午前,22.872
5707,04/03/21 07:00:00 午前,22.872
5708,04/03/21 07:30:00 午前,22.872
5709,04/03/21 08:00:00 午前,22.872
5710,04/03/21 08:30:00 午前,22.824
5711,04/03/21 09:00:00 午前,22.776
5712,04/03/21 09:30:00 午前,22.753
5713,04/03/21 10:00:00 午前,22.8
5714,04/03/21 10:30:00 午前,22.824
5715,04/03/21 11:00:00 午前,22.872
5716,04/03/21 11:30:00 午前,22.968
5717,04/03/21 12:00:00 午後,23.016
5718,04/03/21 12:30:00 午後,22.992
5719,04/03/21 01:00:00 午後,22.992
5720,04/03/21 01:30:00 午後,22.968
5721,04/03/21 02:00:00 午後,22.992
5722,04/03/21 02:30:00 午後,22.992
5723,04/03/21 03:00:00 午後,22.968
5724,04/03/21 03:30:00 午後,23.016
5725,04/03/21 04:00:00 午後,22.992
5726,04/03/21 04:30:00 午後,22.872
5727,04/03/21 05:00:00 午後,22.92
5728,04/03/21 05:30:00 午後,22.896
5729,04/03/21 06:00:00 午後,22.872
5730,04/03/21 06:30:00 午後,22.848
5731,04/03/21 07:00:00 午後,22.824
5732,04/03/21 07:30:00 午後,22.8
5733,04/03/21 08:00:00 午後,22.8
5734,04/03/21 08:30:00 午後,22.8
5735,04/03/21 09:00:00 午後,22.8
5736,04/03/21 09:30:00 午後,22.8
5737,04/03/21 10:00:00 午後,22.8
5738,04/03/21 10:30:00 午後,22.8
5739,04/03/21 11:00:00 午後,22.776
5740,04/03/21 11:30:00 午後,22.776
5741,04/04/21 12:00:00 午前,22.776
5742,04/04/21 12:30:00 午前,22.776
5743,04/04/21 01:00:00 午前,22.776
5744,04/04/21 01:30:00 午前,22.776
5745,04/04/21 02:00:00 午前,22.776
5746,04/04/21 02:30:00 午前,22.776
5747,04/04/21 03:00:00 午前,22.753
5748,04/04/21 03:30:00 午前,22.753
5749,04/04/21 04:00:00 午前,22.753
5750,04/04/21 04:30:00 午前,22.753
5751,04/04/21 05:00:00 午前,22.729
5752,04/04/21 05:30:00 午前,22.729
5753,04/04/21 06:00:00 午前,22.729
5754,04/04/21 06:30:00 午前,22.705
5755,04/04/21 07:00:00 午前,22.705
5756,04/04/21 07:30:00 午前,22.681
5757,04/04/21 08:00:00 午前,22.657
5758,04/04/21 08:30:00 午前,22.657
5759,04/04/21 09:00:00 午前,22.657
5760,04/04/21 09:30:00 午前,22.681
5761,04/04/21 10:00:00 午前,22.681
5762,04/04/21 10:30:00 午前,22.705
5763,04/04/21 11:00:00 午前,22.729
5764,04/04/21 11:30:00 午前,22.729
5765,04/04/21 12:00:00 午後,22.729
5766,04/04/21 12:30:00 午後,22.729
5767,04/04/21 01:00:00 午後,22.729
5768,04/04/21 01:30:00 午後,22.729
5769,04/04/21 02:00:00 午後,22.705
5770,04/04/21 02:30:00 午後,22.681
5771,04/04/21 03:00:00 午後,22.681
5772,04/04/21 03:30:00 午後,22.657
5773,04/04/21 04:00:00 午後,22.633
5774,04/04/21 04:30:00 午後,22.609
5775,04/04/21 05:00:00 午後,22.633
5776,04/04/21 05:30:00 午後,22.633
5777,04/04/21 06:00:00 午後,22.609
5778,04/04/21 06:30:00 午後,22.585
5779,04/04/21 07:00:00 午後,22.561
5780,04/04/21 07:30:00 午後,22.537
5781,04/04/21 08:00:00 午後,22.537
5782,04/04/21 08:30:00 午後,22.513
5783,04/04/21 09:00:00 午後,22.513
5784,04/04/21 09:30:00 午後,22.537
5785,04/04/21 10:00:00 午後,22.489
5786,04/04/21 10:30:00 午後,22.513
5787,04/04/21 11:00:00 午後,22.513
5788,04/04/21 11:30:00 午後,22.513
5789,04/05/21 12:00:00 午前,22.489
5790,04/05/21 12:30:00 午前,22.465
5791,04/05/21 01:00:00 午前,22.441
5792,04/05/21 01:30:00 午前,22.393
5793,04/05/21 02:00:00 午前,22.417
5794,04/05/21 02:30:00 午前,22.393
5795,04/05/21 03:00:00 午前,22.417
5796,04/05/21 03:30:00 午前,22.393
5797,04/05/21 04:00:00 午前,22.417
5798,04/05/21 04:30:00 午前,22.417
5799,04/05/21 05:00:00 午前,22.393
5800,04/05/21 05:30:00 午前,22.369
5801,04/05/21 06:00:00 午前,22.345
5802,04/05/21 06:30:00 午前,22.298
5803,04/05/21 07:00:00 午前,22.321
5804,04/05/21 07:30:00 午前,22.321
5805,04/05/21 08:00:00 午前,22.441
5806,04/05/21 08:30:00 午前,22.441
5807,04/05/21 09:00:00 午前,22.513
5808,04/05/21 09:30:00 午前,22.585
5809,04/05/21 10:00:00 午前,22.609
5810,04/05/21 10:30:00 午前,22.681
5811,04/05/21 11:00:00 午前,22.729
5812,04/05/21 11:30:00 午前,22.776
5813,04/05/21 12:00:00 午後,22.776
5814,04/05/21 12:30:00 午後,22.824
5815,04/05/21 01:00:00 午後,22.824
5816,04/05/21 01:30:00 午後,22.848
5817,04/05/21 02:00:00 午後,22.872
5818,04/05/21 02:30:00 午後,22.8
5819,04/05/21 03:00:00 午後,22.8
5820,04/05/21 03:30:00 午後,22.776
5821,04/05/21 04:00:00 午後,22.753
5822,04/05/21 04:30:00 午後,22.729
5823,04/05/21 05:00:00 午後,22.681
5824,04/05/21 05:30:00 午後,22.681
5825,04/05/21 06:00:00 午後,22.633
5826,04/05/21 06:30:00 午後,22.585
5827,04/05/21 07:00:00 午後,22.513
5828,04/05/21 07:30:00 午後,22.465
5829,04/05/21 08:00:00 午後,22.441
5830,04/05/21 08:30:00 午後,22.417
5831,04/05/21 09:00:00 午後,22.417
5832,04/05/21 09:30:00 午後,22.417
5833,04/05/21 10:00:00 午後,22.393
5834,04/05/21 10:30:00 午後,22.369
5835,04/05/21 11:00:00 午後,22.393
5836,04/05/21 11:30:00 午後,22.393
5837,04/06/21 12:00:00 午前,22.369
5838,04/06/21 12:30:00 午前,22.345
5839,04/06/21 01:00:00 午前,22.321
5840,04/06/21 01:30:00 午前,22.298
5841,04/06/21 02:00:00 午前,22.274
5842,04/06/21 02:30:00 午前,22.274
5843,04/06/21 03:00:00 午前,22.298
5844,04/06/21 03:30:00 午前,22.274
5845,04/06/21 04:00:00 午前,22.25
5846,04/06/21 04:30:00 午前,22.178
5847,04/06/21 05:00:00 午前,22.25
5848,04/06/21 05:30:00 午前,22.274
5849,04/06/21 06:00:00 午前,22.298
5850,04/06/21 06:30:00 午前,22.226
5851,04/06/21 07:00:00 午前,22.202
5852,04/06/21 07:30:00 午前,22.25
5853,04/06/21 08:00:00 午前,22.321
5854,04/06/21 08:30:00 午前,22.369
5855,04/06/21 09:00:00 午前,22.465
5856,04/06/21 09:30:00 午前,22.465
5857,04/06/21 10:00:00 午前,22.537
5858,04/06/21 10:30:00 午前,22.585
5859,04/06/21 11:00:00 午前,22.633
5860,04/06/21 11:30:00 午前,22.681
5861,04/06/21 12:00:00 午後,22.705
5862,04/06/21 12:30:00 午後,22.705
5863,04/06/21 01:00:00 午後,22.705
5864,04/06/21 01:30:00 午後,22.657
5865,04/06/21 02:00:00 午後,22.633
5866,04/06/21 02:30:00 午後,22.633
5867,04/06/21 03:00:00 午後,22.633
5868,04/06/21 03:30:00 午後,22.609
5869,04/06/21 04:00:00 午後,22.633
5870,04/06/21 04:30:00 午後,22.609
5871,04/06/21 05:00:00 午後,22.585
5872,04/06/21 05:30:00 午後,22.537
5873,04/06/21 06:00:00 午後,22.489
5874,04/06/21 06:30:00 午後,22.441
5875,04/06/21 07:00:00 午後,22.393
5876,04/06/21 07:30:00 午後,22.345
5877,04/06/21 08:00:00 午後,22.345
5878,04/06/21 08:30:00 午後,22.321
5879,04/06/21 09:00:00 午後,22.298
5880,04/06/21 09:30:00 午後,22.298
5881,04/06/21 10:00:00 午後,22.345
5882,04/06/21 10:30:00 午後,22.321
5883,04/06/21 11:00:00 午後,22.298
5884,04/06/21 11:30:00 午後,22.274
5885,04/07/21 12:00:00 午前,22.298
5886,04/07/21 12:30:00 午前,22.274
5887,04/07/21 01:00:00 午前,22.226
5888,04/07/21 01:30:00 午前,22.202
5889,04/07/21 02:00:00 午前,22.202
5890,04/07/21 02:30:00 午前,22.154
5891,04/07/21 03:00:00 午前,22.178
5892,04/07/21 03:30:00 午前,22.13
5893,04/07/21 04:00:00 午前,22.106
5894,04/07/21 04:30:00 午前,22.13
5895,04/07/21 05:00:00 午前,22.13
5896,04/07/21 05:30:00 午前,22.13
5897,04/07/21 06:00:00 午前,22.106
5898,04/07/21 06:30:00 午前,22.154
5899,04/07/21 07:00:00 午前,22.202
5900,04/07/21 07:30:00 午前,22.226
5901,04/07/21 08:00:00 午前,22.178
5902,04/07/21 08:30:00 午前,22.25
5903,04/07/21 09:00:00 午前,22.369
5904,04/07/21 09:30:00 午前,22.465
5905,04/07/21 10:00:00 午前,22.561
5906,04/07/21 10:30:00 午前,22.585
5907,04/07/21 11:00:00 午前,22.585
5908,04/07/21 11:30:00 午前,22.681
5909,04/07/21 12:00:00 午後,22.705
5910,04/07/21 12:30:00 午後,22.729
5911,04/07/21 01:00:00 午後,22.753
5912,04/07/21 01:30:00 午後,22.776
5913,04/07/21 02:00:00 午後,22.776
5914,04/07/21 02:30:00 午後,22.705
5915,04/07/21 03:00:00 午後,22.633
5916,04/07/21 03:30:00 午後,22.633
5917,04/07/21 04:00:00 午後,22.609
5918,04/07/21 04:30:00 午後,22.585
5919,04/07/21 05:00:00 午後,22.585
5920,04/07/21 05:30:00 午後,22.561
5921,04/07/21 06:00:00 午後,22.585
5922,04/07/21 06:30:00 午後,22.537
5923,04/07/21 07:00:00 午後,22.513
5924,04/07/21 07:30:00 午後,22.441
5925,04/07/21 08:00:00 午後,22.369
5926,04/07/21 08:30:00 午後,22.321
5927,04/07/21 09:00:00 午後,22.345
5928,04/07/21 09:30:00 午後,22.393
5929,04/07/21 10:00:00 午後,22.345
5930,04/07/21 10:30:00 午後,22.345
5931,04/07/21 11:00:00 午後,22.345
5932,04/07/21 11:30:00 午後,22.321
5933,04/08/21 12:00:00 午前,22.298
5934,04/08/21 12:30:00 午前,22.274
5935,04/08/21 01:00:00 午前,22.274
5936,04/08/21 01:30:00 午前,22.226
5937,04/08/21 02:00:00 午前,22.226
5938,04/08/21 02:30:00 午前,22.202
5939,04/08/21 03:00:00 午前,22.178
5940,04/08/21 03:30:00 午前,22.154
5941,04/08/21 04:00:00 午前,22.202
5942,04/08/21 04:30:00 午前,22.226
5943,04/08/21 05:00:00 午前,22.25
5944,04/08/21 05:30:00 午前,22.25
5945,04/08/21 06:00:00 午前,22.25
5946,04/08/21 06:30:00 午前,22.226
5947,04/08/21 07:00:00 午前,22.178
5948,04/08/21 07:30:00 午前,22.154
5949,04/08/21 08:00:00 午前,22.298
5950,04/08/21 08:30:00 午前,22.369
5951,04/08/21 09:00:00 午前,22.441
5952,04/08/21 09:30:00 午前,22.537
5953,04/08/21 10:00:00 午前,22.585
5954,04/08/21 10:30:00 午前,22.681
5955,04/08/21 11:00:00 午前,22.729
5956,04/08/21 11:30:00 午前,22.633
5957,04/08/21 12:00:00 午後,22.585
5958,04/08/21 12:30:00 午後,22.537
5959,04/08/21 01:00:00 午後,22.561
5960,04/08/21 01:30:00 午後,22.633
5961,04/08/21 02:00:00 午後,22.705
5962,04/08/21 02:30:00 午後,22.705
5963,04/08/21 03:00:00 午後,22.753
5964,04/08/21 03:30:00 午後,22.585
5965,04/08/21 04:00:00 午後,22.561
5966,04/08/21 04:30:00 午後,22.513
5967,04/08/21 05:00:00 午後,22.537
5968,04/08/21 05:30:00 午後,22.513
5969,04/08/21 06:00:00 午後,22.489
5970,04/08/21 06:30:00 午後,22.465
5971,04/08/21 07:00:00 午後,22.465
5972,04/08/21 07:30:00 午後,22.441
5973,04/08/21 08:00:00 午後,22.393
5974,04/08/21 08:30:00 午後,22.369
5975,04/08/21 09:00:00 午後,22.465
5976,04/08/21 09:30:00 午後,22.441
5977,04/08/21 10:00:00 午後,22.345
5978,04/08/21 10:30:00 午後,22.321
5979,04/08/21 11:00:00 午後,22.298
5980,04/08/21 11:30:00 午後,22.274
5981,04/09/21 12:00:00 午前,22.25
5982,04/09/21 12:30:00 午前,22.25
5983,04/09/21 01:00:00 午前,22.25
5984,04/09/21 01:30:00 午前,22.25
5985,04/09/21 02:00:00 午前,22.25
5986,04/09/21 02:30:00 午前,22.202
5987,04/09/21 03:00:00 午前,22.226
5988,04/09/21 03:30:00 午前,22.202
5989,04/09/21 04:00:00 午前,22.202
5990,04/09/21 04:30:00 午前,22.226
5991,04/09/21 05:00:00 午前,22.202
5992,04/09/21 05:30:00 午前,22.202
5993,04/09/21 06:00:00 午前,22.226
5994,04/09/21 06:30:00 午前,22.25
5995,04/09/21 07:00:00 午前,22.25
5996,04/09/21 07:30:00 午前,22.274
5997,04/09/21 08:00:00 午前,22.226
5998,04/09/21 08:30:00 午前,22.321
5999,04/09/21 09:00:00 午前,22.369
6000,04/09/21 09:30:00 午前,22.393
6001,04/09/21 10:00:00 午前,22.441
6002,04/09/21 10:30:00 午前,22.489
6003,04/09/21 11:00:00 午前,22.417
6004,04/09/21 11:30:00 午前,22.561
6005,04/09/21 12:00:00 午後,22.489
6006,04/09/21 12:30:00 午後,22.369
6007,04/09/21 01:00:00 午後,22.369
6008,04/09/21 01:30:00 午後,22.441
6009,04/09/21 02:00:00 午後,22.513
6010,04/09/21 02:30:00 午後,22.561
6011,04/09/21 03:00:00 午後,22.561
6012,04/09/21 03:30:00 午後,22.585
6013,04/09/21 04:00:00 午後,22.489
6014,04/09/21 04:30:00 午後,22.489
6015,04/09/21 05:00:00 午後,22.489
6016,04/09/21 05:30:00 午後,22.465
6017,04/09/21 06:00:00 午後,22.417
6018,04/09/21 06:30:00 午後,22.393
6019,04/09/21 07:00:00 午後,22.369
6020,04/09/21 07:30:00 午後,22.393
6021,04/09/21 08:00:00 午後,22.393
6022,04/09/21 08:30:00 午後,22.321
6023,04/09/21 09:00:00 午後,22.321
6024,04/09/21 09:30:00 午後,22.298
6025,04/09/21 10:00:00 午後,22.345
6026,04/09/21 10:30:00 午後,22.298
6027,04/09/21 11:00:00 午後,22.274
6028,04/09/21 11:30:00 午後,22.25
6029,04/10/21 12:00:00 午前,22.25
6030,04/10/21 12:30:00 午前,22.25
6031,04/10/21 01:00:00 午前,22.25
6032,04/10/21 01:30:00 午前,22.226
