プロット タイトル: site07_spot005_2021,,
#,月/日/年　時刻,"温度, °C (LGR S/N: 20280582, SEN S/N: 20280582)"
1154,12/29/20 10:30:00 午前,24.122
1155,12/29/20 11:00:00 午前,24.171
1156,12/29/20 11:30:00 午前,24.171
1157,12/29/20 12:00:00 午後,24.195
1158,12/29/20 12:30:00 午後,24.243
1159,12/29/20 01:00:00 午後,24.291
1160,12/29/20 01:30:00 午後,24.363
1161,12/29/20 02:00:00 午後,24.412
1162,12/29/20 02:30:00 午後,24.436
1163,12/29/20 03:00:00 午後,24.46
1164,12/29/20 03:30:00 午後,24.46
1165,12/29/20 04:00:00 午後,24.46
1166,12/29/20 04:30:00 午後,24.363
1167,12/29/20 05:00:00 午後,24.388
1168,12/29/20 05:30:00 午後,24.388
1169,12/29/20 06:00:00 午後,24.363
1170,12/29/20 06:30:00 午後,24.291
1171,12/29/20 07:00:00 午後,24.267
1172,12/29/20 07:30:00 午後,24.267
1173,12/29/20 08:00:00 午後,24.267
1174,12/29/20 08:30:00 午後,24.243
1175,12/29/20 09:00:00 午後,24.243
1176,12/29/20 09:30:00 午後,24.243
1177,12/29/20 10:00:00 午後,24.219
1178,12/29/20 10:30:00 午後,24.219
1179,12/29/20 11:00:00 午後,24.195
1180,12/29/20 11:30:00 午後,24.171
1181,12/30/20 12:00:00 午前,24.219
1182,12/30/20 12:30:00 午前,24.267
1183,12/30/20 01:00:00 午前,24.267
1184,12/30/20 01:30:00 午前,24.315
1185,12/30/20 02:00:00 午前,24.315
1186,12/30/20 02:30:00 午前,24.339
1187,12/30/20 03:00:00 午前,24.315
1188,12/30/20 03:30:00 午前,24.315
1189,12/30/20 04:00:00 午前,24.363
1190,12/30/20 04:30:00 午前,24.339
1191,12/30/20 05:00:00 午前,24.315
1192,12/30/20 05:30:00 午前,24.291
1193,12/30/20 06:00:00 午前,24.267
1194,12/30/20 06:30:00 午前,24.243
1195,12/30/20 07:00:00 午前,24.219
1196,12/30/20 07:30:00 午前,24.171
1197,12/30/20 08:00:00 午前,24.122
1198,12/30/20 08:30:00 午前,24.098
1199,12/30/20 09:00:00 午前,24.05
1200,12/30/20 09:30:00 午前,23.954
1201,12/30/20 10:00:00 午前,23.93
1202,12/30/20 10:30:00 午前,24.026
1203,12/30/20 11:00:00 午前,24.098
1204,12/30/20 11:30:00 午前,24.098
1205,12/30/20 12:00:00 午後,24.074
1206,12/30/20 12:30:00 午後,24.171
1207,12/30/20 01:00:00 午後,24.195
1208,12/30/20 01:30:00 午後,24.074
1209,12/30/20 02:00:00 午後,24.243
1210,12/30/20 02:30:00 午後,24.074
1211,12/30/20 03:00:00 午後,23.978
1212,12/30/20 03:30:00 午後,23.665
1213,12/30/20 04:00:00 午後,23.809
1214,12/30/20 04:30:00 午後,24.05
1215,12/30/20 05:00:00 午後,24.074
1216,12/30/20 05:30:00 午後,24.026
1217,12/30/20 06:00:00 午後,24.026
1218,12/30/20 06:30:00 午後,24.002
1219,12/30/20 07:00:00 午後,23.954
1220,12/30/20 07:30:00 午後,23.93
1221,12/30/20 08:00:00 午後,23.881
1222,12/30/20 08:30:00 午後,23.809
1223,12/30/20 09:00:00 午後,23.737
1224,12/30/20 09:30:00 午後,23.689
1225,12/30/20 10:00:00 午後,23.28
1226,12/30/20 10:30:00 午後,23.448
1227,12/30/20 11:00:00 午後,23.4
1228,12/30/20 11:30:00 午後,23.352
1229,12/31/20 12:00:00 午前,23.617
1230,12/31/20 12:30:00 午前,23.881
1231,12/31/20 01:00:00 午前,23.761
1232,12/31/20 01:30:00 午前,23.545
1233,12/31/20 02:00:00 午前,23.448
1234,12/31/20 02:30:00 午前,23.641
1235,12/31/20 03:00:00 午前,23.593
1236,12/31/20 03:30:00 午前,23.617
1237,12/31/20 04:00:00 午前,23.472
1238,12/31/20 04:30:00 午前,23.136
1239,12/31/20 05:00:00 午前,23.016
1240,12/31/20 05:30:00 午前,23.112
1241,12/31/20 06:00:00 午前,23.352
1242,12/31/20 06:30:00 午前,23.617
1243,12/31/20 07:00:00 午前,23.545
1244,12/31/20 07:30:00 午前,23.497
1245,12/31/20 08:00:00 午前,23.497
1246,12/31/20 08:30:00 午前,23.472
1247,12/31/20 09:00:00 午前,23.497
1248,12/31/20 09:30:00 午前,23.497
1249,12/31/20 10:00:00 午前,23.472
1250,12/31/20 10:30:00 午前,23.4
1251,12/31/20 11:00:00 午前,23.424
1252,12/31/20 11:30:00 午前,23.472
1253,12/31/20 12:00:00 午後,23.497
1254,12/31/20 12:30:00 午後,23.448
1255,12/31/20 01:00:00 午後,23.641
1256,12/31/20 01:30:00 午後,23.665
1257,12/31/20 02:00:00 午後,23.737
1258,12/31/20 02:30:00 午後,23.713
1259,12/31/20 03:00:00 午後,23.689
1260,12/31/20 03:30:00 午後,23.617
1261,12/31/20 04:00:00 午後,23.641
1262,12/31/20 04:30:00 午後,23.545
1263,12/31/20 05:00:00 午後,23.497
1264,12/31/20 05:30:00 午後,23.521
1265,12/31/20 06:00:00 午後,23.497
1266,12/31/20 06:30:00 午後,23.472
1267,12/31/20 07:00:00 午後,23.448
1268,12/31/20 07:30:00 午後,23.448
1269,12/31/20 08:00:00 午後,23.376
1270,12/31/20 08:30:00 午後,23.4
1271,12/31/20 09:00:00 午後,23.424
1272,12/31/20 09:30:00 午後,23.4
1273,12/31/20 10:00:00 午後,23.256
1274,12/31/20 10:30:00 午後,23.352
1275,12/31/20 11:00:00 午後,23.256
1276,12/31/20 11:30:00 午後,23.064
1277,01/01/21 12:00:00 午前,22.992
1278,01/01/21 12:30:00 午前,22.657
1279,01/01/21 01:00:00 午前,22.848
1280,01/01/21 01:30:00 午前,23.184
1281,01/01/21 02:00:00 午前,23.328
1282,01/01/21 02:30:00 午前,23.352
1283,01/01/21 03:00:00 午前,23.4
1284,01/01/21 03:30:00 午前,23.448
1285,01/01/21 04:00:00 午前,23.304
1286,01/01/21 04:30:00 午前,23.256
1287,01/01/21 05:00:00 午前,23.208
1288,01/01/21 05:30:00 午前,23.112
1289,01/01/21 06:00:00 午前,23.424
1290,01/01/21 06:30:00 午前,23.424
1291,01/01/21 07:00:00 午前,23.424
1292,01/01/21 07:30:00 午前,23.424
1293,01/01/21 08:00:00 午前,23.376
1294,01/01/21 08:30:00 午前,23.352
1295,01/01/21 09:00:00 午前,23.376
1296,01/01/21 09:30:00 午前,23.4
1297,01/01/21 10:00:00 午前,23.472
1298,01/01/21 10:30:00 午前,23.497
1299,01/01/21 11:00:00 午前,23.448
1300,01/01/21 11:30:00 午前,23.617
1301,01/01/21 12:00:00 午後,23.448
1302,01/01/21 12:30:00 午後,23.497
1303,01/01/21 01:00:00 午後,23.497
1304,01/01/21 01:30:00 午後,23.497
1305,01/01/21 02:00:00 午後,23.545
1306,01/01/21 02:30:00 午後,23.545
1307,01/01/21 03:00:00 午後,23.593
1308,01/01/21 03:30:00 午後,23.617
1309,01/01/21 04:00:00 午後,23.641
1310,01/01/21 04:30:00 午後,23.593
1311,01/01/21 05:00:00 午後,23.545
1312,01/01/21 05:30:00 午後,23.376
1313,01/01/21 06:00:00 午後,23.545
1314,01/01/21 06:30:00 午後,23.545
1315,01/01/21 07:00:00 午後,23.545
1316,01/01/21 07:30:00 午後,23.497
1317,01/01/21 08:00:00 午後,23.424
1318,01/01/21 08:30:00 午後,23.4
1319,01/01/21 09:00:00 午後,23.4
1320,01/01/21 09:30:00 午後,23.376
1321,01/01/21 10:00:00 午後,23.304
1322,01/01/21 10:30:00 午後,23.304
1323,01/01/21 11:00:00 午後,23.256
1324,01/01/21 11:30:00 午後,23.184
1325,01/02/21 12:00:00 午前,23.184
1326,01/02/21 12:30:00 午前,23.16
1327,01/02/21 01:00:00 午前,23.328
1328,01/02/21 01:30:00 午前,23.352
1329,01/02/21 02:00:00 午前,23.376
1330,01/02/21 02:30:00 午前,23.424
1331,01/02/21 03:00:00 午前,23.448
1332,01/02/21 03:30:00 午前,23.328
1333,01/02/21 04:00:00 午前,23.376
1334,01/02/21 04:30:00 午前,23.4
1335,01/02/21 05:00:00 午前,23.472
1336,01/02/21 05:30:00 午前,23.424
1337,01/02/21 06:00:00 午前,23.352
1338,01/02/21 06:30:00 午前,23.328
1339,01/02/21 07:00:00 午前,23.352
1340,01/02/21 07:30:00 午前,23.376
1341,01/02/21 08:00:00 午前,23.352
1342,01/02/21 08:30:00 午前,23.352
1343,01/02/21 09:00:00 午前,23.352
1344,01/02/21 09:30:00 午前,23.328
1345,01/02/21 10:00:00 午前,23.352
